종목,테스트,파라미터,시작연도,방향,시대 구간,날짜,종가,등락률(%),당시 순위,사건 번호,z-score,종가 1일,종가 2일,종가 3일,종가 1주,종가 2주,종가 1개월,익일시가 1일
QQQ,테스트 A(역대급 등락),K=10,2008,폭등,전체,2025-04-09,466.0,12.0,4,3,6.99,-4.25,-2.49,-1.83,-4.68,0.29,4.71,-1.63
QQQ,테스트 A(역대급 등락),K=10,2008,폭락,전체,2008-09-29,37.82,-7.94,6,1,-4.43,2.88,1.8,-2.83,-7.83,-7.11,-15.76,3.15
QQQ,테스트 A(역대급 등락),K=10,2008,폭락,전체,2008-10-15,30.6,-8.96,1,1,-3.16,5.42,5.56,8.5,0.03,3.86,-0.46,4.71
QQQ,테스트 A(역대급 등락),K=10,2008,폭락,전체,2020-03-12,177.32,-9.17,1,2,-4.47,8.47,-4.52,2.72,0.19,8.22,14.5,2.82
QQQ,테스트 A(역대급 등락),K=10,2008,폭락,전체,2020-03-16,169.3,-11.98,1,2,-4.59,7.58,4.31,4.94,0.69,13.43,23.7,3.8
QQQ,테스트 A(역대급 등락),K=20,2008,폭등,전체,2008-10-13,35.13,12.16,3,1,5.38,-4.33,-12.89,-8.17,-5.49,-18.33,-14.32,-7.03
QQQ,테스트 A(역대급 등락),K=20,2008,폭등,전체,2008-10-28,31.86,11.05,5,1,3.44,-0.25,3.08,3.23,5.93,-5.52,-7.88,-0.41
QQQ,테스트 A(역대급 등락),K=20,2008,폭등,전체,2020-03-13,192.34,8.47,13,3,3.59,-11.98,-5.3,-8.18,-11.25,-3.66,10.15,-2.78
QQQ,테스트 A(역대급 등락),K=20,2008,폭등,전체,2020-03-17,182.14,7.58,16,3,2.5,-3.04,-2.46,-6.28,0.83,4.53,17.08,2.91
QQQ,테스트 A(역대급 등락),K=20,2008,폭등,전체,2020-03-24,183.66,7.74,16,3,2.38,-0.74,4.49,0.89,3.67,6.94,14.62,-1.15
QQQ,테스트 A(역대급 등락),K=20,2008,폭등,전체,2022-11-10,282.75,7.38,20,4,3.88,1.84,0.95,2.35,0.73,1.47,1.0,1.91
QQQ,테스트 A(역대급 등락),K=20,2008,폭등,전체,2025-04-09,466.0,12.0,4,5,6.99,-4.25,-2.49,-1.83,-4.68,0.29,4.71,-1.63
QQQ,테스트 A(역대급 등락),K=20,2008,폭락,전체,2008-09-29,37.82,-7.94,6,1,-4.43,2.88,1.8,-2.83,-7.83,-7.11,-15.76,3.15
QQQ,테스트 A(역대급 등락),K=20,2008,폭락,전체,2008-10-07,32.65,-6.34,19,1,-2.95,-0.8,-3.46,-4.07,2.94,-3.58,-2.02,1.38
QQQ,테스트 A(역대급 등락),K=20,2008,폭락,전체,2008-10-15,30.6,-8.96,1,1,-3.16,5.42,5.56,8.5,0.03,3.86,-0.46,4.71
QQQ,테스트 A(역대급 등락),K=20,2008,폭락,전체,2008-12-01,26.93,-7.52,11,2,-1.85,3.34,6.28,3.27,11.7,8.28,10.43,1.94
QQQ,테스트 A(역대급 등락),K=20,2008,폭락,전체,2020-03-09,193.57,-6.95,17,3,-4.32,5.45,0.85,-8.39,-12.54,-11.94,1.46,1.49
QQQ,테스트 A(역대급 등락),K=20,2008,폭락,전체,2020-03-12,177.32,-9.17,1,3,-4.47,8.47,-4.52,2.72,0.19,8.22,14.5,2.82
QQQ,테스트 A(역대급 등락),K=20,2008,폭락,전체,2020-03-16,169.3,-11.98,1,3,-4.59,7.58,4.31,4.94,0.69,13.43,23.7,3.8
QQQ,테스트 A(역대급 등락),K=5,2011,폭등,전체,2025-04-09,466.0,12.0,4,2,6.99,-4.25,-2.49,-1.83,-4.68,0.29,4.71,-1.63
QQQ,테스트 A(역대급 등락),K=5,2011,폭락,전체,2020-03-12,177.32,-9.17,1,1,-4.47,8.47,-4.52,2.72,0.19,8.22,14.5,2.82
QQQ,테스트 A(역대급 등락),K=5,2011,폭락,전체,2020-03-16,169.3,-11.98,1,1,-4.59,7.58,4.31,4.94,0.69,13.43,23.7,3.8
QQQ,테스트 A(역대급 등락),K=10,2011,폭등,전체,2025-04-09,466.0,12.0,4,2,6.99,-4.25,-2.49,-1.83,-4.68,0.29,4.71,-1.63
QQQ,테스트 A(역대급 등락),K=10,2011,폭락,전체,2020-03-12,177.32,-9.17,1,1,-4.47,8.47,-4.52,2.72,0.19,8.22,14.5,2.82
QQQ,테스트 A(역대급 등락),K=10,2011,폭락,전체,2020-03-16,169.3,-11.98,1,1,-4.59,7.58,4.31,4.94,0.69,13.43,23.7,3.8
QQQ,테스트 A(역대급 등락),K=20,2011,폭등,전체,2020-03-13,192.34,8.47,13,1,3.59,-11.98,-5.3,-8.18,-11.25,-3.66,10.15,-2.78
QQQ,테스트 A(역대급 등락),K=20,2011,폭등,전체,2020-03-17,182.14,7.58,16,1,2.5,-3.04,-2.46,-6.28,0.83,4.53,17.08,2.91
QQQ,테스트 A(역대급 등락),K=20,2011,폭등,전체,2020-03-24,183.66,7.74,16,1,2.38,-0.74,4.49,0.89,3.67,6.94,14.62,-1.15
QQQ,테스트 A(역대급 등락),K=20,2011,폭등,전체,2022-11-10,282.75,7.38,20,2,3.88,1.84,0.95,2.35,0.73,1.47,1.0,1.91
QQQ,테스트 A(역대급 등락),K=20,2011,폭등,전체,2025-04-09,466.0,12.0,4,3,6.99,-4.25,-2.49,-1.83,-4.68,0.29,4.71,-1.63
QQQ,테스트 A(역대급 등락),K=20,2011,폭락,전체,2020-03-09,193.57,-6.95,17,1,-4.32,5.45,0.85,-8.39,-12.54,-11.94,1.46,1.49
QQQ,테스트 A(역대급 등락),K=20,2011,폭락,전체,2020-03-12,177.32,-9.17,1,1,-4.47,8.47,-4.52,2.72,0.19,8.22,14.5,2.82
QQQ,테스트 A(역대급 등락),K=20,2011,폭락,전체,2020-03-16,169.3,-11.98,1,1,-4.59,7.58,4.31,4.94,0.69,13.43,23.7,3.8
QQQ,테스트 A(역대급 등락),K=5,2011,폭등,2020년대,2025-04-09,466.0,12.0,4,2,6.99,-4.25,-2.49,-1.83,-4.68,0.29,4.71,-1.63
QQQ,테스트 A(역대급 등락),K=5,2011,폭락,2020년대,2020-03-12,177.32,-9.17,1,1,-4.47,8.47,-4.52,2.72,0.19,8.22,14.5,2.82
QQQ,테스트 A(역대급 등락),K=5,2011,폭락,2020년대,2020-03-16,169.3,-11.98,1,1,-4.59,7.58,4.31,4.94,0.69,13.43,23.7,3.8
QQQ,테스트 A(역대급 등락),K=10,2011,폭등,2020년대,2025-04-09,466.0,12.0,4,2,6.99,-4.25,-2.49,-1.83,-4.68,0.29,4.71,-1.63
QQQ,테스트 A(역대급 등락),K=10,2011,폭락,2020년대,2020-03-12,177.32,-9.17,1,1,-4.47,8.47,-4.52,2.72,0.19,8.22,14.5,2.82
QQQ,테스트 A(역대급 등락),K=10,2011,폭락,2020년대,2020-03-16,169.3,-11.98,1,1,-4.59,7.58,4.31,4.94,0.69,13.43,23.7,3.8
QQQ,테스트 A(역대급 등락),K=20,2011,폭등,2020년대,2020-03-13,192.34,8.47,13,1,3.59,-11.98,-5.3,-8.18,-11.25,-3.66,10.15,-2.78
QQQ,테스트 A(역대급 등락),K=20,2011,폭등,2020년대,2020-03-17,182.14,7.58,16,1,2.5,-3.04,-2.46,-6.28,0.83,4.53,17.08,2.91
QQQ,테스트 A(역대급 등락),K=20,2011,폭등,2020년대,2020-03-24,183.66,7.74,16,1,2.38,-0.74,4.49,0.89,3.67,6.94,14.62,-1.15
QQQ,테스트 A(역대급 등락),K=20,2011,폭등,2020년대,2022-11-10,282.75,7.38,20,2,3.88,1.84,0.95,2.35,0.73,1.47,1.0,1.91
QQQ,테스트 A(역대급 등락),K=20,2011,폭등,2020년대,2025-04-09,466.0,12.0,4,3,6.99,-4.25,-2.49,-1.83,-4.68,0.29,4.71,-1.63
QQQ,테스트 A(역대급 등락),K=20,2011,폭락,2020년대,2020-03-09,193.57,-6.95,17,1,-4.32,5.45,0.85,-8.39,-12.54,-11.94,1.46,1.49
QQQ,테스트 A(역대급 등락),K=20,2011,폭락,2020년대,2020-03-12,177.32,-9.17,1,1,-4.47,8.47,-4.52,2.72,0.19,8.22,14.5,2.82
QQQ,테스트 A(역대급 등락),K=20,2011,폭락,2020년대,2020-03-16,169.3,-11.98,1,1,-4.59,7.58,4.31,4.94,0.69,13.43,23.7,3.8
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭등,전체,2003-01-03,8530.0,4.28,2,1,,0.94,-1.29,-1.17,-5.04,-3.75,-9.61,1.41
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭등,전체,2003-01-13,8380.0,3.46,5,1,1.77,0.36,-0.48,0.24,-2.27,-8.71,-10.5,0.6
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭등,전체,2003-02-17,7780.0,4.99,1,1,2.86,0.26,-0.39,0.77,2.96,-1.67,-8.87,-0.26
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭등,전체,2003-03-14,7070.0,3.67,5,1,1.88,-3.82,0.28,0.71,6.51,2.83,10.04,-3.27
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭등,전체,2003-03-18,7090.0,4.26,4,1,2.08,0.42,4.8,6.21,2.4,-0.99,14.53,0.28
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭등,전체,2003-03-20,7430.0,4.35,2,1,2.07,1.35,0.27,-2.29,-3.23,-3.63,10.09,0.94
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭등,전체,2003-04-07,7690.0,5.34,1,1,2.59,-0.26,-2.86,-2.34,1.17,6.11,2.6,1.19
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭등,전체,2004-05-19,10140.0,5.19,2,4,2.73,-2.47,0.2,1.48,2.07,-2.47,-6.61,-1.1
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭등,전체,2005-11-23,16600.0,4.34,5,5,3.14,-0.42,-0.54,-0.54,0.0,2.26,5.21,-0.45
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭등,전체,2007-08-20,22060.0,5.05,3,6,2.82,-0.16,1.68,3.9,3.83,8.34,5.51,-0.74
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭등,전체,2007-11-26,23600.0,4.45,5,7,2.81,0.47,-1.4,0.85,2.92,3.26,4.45,3.27
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭등,전체,2008-09-08,19070.0,5.07,3,8,3.46,-1.63,-0.5,-1.94,-5.72,0.76,-11.12,-1.5
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭등,전체,2008-09-19,19080.0,6.06,1,8,3.24,-0.47,0.71,1.94,0.68,-7.34,-17.61,-1.09
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭등,전체,2008-10-14,17840.0,6.1,1,8,2.76,-2.02,-11.74,-12.89,-11.88,-24.89,-16.76,-0.17
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭등,전체,2008-10-28,13400.0,8.94,1,8,2.84,-3.81,10.6,12.31,13.66,10.45,1.49,-7.96
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭등,전체,2008-10-30,14820.0,14.97,1,8,4.4,1.55,0.67,2.77,-3.51,-4.18,-3.54,2.21
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭등,전체,2008-11-21,13200.0,6.19,3,8,1.45,-3.86,-1.21,3.03,8.3,2.23,16.82,-3.79
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭등,전체,2008-12-08,14610.0,8.26,3,8,1.86,-0.27,3.42,4.21,4.07,5.54,7.67,-1.02
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭등,전체,2009-01-28,15380.0,6.36,4,9,1.74,0.72,0.13,-1.5,3.19,2.28,-9.04,-0.13
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭등,전체,2020-03-20,21795.0,7.68,4,10,4.01,-5.87,2.87,8.76,9.22,8.28,16.22,1.41
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭등,전체,2020-03-24,22420.0,9.29,2,10,4.04,5.73,3.68,6.18,7.43,11.17,15.08,2.66
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭등,전체,2026-02-03,78290.0,7.69,5,12,4.12,1.4,-2.91,-3.95,0.19,10.23,5.89,2.25
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭등,전체,2026-03-05,83570.0,10.11,2,12,3.5,-0.01,-6.39,-0.8,-0.44,3.81,-3.58,2.21
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭등,전체,2026-04-01,82170.0,8.94,5,12,2.46,-4.84,-1.94,-0.51,8.31,12.77,21.58,-6.04
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭등,전체,2026-07-31,108820.0,24.17,1,13,4.95,-8.93,-7.8,-4.15,-9.86,1.14,-0.86,-2.82
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭락,전체,2003-01-09,8180.0,-2.97,3,1,,-0.98,2.44,2.81,2.69,-0.98,-9.05,-2.06
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭락,전체,2003-01-24,7870.0,-2.84,4,1,-1.54,-2.8,-1.52,-4.7,-2.03,-5.46,-2.29,-1.29
KODEX 200,테스트 A(역대급 등락),K=5,2003,폭락,전체,2003-01-27,7650.0,-2.8,5,1,-1.54,1.31,-1.96,-0.78,0.78,-3.53,-0.26,2.11
