대상,격자 칸,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),1차 판정
KODEX 200,15일 → 말일,287,위,58.89,0.46,132.73,제외
KODEX 200,15일 → 말일+1,287,위,59.93,0.57,163.63,제외
KODEX 200,15일 → 말일+2,287,위,56.79,0.65,185.31,제외
KODEX 200,15일 → 말일+3,287,위,55.05,0.71,204.47,제외
KODEX 200,15일 → 말일-1,287,위,56.79,0.3,85.89,제외
KODEX 200,15일 → 말일-2,287,위,58.89,0.26,73.98,제외
KODEX 200,15일 → 말일-3,287,위,54.7,0.2,58.29,제외
KODEX 200,16일 → 말일,287,위,57.14,0.46,133.11,제외
KODEX 200,16일 → 말일+1,287,위,58.89,0.57,163.23,제외
KODEX 200,16일 → 말일+2,287,위,57.49,0.65,185.49,제외
KODEX 200,16일 → 말일+3,287,위,56.1,0.71,204.78,제외
KODEX 200,16일 → 말일-1,287,위,57.14,0.3,85.02,제외
KODEX 200,16일 → 말일-2,287,위,59.23,0.25,72.13,제외
KODEX 200,16일 → 말일-3,287,위,57.84,0.2,57.1,제외
KODEX 200,17일 → 말일,287,위,56.45,0.46,131.21,제외
KODEX 200,17일 → 말일+1,287,위,58.19,0.56,160.97,제외
KODEX 200,17일 → 말일+2,287,위,57.84,0.64,183.41,제외
KODEX 200,17일 → 말일+3,287,위,57.49,0.71,202.74,제외
KODEX 200,17일 → 말일-1,287,위,55.4,0.29,82.73,제외
KODEX 200,17일 → 말일-2,287,위,58.54,0.24,69.23,제외
KODEX 200,17일 → 말일-3,287,위,57.49,0.19,53.95,제외
KODEX 200,18일 → 말일,287,위,56.45,0.44,127.1,제외
KODEX 200,18일 → 말일+1,287,위,57.49,0.54,156.15,제외
KODEX 200,18일 → 말일+2,287,위,58.19,0.62,178.56,제외
KODEX 200,18일 → 말일+3,287,위,57.14,0.69,197.2,제외
KODEX 200,18일 → 말일-1,287,위,57.14,0.27,78.46,제외
KODEX 200,18일 → 말일-2,287,위,56.79,0.23,64.67,제외
KODEX 200,18일 → 말일-3,287,위,58.19,0.17,48.83,제외
KODEX 200,19일 → 말일,287,위,55.4,0.46,130.96,제외
KODEX 200,19일 → 말일+1,287,위,56.1,0.56,160.27,제외
KODEX 200,19일 → 말일+2,287,위,56.45,0.64,182.68,제외
