대상,격자 칸,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),1차 판정
KODEX 200,19일 → 말일+3,287,위,56.1,0.7,201.03,제외
KODEX 200,19일 → 말일-1,287,위,55.05,0.28,81.39,제외
KODEX 200,19일 → 말일-2,287,위,56.45,0.24,68.24,제외
KODEX 200,19일 → 말일-3,287,위,56.45,0.18,52.06,제외
KODEX 200,20일 → 말일,287,위,56.1,0.4,114.18,제외
KODEX 200,20일 → 말일+1,287,위,57.14,0.5,142.86,제외
KODEX 200,20일 → 말일+2,287,위,57.14,0.58,165.55,제외
KODEX 200,20일 → 말일+3,287,위,54.36,0.64,184.21,제외
KODEX 200,20일 → 말일-1,287,위,56.1,0.22,63.71,제외
KODEX 200,20일 → 말일-2,287,위,57.84,0.17,50.08,제외
KODEX 200,20일 → 말일-3,285,위,54.04,0.12,33.69,제외
KODEX 200,21일 → 말일,287,위,56.45,0.29,82.12,제외
KODEX 200,21일 → 말일+1,287,위,58.19,0.39,110.77,제외
KODEX 200,21일 → 말일+2,287,위,58.19,0.47,133.6,제외
KODEX 200,21일 → 말일+3,287,위,55.4,0.53,152.44,제외
KODEX 200,21일 → 말일-1,287,위,57.84,0.11,32.73,제외
KODEX 200,21일 → 말일-2,285,위,57.19,0.07,19.08,제외
KODEX 200,21일 → 말일-3,285,위,55.44,0.01,4.01,제외
KODEX 200,22일 → 말일,287,위,57.14,0.38,109.63,제외
KODEX 200,22일 → 말일+1,287,위,58.89,0.48,137.89,제외
KODEX 200,22일 → 말일+2,287,위,58.89,0.56,161.11,제외
KODEX 200,22일 → 말일+3,287,위,54.7,0.63,180.2,제외
KODEX 200,22일 → 말일-1,287,위,55.05,0.21,59.93,제외
KODEX 200,22일 → 말일-2,285,위,55.44,0.16,45.64,제외
KODEX 200,22일 → 말일-3,279,위,52.33,0.11,30.7,제외
KODEX 200,23일 → 말일,287,위,56.79,0.44,126.52,제외
KODEX 200,23일 → 말일+1,287,위,58.19,0.54,155.09,제외
KODEX 200,23일 → 말일+2,287,위,57.84,0.62,177.15,제외
KODEX 200,23일 → 말일+3,287,위,55.4,0.69,197.25,제외
KODEX 200,23일 → 말일-1,287,위,54.36,0.27,77.78,제외
KODEX 200,23일 → 말일-2,283,위,57.95,0.22,62.27,제외
KODEX 200,23일 → 말일-3,267,위,55.43,0.17,46.32,제외
KODEX 200,24일 → 말일,287,위,57.84,0.49,141.92,제외
KODEX 200,24일 → 말일+1,287,위,59.93,0.59,170.3,제외
KODEX 200,24일 → 말일+2,287,위,57.14,0.67,193.43,제외
KODEX 200,24일 → 말일+3,287,위,56.79,0.75,213.84,제외
KODEX 200,24일 → 말일-1,285,위,53.68,0.32,91.96,제외
KODEX 200,24일 → 말일-2,274,위,58.76,0.27,74.65,제외
KODEX 200,24일 → 말일-3,243,위,56.38,0.22,53.16,제외
KODEX 200,25일 → 말일,287,위,56.79,0.42,119.88,제외
KODEX 200,25일 → 말일+1,287,위,58.19,0.52,148.85,제외
KODEX 200,25일 → 말일+2,287,위,57.14,0.6,172.47,제외
KODEX 200,25일 → 말일+3,287,위,55.75,0.67,192.2,제외
KODEX 200,25일 → 말일-1,279,위,52.33,0.25,69.94,제외
KODEX 200,25일 → 말일-2,266,위,58.65,0.21,56.88,제외
KODEX 200,25일 → 말일-3,181,위,60.22,0.22,39.55,후보
KODEX 인버스,15일 → 말일,203,아래,57.64,0.4,81.59,판정 안 함
KODEX 인버스,15일 → 말일+1,203,아래,59.11,0.52,104.75,판정 안 함
KODEX 인버스,15일 → 말일+2,203,아래,54.68,0.56,113.91,판정 안 함
KODEX 인버스,15일 → 말일+3,202,아래,56.93,0.65,130.93,판정 안 함
KODEX 인버스,15일 → 말일-1,203,아래,57.64,0.39,78.29,판정 안 함
KODEX 인버스,15일 → 말일-2,203,아래,60.1,0.3,60.81,판정 안 함
KODEX 인버스,15일 → 말일-3,203,아래,54.68,0.27,54.83,판정 안 함
KODEX 인버스,16일 → 말일,204,아래,54.9,0.33,67.7,판정 안 함
KODEX 인버스,16일 → 말일+1,204,아래,56.86,0.44,90.08,판정 안 함
KODEX 인버스,16일 → 말일+2,204,아래,55.39,0.47,96.57,판정 안 함
KODEX 인버스,16일 → 말일+3,203,아래,55.17,0.55,112.43,판정 안 함
KODEX 인버스,16일 → 말일-1,204,아래,58.33,0.33,67.11,판정 안 함
KODEX 인버스,16일 → 말일-2,204,아래,60.29,0.24,48.6,판정 안 함
KODEX 인버스,16일 → 말일-3,204,아래,55.39,0.21,43.28,판정 안 함
KODEX 인버스,17일 → 말일,204,아래,52.45,0.27,56.01,판정 안 함
KODEX 인버스,17일 → 말일+1,204,아래,53.92,0.38,78.47,판정 안 함
KODEX 인버스,17일 → 말일+2,204,아래,53.92,0.42,84.7,판정 안 함
KODEX 인버스,17일 → 말일+3,203,아래,53.69,0.5,100.65,판정 안 함
KODEX 인버스,17일 → 말일-1,204,아래,56.37,0.27,55.65,판정 안 함
KODEX 인버스,17일 → 말일-2,204,아래,58.82,0.18,37.03,판정 안 함
KODEX 인버스,17일 → 말일-3,204,아래,53.43,0.16,31.64,판정 안 함
KODEX 인버스,18일 → 말일,204,아래,53.43,0.26,53.02,판정 안 함
KODEX 인버스,18일 → 말일+1,204,아래,55.88,0.37,76.16,판정 안 함
KODEX 인버스,18일 → 말일+2,204,아래,53.92,0.4,81.79,판정 안 함
KODEX 인버스,18일 → 말일+3,203,아래,52.71,0.48,96.93,판정 안 함
KODEX 인버스,18일 → 말일-1,204,아래,58.82,0.26,52.7,판정 안 함
KODEX 인버스,18일 → 말일-2,204,아래,56.37,0.17,34.28,판정 안 함
KODEX 인버스,18일 → 말일-3,204,아래,56.37,0.14,29.56,판정 안 함
KODEX 인버스,19일 → 말일,204,아래,53.43,0.32,65.26,판정 안 함
KODEX 인버스,19일 → 말일+1,204,아래,53.92,0.43,88.23,판정 안 함
KODEX 인버스,19일 → 말일+2,204,아래,53.43,0.46,93.79,판정 안 함
KODEX 인버스,19일 → 말일+3,203,아래,51.23,0.51,103.54,판정 안 함
KODEX 인버스,19일 → 말일-1,204,아래,55.88,0.32,65.54,판정 안 함
KODEX 인버스,19일 → 말일-2,204,아래,55.88,0.23,46.86,판정 안 함
KODEX 인버스,19일 → 말일-3,204,아래,54.41,0.21,42.5,판정 안 함
KODEX 인버스,20일 → 말일,204,아래,53.43,0.27,55.84,판정 안 함
KODEX 인버스,20일 → 말일+1,204,아래,54.41,0.39,78.87,판정 안 함
KODEX 인버스,20일 → 말일+2,204,아래,54.41,0.41,83.76,판정 안 함
KODEX 인버스,20일 → 말일+3,203,아래,50.74,0.49,99.9,판정 안 함
KODEX 인버스,20일 → 말일-1,204,아래,56.86,0.28,56.97,판정 안 함
KODEX 인버스,20일 → 말일-2,204,아래,55.88,0.19,38.44,판정 안 함
KODEX 인버스,20일 → 말일-3,203,아래,52.71,0.17,33.62,판정 안 함
KODEX 인버스,21일 → 말일,204,아래,53.43,0.21,42.13,판정 안 함
KODEX 인버스,21일 → 말일+1,204,아래,55.39,0.32,65.32,판정 안 함
KODEX 인버스,21일 → 말일+2,204,아래,53.92,0.35,70.55,판정 안 함
KODEX 인버스,21일 → 말일+3,203,아래,52.22,0.44,88.67,판정 안 함
KODEX 인버스,21일 → 말일-1,204,아래,58.82,0.21,41.98,판정 안 함
KODEX 인버스,21일 → 말일-2,203,아래,58.13,0.12,23.66,판정 안 함
KODEX 인버스,21일 → 말일-3,203,아래,56.16,0.1,19.36,판정 안 함
KODEX 인버스,22일 → 말일,204,아래,54.9,0.17,35.33,판정 안 함
KODEX 인버스,22일 → 말일+1,204,아래,53.92,0.29,58.77,판정 안 함
KODEX 인버스,22일 → 말일+2,204,아래,53.92,0.31,64.07,판정 안 함
KODEX 인버스,22일 → 말일+3,203,아래,51.23,0.4,82.09,판정 안 함
KODEX 인버스,22일 → 말일-1,204,아래,56.37,0.17,35.22,판정 안 함
KODEX 인버스,22일 → 말일-2,203,아래,51.23,0.08,17.03,판정 안 함
KODEX 인버스,22일 → 말일-3,199,아래,48.24,0.06,12.62,판정 안 함
KODEX 인버스,23일 → 말일,204,아래,54.9,0.26,52.48,판정 안 함
KODEX 인버스,23일 → 말일+1,204,아래,53.43,0.37,75.46,판정 안 함
KODEX 인버스,23일 → 말일+2,204,아래,53.92,0.4,82.15,판정 안 함
KODEX 인버스,23일 → 말일+3,203,아래,52.22,0.49,99.35,판정 안 함
KODEX 인버스,23일 → 말일-1,204,아래,56.37,0.25,51.05,판정 안 함
KODEX 인버스,23일 → 말일-2,202,아래,53.47,0.16,32.86,판정 안 함
KODEX 인버스,23일 → 말일-3,191,아래,52.88,0.14,26.99,판정 안 함
KODEX 인버스,24일 → 말일,204,아래,55.39,0.25,50.6,판정 안 함
KODEX 인버스,24일 → 말일+1,204,아래,56.37,0.36,73.82,판정 안 함
KODEX 인버스,24일 → 말일+2,204,아래,53.92,0.39,79.78,판정 안 함
KODEX 인버스,24일 → 말일+3,203,아래,52.22,0.46,93.8,판정 안 함
KODEX 인버스,24일 → 말일-1,203,아래,55.67,0.25,50.56,판정 안 함
KODEX 인버스,24일 → 말일-2,195,아래,54.87,0.17,32.7,판정 안 함
KODEX 인버스,24일 → 말일-3,173,아래,53.18,0.1,17.94,판정 안 함
KODEX 인버스,25일 → 말일,204,아래,54.9,0.18,37.57,판정 안 함
KODEX 인버스,25일 → 말일+1,204,아래,56.37,0.3,60.34,판정 안 함
KODEX 인버스,25일 → 말일+2,204,아래,54.9,0.32,65.7,판정 안 함
KODEX 인버스,25일 → 말일+3,203,아래,53.2,0.4,81.41,판정 안 함
KODEX 인버스,25일 → 말일-1,198,아래,53.03,0.19,37.84,판정 안 함
KODEX 인버스,25일 → 말일-2,189,아래,54.5,0.12,23.41,판정 안 함
KODEX 인버스,25일 → 말일-3,129,아래,58.91,0.1,12.27,판정 안 함
코스피200 지수,15일 → 말일,440,위,52.5,0.14,61.88,판정 안 함
코스피200 지수,15일 → 말일+1,440,위,56.14,0.49,217.58,판정 안 함
코스피200 지수,15일 → 말일+2,440,위,54.77,0.54,239.73,판정 안 함
코스피200 지수,15일 → 말일+3,440,위,53.86,0.65,286.14,판정 안 함
코스피200 지수,15일 → 말일-1,440,위,52.5,-0.02,-9.23,판정 안 함
코스피200 지수,15일 → 말일-2,440,위,52.27,-0.11,-46.56,판정 안 함
코스피200 지수,15일 → 말일-3,440,위,50.68,-0.14,-61.3,판정 안 함
코스피200 지수,16일 → 말일,440,위,50.45,0.15,64.16,판정 안 함
코스피200 지수,16일 → 말일+1,440,위,56.14,0.5,219.4,판정 안 함
코스피200 지수,16일 → 말일+2,440,위,55.23,0.55,241.59,판정 안 함
코스피200 지수,16일 → 말일+3,440,위,54.32,0.65,287.56,판정 안 함
코스피200 지수,16일 → 말일-1,440,위,51.36,-0.02,-7.73,판정 안 함
코스피200 지수,16일 → 말일-2,440,위,53.18,-0.1,-44.91,판정 안 함
코스피200 지수,16일 → 말일-3,440,위,50.91,-0.13,-59.3,판정 안 함
코스피200 지수,17일 → 말일,440,위,51.36,0.14,60.62,판정 안 함
코스피200 지수,17일 → 말일+1,440,위,55.0,0.49,216.11,판정 안 함
코스피200 지수,17일 → 말일+2,440,위,54.55,0.54,238.15,판정 안 함
코스피200 지수,17일 → 말일+3,440,위,54.55,0.65,284.19,판정 안 함
코스피200 지수,17일 → 말일-1,440,위,51.14,-0.03,-13.12,판정 안 함
코스피200 지수,17일 → 말일-2,440,위,51.59,-0.11,-50.45,판정 안 함
코스피200 지수,17일 → 말일-3,440,위,50.23,-0.15,-63.83,판정 안 함
코스피200 지수,18일 → 말일,440,위,51.14,0.13,59.31,판정 안 함
코스피200 지수,18일 → 말일+1,440,위,55.91,0.48,213.06,판정 안 함
코스피200 지수,18일 → 말일+2,440,위,55.68,0.54,235.85,판정 안 함
코스피200 지수,18일 → 말일+3,440,위,54.77,0.64,281.64,판정 안 함
코스피200 지수,18일 → 말일-1,440,위,51.14,-0.03,-14.49,판정 안 함
코스피200 지수,18일 → 말일-2,440,위,50.68,-0.12,-52.4,판정 안 함
코스피200 지수,18일 → 말일-3,440,위,50.23,-0.15,-66.01,판정 안 함
코스피200 지수,19일 → 말일,440,위,50.68,0.06,25.66,판정 안 함
코스피200 지수,19일 → 말일+1,440,위,53.41,0.41,179.59,판정 안 함
코스피200 지수,19일 → 말일+2,440,위,53.86,0.46,202.68,판정 안 함
코스피200 지수,19일 → 말일+3,440,위,53.86,0.56,247.81,판정 안 함
코스피200 지수,19일 → 말일-1,440,아래,51.14,0.11,48.8,판정 안 함
코스피200 지수,19일 → 말일-2,440,위,49.77,-0.2,-86.31,판정 안 함
코스피200 지수,19일 → 말일-3,440,아래,51.59,0.23,100.14,판정 안 함
코스피200 지수,20일 → 말일,440,위,50.45,-0.04,-18.6,판정 안 함
코스피200 지수,20일 → 말일+1,440,위,54.09,0.31,134.8,판정 안 함
코스피200 지수,20일 → 말일+2,440,위,54.09,0.36,158.61,판정 안 함
코스피200 지수,20일 → 말일+3,440,위,52.27,0.46,204.23,판정 안 함
코스피200 지수,20일 → 말일-1,440,아래,50.0,0.21,92.89,판정 안 함
코스피200 지수,20일 → 말일-2,440,위,50.23,-0.29,-129.79,판정 안 함
코스피200 지수,20일 → 말일-3,437,아래,53.32,0.33,143.43,판정 안 함
코스피200 지수,21일 → 말일,440,위,50.91,-0.03,-14.86,판정 안 함
코스피200 지수,21일 → 말일+1,440,위,55.0,0.31,138.14,판정 안 함
코스피200 지수,21일 → 말일+2,440,위,54.09,0.37,162.37,판정 안 함
코스피200 지수,21일 → 말일+3,440,위,53.18,0.47,208.25,판정 안 함
코스피200 지수,21일 → 말일-1,440,위,52.05,-0.2,-88.85,판정 안 함
코스피200 지수,21일 → 말일-2,437,위,50.34,-0.29,-126.82,판정 안 함
코스피200 지수,21일 → 말일-3,435,아래,51.26,0.32,139.7,판정 안 함
코스피200 지수,22일 → 말일,440,위,51.82,0.09,38.83,판정 안 함
코스피200 지수,22일 → 말일+1,440,위,54.55,0.43,190.76,판정 안 함
코스피200 지수,22일 → 말일+2,440,위,56.36,0.49,215.2,판정 안 함
코스피200 지수,22일 → 말일+3,440,위,54.32,0.59,261.17,판정 안 함
코스피200 지수,22일 → 말일-1,439,위,50.8,-0.08,-36.28,판정 안 함
코스피200 지수,22일 → 말일-2,436,아래,50.69,0.18,78.14,판정 안 함
코스피200 지수,22일 → 말일-3,427,아래,53.4,0.22,92.02,판정 안 함
코스피200 지수,23일 → 말일,440,위,52.05,0.21,93.57,판정 안 함
코스피200 지수,23일 → 말일+1,440,위,55.23,0.56,245.93,판정 안 함
코스피200 지수,23일 → 말일+2,440,위,56.36,0.61,269.34,판정 안 함
코스피200 지수,23일 → 말일+3,440,위,55.68,0.72,316.39,판정 안 함
코스피200 지수,23일 → 말일-1,439,위,51.48,0.04,19.57,판정 안 함
코스피200 지수,23일 → 말일-2,431,위,49.88,-0.06,-24.47,판정 안 함
코스피200 지수,23일 → 말일-3,407,아래,52.33,0.1,40.69,판정 안 함
코스피200 지수,24일 → 말일,440,위,53.18,0.25,111.35,판정 안 함
코스피200 지수,24일 → 말일+1,440,위,55.68,0.6,264.54,판정 안 함
코스피200 지수,24일 → 말일+2,440,위,55.45,0.66,289.01,판정 안 함
코스피200 지수,24일 → 말일+3,440,위,55.0,0.76,336.56,판정 안 함
코스피200 지수,24일 → 말일-1,434,위,50.69,0.08,35.91,판정 안 함
코스피200 지수,24일 → 말일-2,415,위,50.6,-0.01,-4.73,판정 안 함
코스피200 지수,24일 → 말일-3,374,위,50.8,-0.07,-27.77,판정 안 함
코스피200 지수,25일 → 말일,440,위,52.73,0.31,135.47,판정 안 함
코스피200 지수,25일 → 말일+1,440,위,57.5,0.66,290.31,판정 안 함
코스피200 지수,25일 → 말일+2,440,위,57.5,0.72,314.82,판정 안 함
코스피200 지수,25일 → 말일+3,440,위,58.41,0.82,361.95,판정 안 함
코스피200 지수,25일 → 말일-1,426,위,50.23,0.14,60.76,판정 안 함
코스피200 지수,25일 → 말일-2,402,위,51.99,0.07,27.22,판정 안 함
코스피200 지수,25일 → 말일-3,298,위,54.03,0.02,6.03,판정 안 함
코스피 종합지수,15일 → 말일,560,위,53.21,0.29,164.07,판정 안 함
코스피 종합지수,15일 → 말일+1,560,위,55.36,0.54,302.64,판정 안 함
코스피 종합지수,15일 → 말일+2,560,위,54.82,0.61,339.44,판정 안 함
코스피 종합지수,15일 → 말일+3,560,위,53.21,0.71,399.52,판정 안 함
코스피 종합지수,15일 → 말일-1,560,위,53.39,0.09,51.69,판정 안 함
코스피 종합지수,15일 → 말일-2,560,위,51.25,-0.06,-33.78,판정 안 함
코스피 종합지수,15일 → 말일-3,560,아래,50.71,0.09,48.32,판정 안 함
코스피 종합지수,16일 → 말일,560,위,52.14,0.32,178.45,판정 안 함
코스피 종합지수,16일 → 말일+1,560,위,56.07,0.57,316.76,판정 안 함
코스피 종합지수,16일 → 말일+2,560,위,54.64,0.63,353.79,판정 안 함
코스피 종합지수,16일 → 말일+3,560,위,54.82,0.74,413.53,판정 안 함
코스피 종합지수,16일 → 말일-1,560,위,52.32,0.12,65.47,판정 안 함
코스피 종합지수,16일 → 말일-2,560,위,52.14,-0.04,-19.93,판정 안 함
코스피 종합지수,16일 → 말일-3,560,위,50.54,-0.06,-34.21,판정 안 함
코스피 종합지수,17일 → 말일,560,위,53.75,0.32,177.08,판정 안 함
코스피 종합지수,17일 → 말일+1,560,위,55.36,0.56,315.5,판정 안 함
코스피 종합지수,17일 → 말일+2,560,위,54.29,0.63,352.38,판정 안 함
코스피 종합지수,17일 → 말일+3,560,위,55.89,0.74,412.03,판정 안 함
코스피 종합지수,17일 → 말일-1,560,위,51.07,0.11,62.25,판정 안 함
코스피 종합지수,17일 → 말일-2,560,위,52.5,-0.04,-23.42,판정 안 함
코스피 종합지수,17일 → 말일-3,560,아래,50.18,0.07,36.78,판정 안 함
코스피 종합지수,18일 → 말일,560,위,54.82,0.32,178.79,판정 안 함
코스피 종합지수,18일 → 말일+1,560,위,55.18,0.56,315.73,판정 안 함
코스피 종합지수,18일 → 말일+2,560,위,55.54,0.63,353.07,판정 안 함
코스피 종합지수,18일 → 말일+3,560,위,55.36,0.74,412.53,판정 안 함
코스피 종합지수,18일 → 말일-1,560,위,53.21,0.11,63.86,판정 안 함
코스피 종합지수,18일 → 말일-2,560,위,52.32,-0.04,-22.32,판정 안 함
코스피 종합지수,18일 → 말일-3,560,아래,50.89,0.06,36.0,판정 안 함
코스피 종합지수,19일 → 말일,560,위,52.86,0.25,138.15,판정 안 함
코스피 종합지수,19일 → 말일+1,560,위,52.68,0.49,275.02,판정 안 함
코스피 종합지수,19일 → 말일+2,560,위,54.64,0.56,312.54,판정 안 함
코스피 종합지수,19일 → 말일+3,560,위,56.25,0.66,371.62,판정 안 함
코스피 종합지수,19일 → 말일-1,560,위,52.14,0.04,22.6,판정 안 함
코스피 종합지수,19일 → 말일-2,560,위,52.68,-0.11,-63.0,판정 안 함
코스피 종합지수,19일 → 말일-3,560,아래,51.43,0.14,77.15,판정 안 함
코스피 종합지수,20일 → 말일,560,위,53.04,0.17,97.12,판정 안 함
코스피 종합지수,20일 → 말일+1,560,위,53.75,0.42,233.42,판정 안 함
코스피 종합지수,20일 → 말일+2,560,위,54.82,0.48,271.51,판정 안 함
코스피 종합지수,20일 → 말일+3,560,위,55.0,0.59,330.67,판정 안 함
코스피 종합지수,20일 → 말일-1,560,위,52.5,-0.03,-18.37,판정 안 함
코스피 종합지수,20일 → 말일-2,560,위,52.5,-0.18,-103.56,판정 안 함
코스피 종합지수,20일 → 말일-3,555,아래,51.17,0.21,117.51,판정 안 함
코스피 종합지수,21일 → 말일,560,위,53.57,0.16,92.27,판정 안 함
코스피 종합지수,21일 → 말일+1,560,위,54.46,0.41,228.24,판정 안 함
코스피 종합지수,21일 → 말일+2,560,위,55.36,0.48,266.83,판정 안 함
코스피 종합지수,21일 → 말일+3,560,위,55.0,0.58,326.41,판정 안 함
코스피 종합지수,21일 → 말일-1,560,위,53.04,-0.04,-22.93,판정 안 함
코스피 종합지수,21일 → 말일-2,556,위,50.18,-0.2,-109.01,판정 안 함
코스피 종합지수,21일 → 말일-3,548,위,50.36,-0.22,-121.39,판정 안 함
코스피 종합지수,22일 → 말일,560,위,53.39,0.25,137.85,판정 안 함
코스피 종합지수,22일 → 말일+1,560,위,54.11,0.49,273.06,판정 안 함
코스피 종합지수,22일 → 말일+2,560,위,55.36,0.56,312.13,판정 안 함
코스피 종합지수,22일 → 말일+3,560,위,54.46,0.66,372.03,판정 안 함
코스피 종합지수,22일 → 말일-1,558,위,52.33,0.04,21.62,판정 안 함
코스피 종합지수,22일 → 말일-2,550,위,50.55,-0.12,-67.27,판정 안 함
코스피 종합지수,22일 → 말일-3,537,아래,51.58,0.15,79.91,판정 안 함
코스피 종합지수,23일 → 말일,560,위,54.64,0.34,189.88,판정 안 함
코스피 종합지수,23일 → 말일+1,560,위,55.71,0.58,325.71,판정 안 함
코스피 종합지수,23일 → 말일+2,560,위,56.43,0.65,364.26,판정 안 함
코스피 종합지수,23일 → 말일+3,560,위,56.43,0.76,425.41,판정 안 함
코스피 종합지수,23일 → 말일-1,553,위,53.89,0.14,74.67,판정 안 함
코스피 종합지수,23일 → 말일-2,541,위,52.31,-0.03,-15.29,판정 안 함
코스피 종합지수,23일 → 말일-3,517,아래,50.29,0.06,31.87,판정 안 함
코스피 종합지수,24일 → 말일,555,위,54.41,0.36,199.41,판정 안 함
코스피 종합지수,24일 → 말일+1,560,위,56.96,0.6,336.31,판정 안 함
코스피 종합지수,24일 → 말일+2,560,위,55.18,0.67,376.24,판정 안 함
코스피 종합지수,24일 → 말일+3,560,위,54.64,0.78,437.81,판정 안 함
코스피 종합지수,24일 → 말일-1,544,위,53.31,0.16,86.15,판정 안 함
코스피 종합지수,24일 → 말일-2,525,위,52.19,0.01,5.66,판정 안 함
코스피 종합지수,24일 → 말일-3,480,위,51.04,-0.04,-17.95,판정 안 함
코스피 종합지수,25일 → 말일,555,위,54.59,0.39,216.77,판정 안 함
코스피 종합지수,25일 → 말일+1,560,위,58.04,0.63,355.13,판정 안 함
코스피 종합지수,25일 → 말일+2,560,위,56.96,0.71,395.02,판정 안 함
코스피 종합지수,25일 → 말일+3,560,위,56.61,0.81,456.04,판정 안 함
코스피 종합지수,25일 → 말일-1,536,위,52.43,0.19,104.44,판정 안 함
코스피 종합지수,25일 → 말일-2,509,위,52.26,0.06,30.44,판정 안 함
코스피 종합지수,25일 → 말일-3,399,위,52.13,0.02,8.79,판정 안 함
KODEX 코스닥150,15일 → 말일,131,위,49.62,-0.11,-14.22,제외
KODEX 코스닥150,15일 → 말일+1,131,위,54.2,0.16,21.04,제외
KODEX 코스닥150,15일 → 말일+2,131,위,51.15,0.14,18.83,제외
KODEX 코스닥150,15일 → 말일+3,130,위,53.85,0.3,38.52,제외
KODEX 코스닥150,15일 → 말일-1,131,위,52.67,-0.12,-15.81,제외
KODEX 코스닥150,15일 → 말일-2,131,위,51.91,-0.35,-46.48,제외
KODEX 코스닥150,15일 → 말일-3,131,위,51.15,-0.24,-30.89,제외
KODEX 코스닥150,16일 → 말일,131,위,49.62,-0.22,-29.33,제외
KODEX 코스닥150,16일 → 말일+1,131,위,49.62,0.05,6.26,제외
KODEX 코스닥150,16일 → 말일+2,131,위,51.91,0.03,3.55,제외
KODEX 코스닥150,16일 → 말일+3,130,위,53.08,0.18,23.26,제외
KODEX 코스닥150,16일 → 말일-1,131,위,51.15,-0.24,-31.4,제외
KODEX 코스닥150,16일 → 말일-2,131,위,52.67,-0.48,-62.3,제외
KODEX 코스닥150,16일 → 말일-3,131,아래,50.38,0.35,46.46,제외
KODEX 코스닥150,17일 → 말일,131,아래,50.38,0.22,29.0,제외
KODEX 코스닥150,17일 → 말일+1,131,위,49.62,0.05,6.96,제외
KODEX 코스닥150,17일 → 말일+2,131,위,54.96,0.03,4.35,제외
KODEX 코스닥150,17일 → 말일+3,130,위,55.38,0.18,23.73,제외
KODEX 코스닥150,17일 → 말일-1,131,위,51.15,-0.24,-30.92,제외
KODEX 코스닥150,17일 → 말일-2,131,위,53.44,-0.47,-61.49,제외
KODEX 코스닥150,17일 → 말일-3,131,위,50.38,-0.35,-45.33,제외
KODEX 코스닥150,18일 → 말일,131,아래,50.38,0.14,18.86,제외
KODEX 코스닥150,18일 → 말일+1,131,아래,51.15,-0.13,-16.58,제외
KODEX 코스닥150,18일 → 말일+2,131,위,51.15,0.11,14.44,제외
KODEX 코스닥150,18일 → 말일+3,130,위,53.08,0.23,29.58,제외
KODEX 코스닥150,18일 → 말일-1,131,위,50.38,-0.16,-21.06,제외
KODEX 코스닥150,18일 → 말일-2,131,위,50.38,-0.39,-51.66,제외
KODEX 코스닥150,18일 → 말일-3,131,아래,50.38,0.27,35.4,제외
KODEX 코스닥150,19일 → 말일,131,위,50.38,-0.1,-13.58,제외
KODEX 코스닥150,19일 → 말일+1,131,아래,51.91,-0.17,-21.75,제외
KODEX 코스닥150,19일 → 말일+2,131,위,50.38,0.16,20.7,제외
KODEX 코스닥150,19일 → 말일+3,130,위,50.77,0.27,35.06,제외
KODEX 코스닥150,19일 → 말일-1,131,아래,50.38,0.12,16.24,제외
KODEX 코스닥150,19일 → 말일-2,131,아래,55.73,0.36,46.94,제외
KODEX 코스닥150,19일 → 말일-3,131,아래,58.02,0.23,30.75,제외
