대상,월,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),1차 판정
코스피200 지수,11,36,위,55.56,0.15,5.34,판정 안 함
코스피200 지수,12,36,위,55.56,0.4,14.42,판정 안 함
코스피 종합지수,1,47,위,57.45,0.51,24.17,판정 안 함
코스피 종합지수,2,47,위,53.19,-0.66,-31.01,판정 안 함
코스피 종합지수,3,47,위,63.83,0.74,34.71,판정 안 함
코스피 종합지수,4,47,위,55.32,0.27,12.71,판정 안 함
코스피 종합지수,5,47,위,59.57,1.19,55.7,판정 안 함
코스피 종합지수,6,47,아래,59.57,0.13,6.07,판정 안 함
코스피 종합지수,7,47,위,57.45,0.52,24.5,판정 안 함
코스피 종합지수,8,47,아래,53.19,-0.37,-17.61,판정 안 함
코스피 종합지수,9,46,아래,60.87,1.12,51.39,판정 안 함
코스피 종합지수,10,46,아래,54.35,0.52,23.74,판정 안 함
코스피 종합지수,11,46,위,65.22,0.46,21.17,판정 안 함
코스피 종합지수,12,46,위,52.17,0.41,18.77,판정 안 함
KODEX 코스닥150,1,11,위,54.55,1.12,12.36,제외
KODEX 코스닥150,2,11,아래,63.64,0.98,10.83,후보
KODEX 코스닥150,3,11,아래,54.55,-0.42,-4.59,제외
KODEX 코스닥150,4,11,아래,81.82,1.69,18.63,후보
KODEX 코스닥150,5,11,위,81.82,1.85,20.39,후보
KODEX 코스닥150,6,11,아래,81.82,1.94,21.36,후보
KODEX 코스닥150,7,11,아래,63.64,1.28,14.03,후보
KODEX 코스닥150,8,11,위,63.64,2.11,23.24,후보
KODEX 코스닥150,9,10,아래,80.0,2.97,29.73,후보
KODEX 코스닥150,10,11,아래,54.55,0.78,8.61,제외
KODEX 코스닥150,11,11,아래,54.55,1.27,13.95,제외
KODEX 코스닥150,12,11,위,90.91,2.99,32.86,후보
KODEX 코스닥150선물인버스,1,10,아래,60.0,0.81,8.12,판정 안 함
KODEX 코스닥150선물인버스,2,10,위,70.0,1.17,11.67,판정 안 함
KODEX 코스닥150선물인버스,3,10,위,50.0,-0.55,-5.53,판정 안 함
KODEX 코스닥150선물인버스,4,10,위,70.0,1.04,10.44,판정 안 함
KODEX 코스닥150선물인버스,5,10,아래,80.0,1.94,19.43,판정 안 함
KODEX 코스닥150선물인버스,6,10,위,80.0,1.95,19.45,판정 안 함
KODEX 코스닥150선물인버스,7,10,위,70.0,1.1,11.0,판정 안 함
KODEX 코스닥150선물인버스,8,11,아래,63.64,2.18,23.95,판정 안 함
KODEX 코스닥150선물인버스,9,10,위,80.0,3.05,30.54,판정 안 함
KODEX 코스닥150선물인버스,10,10,위,50.0,0.61,6.08,판정 안 함
KODEX 코스닥150선물인버스,11,10,위,60.0,1.33,13.27,판정 안 함
KODEX 코스닥150선물인버스,12,10,아래,90.0,3.01,30.14,판정 안 함
코스닥150 지수,1,17,아래,58.82,0.08,1.28,판정 안 함
코스닥150 지수,2,17,위,52.94,-0.45,-7.71,판정 안 함
코스닥150 지수,3,17,아래,52.94,-0.59,-10.11,판정 안 함
코스닥150 지수,4,17,아래,70.59,1.24,21.03,판정 안 함
코스닥150 지수,5,17,위,82.35,1.79,30.38,판정 안 함
코스닥150 지수,6,17,아래,58.82,0.96,16.31,판정 안 함
코스닥150 지수,7,17,아래,70.59,1.75,29.76,판정 안 함
코스닥150 지수,8,17,위,64.71,1.77,30.1,판정 안 함
코스닥150 지수,9,16,아래,75.0,2.23,35.69,판정 안 함
코스닥150 지수,10,16,위,56.25,-0.2,-3.13,판정 안 함
코스닥150 지수,11,16,위,50.0,-0.98,-15.72,판정 안 함
코스닥150 지수,12,16,위,87.5,2.67,42.8,판정 안 함
코스닥 종합지수,1,30,위,56.67,0.15,4.46,판정 안 함
