Date,Open,High,Low,Close,Volume
1999-03-10,43.079719,43.106051,42.368745,43.027054,5232000
1999-03-11,43.343027,43.593184,42.395063,43.237698,9688600
1999-03-12,43.079717,43.10605,41.842097,42.184418,8743600
1999-03-15,42.500395,43.448359,42.052745,43.395695,6369000
1999-03-16,43.580032,43.948685,43.10605,43.764359,4905800
1999-03-17,43.764368,43.817032,43.316718,43.44838,3965000
1999-03-18,43.395723,44.317356,43.382557,44.291023,4848400
1999-03-19,44.870313,44.870313,43.132378,43.15871,7160400
1999-03-22,43.343054,43.448383,42.553083,42.63208,5024800
1999-03-23,42.395079,42.553073,41.052129,41.131126,10962400
1999-03-24,41.499783,42.553077,40.867807,42.526745,8447000
1999-03-25,43.18503,44.08033,42.901958,44.08033,8133800
1999-03-26,43.711687,44.212001,43.422031,43.606358,8256200
1999-03-29,44.133023,45.21265,43.8697,45.186317,5113800
1999-03-30,45.133654,45.502307,44.686004,44.870331,4940600
1999-03-31,45.607643,45.660308,44.080367,44.212029,8256600
1999-04-01,45.502312,45.554977,44.396353,45.133659,8715800
1999-04-05,45.864371,46.832085,45.581299,46.766254,5697200
1999-04-06,46.713601,47.37191,46.318616,46.858429,7522400
1999-04-07,47.292898,47.398227,45.370636,46.371265,11923600
1999-04-08,46.292264,46.963739,45.3443,46.739914,7952400
1999-04-09,46.660922,47.134905,46.529261,47.029575,4946800
1999-04-12,45.923592,47.02955,45.870927,46.713562,10934000
1999-04-13,47.003228,47.108558,45.712944,46.081596,9962200
1999-04-14,46.66094,46.713604,44.244946,44.501686,21253800
1999-04-15,44.659658,45.179721,43.079717,45.107307,17650600
1999-04-16,45.001979,45.001979,43.5537,43.790691,17274000
1999-04-19,44.080337,44.44899,41.295692,41.736759,19460600
1999-04-20,41.552432,43.027043,41.157447,42.684723,17413600
1999-04-21,43.079722,44.817657,42.50041,44.791325,10940400
1999-04-22,45.212635,46.134267,44.916396,46.002605,13630600
1999-04-23,45.765626,46.950582,45.291644,46.608261,7064400
1999-04-26,46.924246,48.030205,46.772835,47.681301,5421000
1999-04-27,48.030199,48.26719,46.351512,46.950573,16482800
1999-04-28,46.555591,46.713585,45.140227,45.344303,7676800
1999-04-29,45.133649,45.396972,44.02769,44.975655,19148200
1999-04-30,45.607621,45.844612,43.659028,45.265301,15295200
1999-05-03,45.133638,45.317965,44.271254,45.028309,11109800
1999-05-04,45.107307,45.818281,44.054014,44.317337,15428400
1999-05-05,44.343665,45.660282,43.000716,45.660282,12642600
1999-05-06,45.238982,45.633968,43.580044,44.001362,15173400
1999-05-07,44.396333,44.764985,43.448368,44.633324,16430400
1999-05-10,44.922977,45.383793,44.39633,45.080971,10604200
1999-05-11,45.449645,46.028957,45.186321,45.791965,8800800
1999-05-12,46.002608,46.897908,44.659659,46.739914,12507400
1999-05-13,47.108565,47.187562,45.660286,45.870945,9864000
1999-05-14,44.975659,45.502306,44.659671,45.001991,12205400
1999-05-17,44.606983,45.949932,44.165916,45.811687,9906800
1999-05-18,45.76561,46.028934,45.08097,45.607616,9267800
1999-05-19,45.791955,46.265937,45.080982,46.239605,7985600
