종목,만기월,방향,구간,신호,제외,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),질 때 표본,최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,구간 시작일,구간 종료일
SPY,12,위,앞 절반,16,0,3.93,0.25,56.25,1.169,46.11,7,3.53,-2.9,1.58,0,0,4.31,예,1993-12-17,2008-12-19
SPY,12,위,뒤 절반,17,0,19.6,1.15,82.35,2.238,30.89,3,3.95,-1.93,1.38,0,0,4.29,예,2009-12-18,2025-12-19
SPY,12,위,최근 10년,10,0,9.46,0.95,80.0,16.822,5.61,2,2.93,-0.09,1.0,0,0,4.4,예,2016-12-16,2025-12-19
SPY,12,위,최근 5년,5,0,5.24,1.05,80.0,14.199,6.58,1,2.33,-0.09,0.9,0,0,4.4,아니오,2021-12-17,2025-12-19
QQQ,9,아래,전체,27,0,27.64,1.02,66.67,1.307,43.34,9,5.78,-5.0,2.65,0,1,4.85,예,1999-09-17,2025-09-19
QQQ,9,아래,앞 절반,13,0,14.53,1.12,69.23,0.968,50.82,4,5.78,-5.0,3.37,0,1,4.69,예,1999-09-17,2011-09-16
QQQ,9,아래,뒤 절반,14,0,13.11,0.94,64.29,2.082,32.45,5,4.77,-1.76,1.88,0,0,5.0,예,2012-09-21,2025-09-19
QQQ,9,아래,최근 10년,10,0,7.45,0.74,60.0,1.73,36.63,4,4.77,-1.76,2.13,0,0,5.0,예,2016-09-16,2025-09-19
QQQ,9,아래,최근 5년,5,0,8.06,1.61,80.0,2.504,28.53,1,4.77,-0.89,2.4,0,0,5.0,아니오,2021-09-17,2025-09-19
QQQ,12,위,전체,27,0,14.57,0.54,62.96,1.056,48.63,10,7.68,-5.0,2.53,0,1,4.19,예,1999-12-17,2025-12-19
QQQ,12,위,앞 절반,13,0,4.43,0.34,53.85,1.143,46.66,6,7.68,-5.0,3.26,0,1,4.08,예,1999-12-17,2011-12-16
QQQ,12,위,뒤 절반,14,0,10.14,0.72,71.43,1.207,45.32,4,3.66,-2.51,1.72,0,0,4.29,예,2012-12-21,2025-12-19
QQQ,12,위,최근 10년,10,0,7.94,0.79,70.0,1.622,38.14,3,3.66,-2.51,1.72,0,0,4.4,예,2016-12-16,2025-12-19
QQQ,12,위,최근 5년,5,0,3.22,0.64,80.0,0.57,63.68,1,3.12,-2.51,2.02,0,0,4.4,아니오,2021-12-17,2025-12-19
