종목,청산 요일,기준,구간,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%)
QQQ,금요일,close,-1,330,0,330,0.29,0.58,57.88,42.12,9.19,-10.65,3.08
QQQ,금요일,close,4,78,0,78,0.58,0.71,61.54,38.46,9.19,-7.16,2.83
QQQ,금요일,close,5,252,0,252,0.2,0.52,56.75,43.25,8.6,-10.65,3.15
SPY,금요일,close,-1,403,1,402,0.18,0.25,54.48,45.52,13.29,-11.16,2.26
SPY,금요일,close,4,93,0,93,0.33,0.4,60.22,39.78,13.29,-4.72,2.34
SPY,금요일,close,5,309,0,309,0.14,0.2,52.75,47.25,10.76,-11.16,2.24
DIA,금요일,close,-1,343,1,342,0.08,0.15,53.51,46.49,12.74,-12.14,2.37
DIA,금요일,close,4,81,0,81,0.19,0.38,60.49,39.51,9.63,-5.47,2.26
DIA,금요일,close,5,261,0,261,0.05,0.06,51.34,48.66,12.74,-12.14,2.41
KODEX 200,금요일,close,-1,286,0,286,0.31,0.53,59.79,40.21,18.62,-13.44,3.31
KODEX 200,금요일,close,3,5,0,5,0.68,0.29,80.0,20.0,5.28,-3.32,3.07
KODEX 200,금요일,close,4,4,0,4,0.28,0.29,75.0,25.0,0.7,-0.16,0.39
KODEX 200,금요일,close,5,42,0,42,-0.86,-0.28,47.62,52.38,6.31,-13.01,3.58
KODEX 200,금요일,close,6,235,0,235,0.51,0.66,61.28,38.72,18.62,-13.44,3.27
KODEX 200,목요일,close,-1,286,0,286,0.27,0.51,60.49,39.16,18.65,-19.62,3.23
KODEX 200,목요일,close,2,2,0,2,1.49,1.49,100.0,0.0,2.95,0.04,2.05
KODEX 200,목요일,close,3,6,0,6,-0.92,-0.12,50.0,50.0,1.08,-3.58,2.02
KODEX 200,목요일,close,4,40,0,40,-0.48,0.33,52.5,47.5,4.98,-10.13,2.86
KODEX 200,목요일,close,5,238,0,238,0.42,0.58,61.76,37.82,18.65,-19.62,3.31
