종목,월,방향,손절선(%),손절적용,구간,신호,제외,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),질 때 표본,최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,구간 시작일,구간 종료일
KODEX 코스닥150,1,아래,-5.0,가능,전체,11,0,7.6,0.69,45.45,1.681,37.29,6,9.6,-5.0,4.99,0,2,6.27,예,2016-01-20,2026-01-20
KODEX 코스닥150,1,아래,-5.0,가능,앞 절반,5,0,-2.27,-0.45,40.0,1.154,46.43,3,6.46,-5.0,4.52,0,1,6.8,아니오,2016-01-20,2020-01-20
KODEX 코스닥150,1,아래,-5.0,가능,뒤 절반,6,0,9.87,1.64,50.0,2.081,32.46,3,9.6,-5.0,5.57,0,1,5.83,아니오,2021-01-20,2026-01-20
KODEX 코스닥150,1,아래,-5.0,가능,최근 10년,10,0,8.72,0.87,50.0,1.489,40.17,5,9.6,-5.0,5.22,0,2,6.2,예,2017-01-20,2026-01-20
KODEX 코스닥150,1,아래,-5.0,가능,최근 5년,5,0,5.36,1.07,40.0,2.381,29.58,3,9.6,-5.0,6.02,0,1,5.6,아니오,2022-01-20,2026-01-20
KODEX 코스닥150,1,아래,-6.0,가능,전체,11,0,5.6,0.51,45.45,1.521,39.67,6,9.6,-6.0,5.23,0,2,6.27,예,2016-01-20,2026-01-20
KODEX 코스닥150,1,아래,-6.0,가능,앞 절반,5,0,-3.27,-0.65,40.0,1.047,48.85,3,6.46,-6.0,4.79,0,1,6.8,아니오,2016-01-20,2020-01-20
KODEX 코스닥150,1,아래,-6.0,가능,뒤 절반,6,0,8.87,1.48,50.0,1.875,34.78,3,9.6,-6.0,5.81,0,1,5.83,아니오,2021-01-20,2026-01-20
KODEX 코스닥150,1,아래,-6.0,가능,최근 10년,10,0,6.72,0.67,50.0,1.339,42.75,5,9.6,-6.0,5.48,0,2,6.2,예,2017-01-20,2026-01-20
KODEX 코스닥150,1,아래,-6.0,가능,최근 5년,5,0,4.36,0.87,40.0,2.146,31.79,3,9.6,-6.0,6.28,0,1,5.6,아니오,2022-01-20,2026-01-20
KODEX 코스닥150,1,아래,-7.0,가능,전체,11,0,7.03,0.64,45.45,1.632,37.99,6,9.6,-7.0,5.11,0,1,6.45,예,2016-01-20,2026-01-20
KODEX 코스닥150,1,아래,-7.0,가능,앞 절반,5,0,-0.84,-0.17,40.0,1.35,42.55,3,6.46,-3.7,4.2,0,0,7.2,아니오,2016-01-20,2020-01-20
