종목,월,방향,손절선(%),구간,신호,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),이길 때(%),질 때(%),질 때 표본,최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,구간 시작일,구간 종료일
KODEX 200,1,아래,-3.0,전체,24,9.78,0.41,41.67,1.769,34.61,3.69,-2.09,13,7.33,-3.0,3.47,0,7,6.0,예,2003-01-20,2026-01-20
KODEX 200,1,아래,-3.0,앞 절반,12,15.54,1.29,58.33,1.644,34.67,3.4,-2.07,4,7.33,-3.0,3.47,0,2,6.75,예,2003-01-20,2014-01-20
KODEX 200,1,아래,-3.0,뒤 절반,12,-5.75,-0.48,25.0,2.084,32.42,4.36,-2.09,9,6.77,-3.0,3.38,0,5,5.25,예,2015-01-20,2026-01-20
KODEX 200,1,아래,-3.0,최근 10년,10,-1.39,-0.14,30.0,2.109,32.17,4.36,-2.07,7,6.77,-3.0,3.61,0,4,5.2,예,2017-01-20,2026-01-20
KODEX 200,1,아래,-3.0,최근 5년,5,-0.45,-0.09,40.0,1.4,41.66,3.16,-2.26,3,5.76,-3.0,3.61,0,2,4.6,아니오,2022-01-20,2026-01-20
KODEX 200,1,아래,-4.0,전체,24,12.01,0.5,45.83,1.542,37.7,3.73,-2.42,12,7.33,-4.0,3.71,0,5,6.62,예,2003-01-20,2026-01-20
KODEX 200,1,아래,-4.0,앞 절반,12,13.54,1.13,58.33,1.324,39.44,3.4,-2.57,4,7.33,-4.0,3.71,0,2,6.83,예,2003-01-20,2014-01-20
KODEX 200,1,아래,-4.0,뒤 절반,12,-1.52,-0.13,33.33,1.837,35.24,4.31,-2.34,8,6.77,-4.0,3.77,0,3,6.42,예,2015-01-20,2026-01-20
KODEX 200,1,아래,-4.0,최근 10년,10,2.74,0.27,40.0,1.784,35.92,4.31,-2.41,6,6.77,-4.0,4.03,0,3,6.2,예,2017-01-20,2026-01-20
KODEX 200,1,아래,-4.0,최근 5년,5,-2.45,-0.49,40.0,1.081,48.05,3.16,-2.92,3,5.76,-4.0,4.03,0,2,5.4,아니오,2022-01-20,2026-01-20
KODEX 200,1,아래,-5.0,전체,24,13.02,0.54,45.83,1.598,36.89,3.73,-2.33,12,7.33,-5.47,3.77,1,2,6.83,예,2003-01-20,2026-01-20
KODEX 200,1,아래,-5.0,앞 절반,12,13.35,1.11,58.33,1.301,39.84,3.4,-2.61,4,7.33,-5.0,3.75,0,1,7.0,예,2003-01-20,2014-01-20
KODEX 200,1,아래,-5.0,뒤 절반,12,-0.33,-0.03,33.33,1.962,33.76,4.31,-2.2,8,6.77,-5.47,3.86,1,1,6.67,예,2015-01-20,2026-01-20
KODEX 200,1,아래,-5.0,최근 10년,10,3.94,0.39,40.0,1.944,33.97,4.31,-2.22,6,6.77,-5.47,4.11,1,1,6.5,예,2017-01-20,2026-01-20
KODEX 200,1,아래,-5.0,최근 5년,5,0.21,0.04,40.0,1.55,39.21,3.16,-2.04,3,5.76,-5.0,3.85,0,1,5.8,아니오,2022-01-20,2026-01-20
KODEX 200,1,아래,-6.0,전체,24,12.42,0.52,45.83,1.564,37.37,3.73,-2.39,12,7.33,-6.26,3.82,1,0,6.88,예,2003-01-20,2026-01-20
KODEX 200,1,아래,-6.0,앞 절반,12,12.92,1.08,58.33,1.249,40.76,3.4,-2.72,4,7.33,-5.43,3.82,0,0,7.0,예,2003-01-20,2014-01-20
KODEX 200,1,아래,-6.0,뒤 절반,12,-0.5,-0.04,33.33,1.943,33.97,4.31,-2.22,8,6.77,-6.26,3.9,1,0,6.75,예,2015-01-20,2026-01-20
KODEX 200,1,아래,-6.0,최근 10년,10,3.77,0.38,40.0,1.92,34.25,4.31,-2.24,6,6.77,-6.26,4.16,1,0,6.6,예,2017-01-20,2026-01-20
KODEX 200,1,아래,-6.0,최근 5년,5,-1.06,-0.21,40.0,1.285,43.77,3.16,-2.46,3,5.76,-6.26,4.28,1,0,6.0,아니오,2022-01-20,2026-01-20
KODEX 200,1,아래,-7.0,전체,24,11.68,0.49,45.83,1.525,37.95,3.73,-2.45,12,7.33,-7.0,3.88,0,1,6.88,예,2003-01-20,2026-01-20
KODEX 200,1,아래,-7.0,앞 절반,12,12.92,1.08,58.33,1.249,40.76,3.4,-2.72,4,7.33,-5.43,3.82,0,0,7.0,예,2003-01-20,2014-01-20
KODEX 200,1,아래,-7.0,뒤 절반,12,-1.24,-0.1,33.33,1.866,34.89,4.31,-2.31,8,6.77,-7.0,4.01,0,1,6.75,예,2015-01-20,2026-01-20
KODEX 200,1,아래,-7.0,최근 10년,10,3.03,0.3,40.0,1.82,35.46,4.31,-2.37,6,6.77,-7.0,4.29,0,1,6.6,예,2017-01-20,2026-01-20
KODEX 200,1,아래,-7.0,최근 5년,5,-1.79,-0.36,40.0,1.168,46.12,3.16,-2.71,3,5.76,-7.0,4.54,0,1,6.0,아니오,2022-01-20,2026-01-20
KODEX 200,1,아래,-8.0,전체,24,10.25,0.43,45.83,1.454,39.05,3.73,-2.57,12,7.33,-8.44,4.01,1,0,6.92,예,2003-01-20,2026-01-20
KODEX 200,1,아래,-8.0,앞 절반,12,12.92,1.08,58.33,1.249,40.76,3.4,-2.72,4,7.33,-5.43,3.82,0,0,7.0,예,2003-01-20,2014-01-20
KODEX 200,1,아래,-8.0,뒤 절반,12,-2.67,-0.22,33.33,1.731,36.61,4.31,-2.49,8,6.77,-8.44,4.25,1,0,6.83,예,2015-01-20,2026-01-20
KODEX 200,1,아래,-8.0,최근 10년,10,1.6,0.16,40.0,1.653,37.69,4.31,-2.61,6,6.77,-8.44,4.58,1,0,6.7,예,2017-01-20,2026-01-20
KODEX 200,1,아래,-8.0,최근 5년,5,-3.23,-0.65,40.0,0.993,50.18,3.16,-3.18,3,5.76,-8.44,5.08,1,0,6.2,아니오,2022-01-20,2026-01-20
KODEX 200,1,아래,-9.0,전체,24,9.68,0.4,45.83,1.428,39.47,3.73,-2.61,12,7.33,-9.0,4.06,0,1,6.96,예,2003-01-20,2026-01-20
KODEX 200,1,아래,-9.0,앞 절반,12,12.92,1.08,58.33,1.249,40.76,3.4,-2.72,4,7.33,-5.43,3.82,0,0,7.0,예,2003-01-20,2014-01-20
KODEX 200,1,아래,-9.0,뒤 절반,12,-3.24,-0.27,33.33,1.684,37.26,4.31,-2.56,8,6.77,-9.0,4.35,0,1,6.92,예,2015-01-20,2026-01-20
KODEX 200,1,아래,-9.0,최근 10년,10,1.03,0.1,40.0,1.596,38.53,4.31,-2.7,6,6.77,-9.0,4.7,0,1,6.8,예,2017-01-20,2026-01-20
KODEX 200,1,아래,-9.0,최근 5년,5,-3.79,-0.76,40.0,0.937,51.61,3.16,-3.37,3,5.76,-9.0,5.3,0,1,6.4,아니오,2022-01-20,2026-01-20
KODEX 200,1,아래,-10.0,전체,24,8.68,0.36,45.83,1.384,40.2,3.73,-2.7,12,7.33,-10.0,4.17,0,1,6.96,예,2003-01-20,2026-01-20
KODEX 200,1,아래,-10.0,앞 절반,12,12.92,1.08,58.33,1.249,40.76,3.4,-2.72,4,7.33,-5.43,3.82,0,0,7.0,예,2003-01-20,2014-01-20
KODEX 200,1,아래,-10.0,뒤 절반,12,-4.24,-0.35,33.33,1.605,38.38,4.31,-2.68,8,6.77,-10.0,4.54,0,1,6.92,예,2015-01-20,2026-01-20
KODEX 200,1,아래,-10.0,최근 10년,10,0.03,0.0,40.0,1.503,39.96,4.31,-2.87,6,6.77,-10.0,4.92,0,1,6.8,예,2017-01-20,2026-01-20
KODEX 200,1,아래,-10.0,최근 5년,5,-4.79,-0.96,40.0,0.853,53.96,3.16,-3.71,3,5.76,-10.0,5.69,0,1,6.4,아니오,2022-01-20,2026-01-20
KODEX 200,1,아래,무손절,전체,24,10.09,0.42,45.83,1.447,39.17,3.73,-2.58,12,7.33,-8.59,4.02,0,0,6.96,예,2003-01-20,2026-01-20
KODEX 200,1,아래,무손절,앞 절반,12,12.92,1.08,58.33,1.249,40.76,3.4,-2.72,4,7.33,-5.43,3.82,0,0,7.0,예,2003-01-20,2014-01-20
KODEX 200,1,아래,무손절,뒤 절반,12,-2.83,-0.24,33.33,1.718,36.79,4.31,-2.51,8,6.77,-8.59,4.28,0,0,6.92,예,2015-01-20,2026-01-20
KODEX 200,1,아래,무손절,최근 10년,10,1.44,0.14,40.0,1.637,37.92,4.31,-2.63,6,6.77,-8.59,4.61,0,0,6.8,예,2017-01-20,2026-01-20
KODEX 200,1,아래,무손절,최근 5년,5,-3.38,-0.68,40.0,0.977,50.58,3.16,-3.24,3,5.76,-8.59,5.14,0,0,6.4,아니오,2022-01-20,2026-01-20
KODEX 200,1,위,-3.0,전체,24,0.71,0.03,45.83,1.119,45.22,2.52,-2.25,12,8.59,-3.45,3.05,2,5,5.83,예,2003-01-20,2026-01-20
KODEX 200,1,위,-3.0,앞 절반,12,-9.36,-0.78,25.0,1.204,41.58,2.57,-2.13,8,5.43,-3.45,2.54,1,3,5.25,예,2003-01-20,2014-01-20
KODEX 200,1,위,-3.0,뒤 절반,12,10.07,0.84,66.67,1.004,49.9,2.51,-2.5,4,8.59,-3.42,3.4,1,2,6.42,예,2015-01-20,2026-01-20
KODEX 200,1,위,-3.0,최근 10년,10,5.8,0.58,60.0,1.054,48.7,2.63,-2.5,4,8.59,-3.42,3.68,1,2,6.2,예,2017-01-20,2026-01-20
KODEX 200,1,위,-3.0,최근 5년,5,6.14,1.23,60.0,1.815,35.52,3.24,-1.78,2,8.59,-3.0,4.37,0,1,5.8,아니오,2022-01-20,2026-01-20
KODEX 200,1,위,-4.0,전체,24,-0.06,-0.0,50.0,0.915,50.05,2.58,-2.82,11,8.59,-5.83,3.42,1,5,6.12,예,2003-01-20,2026-01-20
KODEX 200,1,위,-4.0,앞 절반,12,-7.55,-0.63,33.33,1.033,45.08,2.72,-2.64,7,5.43,-5.83,3.17,1,2,5.83,예,2003-01-20,2014-01-20
KODEX 200,1,위,-4.0,뒤 절반,12,7.49,0.62,66.67,0.798,55.62,2.51,-3.14,4,8.59,-4.0,3.68,0,3,6.42,예,2015-01-20,2026-01-20
KODEX 200,1,위,-4.0,최근 10년,10,3.22,0.32,60.0,0.838,54.42,2.63,-3.14,4,8.59,-4.0,3.98,0,3,6.2,예,2017-01-20,2026-01-20
KODEX 200,1,위,-4.0,최근 5년,5,5.14,1.03,60.0,1.418,41.36,3.24,-2.28,2,8.59,-4.0,4.62,0,1,5.8,아니오,2022-01-20,2026-01-20
KODEX 200,1,위,-5.0,전체,24,-4.57,-0.19,50.0,0.799,53.28,2.58,-3.23,11,8.59,-5.83,3.67,2,3,6.33,예,2003-01-20,2026-01-20
KODEX 200,1,위,-5.0,앞 절반,12,-9.93,-0.83,33.33,0.916,47.85,2.72,-2.97,7,5.43,-5.83,3.43,2,1,6.08,예,2003-01-20,2014-01-20
KODEX 200,1,위,-5.0,뒤 절반,12,5.35,0.45,66.67,0.682,59.45,2.51,-3.68,4,8.59,-5.0,3.94,0,2,6.58,예,2015-01-20,2026-01-20
KODEX 200,1,위,-5.0,최근 10년,10,1.08,0.11,60.0,0.716,58.28,2.63,-3.68,4,8.59,-5.0,4.25,0,2,6.4,예,2017-01-20,2026-01-20
KODEX 200,1,위,-5.0,최근 5년,5,4.14,0.83,60.0,1.163,46.23,3.24,-2.78,2,8.59,-5.0,4.91,0,1,5.8,아니오,2022-01-20,2026-01-20
KODEX 200,1,위,-6.0,전체,24,-8.37,-0.35,50.0,0.721,55.67,2.58,-3.57,11,8.59,-6.0,3.9,0,5,6.46,예,2003-01-20,2026-01-20
KODEX 200,1,위,-6.0,앞 절반,12,-11.73,-0.98,33.33,0.843,49.75,2.72,-3.23,7,5.43,-6.0,3.65,0,3,6.17,예,2003-01-20,2014-01-20
KODEX 200,1,위,-6.0,뒤 절반,12,3.35,0.28,66.67,0.6,62.49,2.51,-4.18,4,8.59,-6.0,4.2,0,2,6.75,예,2015-01-20,2026-01-20
KODEX 200,1,위,-6.0,최근 10년,10,-0.92,-0.09,60.0,0.63,61.35,2.63,-4.18,4,8.59,-6.0,4.53,0,2,6.6,예,2017-01-20,2026-01-20
KODEX 200,1,위,-6.0,최근 5년,5,3.14,0.63,60.0,0.986,50.36,3.24,-3.28,2,8.59,-6.0,5.22,0,1,6.2,아니오,2022-01-20,2026-01-20
KODEX 200,1,위,-7.0,전체,24,-12.49,-0.52,50.0,0.653,57.97,2.58,-3.95,11,8.59,-7.0,4.17,0,3,6.5,예,2003-01-20,2026-01-20
KODEX 200,1,위,-7.0,앞 절반,12,-14.08,-1.17,33.33,0.763,51.98,2.72,-3.57,7,5.43,-7.0,3.95,0,2,6.17,예,2003-01-20,2014-01-20
KODEX 200,1,위,-7.0,뒤 절반,12,1.58,0.13,66.67,0.543,64.81,2.51,-4.62,4,8.59,-7.0,4.45,0,1,6.83,예,2015-01-20,2026-01-20
KODEX 200,1,위,-7.0,최근 10년,10,-2.68,-0.27,60.0,0.57,63.7,2.63,-4.62,4,8.59,-7.0,4.79,0,1,6.7,예,2017-01-20,2026-01-20
KODEX 200,1,위,-7.0,최근 5년,5,2.14,0.43,60.0,0.855,53.89,3.24,-3.78,2,8.59,-7.0,5.54,0,1,6.2,아니오,2022-01-20,2026-01-20
KODEX 200,1,위,-8.0,전체,24,-15.49,-0.65,50.0,0.611,59.49,2.58,-4.22,11,8.59,-8.0,4.38,0,3,6.58,예,2003-01-20,2026-01-20
KODEX 200,1,위,-8.0,앞 절반,12,-16.08,-1.34,33.33,0.707,53.71,2.72,-3.85,7,5.43,-8.0,4.23,0,2,6.33,예,2003-01-20,2014-01-20
KODEX 200,1,위,-8.0,뒤 절반,12,0.58,0.05,66.67,0.515,66.01,2.51,-4.87,4,8.59,-8.0,4.6,0,1,6.83,예,2015-01-20,2026-01-20
KODEX 200,1,위,-8.0,최근 10년,10,-3.68,-0.37,60.0,0.541,64.91,2.63,-4.87,4,8.59,-8.0,4.96,0,1,6.7,예,2017-01-20,2026-01-20
KODEX 200,1,위,-8.0,최근 5년,5,1.14,0.23,60.0,0.756,56.96,3.24,-4.28,2,8.59,-8.0,5.89,0,1,6.2,아니오,2022-01-20,2026-01-20
KODEX 200,1,위,-9.0,전체,24,-10.09,-0.42,50.0,0.691,56.66,2.58,-3.73,11,8.59,-7.33,4.02,0,0,6.96,예,2003-01-20,2026-01-20
KODEX 200,1,위,-9.0,앞 절반,12,-12.92,-1.08,33.33,0.801,50.91,2.72,-3.4,7,5.43,-7.33,3.82,0,0,7.0,예,2003-01-20,2014-01-20
KODEX 200,1,위,-9.0,뒤 절반,12,2.83,0.24,66.67,0.582,63.21,2.51,-4.31,4,8.59,-6.77,4.28,0,0,6.92,예,2015-01-20,2026-01-20
KODEX 200,1,위,-9.0,최근 10년,10,-1.44,-0.14,60.0,0.611,62.08,2.63,-4.31,4,8.59,-6.77,4.61,0,0,6.8,예,2017-01-20,2026-01-20
KODEX 200,1,위,-9.0,최근 5년,5,3.38,0.68,60.0,1.023,49.42,3.24,-3.16,2,8.59,-5.76,5.14,0,0,6.4,아니오,2022-01-20,2026-01-20
KODEX 200,1,위,-10.0,전체,24,-10.09,-0.42,50.0,0.691,56.66,2.58,-3.73,11,8.59,-7.33,4.02,0,0,6.96,예,2003-01-20,2026-01-20
KODEX 200,1,위,-10.0,앞 절반,12,-12.92,-1.08,33.33,0.801,50.91,2.72,-3.4,7,5.43,-7.33,3.82,0,0,7.0,예,2003-01-20,2014-01-20
KODEX 200,1,위,-10.0,뒤 절반,12,2.83,0.24,66.67,0.582,63.21,2.51,-4.31,4,8.59,-6.77,4.28,0,0,6.92,예,2015-01-20,2026-01-20
KODEX 200,1,위,-10.0,최근 10년,10,-1.44,-0.14,60.0,0.611,62.08,2.63,-4.31,4,8.59,-6.77,4.61,0,0,6.8,예,2017-01-20,2026-01-20
KODEX 200,1,위,-10.0,최근 5년,5,3.38,0.68,60.0,1.023,49.42,3.24,-3.16,2,8.59,-5.76,5.14,0,0,6.4,아니오,2022-01-20,2026-01-20
KODEX 200,1,위,무손절,전체,24,-10.09,-0.42,50.0,0.691,56.66,2.58,-3.73,11,8.59,-7.33,4.02,0,0,6.96,예,2003-01-20,2026-01-20
KODEX 200,1,위,무손절,앞 절반,12,-12.92,-1.08,33.33,0.801,50.91,2.72,-3.4,7,5.43,-7.33,3.82,0,0,7.0,예,2003-01-20,2014-01-20
KODEX 200,1,위,무손절,뒤 절반,12,2.83,0.24,66.67,0.582,63.21,2.51,-4.31,4,8.59,-6.77,4.28,0,0,6.92,예,2015-01-20,2026-01-20
KODEX 200,1,위,무손절,최근 10년,10,-1.44,-0.14,60.0,0.611,62.08,2.63,-4.31,4,8.59,-6.77,4.61,0,0,6.8,예,2017-01-20,2026-01-20
KODEX 200,1,위,무손절,최근 5년,5,3.38,0.68,60.0,1.023,49.42,3.24,-3.16,2,8.59,-5.76,5.14,0,0,6.4,아니오,2022-01-20,2026-01-20
KODEX 200,2,아래,-3.0,전체,24,15.27,0.64,50.0,1.871,34.83,2.73,-1.46,12,9.49,-3.0,2.95,0,4,5.54,예,2003-02-20,2026-02-20
KODEX 200,2,아래,-3.0,앞 절반,12,-2.57,-0.21,41.67,1.136,46.81,2.21,-1.95,7,5.1,-3.0,2.63,0,3,5.5,예,2003-02-20,2014-02-20
KODEX 200,2,아래,-3.0,뒤 절반,12,17.83,1.49,58.33,3.977,20.09,3.11,-0.78,5,9.49,-3.0,3.12,0,1,5.58,예,2015-02-17,2026-02-20
KODEX 200,2,아래,-3.0,최근 10년,10,18.5,1.85,70.0,2.879,25.78,3.11,-1.08,3,9.49,-3.0,3.32,0,1,5.6,예,2017-02-20,2026-02-20
KODEX 200,2,아래,-3.0,최근 5년,5,5.25,1.05,80.0,0.688,59.26,2.06,-3.0,1,4.22,-3.0,2.7,0,1,5.4,아니오,2022-02-18,2026-02-20
KODEX 200,2,아래,-4.0,전체,24,19.28,0.8,54.17,2.017,33.14,2.56,-1.27,11,9.49,-4.13,2.84,1,0,5.79,예,2003-02-20,2026-02-20
KODEX 200,2,아래,-4.0,앞 절반,12,2.58,0.21,50.0,1.289,43.68,1.91,-1.48,6,5.1,-2.75,2.32,0,0,5.92,예,2003-02-20,2014-02-20
KODEX 200,2,아래,-4.0,뒤 절반,12,16.71,1.39,58.33,3.087,24.47,3.11,-1.01,5,9.49,-4.13,3.28,1,0,5.67,예,2015-02-17,2026-02-20
KODEX 200,2,아래,-4.0,최근 10년,10,17.38,1.74,70.0,2.136,31.89,3.11,-1.45,3,9.49,-4.13,3.51,1,0,5.7,예,2017-02-20,2026-02-20
KODEX 200,2,아래,-4.0,최근 5년,5,4.13,0.83,80.0,0.5,66.67,2.06,-4.13,1,4.22,-4.13,3.13,1,0,5.6,아니오,2022-02-18,2026-02-20
KODEX 200,2,아래,-5.0,전체,24,18.41,0.77,54.17,1.898,34.51,2.56,-1.35,11,9.49,-5.0,2.91,0,1,5.79,예,2003-02-20,2026-02-20
KODEX 200,2,아래,-5.0,앞 절반,12,2.58,0.21,50.0,1.289,43.68,1.91,-1.48,6,5.1,-2.75,2.32,0,0,5.92,예,2003-02-20,2014-02-20
KODEX 200,2,아래,-5.0,뒤 절반,12,15.83,1.32,58.33,2.63,27.55,3.11,-1.18,5,9.49,-5.0,3.42,0,1,5.67,예,2015-02-17,2026-02-20
KODEX 200,2,아래,-5.0,최근 10년,10,16.5,1.65,70.0,1.779,35.98,3.11,-1.75,3,9.49,-5.0,3.68,0,1,5.7,예,2017-02-20,2026-02-20
KODEX 200,2,아래,-5.0,최근 5년,5,3.25,0.65,80.0,0.413,70.8,2.06,-5.0,1,4.22,-5.0,3.48,0,1,5.6,아니오,2022-02-18,2026-02-20
KODEX 200,2,아래,-6.0,전체,24,17.41,0.73,54.17,1.778,36.0,2.56,-1.44,11,9.49,-6.0,3.0,0,1,5.79,예,2003-02-20,2026-02-20
KODEX 200,2,아래,-6.0,앞 절반,12,2.58,0.21,50.0,1.289,43.68,1.91,-1.48,6,5.1,-2.75,2.32,0,0,5.92,예,2003-02-20,2014-02-20
KODEX 200,2,아래,-6.0,뒤 절반,12,14.83,1.24,58.33,2.249,30.78,3.11,-1.38,5,9.49,-6.0,3.59,0,1,5.67,예,2015-02-17,2026-02-20
KODEX 200,2,아래,-6.0,최근 10년,10,15.5,1.55,70.0,1.494,40.1,3.11,-2.08,3,9.49,-6.0,3.89,0,1,5.7,예,2017-02-20,2026-02-20
KODEX 200,2,아래,-6.0,최근 5년,5,2.25,0.45,80.0,0.344,74.42,2.06,-6.0,1,4.22,-6.0,3.89,0,1,5.6,아니오,2022-02-18,2026-02-20
KODEX 200,2,아래,-7.0,전체,24,16.41,0.68,54.17,1.672,37.42,2.56,-1.53,11,9.49,-7.0,3.11,0,1,5.83,예,2003-02-20,2026-02-20
KODEX 200,2,아래,-7.0,앞 절반,12,2.58,0.21,50.0,1.289,43.68,1.91,-1.48,6,5.1,-2.75,2.32,0,0,5.92,예,2003-02-20,2014-02-20
KODEX 200,2,아래,-7.0,뒤 절반,12,13.83,1.15,58.33,1.964,33.73,3.11,-1.58,5,9.49,-7.0,3.78,0,1,5.75,예,2015-02-17,2026-02-20
KODEX 200,2,아래,-7.0,최근 10년,10,14.5,1.45,70.0,1.287,43.72,3.11,-2.41,3,9.49,-7.0,4.11,0,1,5.8,예,2017-02-20,2026-02-20
KODEX 200,2,아래,-7.0,최근 5년,5,1.25,0.25,80.0,0.295,77.24,2.06,-7.0,1,4.22,-7.0,4.31,0,1,5.8,아니오,2022-02-18,2026-02-20
KODEX 200,2,아래,-8.0,전체,24,15.41,0.64,54.17,1.578,38.79,2.56,-1.62,11,9.49,-8.0,3.22,0,1,5.83,예,2003-02-20,2026-02-20
KODEX 200,2,아래,-8.0,앞 절반,12,2.58,0.21,50.0,1.289,43.68,1.91,-1.48,6,5.1,-2.75,2.32,0,0,5.92,예,2003-02-20,2014-02-20
KODEX 200,2,아래,-8.0,뒤 절반,12,12.83,1.07,58.33,1.744,36.45,3.11,-1.78,5,9.49,-8.0,3.98,0,1,5.75,예,2015-02-17,2026-02-20
KODEX 200,2,아래,-8.0,최근 10년,10,13.5,1.35,70.0,1.131,46.92,3.11,-2.75,3,9.49,-8.0,4.34,0,1,5.8,예,2017-02-20,2026-02-20
KODEX 200,2,아래,-8.0,최근 5년,5,0.25,0.05,80.0,0.258,79.5,2.06,-8.0,1,4.22,-8.0,4.73,0,1,5.8,아니오,2022-02-18,2026-02-20
KODEX 200,2,아래,-9.0,전체,24,14.41,0.6,54.17,1.494,40.09,2.56,-1.71,11,9.49,-9.0,3.34,0,1,5.83,예,2003-02-20,2026-02-20
KODEX 200,2,아래,-9.0,앞 절반,12,2.58,0.21,50.0,1.289,43.68,1.91,-1.48,6,5.1,-2.75,2.32,0,0,5.92,예,2003-02-20,2014-02-20
KODEX 200,2,아래,-9.0,뒤 절반,12,11.83,0.99,58.33,1.568,38.95,3.11,-1.98,5,9.49,-9.0,4.2,0,1,5.75,예,2015-02-17,2026-02-20
KODEX 200,2,아래,-9.0,최근 10년,10,12.5,1.25,70.0,1.009,49.78,3.11,-3.08,3,9.49,-9.0,4.59,0,1,5.8,예,2017-02-20,2026-02-20
KODEX 200,2,아래,-9.0,최근 5년,5,-0.75,-0.15,80.0,0.229,81.36,2.06,-9.0,1,4.22,-9.0,5.16,0,1,5.8,아니오,2022-02-18,2026-02-20
KODEX 200,2,아래,-10.0,전체,24,13.41,0.56,54.17,1.419,41.34,2.56,-1.8,11,9.49,-10.0,3.47,0,1,5.83,예,2003-02-20,2026-02-20
KODEX 200,2,아래,-10.0,앞 절반,12,2.58,0.21,50.0,1.289,43.68,1.91,-1.48,6,5.1,-2.75,2.32,0,0,5.92,예,2003-02-20,2014-02-20
KODEX 200,2,아래,-10.0,뒤 절반,12,10.83,0.9,58.33,1.424,41.26,3.11,-2.18,5,9.49,-10.0,4.42,0,1,5.75,예,2015-02-17,2026-02-20
KODEX 200,2,아래,-10.0,최근 10년,10,11.5,1.15,70.0,0.91,52.35,3.11,-3.41,3,9.49,-10.0,4.84,0,1,5.8,예,2017-02-20,2026-02-20
KODEX 200,2,아래,-10.0,최근 5년,5,-1.75,-0.35,80.0,0.206,82.9,2.06,-10.0,1,4.22,-10.0,5.59,0,1,5.8,아니오,2022-02-18,2026-02-20
KODEX 200,2,아래,무손절,전체,24,14.35,0.6,54.17,1.489,40.17,2.56,-1.72,11,9.49,-9.06,3.35,0,0,5.88,예,2003-02-20,2026-02-20
KODEX 200,2,아래,무손절,앞 절반,12,2.58,0.21,50.0,1.289,43.68,1.91,-1.48,6,5.1,-2.75,2.32,0,0,5.92,예,2003-02-20,2014-02-20
KODEX 200,2,아래,무손절,뒤 절반,12,11.77,0.98,58.33,1.558,39.09,3.11,-1.99,5,9.49,-9.06,4.21,0,0,5.83,예,2015-02-17,2026-02-20
KODEX 200,2,아래,무손절,최근 10년,10,12.44,1.24,70.0,1.002,49.95,3.11,-3.1,3,9.49,-9.06,4.6,0,0,5.9,예,2017-02-20,2026-02-20
KODEX 200,2,아래,무손절,최근 5년,5,-0.81,-0.16,80.0,0.228,81.46,2.06,-9.06,1,4.22,-9.06,5.19,0,0,6.0,아니오,2022-02-18,2026-02-20
KODEX 200,2,위,-3.0,전체,24,-8.57,-0.36,45.83,0.813,55.16,1.72,-2.11,13,9.06,-3.39,2.77,3,5,5.42,예,2003-02-20,2026-02-20
KODEX 200,2,위,-3.0,앞 절반,12,-1.84,-0.15,50.0,0.829,54.67,1.48,-1.79,6,2.75,-3.39,2.12,2,1,5.75,예,2003-02-20,2014-02-20
KODEX 200,2,위,-3.0,뒤 절반,12,-6.73,-0.56,41.67,0.836,54.47,1.99,-2.39,7,9.06,-3.1,3.39,1,4,5.08,예,2015-02-17,2026-02-20
KODEX 200,2,위,-3.0,최근 10년,10,-7.4,-0.74,30.0,1.299,43.49,3.1,-2.39,7,9.06,-3.1,3.72,1,4,5.0,예,2017-02-20,2026-02-20
KODEX 200,2,위,-3.0,최근 5년,5,-0.05,-0.01,20.0,3.978,20.09,9.06,-2.28,4,9.06,-3.0,5.22,0,3,5.4,아니오,2022-02-18,2026-02-20
KODEX 200,2,위,-4.0,전체,24,-9.58,-0.4,45.83,0.784,56.06,1.72,-2.19,13,9.06,-4.0,2.86,0,4,5.67,예,2003-02-20,2026-02-20
KODEX 200,2,위,-4.0,앞 절반,12,-3.52,-0.29,50.0,0.717,58.25,1.48,-2.07,6,2.75,-4.0,2.35,0,2,5.83,예,2003-02-20,2014-02-20
KODEX 200,2,위,-4.0,뒤 절반,12,-6.06,-0.51,41.67,0.871,53.46,1.99,-2.29,7,9.06,-4.0,3.41,0,2,5.5,예,2015-02-17,2026-02-20
KODEX 200,2,위,-4.0,최근 10년,10,-6.73,-0.67,30.0,1.354,42.49,3.1,-2.29,7,9.06,-4.0,3.74,0,2,5.5,예,2017-02-20,2026-02-20
KODEX 200,2,위,-4.0,최근 5년,5,1.04,0.21,20.0,4.516,18.13,9.06,-2.01,4,9.06,-4.0,5.14,0,1,6.0,아니오,2022-02-18,2026-02-20
KODEX 200,2,위,-5.0,전체,24,-9.76,-0.41,45.83,0.779,56.21,1.72,-2.2,13,9.06,-5.0,2.92,0,2,5.71,예,2003-02-20,2026-02-20
KODEX 200,2,위,-5.0,앞 절반,12,-2.47,-0.21,50.0,0.783,56.1,1.48,-1.9,6,2.75,-5.0,2.3,0,1,5.92,예,2003-02-20,2014-02-20
KODEX 200,2,위,-5.0,뒤 절반,12,-7.28,-0.61,41.67,0.809,55.29,1.99,-2.46,7,9.06,-5.0,3.53,0,1,5.5,예,2015-02-17,2026-02-20
