종목,월,방향,손절선(%),진입일,진입가,청산일,보유일,청산가,수익률(%),청산 사유
KODEX 200,1,아래,-3.0,2003-01-20,8190.0,2003-01-30,8,7590.0,7.33,기한청산
KODEX 200,1,아래,-3.0,2004-01-20,11450.0,2004-01-30,5,11310.0,1.22,기한청산
KODEX 200,1,아래,-3.0,2005-01-20,12020.0,2005-01-31,7,12270.0,-2.08,기한청산
KODEX 200,1,아래,-3.0,2006-01-20,17480.0,2006-01-27,5,18004.0,-3.0,장중손절
KODEX 200,1,아래,-3.0,2007-01-19,17980.0,2007-01-31,8,18015.0,-0.19,기한청산
KODEX 200,1,아래,-3.0,2008-01-18,22480.0,2008-01-31,9,21240.0,5.52,기한청산
KODEX 200,1,아래,-3.0,2009-01-20,14925.0,2009-01-28,4,15373.0,-3.0,장중손절
KODEX 200,1,아래,-3.0,2010-01-20,22835.0,2010-01-29,7,21385.0,6.35,기한청산
KODEX 200,1,아래,-3.0,2011-01-20,28150.0,2011-01-31,7,27775.0,1.33,기한청산
KODEX 200,1,아래,-3.0,2012-01-20,26100.0,2012-01-31,5,26100.0,-0.0,기한청산
KODEX 200,1,아래,-3.0,2013-01-18,26405.0,2013-01-31,9,26040.0,1.38,기한청산
KODEX 200,1,아래,-3.0,2014-01-20,25705.0,2014-01-29,7,25530.0,0.68,기한청산
KODEX 200,1,아래,-3.0,2015-01-20,25015.0,2015-01-30,8,25355.0,-1.36,기한청산
KODEX 200,1,아래,-3.0,2016-01-20,22860.0,2016-01-25,3,23546.0,-3.0,장중손절
KODEX 200,1,아래,-3.0,2017-01-20,27090.0,2017-01-31,5,27240.0,-0.55,기한청산
KODEX 200,1,아래,-3.0,2018-01-19,33320.0,2018-01-31,8,33705.0,-1.16,기한청산
KODEX 200,1,아래,-3.0,2019-01-18,27810.0,2019-01-28,6,28644.0,-3.0,장중손절
KODEX 200,1,아래,-3.0,2020-01-20,30960.0,2020-01-31,7,28865.0,6.77,기한청산
KODEX 200,1,아래,-3.0,2021-01-20,42900.0,2021-01-25,3,44187.0,-3.0,장중손절
KODEX 200,1,아래,-3.0,2022-01-20,38465.0,2022-01-28,6,36250.0,5.76,기한청산
KODEX 200,1,아래,-3.0,2023-01-20,32045.0,2023-01-26,2,33006.0,-3.0,장중손절
KODEX 200,1,아래,-3.0,2024-01-19,33570.0,2024-01-31,8,33830.0,-0.77,기한청산
KODEX 200,1,아래,-3.0,2025-01-20,33635.0,2025-01-31,5,33445.0,0.56,기한청산
KODEX 200,1,아래,-3.0,2026-01-20,71190.0,2026-01-22,2,73326.0,-3.0,장중손절
KODEX 200,1,아래,-4.0,2003-01-20,8190.0,2003-01-30,8,7590.0,7.33,기한청산
KODEX 200,1,아래,-4.0,2004-01-20,11450.0,2004-01-30,5,11310.0,1.22,기한청산
KODEX 200,1,아래,-4.0,2005-01-20,12020.0,2005-01-31,7,12270.0,-2.08,기한청산
KODEX 200,1,아래,-4.0,2006-01-20,17480.0,2006-01-27,5,18179.0,-4.0,장중손절
KODEX 200,1,아래,-4.0,2007-01-19,17980.0,2007-01-31,8,18015.0,-0.19,기한청산
KODEX 200,1,아래,-4.0,2008-01-18,22480.0,2008-01-31,9,21240.0,5.52,기한청산
KODEX 200,1,아래,-4.0,2009-01-20,14925.0,2009-01-29,5,15522.0,-4.0,장중손절
KODEX 200,1,아래,-4.0,2010-01-20,22835.0,2010-01-29,7,21385.0,6.35,기한청산
KODEX 200,1,아래,-4.0,2011-01-20,28150.0,2011-01-31,7,27775.0,1.33,기한청산
KODEX 200,1,아래,-4.0,2012-01-20,26100.0,2012-01-31,5,26100.0,-0.0,기한청산
KODEX 200,1,아래,-4.0,2013-01-18,26405.0,2013-01-31,9,26040.0,1.38,기한청산
KODEX 200,1,아래,-4.0,2014-01-20,25705.0,2014-01-29,7,25530.0,0.68,기한청산
KODEX 200,1,아래,-4.0,2015-01-20,25015.0,2015-01-30,8,25355.0,-1.36,기한청산
KODEX 200,1,아래,-4.0,2016-01-20,22860.0,2016-01-29,7,23525.0,-2.91,기한청산
KODEX 200,1,아래,-4.0,2017-01-20,27090.0,2017-01-31,5,27240.0,-0.55,기한청산
KODEX 200,1,아래,-4.0,2018-01-19,33320.0,2018-01-31,8,33705.0,-1.16,기한청산
KODEX 200,1,아래,-4.0,2019-01-18,27810.0,2019-01-30,8,28922.0,-4.0,장중손절
KODEX 200,1,아래,-4.0,2020-01-20,30960.0,2020-01-31,7,28865.0,6.77,기한청산
KODEX 200,1,아래,-4.0,2021-01-20,42900.0,2021-01-29,7,41125.0,4.14,기한청산
KODEX 200,1,아래,-4.0,2022-01-20,38465.0,2022-01-28,6,36250.0,5.76,기한청산
KODEX 200,1,아래,-4.0,2023-01-20,32045.0,2023-01-27,3,33327.0,-4.0,장중손절
KODEX 200,1,아래,-4.0,2024-01-19,33570.0,2024-01-31,8,33830.0,-0.77,기한청산
KODEX 200,1,아래,-4.0,2025-01-20,33635.0,2025-01-31,5,33445.0,0.56,기한청산
KODEX 200,1,아래,-4.0,2026-01-20,71190.0,2026-01-27,5,74038.0,-4.0,장중손절
KODEX 200,1,아래,-5.0,2003-01-20,8190.0,2003-01-30,8,7590.0,7.33,기한청산
KODEX 200,1,아래,-5.0,2004-01-20,11450.0,2004-01-30,5,11310.0,1.22,기한청산
