Date,Value
2010-01-04,1000.0
2010-01-05,1005.86
2010-01-06,1020.16
2010-01-07,1010.69
2010-01-08,1017.34
2010-01-11,1014.5
2010-01-12,1008.16
2010-01-13,1001.17
2010-01-14,1017.97
2010-01-15,1036.55
2010-01-18,1040.45
2010-01-19,1027.95
2010-01-20,1017.07
2010-01-21,1027.1
2010-01-22,1017.11
2010-01-25,992.53
2010-01-26,970.52
2010-01-27,957.69
2010-01-28,960.89
2010-01-29,922.07
2010-02-01,931.5
2010-02-02,938.11
2010-02-03,958.96
2010-02-04,957.03
2010-02-05,917.86
2010-02-08,895.24
2010-02-09,906.12
2010-02-10,905.6
2010-02-11,917.43
2010-02-12,926.63
2010-02-16,936.02
2010-02-17,947.93
2010-02-18,939.97
2010-02-19,920.56
2010-02-22,934.25
2010-02-23,936.34
2010-02-24,935.42
2010-02-25,921.03
2010-02-26,928.29
2010-03-02,932.71
2010-03-03,939.03
2010-03-04,935.35
2010-03-05,944.25
2010-03-08,956.14
2010-03-09,956.84
2010-03-10,955.27
2010-03-11,950.78
2010-03-12,951.97
2010-03-15,949.46
2010-03-16,953.73
2010-03-17,959.28
2010-03-18,960.85
2010-03-19,969.32
2010-03-22,969.62
2010-03-23,969.15
2010-03-24,962.44
2010-03-25,965.93
2010-03-26,971.53
2010-03-29,959.16
2010-03-30,960.08
2010-03-31,957.81
2010-04-01,965.08
2010-04-02,955.87
2010-04-05,937.79
2010-04-06,939.56
2010-04-07,944.13
2010-04-08,952.15
2010-04-09,951.6
2010-04-12,943.3
2010-04-13,942.83
2010-04-14,947.83
2010-04-15,945.45
2010-04-16,946.07
2010-04-19,936.04
2010-04-20,954.25
2010-04-21,965.06
2010-04-22,967.08
2010-04-23,967.59
2010-04-26,969.4
2010-04-27,973.83
2010-04-28,973.33
2010-04-29,976.67
2010-04-30,985.47
2010-05-03,975.07
2010-05-04,974.76
2010-05-06,957.3
2010-05-07,943.7
2010-05-10,967.73
2010-05-11,965.81
2010-05-12,965.33
2010-05-13,988.67
2010-05-14,994.62
2010-05-17,964.37
2010-05-18,960.25
2010-05-19,955.26
2010-05-20,917.8
2010-05-24,908.36
2010-05-25,866.63
2010-05-26,889.95
2010-05-27,907.59
2010-05-28,919.42
2010-05-31,939.54
2010-06-01,934.2
2010-06-03,945.81
2010-06-04,940.84
2010-06-07,921.36
2010-06-08,935.59
2010-06-09,932.69
2010-06-10,942.96
2010-06-11,939.94
2010-06-14,943.12
2010-06-15,946.85
2010-06-16,948.66
2010-06-17,948.5
2010-06-18,950.89
2010-06-21,958.03
2010-06-22,953.9
2010-06-23,948.73
2010-06-24,960.61
2010-06-25,957.69
2010-06-28,960.55
2010-06-29,933.88
2010-06-30,943.44
2010-07-01,941.86
2010-07-02,930.54
2010-07-05,932.51
2010-07-06,938.08
2010-07-07,937.52
2010-07-08,941.45
2010-07-09,948.08
2010-07-12,956.57
2010-07-13,957.54
2010-07-14,960.18
2010-07-15,966.13
2010-07-16,961.15
2010-07-19,957.05
2010-07-20,959.29
2010-07-21,953.18
2010-07-22,926.02
2010-07-23,921.79
2010-07-26,933.91
2010-07-27,931.28
2010-07-28,929.08
2010-07-29,920.6
2010-07-30,918.99
2010-08-02,919.45
2010-08-03,919.11
2010-08-04,912.32
2010-08-05,904.34
2010-08-06,908.93
2010-08-09,918.47
2010-08-10,916.44
2010-08-11,902.32
2010-08-12,894.39
2010-08-13,907.64
2010-08-16,903.51
2010-08-17,908.23
2010-08-18,909.2
2010-08-19,914.58
2010-08-20,913.86
2010-08-23,907.17
2010-08-24,902.7
2010-08-25,892.71
2010-08-26,889.53
2010-08-27,884.36
2010-08-30,892.28
2010-08-31,889.81
2010-09-01,901.19
2010-09-02,909.5
2010-09-03,924.38
2010-09-06,933.05
2010-09-07,924.65
2010-09-08,921.35
2010-09-09,930.62
2010-09-10,937.3
2010-09-13,934.37
2010-09-14,935.27
2010-09-15,935.69
2010-09-16,932.51
2010-09-17,936.77
2010-09-20,936.34
2010-09-24,940.22
2010-09-27,944.87
2010-09-28,951.69
2010-09-29,954.08
2010-09-30,963.37
2010-10-01,968.07
2010-10-04,964.24
2010-10-05,964.34
2010-10-06,970.88
2010-10-07,966.78
2010-10-08,965.5
2010-10-11,963.92
2010-10-12,957.69
2010-10-13,970.87
2010-10-14,981.61
2010-10-15,991.23
2010-10-18,1004.07
2010-10-19,1001.69
2010-10-20,1014.27
2010-10-21,1017.02
2010-10-22,1017.58
2010-10-25,1020.31
2010-10-26,1020.26
2010-10-27,1025.26
2010-10-28,1021.29
2010-10-29,1019.44
2010-11-01,1023.16
2010-11-02,1014.99
2010-11-03,1021.16
2010-11-04,1037.07
2010-11-05,1028.95
2010-11-08,1027.54
2010-11-09,1022.95
2010-11-10,1028.17
2010-11-11,1016.88
2010-11-12,988.59
2010-11-15,981.99
2010-11-16,981.45
2010-11-17,987.61
2010-11-18,1004.25
2010-11-19,1011.8
2010-11-22,1009.5
2010-11-23,999.11
2010-11-24,989.22
2010-11-25,991.06
2010-11-26,963.04
2010-11-29,963.94
2010-11-30,971.73
2010-12-01,979.59
2010-12-02,988.14
2010-12-03,975.99
2010-12-06,975.38
2010-12-07,982.26
2010-12-08,980.46
2010-12-09,985.78
2010-12-10,991.84
2010-12-13,1004.01
2010-12-14,1007.05
2010-12-15,1006.72
2010-12-16,999.83
2010-12-17,996.55
2010-12-20,971.49
2010-12-21,987.43
2010-12-22,983.6
2010-12-23,978.78
