Date,Value
2018-01-30,8014.47
2018-01-31,7928.25
2018-02-01,7992.67
2018-02-02,8113.3
2018-02-05,8251.04
2018-02-06,8280.69
2018-02-07,8195.48
2018-02-08,8234.85
2018-02-09,8285.0
2018-02-12,8185.38
2018-02-13,8182.48
2018-02-14,8070.24
2018-02-19,7909.91
2018-02-20,8012.44
2018-02-21,8060.5
2018-02-22,8173.2
2018-02-23,8092.95
2018-02-26,8019.94
2018-02-27,7978.18
2018-02-28,8161.91
2018-03-02,8125.74
2018-03-05,8152.76
2018-03-06,8058.15
2018-03-07,7955.48
2018-03-08,7978.89
2018-03-09,7958.73
2018-03-12,7888.93
2018-03-13,7930.55
2018-03-14,7885.35
2018-03-15,7891.0
2018-03-16,7915.61
2018-03-19,7985.14
2018-03-20,7949.93
2018-03-21,7995.23
2018-03-22,7980.15
2018-03-23,8129.6
2018-03-26,8108.98
2018-03-27,7955.67
2018-03-28,7987.07
2018-03-29,7894.83
2018-03-30,7867.56
2018-04-02,7757.53
2018-04-03,7746.78
2018-04-04,7806.84
2018-04-05,7823.21
2018-04-06,7953.83
2018-04-09,7921.34
2018-04-10,7916.46
2018-04-11,7923.18
2018-04-12,7972.41
2018-04-13,7975.51
2018-04-16,8035.86
2018-04-17,7936.55
2018-04-18,7951.51
2018-04-19,7862.55
2018-04-20,7944.85
2018-04-23,7966.71
2018-04-24,8103.17
2018-04-25,8160.79
2018-04-26,8138.45
2018-04-27,8081.62
2018-04-30,7962.53
2018-05-02,8082.37
2018-05-03,8086.19
2018-05-04,8106.57
2018-05-08,8087.83
2018-05-09,8171.28
2018-05-10,8030.96
2018-05-11,7990.42
2018-05-14,7969.92
2018-05-15,8055.23
2018-05-16,8116.08
2018-05-17,8161.24
2018-05-18,8114.37
2018-05-21,8218.1
2018-05-23,8145.52
2018-05-24,8137.88
2018-05-25,8113.9
2018-05-28,8061.82
2018-05-29,8113.15
2018-05-30,8156.36
2018-05-31,8109.2
2018-06-01,8084.59
2018-06-04,8036.0
2018-06-05,8014.24
2018-06-07,7990.17
2018-06-08,8085.34
2018-06-11,8085.66
2018-06-12,8121.19
2018-06-14,8211.9
2018-06-15,8414.97
2018-06-18,8534.97
2018-06-19,8620.15
2018-06-20,8549.36
2018-06-21,8642.14
2018-06-22,8576.21
2018-06-25,8734.61
2018-06-26,8702.75
2018-06-27,8751.58
2018-06-28,8856.41
2018-06-29,8706.44
2018-07-02,8777.62
2018-07-03,8756.77
2018-07-04,8714.22
2018-07-05,8759.65
2018-07-06,8724.99
2018-07-09,8673.56
2018-07-10,8731.97
2018-07-11,8790.66
2018-07-12,8894.55
2018-07-13,8863.28
2018-07-16,8925.56
2018-07-17,8867.31
2018-07-18,8989.44
2018-07-19,9005.62
2018-07-20,9021.54
2018-07-23,8970.8
2018-07-24,9057.04
2018-07-25,8894.41
2018-07-26,8810.3
2018-07-27,8742.18
2018-07-30,8804.57
2018-07-31,8782.53
2018-08-01,8811.0
2018-08-02,8885.03
2018-08-03,8928.3
2018-08-06,8865.2
2018-08-07,8856.63
2018-08-08,8800.21
2018-08-09,8774.93
2018-08-10,8943.97
2018-08-13,9025.09
2018-08-14,8943.07
2018-08-16,8959.59
2018-08-17,8882.27
2018-08-20,8848.67
2018-08-21,8786.84
2018-08-22,8785.48
2018-08-23,8827.28
2018-08-24,8780.23
2018-08-27,8708.96
2018-08-28,8654.34
2018-08-29,8662.4
2018-08-30,8649.1
2018-08-31,8707.52
2018-09-03,8656.85
2018-09-04,8734.54
2018-09-05,8822.34
2018-09-06,8870.93
2018-09-07,8844.19
2018-09-10,8962.67
2018-09-11,8899.03
2018-09-12,8950.42
2018-09-13,8864.05
2018-09-14,8761.27
2018-09-17,8919.95
2018-09-18,8869.56
2018-09-19,8822.34
2018-09-20,8822.46
2018-09-21,8740.33
2018-09-27,8710.96
2018-09-28,8649.48
2018-10-01,8690.86
2018-10-02,8797.76
2018-10-04,8972.61
2018-10-05,8973.27
2018-10-08,9027.69
2018-10-10,9045.05
2018-10-11,9208.07
2018-10-12,9016.32
2018-10-15,9051.53
2018-10-16,8963.65
2018-10-17,8910.57
2018-10-18,9061.14
2018-10-19,9010.63
2018-10-22,8955.97
2018-10-23,9098.54
2018-10-24,9015.29
2018-10-25,9106.42
2018-10-26,9169.3
2018-10-29,9173.2
2018-10-30,9132.4
2018-10-31,9142.55
2018-11-01,9105.31
2018-11-02,8849.25
2018-11-05,8891.71
2018-11-06,8898.17
2018-11-07,8891.31
2018-11-08,8784.58
2018-11-09,8959.79
2018-11-12,9066.93
2018-11-13,9051.25
2018-11-14,9072.84
2018-11-15,8992.32
2018-11-16,8982.42
2018-11-19,8973.48
2018-11-20,8943.93
2018-11-21,9008.53
2018-11-22,8988.36
2018-11-23,9004.6
2018-11-26,8984.14
2018-11-27,8996.49
2018-11-28,8948.87
2018-11-29,8841.98
2018-11-30,8856.42
2018-12-03,8694.31
2018-12-04,8636.23
2018-12-05,8748.48
2018-12-06,8854.61
2018-12-07,8834.63
2018-12-10,8955.1
2018-12-11,9010.88
2018-12-12,8978.13
2018-12-13,8908.06
2018-12-14,9011.87
2018-12-17,9022.14
2018-12-18,9011.13
2018-12-19,8920.15
2018-12-20,8973.08
2018-12-21,8915.36
2018-12-24,8955.86
2018-12-26,8972.85
2018-12-27,8885.14
2018-12-28,8822.49
2019-01-02,8870.41
2019-01-03,9006.79
2019-01-04,8965.04
2019-01-07,8850.87
2019-01-08,8944.98
2019-01-09,8917.17
2019-01-10,8865.24
2019-01-11,8831.53
2019-01-14,8934.84
2019-01-15,8904.21
2019-01-16,8884.25
2019-01-17,8930.0
2019-01-18,8928.5
2019-01-21,9016.67
2019-01-22,9070.1
2019-01-23,9023.6
2019-01-24,9039.33
2019-01-25,8915.01
2019-01-28,8862.24
2019-01-29,8846.19
2019-01-30,8838.95
2019-01-31,8778.58
2019-02-01,8879.44
2019-02-07,8954.51
2019-02-08,8959.66
2019-02-11,8970.2
2019-02-12,8965.01
2019-02-13,8930.98
2019-02-14,8993.03
2019-02-15,9051.19
2019-02-18,8996.21
2019-02-19,9040.7
2019-02-20,8961.82
2019-02-21,8991.97
2019-02-22,8990.97
2019-02-25,8915.84
2019-02-26,8882.06
2019-02-27,8908.76
2019-02-28,8977.42
2019-03-04,8994.81
2019-03-05,8997.11
2019-03-06,9054.24
2019-03-07,9051.64
2019-03-08,9174.06
2019-03-11,9136.69
2019-03-12,9074.99
2019-03-13,9120.72
2019-03-14,9154.22
2019-03-15,9199.78
2019-03-18,9118.6
2019-03-19,9093.7
2019-03-20,9082.08
2019-03-21,9048.16
2019-03-22,9076.95
2019-03-25,9154.19
2019-03-26,9138.88
2019-03-27,9157.02
2019-03-28,9193.11
2019-03-29,9177.06
2019-04-01,9155.21
2019-04-02,9196.73
2019-04-03,9166.57
2019-04-04,9194.16
2019-04-05,9204.49
2019-04-08,9322.15
2019-04-09,9287.05
2019-04-10,9246.55
2019-04-11,9239.81
2019-04-12,9263.81
2019-04-15,9156.4
2019-04-16,9199.19
2019-04-17,9181.22
2019-04-18,9210.83
2019-04-19,9210.87
2019-04-22,9298.2
2019-04-23,9299.8
2019-04-24,9437.8
2019-04-25,9609.8
2019-04-26,9605.94
2019-04-29,9586.78
2019-04-30,9757.97
2019-05-02,9696.61
2019-05-03,9769.49
2019-05-07,9719.9
2019-05-08,9761.31
2019-05-09,9938.08
2019-05-10,9895.47
2019-05-13,10064.18
2019-05-14,10091.78
2019-05-15,10084.85
2019-05-16,10128.05
2019-05-17,10189.66
2019-05-20,10188.99
2019-05-21,10197.85
