Date,Value
2023-11-13,8819.31
2023-11-14,8235.04
2023-11-15,7888.77
2023-11-16,7970.9
2023-11-17,8378.43
2023-11-20,7922.18
2023-11-21,7977.96
2023-11-22,8025.56
2023-11-23,7965.86
2023-11-24,8094.92
2023-11-27,8178.96
2023-11-28,7925.53
2023-11-29,7795.55
2023-11-30,7559.62
2023-12-01,7656.19
2023-12-04,7599.19
2023-12-05,7970.4
2023-12-06,7758.42
2023-12-07,7960.41
2023-12-08,7426.22
2023-12-11,7308.76
2023-12-12,7260.9
2023-12-13,7399.73
2023-12-14,7083.38
2023-12-15,7113.04
2023-12-18,6862.56
2023-12-19,6671.39
2023-12-20,6622.68
2023-12-21,6757.08
2023-12-22,6904.23
2023-12-26,6976.82
2023-12-27,6689.26
2023-12-28,6544.44
2024-01-02,6543.89
2024-01-03,6749.97
2024-01-04,6870.8
2024-01-05,6618.49
2024-01-08,6700.68
2024-01-09,6551.84
2024-01-10,6804.32
2024-01-11,6625.02
2024-01-12,6869.46
2024-01-15,7095.5
2024-01-16,7115.03
2024-01-17,7491.54
2024-01-18,7366.73
2024-01-19,7540.6
2024-01-22,7694.07
2024-01-23,7614.33
2024-01-24,7862.15
2024-01-25,8070.28
2024-01-26,7558.86
2024-01-29,7912.84
2024-01-30,7773.15
2024-01-31,8230.5
2024-02-01,8030.28
2024-02-02,7650.04
2024-02-05,7883.03
2024-02-06,7985.84
2024-02-07,7756.14
2024-02-08,7356.85
2024-02-13,7070.11
2024-02-14,6962.34
2024-02-15,6879.75
2024-02-16,6902.48
2024-02-19,6844.58
2024-02-20,6757.09
2024-02-21,6720.8
2024-02-22,6651.37
2024-02-23,6545.11
2024-02-26,6508.73
2024-02-27,6753.88
2024-02-28,6471.81
2024-02-29,6371.54
2024-03-04,6179.77
2024-03-05,6289.58
2024-03-06,6178.49
2024-03-07,6293.58
2024-03-08,5984.99
2024-03-11,5979.55
2024-03-12,5651.04
2024-03-13,5712.54
2024-03-14,5708.06
2024-03-15,5875.35
2024-03-18,5631.75
2024-03-19,5641.2
2024-03-20,5668.22
2024-03-21,5397.46
2024-03-22,5429.07
2024-03-25,5176.57
2024-03-26,5071.75
2024-03-27,5200.65
2024-03-28,5250.23
2024-03-29,5342.81
2024-04-01,5334.78
2024-04-02,5685.46
2024-04-03,5877.33
2024-04-04,5828.97
2024-04-05,6117.0
2024-04-08,6163.98
2024-04-09,6124.1
2024-04-11,6187.97
2024-04-12,6135.54
2024-04-15,6232.15
2024-04-16,6511.92
2024-04-17,6625.22
2024-04-18,6174.06
2024-04-19,6372.47
2024-04-22,6152.1
2024-04-23,6167.3
2024-04-24,5895.19
2024-04-25,6078.27
2024-04-26,6015.01
2024-04-29,5822.01
2024-04-30,5835.13
2024-05-02,5919.82
2024-05-03,5915.91
2024-05-07,5870.54
2024-05-08,5874.12
2024-05-09,5971.57
2024-05-10,6107.27
2024-05-13,6301.35
2024-05-14,6214.65
2024-05-16,6057.48
2024-05-17,6645.64
2024-05-20,6653.92
2024-05-21,6556.64
2024-05-22,6581.13
2024-05-23,6690.26
2024-05-24,6783.02
2024-05-27,6493.83
2024-05-28,6548.55
2024-05-29,6794.89
2024-05-30,6901.32
2024-05-31,6718.98
2024-06-03,6611.06
2024-06-04,6517.44
2024-06-05,6315.52
2024-06-07,5940.37
2024-06-10,6112.62
2024-06-11,5955.69
2024-06-12,6018.18
2024-06-13,6062.44
2024-06-14,6206.24
2024-06-17,6224.4
2024-06-18,6204.19
2024-06-19,6142.25
2024-06-20,6291.64
2024-06-21,6266.49
2024-06-24,6441.3
2024-06-25,6376.67
2024-06-26,6452.28
2024-06-27,6407.32
2024-06-28,6452.38
2024-07-01,6212.89
2024-07-02,6541.82
2024-07-03,6193.57
2024-07-04,6074.57
2024-07-05,5854.25
2024-07-08,5789.06
2024-07-09,5750.82
2024-07-10,5771.95
2024-07-11,5852.45
2024-07-12,5896.85
2024-07-15,5880.67
2024-07-16,6087.95
2024-07-17,6289.85
2024-07-18,6353.17
2024-07-19,6238.55
2024-07-22,6637.32
2024-07-23,6495.03
2024-07-24,6444.61
2024-07-25,6757.82
2024-07-26,6779.46
2024-07-29,6490.18
2024-07-30,6562.5
2024-07-31,6566.74
2024-08-01,6326.95
2024-08-02,6934.06
2024-08-05,8722.18
2024-08-06,7055.1
2024-08-07,6761.92
2024-08-08,6957.15
2024-08-09,6534.01
2024-08-12,6505.94
2024-08-13,6590.81
2024-08-14,6323.38
2024-08-16,6111.88
2024-08-19,6326.75
2024-08-20,6172.53
2024-08-21,6349.81
2024-08-22,6443.4
2024-08-23,6364.1
2024-08-26,6501.97
2024-08-27,6584.91
2024-08-28,6560.68
2024-08-29,6685.6
2024-08-30,6462.14
2024-09-02,6314.55
2024-09-03,6577.3
2024-09-04,7143.03
2024-09-05,7276.18
2024-09-06,7738.59
2024-09-09,7448.48
2024-09-10,7765.83
2024-09-11,7680.73
2024-09-12,7044.83
2024-09-13,7069.86
2024-09-19,6821.19
2024-09-20,6594.04
2024-09-23,6553.81
2024-09-24,6163.62
2024-09-25,6442.89
2024-09-26,6045.9
2024-09-27,6200.94
2024-09-30,6355.36
2024-10-02,6215.61
2024-10-04,6065.17
2024-10-07,5871.17
2024-10-08,5954.4
2024-10-10,5973.88
2024-10-11,6159.55
2024-10-14,6190.72
2024-10-15,6056.81
2024-10-16,6271.25
2024-10-17,6257.1
2024-10-18,6523.51
2024-10-21,6306.64
2024-10-22,6704.14
2024-10-23,6512.18
2024-10-24,6731.48
2024-10-25,6855.41
2024-10-28,6480.69
2024-10-29,6332.43
2024-10-30,6540.13
2024-10-31,6400.11
2024-11-01,6781.99
2024-11-04,6018.31
2024-11-05,6137.88
2024-11-06,6339.34
2024-11-07,6550.85
2024-11-08,6316.65
2024-11-11,6535.05
2024-11-12,6773.37
2024-11-13,7207.07
2024-11-14,7418.46
2024-11-15,7213.46
2024-11-18,7084.38
2024-11-19,7390.38
2024-11-20,7564.98
2024-11-21,7449.88
2024-11-22,7882.87
2024-11-25,7064.29
2024-11-26,7376.88
2024-11-27,7416.25
2024-11-28,7395.1
2024-11-29,7816.96
2024-12-02,7797.82
2024-12-03,7341.17
2024-12-04,7699.59
2024-12-05,7704.01
2024-12-06,7900.91
2024-12-09,8538.42
2024-12-10,7711.45
2024-12-11,7687.62
2024-12-12,7371.48
2024-12-13,7337.54
2024-12-16,7316.3
2024-12-17,7534.13
2024-12-18,7401.35
2024-12-19,7895.28
2024-12-20,8159.44
2024-12-23,7871.96
2024-12-24,7801.04
2024-12-26,7864.04
2024-12-27,8121.19
2024-12-30,7833.84
2025-01-02,7717.26
2025-01-03,7179.63
2025-01-06,6934.22
2025-01-07,6871.93
2025-01-08,6859.7
2025-01-09,6816.74
2025-01-10,6942.38
2025-01-13,7178.14
2025-01-14,6903.66
2025-01-15,7065.33
2025-01-16,6681.17
2025-01-17,6714.35
2025-01-20,6594.74
2025-01-21,6646.73
2025-01-22,6492.19
2025-01-23,6584.09
2025-01-24,6426.93
2025-01-31,6453.32
2025-02-03,6973.13
2025-02-04,6575.08
2025-02-05,6391.19
2025-02-06,6239.74
2025-02-07,6183.08
2025-02-10,6084.84
2025-02-11,6132.14
2025-02-12,6147.0
2025-02-13,6107.32
2025-02-14,5874.05
2025-02-17,5735.73
2025-02-18,5708.69
2025-02-19,5633.91
2025-02-20,5794.1
2025-02-21,5624.67
2025-02-24,5635.8
2025-02-25,5669.41
2025-02-26,5686.09
2025-02-27,5590.08
2025-02-28,6061.25
2025-03-04,6160.29
2025-03-05,6010.52
2025-03-06,6287.86
2025-03-07,6478.39
2025-03-10,6464.35
2025-03-11,6698.44
2025-03-12,6521.89
2025-03-13,6706.33
2025-03-14,6335.95
2025-03-17,6121.16
2025-03-18,6084.46
2025-03-19,6261.91
2025-03-20,6562.83
2025-03-21,6786.51
2025-03-24,6667.17
2025-03-25,6826.81
2025-03-26,6727.37
2025-03-27,6939.61
2025-03-28,7237.18
2025-03-31,7694.31
2025-04-01,7207.95
2025-04-02,7426.86
2025-04-03,7472.97
2025-04-04,7300.41
2025-04-07,8204.36
2025-04-08,7846.26
2025-04-09,8369.13
2025-04-10,7233.73
2025-04-11,7050.29
2025-04-14,6696.72
2025-04-15,6692.44
2025-04-16,7073.3
2025-04-17,6807.89
2025-04-18,6685.48
2025-04-21,6752.43
2025-04-22,6757.42
2025-04-23,6436.77
2025-04-24,6506.87
2025-04-25,6426.25
