대상,격자 칸,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),기준선(%),기준선 대비 차이(%p),1차 판정
KODEX 200,15일 → 말일,287,위,58.89,0.46,132.73,57.52,1.37,제외
KODEX 200,15일 → 말일+1,287,위,59.93,0.57,163.63,58.59,1.35,제외
KODEX 200,15일 → 말일+2,287,위,56.79,0.65,185.31,57.99,-1.2,제외
KODEX 200,15일 → 말일+3,287,위,55.05,0.71,204.47,56.14,-1.09,제외
KODEX 200,15일 → 말일-1,287,위,56.79,0.3,85.89,56.5,0.29,제외
KODEX 200,15일 → 말일-2,287,위,58.89,0.26,73.98,58.0,0.89,제외
KODEX 200,15일 → 말일-3,287,위,54.7,0.2,58.29,57.5,-2.8,제외
KODEX 200,16일 → 말일,287,위,57.14,0.46,133.11,57.52,-0.37,제외
KODEX 200,16일 → 말일+1,287,위,58.89,0.57,163.23,58.59,0.3,제외
KODEX 200,16일 → 말일+2,287,위,57.49,0.65,185.49,57.99,-0.5,제외
KODEX 200,16일 → 말일+3,287,위,56.1,0.71,204.78,56.14,-0.04,제외
KODEX 200,16일 → 말일-1,287,위,57.14,0.3,85.02,56.5,0.64,제외
KODEX 200,16일 → 말일-2,287,위,59.23,0.25,72.13,58.0,1.24,제외
KODEX 200,16일 → 말일-3,287,위,57.84,0.2,57.1,57.5,0.34,제외
KODEX 200,17일 → 말일,287,위,56.45,0.46,131.21,57.52,-1.07,제외
KODEX 200,17일 → 말일+1,287,위,58.19,0.56,160.97,58.59,-0.4,제외
KODEX 200,17일 → 말일+2,287,위,57.84,0.64,183.41,57.99,-0.15,제외
KODEX 200,17일 → 말일+3,287,위,57.49,0.71,202.74,56.14,1.35,제외
KODEX 200,17일 → 말일-1,287,위,55.4,0.29,82.73,56.5,-1.1,제외
KODEX 200,17일 → 말일-2,287,위,58.54,0.24,69.23,58.0,0.54,제외
KODEX 200,17일 → 말일-3,287,위,57.49,0.19,53.95,57.5,-0.01,제외
KODEX 200,18일 → 말일,287,위,56.45,0.44,127.1,57.52,-1.07,제외
KODEX 200,18일 → 말일+1,287,위,57.49,0.54,156.15,58.59,-1.09,제외
KODEX 200,18일 → 말일+2,287,위,58.19,0.62,178.56,57.99,0.2,제외
KODEX 200,18일 → 말일+3,287,위,57.14,0.69,197.2,56.14,1.0,제외
KODEX 200,18일 → 말일-1,287,위,57.14,0.27,78.46,56.5,0.64,제외
KODEX 200,18일 → 말일-2,287,위,56.79,0.23,64.67,58.0,-1.2,제외
KODEX 200,18일 → 말일-3,287,위,58.19,0.17,48.83,57.5,0.69,제외
KODEX 200,19일 → 말일,287,위,55.4,0.46,130.96,57.52,-2.12,제외
KODEX 200,19일 → 말일+1,287,위,56.1,0.56,160.27,58.59,-2.49,제외
KODEX 200,19일 → 말일+2,287,위,56.45,0.64,182.68,57.99,-1.55,제외
KODEX 200,19일 → 말일+3,287,위,56.1,0.7,201.03,56.14,-0.04,제외
KODEX 200,19일 → 말일-1,287,위,55.05,0.28,81.39,56.5,-1.45,제외
