대상,월,시기,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 평균(%),내린 평균(%),오른 건수,내린 건수,기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),기준선 오른 평균(%),기준선 내린 평균(%),기준선 오른 건수,기준선 내린 건수,평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
코스피200 지수,7,최근 10년,10,0,10,0.28,0.66,60.0,40.0,2.93,-2.99,1.94,1.61,1.71,6,4,211,0,211,0.01,0.33,54.98,45.02,19.98,-21.61,4.57,2.66,3.23,116,95,0.28,0.34,5.02,-5.02,0.7892,0.6613,0.7762,0.7762,,False,예
코스피200 지수,7,최근 5년,5,0,5,1.14,1.38,80.0,20.0,2.31,-0.89,1.21,1.65,0.89,4,1,105,0,105,0.2,1.14,65.71,34.29,19.98,-21.61,6.08,3.18,5.5,69,36,0.94,0.25,14.29,-14.29,,,,,표본 부족으로 검정 불가,False,아니오
코스피200 지수,8,앞 절반,18,0,18,0.64,-0.16,44.44,55.56,19.37,-8.71,6.36,5.36,3.13,8,10,385,0,385,0.1,-0.28,47.27,52.73,21.86,-10.36,5.61,4.55,3.9,182,203,0.55,0.12,-2.83,2.83,0.6893,0.8811,0.8152,0.8152,,True,예
코스피200 지수,8,뒤 절반,19,0,19,0.68,0.37,52.63,47.37,8.6,-4.25,2.97,2.73,1.59,10,9,364,0,364,0.28,0.14,52.2,47.8,10.5,-14.24,2.81,2.18,1.8,190,174,0.4,0.23,0.43,-0.43,0.5574,0.7403,1.0,1.0,,False,예
코스피200 지수,8,최근 10년,10,0,10,1.03,0.95,60.0,40.0,4.74,-2.02,2.19,2.4,1.02,6,4,201,0,201,0.41,0.17,52.74,47.26,9.96,-5.01,2.58,2.19,1.58,106,95,0.62,0.78,7.26,-7.26,0.4306,0.4206,0.7493,0.7493,,False,예
코스피200 지수,8,최근 5년,5,0,5,-0.12,-0.84,40.0,60.0,1.93,-2.02,1.74,1.73,1.34,2,3,100,0,100,0.52,-0.09,47.0,53.0,9.96,-4.99,2.95,2.65,1.38,47,53,-0.63,-0.75,-7.0,7.0,,,,,표본 부족으로 검정 불가,False,아니오
코스피200 지수,9,앞 절반,18,0,18,-0.84,0.91,55.56,44.44,4.62,-11.0,4.54,2.52,5.05,10,8,352,0,352,-0.8,0.48,53.98,46.02,11.39,-15.64,5.62,3.35,5.68,190,162,-0.04,0.43,1.58,-1.58,0.9481,0.6733,1.0,1.0,,True,예
코스피200 지수,9,뒤 절반,18,0,18,-1.38,-0.97,33.33,66.67,1.96,-8.51,2.3,0.63,2.38,6,12,317,0,317,-0.03,-0.21,47.0,53.0,11.98,-11.68,3.5,2.67,2.44,149,168,-1.34,-0.76,-13.67,13.67,0.0879,0.2038,0.3227,0.3227,,False,예
코스피200 지수,9,최근 10년,10,0,10,-1.74,-0.87,40.0,60.0,0.94,-8.51,2.81,0.4,3.16,4,6,179,0,179,-0.66,-0.34,42.46,57.54,11.98,-11.68,3.93,2.54,3.03,76,103,-1.08,-0.53,-2.46,2.46,0.3616,0.7293,1.0,1.0,,False,예
코스피200 지수,9,최근 5년,5,0,5,-2.85,-2.36,40.0,60.0,0.12,-8.51,3.53,0.08,4.81,2,3,87,0,87,-1.72,-1.9,28.74,71.26,11.98,-11.68,4.92,3.75,3.92,25,62,-1.14,-0.46,11.26,-11.26,,,,,표본 부족으로 검정 불가,False,아니오
코스피200 지수,10,앞 절반,18,0,18,-0.28,0.22,50.0,50.0,14.2,-15.31,6.08,3.59,4.14,9,9,376,0,376,0.41,0.44,53.72,46.28,37.84,-26.84,9.0,5.78,5.82,202,174,-0.69,-0.22,-3.72,3.72,0.7453,0.9481,0.7852,0.7852,,False,예
코스피200 지수,10,뒤 절반,18,0,18,-0.44,-1.15,44.44,55.56,8.25,-6.36,3.94,3.02,3.21,8,10,322,0,322,0.07,-0.42,44.1,55.59,20.88,-12.05,4.53,3.52,2.66,142,179,-0.51,-0.73,0.35,-0.03,0.6424,0.3107,1.0,1.0,,False,예
코스피200 지수,10,최근 10년,10,0,10,-0.28,-1.15,40.0,60.0,8.25,-5.25,4.1,3.65,2.9,4,6,182,0,182,-0.29,-0.71,41.21,58.79,20.88,-12.05,4.77,3.67,3.06,75,107,0.01,-0.44,-1.21,1.21,0.995,0.6663,1.0,1.0,,False,예
코스피200 지수,10,최근 5년,5,0,5,1.01,-1.34,40.0,60.0,8.25,-3.9,4.94,6.03,2.33,2,3,90,0,90,1.08,-0.76,45.56,54.44,20.88,-7.08,5.59,5.54,2.65,41,49,-0.07,-0.58,-5.56,5.56,,,,,표본 부족으로 검정 불가,True,아니오
코스피200 지수,11,앞 절반,18,0,18,-0.24,1.27,55.56,44.44,6.42,-14.27,4.89,3.13,4.45,10,8,384,0,384,-0.06,0.41,53.65,46.35,19.02,-25.69,6.72,4.48,5.31,206,178,-0.18,0.86,1.91,-1.91,0.9371,0.4505,1.0,1.0,,True,예
코스피200 지수,11,뒤 절반,18,0,18,0.54,0.7,55.56,44.44,13.86,-4.43,3.92,2.7,2.17,10,8,348,0,348,0.06,-0.02,50.0,50.0,13.86,-7.52,3.17,2.46,2.34,174,174,0.48,0.72,5.56,-5.56,0.5185,0.4286,0.8092,0.8092,,False,예
코스피200 지수,11,최근 10년,10,0,10,-0.52,-0.21,50.0,50.0,1.62,-4.43,2.08,1.27,2.31,5,5,205,0,205,-0.32,-0.44,42.93,57.07,13.11,-7.52,3.39,2.71,2.59,88,117,-0.2,0.23,7.07,-7.07,0.8681,0.7692,0.7483,0.7483,,False,예
코스피200 지수,11,최근 5년,5,0,5,-0.97,-1.09,40.0,60.0,1.26,-4.43,2.37,1.24,2.44,2,3,102,0,102,-0.63,-0.68,44.12,55.88,9.27,-7.52,3.61,2.78,3.32,45,57,-0.34,-0.4,-4.12,4.12,,,,,표본 부족으로 검정 불가,False,아니오
