대상,월,시기,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 평균(%),내린 평균(%),오른 건수,내린 건수,기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),기준선 오른 평균(%),기준선 내린 평균(%),기준선 오른 건수,기준선 내린 건수,평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
코스피 종합지수,10,최근 5년,5,0,5,0.83,-1.41,40.0,60.0,7.68,-4.08,4.69,5.54,2.32,2,3,90,0,90,0.77,-0.76,45.56,54.44,18.86,-8.14,5.37,5.05,2.82,41,49,0.06,-0.65,-5.56,5.56,,,,,표본 부족으로 검정 불가,True,아니오
코스피 종합지수,11,앞 절반,23,0,23,0.14,0.61,60.87,39.13,6.68,-16.49,4.82,2.83,4.04,14,9,528,0,528,0.65,0.89,57.58,42.42,18.34,-26.61,6.27,4.39,4.41,304,224,-0.51,-0.28,3.29,-3.29,0.6414,0.8472,0.8332,0.8332,,False,예
코스피 종합지수,11,뒤 절반,23,0,23,0.78,1.15,69.57,30.43,13.43,-4.44,3.43,2.19,2.45,16,7,451,0,451,0.28,0.29,54.77,45.23,13.43,-8.92,3.24,2.51,2.42,247,204,0.49,0.86,14.8,-14.8,0.4496,0.2228,0.1958,0.1958,,False,예
코스피 종합지수,11,최근 10년,10,0,10,-0.57,-0.31,50.0,50.0,1.77,-4.44,2.0,1.11,2.25,5,5,205,0,205,-0.24,-0.43,43.9,56.1,12.66,-6.99,3.32,2.62,2.48,90,115,-0.33,0.13,6.1,-6.1,0.7732,0.8661,0.7582,0.7582,,False,예
코스피 종합지수,11,최근 5년,5,0,5,-0.91,-1.06,40.0,60.0,1.77,-4.44,2.5,1.46,2.49,2,3,102,0,102,-0.52,-0.67,43.14,56.86,10.16,-6.99,3.67,3.01,3.19,44,58,-0.39,-0.4,-3.14,3.14,,,,,표본 부족으로 검정 불가,False,아니오
코스피 종합지수,12,앞 절반,23,0,23,0.34,0.72,56.52,43.48,7.17,-11.54,4.26,2.97,3.08,13,10,439,0,439,0.74,0.84,59.23,40.55,26.12,-14.8,5.46,4.0,4.03,260,178,-0.4,-0.13,-2.7,2.93,0.7043,0.8462,0.8342,0.8352,,False,예
코스피 종합지수,12,뒤 절반,23,0,23,0.48,-0.06,47.83,52.17,4.82,-4.78,2.21,2.23,1.12,11,12,427,0,427,0.78,0.63,59.25,40.75,11.72,-9.82,3.04,2.67,1.97,253,174,-0.3,-0.69,-11.42,11.42,0.6593,0.3526,0.2617,0.2617,,True,예
코스피 종합지수,12,최근 10년,10,0,10,0.4,-0.2,40.0,60.0,4.82,-4.15,2.51,2.63,1.09,4,6,193,0,193,0.55,-0.04,49.22,50.78,9.08,-9.82,3.4,3.24,2.06,95,98,-0.15,-0.16,-9.22,9.22,0.8981,0.6643,0.7672,0.7672,,True,예
코스피 종합지수,12,최근 5년,5,0,5,0.51,0.49,60.0,40.0,4.82,-4.15,3.24,2.29,2.17,3,2,98,0,98,-0.12,-0.37,44.9,55.1,7.49,-9.82,3.87,3.37,2.97,44,54,0.63,0.86,15.1,-15.1,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,1,앞 절반,5,0,5,0.17,1.12,60.0,40.0,3.7,-6.46,4.2,2.8,3.78,3,2,81,0,81,1.03,0.66,54.32,45.68,17.05,-7.49,5.29,4.64,3.26,44,37,-0.86,0.46,5.68,-5.68,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,1,뒤 절반,6,0,6,1.92,-1.59,50.0,50.0,26.39,-9.6,12.81,10.17,6.33,3,3,96,0,96,1.26,-0.34,50.0,50.0,30.57,-17.96,12.41,10.12,7.6,48,48,0.66,-1.25,0.0,0.0,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,1,최근 10년,10,0,10,1.12,0.11,50.0,50.0,26.39,-9.6,10.0,7.56,5.31,5,5,195,0,195,1.09,-0.73,47.69,52.31,32.77,-17.96,10.17,8.5,5.66,93,102,0.03,0.84,2.31,-2.31,0.979,0.8621,1.0,1.0,,False,예
KODEX 코스닥150,1,최근 5년,5,0,5,3.2,1.32,60.0,40.0,26.39,-9.6,13.88,10.17,7.25,3,2,96,0,96,2.71,1.15,56.25,43.75,32.77,-17.96,13.21,10.96,7.9,54,42,0.49,0.17,3.75,-3.75,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,2,앞 절반,5,0,5,-1.99,-0.81,20.0,80.0,0.77,-8.23,3.57,0.77,2.68,1,4,72,0,72,-1.65,-0.54,37.5,62.5,4.72,-9.9,3.7,1.41,3.48,27,45,-0.34,-0.27,-17.5,17.5,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,2,뒤 절반,6,0,6,-0.15,0.38,50.0,50.0,4.33,-5.92,3.68,2.63,2.92,3,3,90,0,90,2.74,2.43,74.44,25.56,13.87,-5.92,4.38,4.52,2.44,67,23,-2.89,-2.05,-24.44,24.44,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,2,최근 10년,10,0,10,-1.16,-0.63,30.0,70.0,4.33,-8.23,3.72,2.63,2.78,3,7,177,0,177,0.13,0.38,52.54,47.46,13.87,-9.9,5.06,3.78,3.92,93,84,-1.29,-1.01,-22.54,22.54,0.3886,0.5035,0.2308,0.2308,,False,예
KODEX 코스닥150,2,최근 5년,5,0,5,1.0,1.06,60.0,40.0,4.33,-2.55,2.63,2.63,1.43,3,2,89,0,89,3.09,2.53,78.65,21.35,13.87,-4.17,4.19,4.52,2.2,70,19,-2.08,-1.47,-18.65,18.65,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,3,앞 절반,5,0,5,2.55,-1.83,40.0,60.0,18.28,-3.62,9.12,10.47,2.74,2,3,84,0,84,0.59,0.44,53.57,46.43,28.6,-6.54,5.56,3.76,3.07,45,39,1.96,-2.27,-13.57,13.57,,,,,표본 부족으로 검정 불가,True,아니오
KODEX 코스닥150,3,뒤 절반,6,0,6,-1.36,-0.08,50.0,50.0,6.97,-9.63,6.25,3.19,5.9,3,3,101,0,101,-0.15,0.69,56.44,43.56,12.76,-11.73,6.42,4.66,6.38,57,44,-1.21,-0.77,-6.44,6.44,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,3,최근 10년,10,0,10,0.64,-0.08,50.0,50.0,18.28,-9.63,7.92,6.1,4.82,5,5,201,0,201,0.48,0.79,56.22,43.78,28.6,-11.73,6.42,4.75,4.99,113,88,0.16,-0.87,-6.22,6.22,0.9321,0.7502,0.7333,0.7333,,False,예
KODEX 코스닥150,3,최근 5년,5,0,5,-1.55,0.23,60.0,40.0,6.97,-9.63,6.96,3.19,8.66,3,2,99,0,99,-0.52,1.04,57.58,42.42,12.76,-11.73,6.71,4.66,7.54,57,42,-1.04,-0.81,2.42,-2.42,,,,,표본 부족으로 검정 불가,True,아니오
KODEX 코스닥150,4,앞 절반,5,0,5,-1.9,-2.08,0.0,100.0,-0.8,-2.86,0.75,,1.9,0,5,80,0,80,-0.95,-1.26,25.0,75.0,11.12,-5.3,2.94,2.77,2.19,20,60,-0.95,-0.82,-25.0,25.0,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,4,뒤 절반,6,0,6,-1.52,-1.74,33.33,66.67,3.86,-7.77,3.88,2.32,3.44,2,4,102,0,102,0.21,-0.14,48.04,50.98,11.89,-7.77,4.34,3.74,3.11,49,52,-1.73,-1.6,-14.71,15.69,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,4,최근 10년,10,0,10,-1.7,-2.1,20.0,80.0,3.86,-7.77,2.94,2.32,2.7,2,8,201,0,201,-0.6,-1.05,35.32,64.18,11.89,-8.13,3.84,3.37,2.79,71,129,-1.1,-1.04,-15.32,15.82,0.4026,0.3556,0.3357,0.3387,,False,예
KODEX 코스닥150,4,최근 5년,5,0,5,-0.27,-1.15,40.0,60.0,3.86,-2.51,2.66,2.32,2.0,2,3,101,0,101,0.53,0.0,49.5,49.5,11.89,-6.59,4.04,3.68,2.61,50,50,-0.8,-1.15,-9.5,10.5,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,5,앞 절반,5,0,5,1.19,2.02,80.0,20.0,2.56,-1.42,1.66,1.84,1.42,4,1,76,0,76,0.93,1.39,78.95,21.05,10.4,-10.9,3.81,2.46,4.8,60,16,0.25,0.63,1.05,-1.05,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,5,뒤 절반,6,0,6,2.41,2.06,83.33,16.67,6.48,-1.01,2.8,3.09,1.01,5,1,95,0,95,0.67,1.15,70.53,29.47,9.41,-7.44,3.82,2.66,4.09,67,28,1.74,0.92,12.81,-12.81,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,5,최근 10년,10,0,10,1.78,1.43,80.0,20.0,6.48,-1.42,2.44,2.53,1.21,8,2,186,0,186,0.65,1.15,71.51,28.49,10.4,-10.9,3.76,2.52,4.03,133,53,1.13,0.28,8.49,-8.49,0.3217,0.7243,0.7263,0.7263,,False,예
KODEX 코스닥150,5,최근 5년,5,0,5,2.8,3.28,80.0,20.0,6.48,-1.01,2.94,3.75,1.01,4,1,93,0,93,0.43,1.12,65.59,34.41,9.41,-7.44,4.0,2.82,4.12,61,32,2.37,2.16,14.41,-14.41,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,6,앞 절반,5,0,5,-2.21,-0.86,20.0,80.0,0.17,-7.77,3.23,0.17,2.8,1,4,79,0,79,-1.79,-0.67,37.97,62.03,6.95,-9.13,3.68,1.63,3.88,30,49,-0.42,-0.19,-17.97,17.97,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,6,뒤 절반,6,0,6,-1.72,-1.73,16.67,83.33,0.76,-4.12,1.62,0.76,2.21,1,5,97,0,97,-2.56,-1.42,31.96,67.01,5.24,-15.53,4.43,1.42,4.5,31,65,0.85,-0.31,-15.29,16.32,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,6,최근 10년,10,0,10,-2.05,-1.73,20.0,80.0,0.76,-7.77,2.46,0.47,2.68,2,8,193,0,193,-1.78,-1.06,38.34,61.14,8.55,-15.53,4.31,2.06,4.2,74,118,-0.27,-0.67,-18.34,18.86,0.7962,0.6124,0.3227,0.3217,,False,예
KODEX 코스닥150,6,최근 5년,5,0,5,-2.21,-2.19,0.0,100.0,-1.13,-4.12,1.2,,2.21,0,5,95,0,95,-2.58,-1.56,28.42,70.53,8.55,-15.53,4.62,1.97,4.45,27,67,0.37,-0.63,-28.42,29.47,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,7,앞 절반,5,0,5,-1.76,-3.02,40.0,60.0,4.48,-6.1,4.15,2.29,4.46,2,3,84,0,84,-1.77,-1.51,33.33,65.48,11.53,-9.43,4.86,3.56,4.51,28,55,0.01,-1.51,6.67,-5.48,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,7,뒤 절반,6,0,6,-0.87,-2.03,33.33,66.67,4.04,-4.04,3.0,2.73,2.67,2,4,105,0,105,0.44,0.6,53.33,46.67,16.73,-27.22,8.14,5.97,5.87,56,49,-1.32,-2.63,-20.0,20.0,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,7,최근 10년,10,0,10,-1.41,-2.38,30.0,70.0,4.48,-6.1,3.56,3.31,3.44,3,7,211,0,211,-0.57,-0.74,42.65,56.87,16.73,-27.22,6.77,5.2,4.9,90,120,-0.84,-1.64,-12.65,13.13,0.6933,0.3377,0.5085,0.5005,,False,예
KODEX 코스닥150,7,최근 5년,5,0,5,-0.61,-1.9,40.0,60.0,4.04,-4.04,3.28,2.73,2.84,2,3,105,0,105,0.6,1.24,56.19,43.81,16.73,-27.22,8.37,6.09,6.44,59,46,-1.21,-3.14,-16.19,16.19,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,8,앞 절반,5,0,5,2.83,2.63,80.0,20.0,8.43,-4.55,5.08,4.68,4.55,4,1,83,0,83,3.1,3.06,80.72,19.28,10.82,-4.59,3.49,4.32,1.99,67,16,-0.27,-0.43,-0.72,0.72,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,8,뒤 절반,6,0,6,1.51,0.11,50.0,50.0,7.31,-1.9,3.88,4.58,1.55,3,3,101,0,101,0.6,0.48,56.44,43.56,15.24,-4.83,3.33,2.72,2.13,57,44,0.91,-0.37,-6.44,6.44,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,8,최근 10년,10,0,10,2.78,1.96,70.0,30.0,8.43,-1.9,3.86,4.64,1.55,7,3,201,0,201,1.92,1.51,73.13,26.87,15.24,-4.83,3.4,3.36,1.99,147,54,0.86,0.45,-3.13,3.13,0.4426,0.8352,1.0,1.0,,False,예
KODEX 코스닥150,8,최근 5년,5,0,5,0.35,-1.09,40.0,60.0,5.12,-1.9,2.95,3.21,1.55,2,3,100,0,100,0.47,0.37,54.0,46.0,15.24,-4.83,3.28,2.64,2.07,54,46,-0.12,-1.45,-14.0,14.0,,,,,표본 부족으로 검정 불가,True,아니오
KODEX 코스닥150,9,앞 절반,5,0,5,-2.23,-0.73,20.0,80.0,0.04,-5.26,2.73,0.04,2.79,1,4,76,0,76,-0.89,-1.02,31.58,65.79,5.41,-5.77,2.87,2.44,2.53,24,50,-1.34,0.28,-11.58,14.21,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,9,뒤 절반,5,0,5,-3.72,-3.65,20.0,80.0,2.1,-10.05,4.37,2.1,5.17,1,4,75,0,75,-2.68,-2.18,33.33,66.67,9.72,-15.84,6.15,3.86,5.94,25,50,-1.04,-1.46,-13.33,13.33,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,9,최근 10년,10,0,10,-2.97,-3.05,20.0,80.0,2.1,-10.05,3.52,1.07,3.98,2,8,183,0,183,-1.62,-1.18,32.79,66.12,9.72,-15.84,4.54,2.93,3.9,60,121,-1.36,-1.87,-12.79,13.88,0.3117,0.1808,0.5055,0.4995,,False,예
KODEX 코스닥150,9,최근 5년,5,0,5,-3.72,-3.65,20.0,80.0,2.1,-10.05,4.37,2.1,5.17,1,4,91,0,91,-2.61,-2.18,28.57,71.43,9.72,-15.84,5.61,3.74,5.16,26,65,-1.1,-1.46,-8.57,8.57,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,10,앞 절반,5,0,5,-1.5,-0.98,40.0,60.0,5.32,-12.04,6.78,4.33,5.39,2,3,74,0,74,-1.79,-1.6,40.54,59.46,11.6,-19.99,7.34,5.14,6.51,30,44,0.29,0.62,-0.54,0.54,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,10,뒤 절반,6,0,6,-0.19,-0.42,50.0,50.0,4.88,-5.61,4.44,3.36,3.73,3,3,90,0,90,-0.41,-0.23,47.78,52.22,10.22,-13.19,5.31,3.84,4.31,43,47,0.23,-0.2,2.22,-2.22,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,10,최근 10년,10,0,10,-0.76,-0.42,50.0,50.0,5.32,-12.04,5.65,3.75,5.28,5,5,182,0,182,-1.22,-0.5,45.05,54.4,11.6,-19.99,6.29,4.18,5.71,82,99,0.46,0.08,4.95,-4.4,0.8432,0.8831,1.0,1.0,,False,예
KODEX 코스닥150,10,최근 5년,5,0,5,0.65,0.39,60.0,40.0,4.88,-5.61,4.41,3.36,3.42,3,2,90,0,90,-0.04,0.22,52.22,47.78,10.22,-13.19,5.33,3.85,4.29,47,43,0.68,0.18,7.78,-7.78,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,11,앞 절반,5,0,5,-2.07,-3.15,40.0,60.0,1.06,-5.37,2.72,0.73,3.94,2,3,83,0,83,-1.04,-1.16,33.73,65.06,12.75,-9.46,5.12,4.38,3.87,28,54,-1.03,-2.0,6.27,-5.06,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,11,뒤 절반,6,0,6,-0.6,0.24,50.0,50.0,2.26,-5.87,3.25,2.03,3.23,3,3,103,0,103,-0.52,-0.48,45.63,54.37,14.71,-13.0,4.52,3.3,3.72,47,56,-0.08,0.72,4.37,-4.37,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,11,최근 10년,10,0,10,-1.44,-1.91,40.0,60.0,2.26,-5.87,3.08,1.79,3.59,4,6,205,0,205,-0.19,-0.55,43.9,55.61,14.71,-13.0,5.02,4.35,3.78,90,114,-1.25,-1.36,-3.9,4.39,0.4306,0.4416,1.0,0.7792,,False,예
KODEX 코스닥150,11,최근 5년,5,0,5,-1.14,-1.24,40.0,60.0,2.26,-5.87,3.32,1.99,3.23,2,3,102,0,102,-0.33,-0.52,46.08,53.92,14.71,-13.0,4.73,3.7,3.78,47,55,-0.81,-0.73,-6.08,6.08,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,12,앞 절반,5,0,5,4.88,4.01,100.0,0.0,9.82,1.86,3.05,4.88,,5,0,78,0,78,4.91,5.39,93.59,6.41,11.84,-4.41,3.59,5.4,2.22,73,5,-0.03,-1.37,6.41,-6.41,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,12,뒤 절반,6,0,6,1.41,1.91,83.33,16.67,3.57,-2.53,2.32,2.2,2.53,5,1,100,0,100,-0.01,0.39,53.0,46.0,8.23,-8.67,3.76,2.97,3.44,53,46,1.42,1.52,30.33,-29.33,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 코스닥150,12,최근 10년,10,0,10,2.88,2.99,90.0,10.0,9.82,-2.53,3.26,3.49,2.53,9,1,193,0,193,2.37,2.31,72.02,27.46,12.85,-8.67,4.47,4.51,3.21,139,53,0.52,0.68,17.98,-17.46,0.7123,0.6963,0.3127,0.3077,,False,예
KODEX 코스닥150,12,최근 5년,5,0,5,1.03,1.08,80.0,20.0,3.57,-2.53,2.38,1.92,2.53,4,1,98,0,98,-0.21,0.28,51.02,47.96,8.23,-8.67,3.68,2.76,3.38,50,47,1.24,0.8,28.98,-27.96,,,,,표본 부족으로 검정 불가,False,아니오
코스닥150 지수,1,앞 절반,8,0,8,-1.67,-0.92,25.0,75.0,1.22,-9.34,3.34,1.22,2.64,2,6,140,0,140,-0.71,-0.85,37.86,62.14,5.44,-10.23,2.56,1.74,2.2,53,87,-0.97,-0.07,-12.86,12.86,,,,,표본 부족으로 검정 불가,False,아니오
코스닥150 지수,1,뒤 절반,9,0,9,1.34,1.35,55.56,44.44,26.16,-9.65,10.53,7.57,6.43,5,4,156,0,156,0.26,-1.33,48.08,51.92,30.2,-18.2,10.18,7.74,6.66,75,81,1.08,2.68,7.48,-7.48,,,,,표본 부족으로 검정 불가,False,아니오
코스닥150 지수,1,최근 10년,10,0,10,1.1,0.11,50.0,50.0,26.16,-9.65,9.96,7.57,5.37,5,5,195,0,195,1.0,-0.77,47.69,52.31,32.56,-18.2,10.14,8.46,5.79,93,102,0.09,0.88,2.31,-2.31,0.994,0.8402,1.0,1.0,,False,예
코스닥150 지수,1,최근 5년,5,0,5,3.18,1.35,60.0,40.0,26.16,-9.65,13.8,10.16,7.28,3,2,96,0,96,2.7,1.24,56.25,43.75,32.56,-18.2,13.14,10.98,7.95,54,42,0.48,0.11,3.75,-3.75,,,,,표본 부족으로 검정 불가,False,아니오
코스닥150 지수,2,앞 절반,8,0,8,0.41,0.57,75.0,25.0,2.07,-2.18,1.39,1.03,1.46,6,2,125,0,125,0.93,0.92,68.0,32.0,7.29,-8.33,3.13,2.42,2.23,85,40,-0.53,-0.34,7.0,-7.0,,,,,표본 부족으로 검정 불가,False,아니오
코스닥150 지수,2,뒤 절반,9,0,9,-1.22,-0.61,33.33,66.67,4.52,-8.49,3.97,2.68,3.17,3,6,143,0,143,0.06,0.13,51.75,48.25,13.77,-10.38,5.54,4.28,4.47,74,69,-1.28,-0.74,-18.41,18.41,,,,,표본 부족으로 검정 불가,False,아니오
코스닥150 지수,2,최근 10년,10,0,10,-1.17,-0.68,30.0,70.0,4.52,-8.49,3.74,2.68,2.82,3,7,177,0,177,0.15,0.35,52.54,47.46,13.77,-10.38,5.1,3.83,3.93,93,84,-1.32,-1.03,-22.54,22.54,0.3856,0.5055,0.2248,0.2248,,False,예
코스닥150 지수,2,최근 5년,5,0,5,1.0,1.01,60.0,40.0,4.52,-2.78,2.76,2.68,1.51,3,2,89,0,89,3.12,2.51,78.65,21.35,13.77,-4.37,4.26,4.59,2.3,70,19,-2.12,-1.5,-18.65,18.65,,,,,표본 부족으로 검정 불가,False,아니오
코스닥150 지수,3,앞 절반,8,0,8,0.74,0.44,50.0,50.0,6.92,-2.31,3.06,2.95,1.47,4,4,143,0,143,0.49,0.38,58.04,41.96,8.18,-4.53,2.25,1.93,1.49,83,60,0.25,0.06,-8.04,8.04,,,,,표본 부족으로 검정 불가,False,아니오
코스닥150 지수,3,뒤 절반,9,0,9,0.46,-0.52,44.44,55.56,19.09,-9.74,8.71,7.38,5.07,4,5,162,0,162,0.76,0.84,55.56,44.44,31.42,-12.43,7.18,5.68,5.39,90,72,-0.3,-1.37,-11.11,11.11,,,,,표본 부족으로 검정 불가,True,아니오
코스닥150 지수,3,최근 10년,10,0,10,0.7,0.09,50.0,50.0,19.09,-9.74,8.24,6.48,5.07,5,5,201,0,201,0.54,0.98,57.21,42.79,31.42,-12.43,6.64,4.85,5.23,115,86,0.17,-0.89,-7.21,7.21,0.9301,0.7972,0.7393,0.7393,,False,예
코스닥150 지수,3,최근 5년,5,0,5,-1.48,0.71,60.0,40.0,7.17,-9.74,7.21,3.48,8.92,3,2,99,0,99,-0.53,1.17,57.58,42.42,12.92,-12.43,6.87,4.77,7.72,57,42,-0.95,-0.46,2.42,-2.42,,,,,표본 부족으로 검정 불가,True,아니오
코스닥150 지수,4,앞 절반,8,0,8,-1.19,-1.78,25.0,75.0,3.27,-4.33,2.87,3.09,2.62,2,6,143,0,143,-0.97,-0.88,33.57,66.43,5.76,-8.53,2.48,1.6,2.27,48,95,-0.22,-0.89,-8.57,8.57,,,,,표본 부족으로 검정 불가,False,아니오
코스닥150 지수,4,뒤 절반,9,0,9,-1.28,-0.94,33.33,66.67,3.76,-7.02,2.96,1.63,2.73,3,6,161,0,161,0.25,-0.24,46.58,53.42,13.37,-7.53,4.12,3.56,2.64,75,86,-1.52,-0.7,-13.25,13.25,,,,,표본 부족으로 검정 불가,False,아니오
코스닥150 지수,4,최근 10년,10,0,10,-1.29,-1.18,30.0,70.0,3.76,-7.02,2.79,1.63,2.54,3,7,201,0,201,-0.13,-0.41,42.79,57.21,13.37,-7.53,3.87,3.2,2.63,86,115,-1.16,-0.77,-12.79,12.79,0.3716,0.5215,0.5375,0.5375,,False,예
코스닥150 지수,4,최근 5년,5,0,5,-0.3,-0.89,40.0,60.0,3.76,-2.61,2.68,2.3,2.03,2,3,101,0,101,0.62,0.11,52.48,47.52,12.08,-6.61,4.12,3.61,2.68,53,48,-0.92,-1.0,-12.48,12.48,,,,,표본 부족으로 검정 불가,False,아니오
코스닥150 지수,5,앞 절반,8,0,8,1.64,1.94,87.5,12.5,5.17,-1.9,2.05,2.15,1.9,7,1,130,0,130,0.75,0.92,61.54,38.46,8.41,-5.87,2.5,2.31,1.75,80,50,0.9,1.02,25.96,-25.96,,,,,표본 부족으로 검정 불가,False,아니오
코스닥150 지수,5,뒤 절반,9,0,9,1.92,1.07,77.78,22.22,6.2,-1.2,2.42,2.74,0.98,7,2,152,0,152,0.56,1.22,69.08,30.92,11.17,-11.15,3.98,2.65,4.11,105,47,1.35,-0.15,8.7,-8.7,,,,,표본 부족으로 검정 불가,False,아니오
코스닥150 지수,5,최근 10년,10,0,10,1.92,1.51,80.0,20.0,6.2,-1.2,2.28,2.64,0.98,8,2,186,0,186,0.81,1.39,72.58,27.42,11.17,-11.15,3.88,2.69,4.15,135,51,1.11,0.12,7.42,-7.42,0.3457,0.8212,0.7323,0.7323,,False,예
코스닥150 지수,5,최근 5년,5,0,5,2.83,3.31,80.0,20.0,6.2,-0.75,2.74,3.73,0.75,4,1,93,0,93,0.51,1.03,66.67,33.33,9.69,-7.72,4.07,2.88,4.22,62,31,2.32,2.27,13.33,-13.33,,,,,표본 부족으로 검정 불가,False,아니오
코스닥150 지수,6,앞 절반,8,0,8,0.66,0.15,62.5,37.5,5.62,-1.24,2.12,1.48,0.72,5,3,137,0,137,1.16,0.97,71.53,28.47,8.95,-7.9,2.95,2.52,2.26,98,39,-0.5,-0.82,-9.03,9.03,,,,,표본 부족으로 검정 불가,False,아니오
코스닥150 지수,6,뒤 절반,9,0,9,-2.4,-1.97,22.22,77.78,1.11,-7.52,2.49,0.56,3.24,2,7,156,0,156,-2.12,-1.56,32.69,67.31,6.99,-15.97,4.52,2.32,4.28,51,105,-0.27,-0.41,-10.47,10.47,,,,,표본 부족으로 검정 불가,False,아니오
코스닥150 지수,6,최근 10년,10,0,10,-2.14,-1.8,30.0,70.0,1.11,-7.52,2.48,0.42,3.24,3,7,193,0,193,-1.8,-1.2,38.34,61.66,7.93,-15.97,4.38,2.13,4.25,74,119,-0.34,-0.6,-8.34,8.34,0.7592,0.6324,0.7443,0.7443,,False,예
코스닥150 지수,6,최근 5년,5,0,5,-2.64,-2.62,0.0,100.0,-1.48,-4.02,1.11,,2.64,0,5,95,0,95,-2.81,-1.74,25.26,74.74,7.93,-15.97,4.63,1.97,4.42,24,71,0.17,-0.88,-25.26,25.26,,,,,표본 부족으로 검정 불가,False,아니오
코스닥150 지수,7,앞 절반,8,0,8,-2.18,-3.08,25.0,75.0,3.9,-8.22,3.78,2.76,3.83,2,6,149,0,149,-0.27,-0.68,37.58,62.42,11.27,-8.22,4.46,4.29,3.02,56,93,-1.91,-2.4,-12.58,12.58,,,,,표본 부족으로 검정 불가,False,아니오
코스닥150 지수,7,뒤 절반,9,0,9,-1.37,-2.09,33.33,66.67,4.51,-6.23,3.89,3.39,3.75,3,6,169,0,169,-0.01,-0.13,49.11,50.89,16.74,-27.46,7.13,5.32,5.15,83,86,-1.36,-1.97,-15.78,15.78,,,,,표본 부족으로 검정 불가,False,아니오
코스닥150 지수,7,최근 10년,10,0,10,-1.58,-2.61,30.0,70.0,4.51,-6.23,3.73,3.39,3.71,3,7,211,0,211,-0.65,-0.81,42.18,57.82,16.74,-27.46,6.83,5.25,4.96,89,122,-0.93,-1.8,-12.18,12.18,0.6553,0.3087,0.5135,0.5135,,False,예
코스닥150 지수,7,최근 5년,5,0,5,-0.86,-2.09,40.0,60.0,4.2,-4.72,3.62,2.83,3.31,2,3,105,0,105,0.46,1.23,54.29,45.71,16.74,-27.46,8.48,6.28,6.45,57,48,-1.32,-3.32,-14.29,14.29,,,,,표본 부족으로 검정 불가,False,아니오
코스닥150 지수,8,앞 절반,8,0,8,0.4,1.95,62.5,37.5,4.89,-5.61,4.16,3.25,4.35,5,3,141,0,141,0.09,0.24,52.48,47.52,13.1,-9.19,5.28,4.33,4.58,74,67,0.31,1.7,10.02,-10.02,,,,,표본 부족으로 검정 불가,False,아니오
코스닥150 지수,8,뒤 절반,9,0,9,2.99,1.85,66.67,33.33,8.65,-2.0,4.22,5.32,1.68,6,3,162,0,162,1.44,1.14,66.67,33.33,15.45,-4.81,3.39,3.17,2.01,108,54,1.54,0.71,0.0,0.0,,,,,표본 부족으로 검정 불가,False,아니오
