대상,격자 칸,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),기준선(%),기준선 대비 차이(%p),1차 판정
KODEX 200,19일 → 말일-1,287,아래,44.6,-0.28,-81.39,43.08,1.52,제외
KODEX 200,19일 → 말일-2,287,아래,43.21,-0.24,-68.24,41.74,1.46,제외
KODEX 200,19일 → 말일-3,287,아래,43.55,-0.18,-52.06,42.01,1.54,제외
KODEX 200,20일 → 말일,287,아래,42.86,-0.4,-114.18,41.97,0.89,제외
KODEX 200,20일 → 말일+1,287,아래,42.86,-0.5,-142.86,41.11,1.75,제외
KODEX 200,20일 → 말일+2,287,아래,42.51,-0.58,-165.55,41.69,0.82,제외
KODEX 200,20일 → 말일+3,287,아래,44.95,-0.64,-184.21,43.47,1.48,제외
KODEX 200,20일 → 말일-1,287,아래,43.9,-0.22,-63.71,43.08,0.82,제외
KODEX 200,20일 → 말일-2,287,아래,41.81,-0.17,-50.08,41.74,0.07,제외
KODEX 200,20일 → 말일-3,285,아래,45.61,-0.12,-33.69,42.01,3.6,제외
KODEX 200,21일 → 말일,287,아래,42.86,-0.29,-82.12,41.97,0.89,제외
KODEX 200,21일 → 말일+1,287,아래,41.81,-0.39,-110.77,41.11,0.7,제외
KODEX 200,21일 → 말일+2,287,위,58.19,0.47,133.6,57.99,0.2,제외
KODEX 200,21일 → 말일+3,287,아래,44.25,-0.53,-152.44,43.47,0.78,제외
KODEX 200,21일 → 말일-1,287,위,57.84,0.11,32.73,56.5,1.34,제외
KODEX 200,21일 → 말일-2,285,아래,42.81,-0.07,-19.08,41.74,1.06,제외
KODEX 200,21일 → 말일-3,285,아래,43.86,-0.01,-4.01,42.01,1.85,제외
KODEX 200,22일 → 말일,287,아래,42.51,-0.38,-109.63,41.97,0.54,제외
KODEX 200,22일 → 말일+1,287,위,58.89,0.48,137.89,58.59,0.3,제외
KODEX 200,22일 → 말일+2,287,위,58.89,0.56,161.11,57.99,0.89,제외
KODEX 200,22일 → 말일+3,287,아래,44.6,-0.63,-180.2,43.47,1.13,제외
KODEX 200,22일 → 말일-1,287,아래,44.95,-0.21,-59.93,43.08,1.87,제외
KODEX 200,22일 → 말일-2,285,아래,44.56,-0.16,-45.64,41.74,2.82,제외
KODEX 200,22일 → 말일-3,279,아래,46.95,-0.11,-30.7,42.01,4.94,제외
KODEX 200,23일 → 말일,287,아래,41.81,-0.44,-126.52,41.97,-0.15,제외
KODEX 200,23일 → 말일+1,287,아래,41.81,-0.54,-155.09,41.11,0.7,제외
KODEX 200,23일 → 말일+2,287,위,57.84,0.62,177.15,57.99,-0.15,제외
KODEX 200,23일 → 말일+3,287,아래,44.25,-0.69,-197.25,43.47,0.78,제외
KODEX 200,23일 → 말일-1,287,아래,45.64,-0.27,-77.78,43.08,2.56,제외
KODEX 200,23일 → 말일-2,283,아래,42.05,-0.22,-62.27,41.74,0.3,제외
KODEX 200,23일 → 말일-3,267,아래,43.82,-0.17,-46.32,42.01,1.81,제외
KODEX 200,24일 → 말일,287,위,57.84,0.49,141.92,57.52,0.32,제외
KODEX 200,24일 → 말일+1,287,위,59.93,0.59,170.3,58.59,1.35,제외
KODEX 200,24일 → 말일+2,287,아래,42.51,-0.67,-193.43,41.69,0.82,제외
KODEX 200,24일 → 말일+3,287,위,56.79,0.75,213.84,56.14,0.65,제외
KODEX 200,24일 → 말일-1,285,아래,45.61,-0.32,-91.96,43.08,2.53,제외
KODEX 200,24일 → 말일-2,274,위,58.76,0.27,74.65,58.0,0.76,제외
KODEX 200,24일 → 말일-3,243,아래,42.8,-0.22,-53.16,42.01,0.78,제외
KODEX 200,25일 → 말일,287,아래,41.81,-0.42,-119.88,41.97,-0.15,제외
KODEX 200,25일 → 말일+1,287,아래,41.11,-0.52,-148.85,41.11,0.01,제외
KODEX 200,25일 → 말일+2,287,아래,42.16,-0.6,-172.47,41.69,0.47,제외
KODEX 200,25일 → 말일+3,287,위,55.75,0.67,192.2,56.14,-0.39,제외
KODEX 200,25일 → 말일-1,279,아래,47.31,-0.25,-69.94,43.08,4.23,제외
KODEX 200,25일 → 말일-2,266,위,58.65,0.21,56.88,58.0,0.65,제외
KODEX 200,25일 → 말일-3,181,위,60.22,0.22,39.55,57.5,2.72,후보
코스피200 지수,15일 → 말일,440,위,52.5,0.14,61.88,51.59,0.91,판정 안 함
코스피200 지수,15일 → 말일+1,440,위,56.14,0.49,217.58,54.96,1.17,판정 안 함
코스피200 지수,15일 → 말일+2,440,아래,45.23,-0.54,-239.73,45.08,0.15,판정 안 함
코스피200 지수,15일 → 말일+3,440,아래,46.14,-0.65,-286.14,45.94,0.19,판정 안 함
코스피200 지수,15일 → 말일-1,440,위,52.5,-0.02,-9.23,51.04,1.46,판정 안 함
코스피200 지수,15일 → 말일-2,440,위,52.27,-0.11,-46.56,50.4,1.87,판정 안 함
코스피200 지수,15일 → 말일-3,440,위,50.68,-0.14,-61.3,50.16,0.52,판정 안 함
코스피200 지수,16일 → 말일,440,아래,49.55,-0.15,-64.16,48.32,1.23,판정 안 함
코스피200 지수,16일 → 말일+1,440,위,56.14,0.5,219.4,54.96,1.17,판정 안 함
코스피200 지수,16일 → 말일+2,440,위,55.23,0.55,241.59,54.86,0.37,판정 안 함
코스피200 지수,16일 → 말일+3,440,위,54.32,0.65,287.56,54.01,0.31,판정 안 함
코스피200 지수,16일 → 말일-1,440,위,51.36,-0.02,-7.73,51.04,0.32,판정 안 함
코스피200 지수,16일 → 말일-2,440,위,53.18,-0.1,-44.91,50.4,2.78,판정 안 함
코스피200 지수,16일 → 말일-3,440,위,50.91,-0.13,-59.3,50.16,0.75,판정 안 함
코스피200 지수,17일 → 말일,440,아래,48.64,-0.14,-60.62,48.32,0.32,판정 안 함
코스피200 지수,17일 → 말일+1,440,위,55.0,0.49,216.11,54.96,0.04,판정 안 함
코스피200 지수,17일 → 말일+2,440,아래,45.45,-0.54,-238.15,45.08,0.38,판정 안 함
코스피200 지수,17일 → 말일+3,440,위,54.55,0.65,284.19,54.01,0.53,판정 안 함
코스피200 지수,17일 → 말일-1,440,위,51.14,-0.03,-13.12,51.04,0.09,판정 안 함
코스피200 지수,17일 → 말일-2,440,위,51.59,-0.11,-50.45,50.4,1.19,판정 안 함
코스피200 지수,17일 → 말일-3,440,위,50.23,-0.15,-63.83,50.16,0.06,판정 안 함
코스피200 지수,18일 → 말일,440,아래,48.86,-0.13,-59.31,48.32,0.54,판정 안 함
코스피200 지수,18일 → 말일+1,440,위,55.91,0.48,213.06,54.96,0.94,판정 안 함
코스피200 지수,18일 → 말일+2,440,위,55.68,0.54,235.85,54.86,0.82,판정 안 함
코스피200 지수,18일 → 말일+3,440,위,54.77,0.64,281.64,54.01,0.76,판정 안 함
코스피200 지수,18일 → 말일-1,440,위,51.14,-0.03,-14.49,51.04,0.09,판정 안 함
코스피200 지수,18일 → 말일-2,440,위,50.68,-0.12,-52.4,50.4,0.28,판정 안 함
코스피200 지수,18일 → 말일-3,440,위,50.23,-0.15,-66.01,50.16,0.06,판정 안 함
코스피200 지수,19일 → 말일,440,아래,49.32,-0.06,-25.66,48.32,1.0,판정 안 함
코스피200 지수,19일 → 말일+1,440,아래,46.59,-0.41,-179.59,45.0,1.59,판정 안 함
코스피200 지수,19일 → 말일+2,440,아래,46.14,-0.46,-202.68,45.08,1.06,판정 안 함
코스피200 지수,19일 → 말일+3,440,아래,46.14,-0.56,-247.81,45.94,0.19,판정 안 함
코스피200 지수,19일 → 말일-1,440,아래,51.14,0.11,48.8,48.86,2.27,판정 안 함
코스피200 지수,19일 → 말일-2,440,아래,49.77,0.2,86.31,49.5,0.27,판정 안 함
코스피200 지수,19일 → 말일-3,440,아래,51.59,0.23,100.14,49.72,1.87,판정 안 함
코스피200 지수,20일 → 말일,440,아래,49.55,0.04,18.6,48.32,1.23,판정 안 함
코스피200 지수,20일 → 말일+1,440,아래,45.91,-0.31,-134.8,45.0,0.91,판정 안 함
코스피200 지수,20일 → 말일+2,440,아래,45.91,-0.36,-158.61,45.08,0.83,판정 안 함
코스피200 지수,20일 → 말일+3,440,아래,47.73,-0.46,-204.23,45.94,1.78,판정 안 함
코스피200 지수,20일 → 말일-1,440,아래,50.0,0.21,92.89,48.86,1.14,판정 안 함
코스피200 지수,20일 → 말일-2,440,아래,49.55,0.29,129.79,49.5,0.04,판정 안 함
코스피200 지수,20일 → 말일-3,437,아래,53.32,0.33,143.43,49.72,3.6,판정 안 함
코스피200 지수,21일 → 말일,440,아래,48.86,0.03,14.86,48.32,0.54,판정 안 함
코스피200 지수,21일 → 말일+1,440,위,55.0,0.31,138.14,54.96,0.04,판정 안 함
코스피200 지수,21일 → 말일+2,440,아래,45.91,-0.37,-162.37,45.08,0.83,판정 안 함
코스피200 지수,21일 → 말일+3,440,아래,46.82,-0.47,-208.25,45.94,0.87,판정 안 함
코스피200 지수,21일 → 말일-1,440,위,52.05,-0.2,-88.85,51.04,1.0,판정 안 함
코스피200 지수,21일 → 말일-2,437,아래,49.66,0.29,126.82,49.5,0.15,판정 안 함
코스피200 지수,21일 → 말일-3,435,아래,51.26,0.32,139.7,49.72,1.54,판정 안 함
코스피200 지수,22일 → 말일,440,위,51.82,0.09,38.83,51.59,0.23,판정 안 함
코스피200 지수,22일 → 말일+1,440,아래,45.45,-0.43,-190.76,45.0,0.45,판정 안 함
코스피200 지수,22일 → 말일+2,440,위,56.36,0.49,215.2,54.86,1.5,판정 안 함
코스피200 지수,22일 → 말일+3,440,위,54.32,0.59,261.17,54.01,0.31,판정 안 함
코스피200 지수,22일 → 말일-1,439,아래,49.2,0.08,36.28,48.86,0.34,판정 안 함
코스피200 지수,22일 → 말일-2,436,아래,50.69,0.18,78.14,49.5,1.19,판정 안 함
코스피200 지수,22일 → 말일-3,427,아래,53.4,0.22,92.02,49.72,3.68,판정 안 함
코스피200 지수,23일 → 말일,440,위,52.05,0.21,93.57,51.59,0.45,판정 안 함
코스피200 지수,23일 → 말일+1,440,위,55.23,0.56,245.93,54.96,0.26,판정 안 함
코스피200 지수,23일 → 말일+2,440,위,56.36,0.61,269.34,54.86,1.5,판정 안 함
코스피200 지수,23일 → 말일+3,440,위,55.68,0.72,316.39,54.01,1.67,판정 안 함
코스피200 지수,23일 → 말일-1,439,위,51.48,0.04,19.57,51.04,0.44,판정 안 함
코스피200 지수,23일 → 말일-2,431,아래,49.88,0.06,24.47,49.5,0.38,판정 안 함
코스피200 지수,23일 → 말일-3,407,아래,52.33,0.1,40.69,49.72,2.61,판정 안 함
코스피200 지수,24일 → 말일,440,위,53.18,0.25,111.35,51.59,1.59,판정 안 함
코스피200 지수,24일 → 말일+1,440,위,55.68,0.6,264.54,54.96,0.72,판정 안 함
코스피200 지수,24일 → 말일+2,440,위,55.45,0.66,289.01,54.86,0.6,판정 안 함
코스피200 지수,24일 → 말일+3,440,위,55.0,0.76,336.56,54.01,0.99,판정 안 함
코스피200 지수,24일 → 말일-1,434,아래,49.31,-0.08,-35.91,48.86,0.45,판정 안 함
코스피200 지수,24일 → 말일-2,415,위,50.6,-0.01,-4.73,50.4,0.2,판정 안 함
코스피200 지수,24일 → 말일-3,374,위,50.8,-0.07,-27.77,50.16,0.64,판정 안 함
코스피200 지수,25일 → 말일,440,위,52.73,0.31,135.47,51.59,1.14,판정 안 함
코스피200 지수,25일 → 말일+1,440,위,57.5,0.66,290.31,54.96,2.54,판정 안 함
코스피200 지수,25일 → 말일+2,440,위,57.5,0.72,314.82,54.86,2.64,판정 안 함
코스피200 지수,25일 → 말일+3,440,위,58.41,0.82,361.95,54.01,4.4,판정 안 함
코스피200 지수,25일 → 말일-1,426,아래,49.77,-0.14,-60.76,48.86,0.9,판정 안 함
코스피200 지수,25일 → 말일-2,402,위,51.99,0.07,27.22,50.4,1.59,판정 안 함
코스피200 지수,25일 → 말일-3,298,위,54.03,0.02,6.03,50.16,3.86,판정 안 함
코스피 종합지수,15일 → 말일,560,아래,46.79,-0.29,-164.07,45.88,0.91,판정 안 함
코스피 종합지수,15일 → 말일+1,560,아래,44.64,-0.54,-302.64,44.3,0.34,판정 안 함
코스피 종합지수,15일 → 말일+2,560,아래,45.0,-0.61,-339.44,44.4,0.6,판정 안 함
코스피 종합지수,15일 → 말일+3,560,아래,46.79,-0.71,-399.52,45.1,1.68,판정 안 함
코스피 종합지수,15일 → 말일-1,560,위,53.39,0.09,51.69,52.54,0.85,판정 안 함
코스피 종합지수,15일 → 말일-2,560,위,51.25,-0.06,-33.78,51.11,0.14,판정 안 함
코스피 종합지수,15일 → 말일-3,560,아래,50.71,0.09,48.32,49.32,1.39,판정 안 함
코스피 종합지수,16일 → 말일,560,아래,47.86,-0.32,-178.45,45.88,1.98,판정 안 함
코스피 종합지수,16일 → 말일+1,560,위,56.07,0.57,316.76,55.61,0.46,판정 안 함
코스피 종합지수,16일 → 말일+2,560,아래,45.36,-0.63,-353.79,44.4,0.96,판정 안 함
코스피 종합지수,16일 → 말일+3,560,아래,45.18,-0.74,-413.53,45.1,0.08,판정 안 함
코스피 종합지수,16일 → 말일-1,560,아래,47.5,-0.12,-65.47,47.43,0.07,판정 안 함
코스피 종합지수,16일 → 말일-2,560,위,52.14,-0.04,-19.93,51.11,1.04,판정 안 함
코스피 종합지수,16일 → 말일-3,560,아래,49.29,0.06,34.21,49.32,-0.04,판정 안 함
코스피 종합지수,17일 → 말일,560,아래,46.25,-0.32,-177.08,45.88,0.37,판정 안 함
코스피 종합지수,17일 → 말일+1,560,아래,44.64,-0.56,-315.5,44.3,0.34,판정 안 함
코스피 종합지수,17일 → 말일+2,560,아래,45.54,-0.63,-352.38,44.4,1.14,판정 안 함
코스피 종합지수,17일 → 말일+3,560,위,55.89,0.74,412.03,54.86,1.03,판정 안 함
코스피 종합지수,17일 → 말일-1,560,아래,48.75,-0.11,-62.25,47.43,1.32,판정 안 함
코스피 종합지수,17일 → 말일-2,560,위,52.5,-0.04,-23.42,51.11,1.39,판정 안 함
코스피 종합지수,17일 → 말일-3,560,아래,50.18,0.07,36.78,49.32,0.85,판정 안 함
코스피 종합지수,18일 → 말일,560,위,54.82,0.32,178.79,54.08,0.74,판정 안 함
코스피 종합지수,18일 → 말일+1,560,아래,44.64,-0.56,-315.73,44.3,0.34,판정 안 함
코스피 종합지수,18일 → 말일+2,560,아래,44.46,-0.63,-353.07,44.4,0.06,판정 안 함
코스피 종합지수,18일 → 말일+3,560,위,55.36,0.74,412.53,54.86,0.49,판정 안 함
코스피 종합지수,18일 → 말일-1,560,위,53.21,0.11,63.86,52.54,0.67,판정 안 함
코스피 종합지수,18일 → 말일-2,560,위,52.32,-0.04,-22.32,51.11,1.21,판정 안 함
코스피 종합지수,18일 → 말일-3,560,아래,50.89,0.06,36.0,49.32,1.57,판정 안 함
코스피 종합지수,19일 → 말일,560,아래,47.14,-0.25,-138.15,45.88,1.27,판정 안 함
코스피 종합지수,19일 → 말일+1,560,아래,47.32,-0.49,-275.02,44.3,3.02,판정 안 함
코스피 종합지수,19일 → 말일+2,560,아래,45.36,-0.56,-312.54,44.4,0.96,판정 안 함
코스피 종합지수,19일 → 말일+3,560,위,56.25,0.66,371.62,54.86,1.39,판정 안 함
코스피 종합지수,19일 → 말일-1,560,아래,47.86,-0.04,-22.6,47.43,0.43,판정 안 함
코스피 종합지수,19일 → 말일-2,560,위,52.68,-0.11,-63.0,51.11,1.57,판정 안 함
코스피 종합지수,19일 → 말일-3,560,아래,51.43,0.14,77.15,49.32,2.1,판정 안 함
코스피 종합지수,20일 → 말일,560,아래,46.96,-0.17,-97.12,45.88,1.09,판정 안 함
코스피 종합지수,20일 → 말일+1,560,아래,46.25,-0.42,-233.42,44.3,1.95,판정 안 함
코스피 종합지수,20일 → 말일+2,560,아래,45.0,-0.48,-271.51,44.4,0.6,판정 안 함
코스피 종합지수,20일 → 말일+3,560,위,55.0,0.59,330.67,54.86,0.14,판정 안 함
코스피 종합지수,20일 → 말일-1,560,아래,47.5,0.03,18.37,47.43,0.07,판정 안 함
코스피 종합지수,20일 → 말일-2,560,위,52.5,-0.18,-103.56,51.11,1.39,판정 안 함
코스피 종합지수,20일 → 말일-3,555,아래,51.17,0.21,117.51,49.32,1.85,판정 안 함
코스피 종합지수,21일 → 말일,560,아래,46.25,-0.16,-92.27,45.88,0.37,판정 안 함
코스피 종합지수,21일 → 말일+1,560,아래,45.54,-0.41,-228.24,44.3,1.23,판정 안 함
코스피 종합지수,21일 → 말일+2,560,아래,44.64,-0.48,-266.83,44.4,0.24,판정 안 함
코스피 종합지수,21일 → 말일+3,560,위,55.0,0.58,326.41,54.86,0.14,판정 안 함
코스피 종합지수,21일 → 말일-1,560,위,53.04,-0.04,-22.93,52.54,0.49,판정 안 함
코스피 종합지수,21일 → 말일-2,556,아래,49.82,0.2,109.01,48.85,0.97,판정 안 함
코스피 종합지수,21일 → 말일-3,548,아래,49.64,0.22,121.39,49.32,0.31,판정 안 함
코스피 종합지수,22일 → 말일,560,아래,46.61,-0.25,-137.85,45.88,0.73,판정 안 함
코스피 종합지수,22일 → 말일+1,560,아래,45.89,-0.49,-273.06,44.3,1.59,판정 안 함
코스피 종합지수,22일 → 말일+2,560,아래,44.64,-0.56,-312.13,44.4,0.24,판정 안 함
코스피 종합지수,22일 → 말일+3,560,아래,45.54,-0.66,-372.03,45.1,0.43,판정 안 함
코스피 종합지수,22일 → 말일-1,558,아래,47.67,-0.04,-21.62,47.43,0.24,판정 안 함
코스피 종합지수,22일 → 말일-2,550,아래,49.45,0.12,67.27,48.85,0.61,판정 안 함
코스피 종합지수,22일 → 말일-3,537,아래,51.58,0.15,79.91,49.32,2.26,판정 안 함
코스피 종합지수,23일 → 말일,560,위,54.64,0.34,189.88,54.08,0.56,판정 안 함
코스피 종합지수,23일 → 말일+1,560,위,55.71,0.58,325.71,55.61,0.11,판정 안 함
코스피 종합지수,23일 → 말일+2,560,위,56.43,0.65,364.26,55.57,0.86,판정 안 함
코스피 종합지수,23일 → 말일+3,560,위,56.43,0.76,425.41,54.86,1.56,판정 안 함
코스피 종합지수,23일 → 말일-1,553,위,53.89,0.14,74.67,52.54,1.34,판정 안 함
코스피 종합지수,23일 → 말일-2,541,위,52.31,-0.03,-15.29,51.11,1.2,판정 안 함
코스피 종합지수,23일 → 말일-3,517,아래,50.29,0.06,31.87,49.32,0.97,판정 안 함
코스피 종합지수,24일 → 말일,555,위,54.41,0.36,199.41,54.08,0.33,판정 안 함
코스피 종합지수,24일 → 말일+1,560,위,56.96,0.6,336.31,55.61,1.36,판정 안 함
코스피 종합지수,24일 → 말일+2,560,아래,44.82,-0.67,-376.24,44.4,0.42,판정 안 함
코스피 종합지수,24일 → 말일+3,560,아래,45.36,-0.78,-437.81,45.1,0.25,판정 안 함
코스피 종합지수,24일 → 말일-1,544,위,53.31,0.16,86.15,52.54,0.77,판정 안 함
코스피 종합지수,24일 → 말일-2,525,위,52.19,0.01,5.66,51.11,1.08,판정 안 함
코스피 종합지수,24일 → 말일-3,480,위,51.04,-0.04,-17.95,50.61,0.44,판정 안 함
코스피 종합지수,25일 → 말일,555,위,54.59,0.39,216.77,54.08,0.51,판정 안 함
코스피 종합지수,25일 → 말일+1,560,위,58.04,0.63,355.13,55.61,2.43,판정 안 함
코스피 종합지수,25일 → 말일+2,560,위,56.96,0.71,395.02,55.57,1.4,판정 안 함
코스피 종합지수,25일 → 말일+3,560,위,56.61,0.81,456.04,54.86,1.74,판정 안 함
코스피 종합지수,25일 → 말일-1,536,아래,47.57,-0.19,-104.44,47.43,0.14,판정 안 함
코스피 종합지수,25일 → 말일-2,509,위,52.26,0.06,30.44,51.11,1.15,판정 안 함
코스피 종합지수,25일 → 말일-3,399,위,52.13,0.02,8.79,50.61,1.52,판정 안 함
KODEX 코스닥150,15일 → 말일,131,아래,49.62,0.11,14.22,48.59,1.03,제외
KODEX 코스닥150,15일 → 말일+1,131,위,54.2,0.16,21.04,52.48,1.71,제외
KODEX 코스닥150,15일 → 말일+2,131,아래,48.85,-0.14,-18.83,47.18,1.68,제외
KODEX 코스닥150,15일 → 말일+3,130,아래,46.15,-0.3,-38.52,45.43,0.73,제외
KODEX 코스닥150,15일 → 말일-1,131,위,52.67,-0.12,-15.81,51.14,1.53,제외
KODEX 코스닥150,15일 → 말일-2,131,위,51.91,-0.35,-46.48,49.34,2.57,제외
KODEX 코스닥150,15일 → 말일-3,131,위,51.15,-0.24,-30.89,50.26,0.89,제외
KODEX 코스닥150,16일 → 말일,131,아래,48.85,0.22,29.33,48.59,0.27,제외
KODEX 코스닥150,16일 → 말일+1,131,아래,49.62,-0.05,-6.26,47.03,2.59,제외
KODEX 코스닥150,16일 → 말일+2,131,아래,47.33,-0.03,-3.55,47.18,0.15,제외
KODEX 코스닥150,16일 → 말일+3,130,아래,46.15,-0.18,-23.26,45.43,0.73,제외
KODEX 코스닥150,16일 → 말일-1,131,아래,48.85,0.24,31.4,48.53,0.32,제외
KODEX 코스닥150,16일 → 말일-2,131,위,52.67,-0.48,-62.3,49.34,3.33,제외
KODEX 코스닥150,16일 → 말일-3,131,아래,50.38,0.35,46.46,49.19,1.19,제외
KODEX 코스닥150,17일 → 말일,131,아래,50.38,0.22,29.0,48.59,1.8,제외
KODEX 코스닥150,17일 → 말일+1,131,아래,48.85,-0.05,-6.96,47.03,1.82,제외
KODEX 코스닥150,17일 → 말일+2,131,위,54.96,0.03,4.35,52.37,2.59,제외
KODEX 코스닥150,17일 → 말일+3,130,위,55.38,0.18,23.73,54.42,0.96,제외
KODEX 코스닥150,17일 → 말일-1,131,아래,48.85,0.24,30.92,48.53,0.32,제외
KODEX 코스닥150,17일 → 말일-2,131,위,53.44,-0.47,-61.49,49.34,4.09,제외
KODEX 코스닥150,17일 → 말일-3,131,아래,49.62,0.35,45.33,49.19,0.43,제외
KODEX 코스닥150,18일 → 말일,131,아래,50.38,0.14,18.86,48.59,1.8,제외
KODEX 코스닥150,18일 → 말일+1,131,아래,51.15,-0.13,-16.58,47.03,4.11,제외
KODEX 코스닥150,18일 → 말일+2,131,아래,48.85,-0.11,-14.44,47.18,1.68,제외
KODEX 코스닥150,18일 → 말일+3,130,아래,46.92,-0.23,-29.58,45.43,1.5,제외
KODEX 코스닥150,18일 → 말일-1,131,아래,48.85,0.16,21.06,48.53,0.32,제외
KODEX 코스닥150,18일 → 말일-2,131,위,50.38,-0.39,-51.66,49.34,1.04,제외
KODEX 코스닥150,18일 → 말일-3,131,아래,50.38,0.27,35.4,49.19,1.19,제외
KODEX 코스닥150,19일 → 말일,131,아래,49.62,0.1,13.58,48.59,1.03,제외
KODEX 코스닥150,19일 → 말일+1,131,아래,51.91,-0.17,-21.75,47.03,4.88,제외
KODEX 코스닥150,19일 → 말일+2,131,아래,49.62,-0.16,-20.7,47.18,2.44,제외
KODEX 코스닥150,19일 → 말일+3,130,아래,49.23,-0.27,-35.06,45.43,3.8,제외
KODEX 코스닥150,19일 → 말일-1,131,아래,50.38,0.12,16.24,48.53,1.85,제외
KODEX 코스닥150,19일 → 말일-2,131,아래,55.73,0.36,46.94,50.18,5.55,제외
KODEX 코스닥150,19일 → 말일-3,131,아래,58.02,0.23,30.75,49.19,8.83,제외
KODEX 코스닥150,20일 → 말일,131,아래,53.44,0.18,23.7,48.59,4.85,제외
KODEX 코스닥150,20일 → 말일+1,131,아래,52.67,-0.09,-12.16,47.03,5.64,제외
KODEX 코스닥150,20일 → 말일+2,131,아래,51.91,-0.09,-11.16,47.18,4.73,제외
KODEX 코스닥150,20일 → 말일+3,130,아래,46.92,-0.22,-28.46,45.43,1.5,제외
KODEX 코스닥150,20일 → 말일-1,131,아래,53.44,0.2,26.19,48.53,4.91,제외
KODEX 코스닥150,20일 → 말일-2,131,아래,54.96,0.43,56.28,50.18,4.79,제외
KODEX 코스닥150,20일 → 말일-3,130,아래,55.38,0.3,39.38,49.19,6.2,제외
KODEX 코스닥150,21일 → 말일,131,아래,54.2,-0.0,-0.47,48.59,5.61,제외
KODEX 코스닥150,21일 → 말일+1,131,아래,50.38,-0.28,-36.1,47.03,3.35,제외
KODEX 코스닥150,21일 → 말일+2,131,아래,51.15,-0.27,-35.19,47.18,3.97,제외
KODEX 코스닥150,21일 → 말일+3,130,위,54.62,0.36,46.84,54.42,0.19,제외
KODEX 코스닥150,21일 → 말일-1,131,아래,49.62,0.02,2.1,48.53,1.09,제외
KODEX 코스닥150,21일 → 말일-2,130,아래,53.08,0.25,32.44,50.18,2.9,제외
KODEX 코스닥150,21일 → 말일-3,130,아래,53.08,0.12,15.3,49.19,3.89,제외
KODEX 코스닥150,22일 → 말일,131,아래,51.91,-0.07,-8.77,48.59,3.32,제외
KODEX 코스닥150,22일 → 말일+1,131,위,52.67,0.34,44.65,52.48,0.19,제외
