지수,짝 종목,배수,방식,롤 규칙,구간,자기자본 소진 구간 수,잰 시작일 수,자기자본 소진일
KOSPI200,122630,2.0,선물 매일,미결제약정 역전,5,0,4064,
KOSPI200,122630,2.0,선물 월 1회,미결제약정 역전,5,0,4064,
KOSPI200,122630,2.0,선물 그대로,미결제약정 역전,5,0,4064,
KOSPI200,122630,2.0,선물 매일,미결제약정 역전,10,0,4059,
KOSPI200,122630,2.0,선물 월 1회,미결제약정 역전,10,0,4059,
KOSPI200,122630,2.0,선물 그대로,미결제약정 역전,10,0,4059,
KOSPI200,122630,2.0,선물 매일,미결제약정 역전,21,0,4048,
KOSPI200,122630,2.0,선물 월 1회,미결제약정 역전,21,0,4048,
KOSPI200,122630,2.0,선물 그대로,미결제약정 역전,21,0,4048,
KOSPI200,122630,2.0,선물 매일,미결제약정 역전,63,0,4006,
KOSPI200,122630,2.0,선물 월 1회,미결제약정 역전,63,0,4006,
KOSPI200,122630,2.0,선물 그대로,미결제약정 역전,63,0,4006,
KOSPI200,122630,2.0,선물 매일,미결제약정 역전,126,0,3943,
KOSPI200,122630,2.0,선물 월 1회,미결제약정 역전,126,0,3943,
KOSPI200,122630,2.0,선물 그대로,미결제약정 역전,126,0,3943,
KOSPI200,122630,2.0,선물 매일,미결제약정 역전,252,0,3817,
KOSPI200,122630,2.0,선물 월 1회,미결제약정 역전,252,0,3817,
KOSPI200,122630,2.0,선물 그대로,미결제약정 역전,252,0,3817,
KOSPI200,122630,2.0,선물 매일,미결제약정 역전,756,0,3313,
KOSPI200,122630,2.0,선물 월 1회,미결제약정 역전,756,0,3313,
KOSPI200,122630,2.0,선물 그대로,미결제약정 역전,756,0,3313,
KOSPI200,122630,2.0,선물 매일,만기 전 고정,5,0,4064,
KOSPI200,122630,2.0,선물 월 1회,만기 전 고정,5,0,4064,
KOSPI200,122630,2.0,선물 그대로,만기 전 고정,5,0,4064,
KOSPI200,122630,2.0,선물 매일,만기 전 고정,10,0,4059,
KOSPI200,122630,2.0,선물 월 1회,만기 전 고정,10,0,4059,
KOSPI200,122630,2.0,선물 그대로,만기 전 고정,10,0,4059,
KOSPI200,122630,2.0,선물 매일,만기 전 고정,21,0,4048,
KOSPI200,122630,2.0,선물 월 1회,만기 전 고정,21,0,4048,
KOSPI200,122630,2.0,선물 그대로,만기 전 고정,21,0,4048,
KOSPI200,122630,2.0,선물 매일,만기 전 고정,63,0,4006,
KOSPI200,122630,2.0,선물 월 1회,만기 전 고정,63,0,4006,
KOSPI200,122630,2.0,선물 그대로,만기 전 고정,63,0,4006,
KOSPI200,122630,2.0,선물 매일,만기 전 고정,126,0,3943,
KOSPI200,122630,2.0,선물 월 1회,만기 전 고정,126,0,3943,
KOSPI200,122630,2.0,선물 그대로,만기 전 고정,126,0,3943,
KOSPI200,122630,2.0,선물 매일,만기 전 고정,252,0,3817,
KOSPI200,122630,2.0,선물 월 1회,만기 전 고정,252,0,3817,
KOSPI200,122630,2.0,선물 그대로,만기 전 고정,252,0,3817,
KOSPI200,122630,2.0,선물 매일,만기 전 고정,756,0,3313,
KOSPI200,122630,2.0,선물 월 1회,만기 전 고정,756,0,3313,
KOSPI200,122630,2.0,선물 그대로,만기 전 고정,756,0,3313,
KOSPI200,114800,-1.0,선물 매일,미결제약정 역전,5,0,4172,
KOSPI200,114800,-1.0,선물 월 1회,미결제약정 역전,5,0,4172,
KOSPI200,114800,-1.0,선물 그대로,미결제약정 역전,5,0,4172,
KOSPI200,114800,-1.0,선물 매일,미결제약정 역전,10,0,4167,
KOSPI200,114800,-1.0,선물 월 1회,미결제약정 역전,10,0,4167,
KOSPI200,114800,-1.0,선물 그대로,미결제약정 역전,10,0,4167,
KOSPI200,114800,-1.0,선물 매일,미결제약정 역전,21,0,4156,
KOSPI200,114800,-1.0,선물 월 1회,미결제약정 역전,21,0,4156,
KOSPI200,114800,-1.0,선물 그대로,미결제약정 역전,21,0,4156,
KOSPI200,114800,-1.0,선물 매일,미결제약정 역전,63,0,4114,
KOSPI200,114800,-1.0,선물 월 1회,미결제약정 역전,63,0,4114,
KOSPI200,114800,-1.0,선물 그대로,미결제약정 역전,63,0,4114,
KOSPI200,114800,-1.0,선물 매일,미결제약정 역전,126,0,4051,
KOSPI200,114800,-1.0,선물 월 1회,미결제약정 역전,126,0,4051,
KOSPI200,114800,-1.0,선물 그대로,미결제약정 역전,126,45,4051,2025-08-14
KOSPI200,114800,-1.0,선물 매일,미결제약정 역전,252,0,3925,
KOSPI200,114800,-1.0,선물 월 1회,미결제약정 역전,252,0,3925,
KOSPI200,114800,-1.0,선물 그대로,미결제약정 역전,252,164,3925,2020-03-19
KOSPI200,114800,-1.0,선물 매일,미결제약정 역전,756,0,3421,
KOSPI200,114800,-1.0,선물 월 1회,미결제약정 역전,756,0,3421,
KOSPI200,114800,-1.0,선물 그대로,미결제약정 역전,756,165,3421,2022-09-27
KOSPI200,114800,-1.0,선물 매일,만기 전 고정,5,0,4172,
KOSPI200,114800,-1.0,선물 월 1회,만기 전 고정,5,0,4172,
KOSPI200,114800,-1.0,선물 그대로,만기 전 고정,5,0,4172,
KOSPI200,114800,-1.0,선물 매일,만기 전 고정,10,0,4167,
KOSPI200,114800,-1.0,선물 월 1회,만기 전 고정,10,0,4167,
KOSPI200,114800,-1.0,선물 그대로,만기 전 고정,10,0,4167,
KOSPI200,114800,-1.0,선물 매일,만기 전 고정,21,0,4156,
KOSPI200,114800,-1.0,선물 월 1회,만기 전 고정,21,0,4156,
KOSPI200,114800,-1.0,선물 그대로,만기 전 고정,21,0,4156,
KOSPI200,114800,-1.0,선물 매일,만기 전 고정,63,0,4114,
KOSPI200,114800,-1.0,선물 월 1회,만기 전 고정,63,0,4114,
KOSPI200,114800,-1.0,선물 그대로,만기 전 고정,63,0,4114,
KOSPI200,114800,-1.0,선물 매일,만기 전 고정,126,0,4051,
KOSPI200,114800,-1.0,선물 월 1회,만기 전 고정,126,0,4051,
KOSPI200,114800,-1.0,선물 그대로,만기 전 고정,126,45,4051,2025-08-14
KOSPI200,114800,-1.0,선물 매일,만기 전 고정,252,0,3925,
KOSPI200,114800,-1.0,선물 월 1회,만기 전 고정,252,0,3925,
KOSPI200,114800,-1.0,선물 그대로,만기 전 고정,252,162,3925,2020-03-19
KOSPI200,114800,-1.0,선물 매일,만기 전 고정,756,0,3421,
KOSPI200,114800,-1.0,선물 월 1회,만기 전 고정,756,0,3421,
KOSPI200,114800,-1.0,선물 그대로,만기 전 고정,756,166,3421,2022-09-27
KOSPI200,252670,-2.0,선물 매일,미결제약정 역전,5,0,2435,
KOSPI200,252670,-2.0,선물 월 1회,미결제약정 역전,5,0,2435,
KOSPI200,252670,-2.0,선물 그대로,미결제약정 역전,5,0,2435,
KOSPI200,252670,-2.0,선물 매일,미결제약정 역전,10,0,2430,
KOSPI200,252670,-2.0,선물 월 1회,미결제약정 역전,10,0,2430,
KOSPI200,252670,-2.0,선물 그대로,미결제약정 역전,10,0,2430,
KOSPI200,252670,-2.0,선물 매일,미결제약정 역전,21,0,2419,
KOSPI200,252670,-2.0,선물 월 1회,미결제약정 역전,21,0,2419,
KOSPI200,252670,-2.0,선물 그대로,미결제약정 역전,21,0,2419,
KOSPI200,252670,-2.0,선물 매일,미결제약정 역전,63,0,2377,
KOSPI200,252670,-2.0,선물 월 1회,미결제약정 역전,63,0,2377,
KOSPI200,252670,-2.0,선물 그대로,미결제약정 역전,63,34,2377,2025-11-18
KOSPI200,252670,-2.0,선물 매일,미결제약정 역전,126,0,2314,
KOSPI200,252670,-2.0,선물 월 1회,미결제약정 역전,126,0,2314,
KOSPI200,252670,-2.0,선물 그대로,미결제약정 역전,126,193,2314,2020-03-18
KOSPI200,252670,-2.0,선물 매일,미결제약정 역전,252,0,2188,
KOSPI200,252670,-2.0,선물 월 1회,미결제약정 역전,252,0,2188,
KOSPI200,252670,-2.0,선물 그대로,미결제약정 역전,252,326,2188,2020-01-02
KOSPI200,252670,-2.0,선물 매일,미결제약정 역전,756,0,1684,
KOSPI200,252670,-2.0,선물 월 1회,미결제약정 역전,756,0,1684,
KOSPI200,252670,-2.0,선물 그대로,미결제약정 역전,756,284,1684,2018-06-21
KOSPI200,252670,-2.0,선물 매일,만기 전 고정,5,0,2435,
KOSPI200,252670,-2.0,선물 월 1회,만기 전 고정,5,0,2435,
KOSPI200,252670,-2.0,선물 그대로,만기 전 고정,5,0,2435,
KOSPI200,252670,-2.0,선물 매일,만기 전 고정,10,0,2430,
KOSPI200,252670,-2.0,선물 월 1회,만기 전 고정,10,0,2430,
KOSPI200,252670,-2.0,선물 그대로,만기 전 고정,10,0,2430,
KOSPI200,252670,-2.0,선물 매일,만기 전 고정,21,0,2419,
KOSPI200,252670,-2.0,선물 월 1회,만기 전 고정,21,0,2419,
KOSPI200,252670,-2.0,선물 그대로,만기 전 고정,21,0,2419,
KOSPI200,252670,-2.0,선물 매일,만기 전 고정,63,0,2377,
KOSPI200,252670,-2.0,선물 월 1회,만기 전 고정,63,0,2377,
KOSPI200,252670,-2.0,선물 그대로,만기 전 고정,63,34,2377,2025-11-18
KOSPI200,252670,-2.0,선물 매일,만기 전 고정,126,0,2314,
KOSPI200,252670,-2.0,선물 월 1회,만기 전 고정,126,0,2314,
KOSPI200,252670,-2.0,선물 그대로,만기 전 고정,126,189,2314,2020-03-18
KOSPI200,252670,-2.0,선물 매일,만기 전 고정,252,0,2188,
KOSPI200,252670,-2.0,선물 월 1회,만기 전 고정,252,0,2188,
KOSPI200,252670,-2.0,선물 그대로,만기 전 고정,252,317,2188,2020-01-02
KOSPI200,252670,-2.0,선물 매일,만기 전 고정,756,0,1684,
KOSPI200,252670,-2.0,선물 월 1회,만기 전 고정,756,0,1684,
KOSPI200,252670,-2.0,선물 그대로,만기 전 고정,756,275,1684,2018-07-02
KOSDAQ150,233740,2.0,선물 매일,미결제약정 역전,5,0,2620,
KOSDAQ150,233740,2.0,선물 월 1회,미결제약정 역전,5,0,2620,
KOSDAQ150,233740,2.0,선물 그대로,미결제약정 역전,5,0,2620,
KOSDAQ150,233740,2.0,선물 매일,미결제약정 역전,10,0,2615,
KOSDAQ150,233740,2.0,선물 월 1회,미결제약정 역전,10,0,2615,
KOSDAQ150,233740,2.0,선물 그대로,미결제약정 역전,10,0,2615,
KOSDAQ150,233740,2.0,선물 매일,미결제약정 역전,21,0,2604,
KOSDAQ150,233740,2.0,선물 월 1회,미결제약정 역전,21,0,2604,
KOSDAQ150,233740,2.0,선물 그대로,미결제약정 역전,21,0,2604,
KOSDAQ150,233740,2.0,선물 매일,미결제약정 역전,63,0,2562,
KOSDAQ150,233740,2.0,선물 월 1회,미결제약정 역전,63,0,2562,
KOSDAQ150,233740,2.0,선물 그대로,미결제약정 역전,63,0,2562,
KOSDAQ150,233740,2.0,선물 매일,미결제약정 역전,126,0,2499,
KOSDAQ150,233740,2.0,선물 월 1회,미결제약정 역전,126,0,2499,
KOSDAQ150,233740,2.0,선물 그대로,미결제약정 역전,126,0,2499,
KOSDAQ150,233740,2.0,선물 매일,미결제약정 역전,252,0,2373,
KOSDAQ150,233740,2.0,선물 월 1회,미결제약정 역전,252,0,2373,
