지수,짝 종목,배수,방식,롤 규칙,구간,자기자본 소진 구간 수,잰 시작일 수,자기자본 소진일
KOSDAQ150,233740,2.0,선물 그대로,미결제약정 역전,252,0,2373,
KOSDAQ150,233740,2.0,선물 매일,미결제약정 역전,756,0,1869,
KOSDAQ150,233740,2.0,선물 월 1회,미결제약정 역전,756,0,1869,
KOSDAQ150,233740,2.0,선물 그대로,미결제약정 역전,756,0,1869,
KOSDAQ150,233740,2.0,선물 매일,만기 전 고정,5,0,2620,
KOSDAQ150,233740,2.0,선물 월 1회,만기 전 고정,5,0,2620,
KOSDAQ150,233740,2.0,선물 그대로,만기 전 고정,5,0,2620,
KOSDAQ150,233740,2.0,선물 매일,만기 전 고정,10,0,2615,
KOSDAQ150,233740,2.0,선물 월 1회,만기 전 고정,10,0,2615,
KOSDAQ150,233740,2.0,선물 그대로,만기 전 고정,10,0,2615,
KOSDAQ150,233740,2.0,선물 매일,만기 전 고정,21,0,2604,
KOSDAQ150,233740,2.0,선물 월 1회,만기 전 고정,21,0,2604,
KOSDAQ150,233740,2.0,선물 그대로,만기 전 고정,21,0,2604,
KOSDAQ150,233740,2.0,선물 매일,만기 전 고정,63,0,2562,
KOSDAQ150,233740,2.0,선물 월 1회,만기 전 고정,63,0,2562,
KOSDAQ150,233740,2.0,선물 그대로,만기 전 고정,63,0,2562,
KOSDAQ150,233740,2.0,선물 매일,만기 전 고정,126,0,2499,
KOSDAQ150,233740,2.0,선물 월 1회,만기 전 고정,126,0,2499,
KOSDAQ150,233740,2.0,선물 그대로,만기 전 고정,126,0,2499,
KOSDAQ150,233740,2.0,선물 매일,만기 전 고정,252,0,2373,
KOSDAQ150,233740,2.0,선물 월 1회,만기 전 고정,252,0,2373,
KOSDAQ150,233740,2.0,선물 그대로,만기 전 고정,252,0,2373,
KOSDAQ150,233740,2.0,선물 매일,만기 전 고정,756,0,1869,
KOSDAQ150,233740,2.0,선물 월 1회,만기 전 고정,756,0,1869,
KOSDAQ150,233740,2.0,선물 그대로,만기 전 고정,756,0,1869,
KOSDAQ150,251340,-1.0,선물 매일,미결제약정 역전,5,0,2462,
KOSDAQ150,251340,-1.0,선물 월 1회,미결제약정 역전,5,0,2462,
KOSDAQ150,251340,-1.0,선물 그대로,미결제약정 역전,5,0,2462,
KOSDAQ150,251340,-1.0,선물 매일,미결제약정 역전,10,0,2457,
KOSDAQ150,251340,-1.0,선물 월 1회,미결제약정 역전,10,0,2457,
KOSDAQ150,251340,-1.0,선물 그대로,미결제약정 역전,10,0,2457,
KOSDAQ150,251340,-1.0,선물 매일,미결제약정 역전,21,0,2446,
KOSDAQ150,251340,-1.0,선물 월 1회,미결제약정 역전,21,0,2446,
KOSDAQ150,251340,-1.0,선물 그대로,미결제약정 역전,21,0,2446,
KOSDAQ150,251340,-1.0,선물 매일,미결제약정 역전,63,0,2404,
KOSDAQ150,251340,-1.0,선물 월 1회,미결제약정 역전,63,0,2404,
KOSDAQ150,251340,-1.0,선물 그대로,미결제약정 역전,63,0,2404,
KOSDAQ150,251340,-1.0,선물 매일,미결제약정 역전,126,0,2341,
KOSDAQ150,251340,-1.0,선물 월 1회,미결제약정 역전,126,0,2341,
KOSDAQ150,251340,-1.0,선물 그대로,미결제약정 역전,126,1,2341,2020-03-19
KOSDAQ150,251340,-1.0,선물 매일,미결제약정 역전,252,0,2215,
KOSDAQ150,251340,-1.0,선물 월 1회,미결제약정 역전,252,0,2215,
KOSDAQ150,251340,-1.0,선물 그대로,미결제약정 역전,252,2,2215,2020-03-19
KOSDAQ150,251340,-1.0,선물 매일,미결제약정 역전,756,0,1711,
KOSDAQ150,251340,-1.0,선물 월 1회,미결제약정 역전,756,0,1711,
KOSDAQ150,251340,-1.0,선물 그대로,미결제약정 역전,756,9,1711,2020-03-19
KOSDAQ150,251340,-1.0,선물 매일,만기 전 고정,5,0,2462,
KOSDAQ150,251340,-1.0,선물 월 1회,만기 전 고정,5,0,2462,
KOSDAQ150,251340,-1.0,선물 그대로,만기 전 고정,5,0,2462,
KOSDAQ150,251340,-1.0,선물 매일,만기 전 고정,10,0,2457,
KOSDAQ150,251340,-1.0,선물 월 1회,만기 전 고정,10,0,2457,
KOSDAQ150,251340,-1.0,선물 그대로,만기 전 고정,10,0,2457,
KOSDAQ150,251340,-1.0,선물 매일,만기 전 고정,21,0,2446,
KOSDAQ150,251340,-1.0,선물 월 1회,만기 전 고정,21,0,2446,
KOSDAQ150,251340,-1.0,선물 그대로,만기 전 고정,21,0,2446,
KOSDAQ150,251340,-1.0,선물 매일,만기 전 고정,63,0,2404,
KOSDAQ150,251340,-1.0,선물 월 1회,만기 전 고정,63,0,2404,
KOSDAQ150,251340,-1.0,선물 그대로,만기 전 고정,63,0,2404,
KOSDAQ150,251340,-1.0,선물 매일,만기 전 고정,126,0,2341,
KOSDAQ150,251340,-1.0,선물 월 1회,만기 전 고정,126,0,2341,
KOSDAQ150,251340,-1.0,선물 그대로,만기 전 고정,126,1,2341,2020-03-19
KOSDAQ150,251340,-1.0,선물 매일,만기 전 고정,252,0,2215,
KOSDAQ150,251340,-1.0,선물 월 1회,만기 전 고정,252,0,2215,
KOSDAQ150,251340,-1.0,선물 그대로,만기 전 고정,252,2,2215,2020-03-19
KOSDAQ150,251340,-1.0,선물 매일,만기 전 고정,756,0,1711,
KOSDAQ150,251340,-1.0,선물 월 1회,만기 전 고정,756,0,1711,
KOSDAQ150,251340,-1.0,선물 그대로,만기 전 고정,756,8,1711,2020-03-19
KOSDAQ150,530107,-2.0,선물 매일,미결제약정 역전,5,0,944,
KOSDAQ150,530107,-2.0,선물 월 1회,미결제약정 역전,5,0,944,
KOSDAQ150,530107,-2.0,선물 그대로,미결제약정 역전,5,0,944,
KOSDAQ150,530107,-2.0,선물 매일,미결제약정 역전,10,0,939,
KOSDAQ150,530107,-2.0,선물 월 1회,미결제약정 역전,10,0,939,
KOSDAQ150,530107,-2.0,선물 그대로,미결제약정 역전,10,0,939,
KOSDAQ150,530107,-2.0,선물 매일,미결제약정 역전,21,0,928,
KOSDAQ150,530107,-2.0,선물 월 1회,미결제약정 역전,21,0,928,
KOSDAQ150,530107,-2.0,선물 그대로,미결제약정 역전,21,0,928,
KOSDAQ150,530107,-2.0,선물 매일,미결제약정 역전,63,0,886,
KOSDAQ150,530107,-2.0,선물 월 1회,미결제약정 역전,63,0,886,
KOSDAQ150,530107,-2.0,선물 그대로,미결제약정 역전,63,0,886,
KOSDAQ150,530107,-2.0,선물 매일,미결제약정 역전,126,0,823,
KOSDAQ150,530107,-2.0,선물 월 1회,미결제약정 역전,126,0,823,
KOSDAQ150,530107,-2.0,선물 그대로,미결제약정 역전,126,13,823,2023-01-17
KOSDAQ150,530107,-2.0,선물 매일,미결제약정 역전,252,0,697,
KOSDAQ150,530107,-2.0,선물 월 1회,미결제약정 역전,252,0,697,
KOSDAQ150,530107,-2.0,선물 그대로,미결제약정 역전,252,80,697,2025-01-10
KOSDAQ150,530107,-2.0,선물 매일,미결제약정 역전,756,0,193,
KOSDAQ150,530107,-2.0,선물 월 1회,미결제약정 역전,756,0,193,
KOSDAQ150,530107,-2.0,선물 그대로,미결제약정 역전,756,102,193,2022-10-17
KOSDAQ150,530107,-2.0,선물 매일,만기 전 고정,5,0,944,
KOSDAQ150,530107,-2.0,선물 월 1회,만기 전 고정,5,0,944,
KOSDAQ150,530107,-2.0,선물 그대로,만기 전 고정,5,0,944,
KOSDAQ150,530107,-2.0,선물 매일,만기 전 고정,10,0,939,
KOSDAQ150,530107,-2.0,선물 월 1회,만기 전 고정,10,0,939,
KOSDAQ150,530107,-2.0,선물 그대로,만기 전 고정,10,0,939,
KOSDAQ150,530107,-2.0,선물 매일,만기 전 고정,21,0,928,
KOSDAQ150,530107,-2.0,선물 월 1회,만기 전 고정,21,0,928,
KOSDAQ150,530107,-2.0,선물 그대로,만기 전 고정,21,0,928,
KOSDAQ150,530107,-2.0,선물 매일,만기 전 고정,63,0,886,
KOSDAQ150,530107,-2.0,선물 월 1회,만기 전 고정,63,0,886,
KOSDAQ150,530107,-2.0,선물 그대로,만기 전 고정,63,0,886,
KOSDAQ150,530107,-2.0,선물 매일,만기 전 고정,126,0,823,
KOSDAQ150,530107,-2.0,선물 월 1회,만기 전 고정,126,0,823,
KOSDAQ150,530107,-2.0,선물 그대로,만기 전 고정,126,11,823,2023-01-17
KOSDAQ150,530107,-2.0,선물 매일,만기 전 고정,252,0,697,
KOSDAQ150,530107,-2.0,선물 월 1회,만기 전 고정,252,0,697,
KOSDAQ150,530107,-2.0,선물 그대로,만기 전 고정,252,81,697,2025-01-10
KOSDAQ150,530107,-2.0,선물 매일,만기 전 고정,756,0,193,
KOSDAQ150,530107,-2.0,선물 월 1회,만기 전 고정,756,0,193,
KOSDAQ150,530107,-2.0,선물 그대로,만기 전 고정,756,105,193,2022-10-17
