지수,짝 종목,배수,롤 규칙,구간,표본,비중첩 표본,롤·베이시스 몫(%p),리밸런싱 오차(%p),그대로 두기 오차(%p),여유현금 이자(%p),잔여(%p),선물 − ETF(%p),선물 그대로 − ETF(%p),배당 보정분(%p)
KOSPI200,122630,2.0,미결제약정 역전,5,4064,813,-0.0,0.01,0.01,0.05,0.01,0.0,0.01,-0.08
KOSPI200,122630,2.0,미결제약정 역전,10,4059,406,-0.0,0.02,0.02,0.1,0.01,0.0,0.02,-0.15
KOSPI200,122630,2.0,미결제약정 역전,21,4048,193,-0.01,-0.01,-0.01,0.2,0.02,-0.0,-0.01,-0.32
KOSPI200,122630,2.0,미결제약정 역전,63,4006,64,-0.03,-0.04,-0.14,0.63,0.02,-0.04,-0.17,-0.96
KOSPI200,122630,2.0,미결제약정 역전,126,3943,32,-0.05,-0.18,-1.92,1.37,0.05,-0.06,-1.97,-1.92
KOSPI200,122630,2.0,미결제약정 역전,252,3817,16,-0.06,-0.9,-9.3,3.21,0.17,0.05,-9.24,-3.84
KOSPI200,122630,2.0,미결제약정 역전,756,3313,5,-0.03,-0.38,-4.55,10.84,-1.69,-1.74,-6.29,-11.52
KOSPI200,122630,2.0,만기 전 고정,5,4064,813,-0.01,0.01,0.01,0.05,0.01,-0.0,0.01,-0.08
KOSPI200,122630,2.0,만기 전 고정,10,4059,406,-0.01,0.02,0.02,0.1,0.01,-0.01,0.01,-0.15
KOSPI200,122630,2.0,만기 전 고정,21,4048,193,-0.02,-0.0,-0.0,0.2,0.02,-0.03,-0.04,-0.32
KOSPI200,122630,2.0,만기 전 고정,63,4006,64,-0.07,-0.02,-0.11,0.63,-0.0,-0.15,-0.26,-0.96
KOSPI200,122630,2.0,만기 전 고정,126,3943,32,-0.15,-0.15,-1.83,1.37,-0.04,-0.34,-2.17,-1.92
KOSPI200,122630,2.0,만기 전 고정,252,3817,16,-0.33,-0.81,-8.92,3.19,-0.22,-0.87,-9.78,-3.84
KOSPI200,122630,2.0,만기 전 고정,756,3313,5,-0.83,-0.33,-4.13,10.72,-2.11,-3.76,-7.89,-11.52
KOSPI200,114800,-1.0,미결제약정 역전,5,4172,835,-0.0,0.01,0.01,0.05,-0.02,-0.02,-0.01,0.04
KOSPI200,114800,-1.0,미결제약정 역전,10,4167,417,-0.0,0.02,0.02,0.09,-0.04,-0.04,-0.01,0.08
KOSPI200,114800,-1.0,미결제약정 역전,21,4156,198,-0.01,0.01,0.01,0.2,-0.09,-0.08,-0.07,0.16
KOSPI200,114800,-1.0,미결제약정 역전,63,4114,66,-0.02,-0.03,-0.13,0.58,-0.26,-0.24,-0.38,0.48
KOSPI200,114800,-1.0,미결제약정 역전,126,4051,33,-0.04,0.0,-1.05,1.13,-0.54,-0.5,-1.55,0.96
KOSPI200,114800,-1.0,미결제약정 역전,252,3925,16,-0.07,0.15,-1.31,2.2,-1.05,-0.98,-2.29,1.92
KOSPI200,114800,-1.0,미결제약정 역전,756,3421,5,-0.15,0.45,2.86,5.78,-2.82,-2.67,0.19,5.76
KOSPI200,114800,-1.0,만기 전 고정,5,4172,835,-0.0,0.01,0.01,0.05,-0.02,-0.02,-0.0,0.04
KOSPI200,114800,-1.0,만기 전 고정,10,4167,417,-0.01,0.02,0.02,0.09,-0.04,-0.03,-0.01,0.08
KOSPI200,114800,-1.0,만기 전 고정,21,4156,198,-0.02,0.01,0.01,0.2,-0.09,-0.07,-0.05,0.16
KOSPI200,114800,-1.0,만기 전 고정,63,4114,66,-0.06,-0.02,-0.12,0.58,-0.28,-0.22,-0.34,0.48
KOSPI200,114800,-1.0,만기 전 고정,126,4051,33,-0.13,0.0,-1.02,1.13,-0.57,-0.44,-1.46,0.96
KOSPI200,114800,-1.0,만기 전 고정,252,3925,16,-0.3,0.14,-1.26,2.2,-1.17,-0.87,-2.13,1.92
KOSPI200,114800,-1.0,만기 전 고정,756,3421,5,-0.86,0.43,3.07,5.81,-3.06,-2.2,0.87,5.76
KOSPI200,252670,-2.0,미결제약정 역전,5,2435,487,0.0,0.05,0.05,0.04,0.02,0.01,0.06,0.08
KOSPI200,252670,-2.0,미결제약정 역전,10,2430,243,0.01,0.09,0.09,0.09,0.03,0.01,0.1,0.15
KOSPI200,252670,-2.0,미결제약정 역전,21,2419,116,0.02,-0.02,-0.02,0.18,0.05,0.01,-0.01,0.32
KOSPI200,252670,-2.0,미결제약정 역전,63,2377,38,0.08,-0.34,-1.0,0.5,0.12,-0.04,-1.04,0.96
KOSPI200,252670,-2.0,미결제약정 역전,126,2314,19,0.15,-0.22,-2.31,0.96,0.18,-0.11,-2.42,1.92
KOSPI200,252670,-2.0,미결제약정 역전,252,2188,9,0.33,0.33,-1.2,1.83,0.49,-0.18,-1.38,3.84
KOSPI200,252670,-2.0,미결제약정 역전,756,1684,3,0.94,0.2,8.79,3.78,1.53,-0.35,8.44,11.52
KOSPI200,252670,-2.0,만기 전 고정,5,2435,487,0.0,0.05,0.05,0.04,0.01,0.01,0.06,0.08
KOSPI200,252670,-2.0,만기 전 고정,10,2430,243,0.01,0.1,0.1,0.09,0.02,0.01,0.11,0.15
KOSPI200,252670,-2.0,만기 전 고정,21,2419,116,0.01,0.0,0.0,0.18,0.03,0.01,0.01,0.32
KOSPI200,252670,-2.0,만기 전 고정,63,2377,38,0.04,-0.31,-0.92,0.5,0.03,-0.05,-0.97,0.96
KOSPI200,252670,-2.0,만기 전 고정,126,2314,19,0.05,-0.22,-2.19,0.95,-0.03,-0.14,-2.33,1.92
KOSPI200,252670,-2.0,만기 전 고정,252,2188,9,0.1,0.32,-1.06,1.82,-0.09,-0.29,-1.35,3.84
KOSPI200,252670,-2.0,만기 전 고정,756,1684,3,0.45,0.18,9.64,3.76,0.49,-0.41,9.22,11.52
KOSDAQ150,233740,2.0,미결제약정 역전,5,2620,524,0.04,0.04,0.04,0.04,-0.0,0.08,0.12,-0.02
KOSDAQ150,233740,2.0,미결제약정 역전,10,2615,262,0.08,0.09,0.09,0.09,-0.01,0.15,0.24,-0.05
KOSDAQ150,233740,2.0,미결제약정 역전,21,2604,124,0.18,0.2,0.2,0.18,-0.05,0.3,0.49,-0.1
KOSDAQ150,233740,2.0,미결제약정 역전,63,2562,41,0.57,0.52,0.65,0.55,-0.24,0.9,1.56,-0.31
KOSDAQ150,233740,2.0,미결제약정 역전,126,2499,20,1.19,1.03,0.95,1.17,-0.47,1.92,2.87,-0.63
KOSDAQ150,233740,2.0,미결제약정 역전,252,2373,10,2.39,2.09,1.93,2.5,-0.73,4.05,5.98,-1.26
KOSDAQ150,233740,2.0,미결제약정 역전,756,1869,3,7.34,5.37,27.11,7.11,-3.78,10.9,38.01,-3.77
KOSDAQ150,233740,2.0,만기 전 고정,5,2620,524,0.04,0.04,0.04,0.04,-0.0,0.08,0.12,-0.02
KOSDAQ150,233740,2.0,만기 전 고정,10,2615,262,0.08,0.1,0.1,0.09,-0.02,0.14,0.24,-0.05
KOSDAQ150,233740,2.0,만기 전 고정,21,2604,124,0.17,0.22,0.22,0.18,-0.08,0.27,0.49,-0.1
KOSDAQ150,233740,2.0,만기 전 고정,63,2562,41,0.56,0.58,0.71,0.55,-0.3,0.82,1.53,-0.31
KOSDAQ150,233740,2.0,만기 전 고정,126,2499,20,1.09,1.14,1.06,1.17,-0.58,1.61,2.67,-0.63
KOSDAQ150,233740,2.0,만기 전 고정,252,2373,10,2.12,2.29,2.17,2.5,-0.97,3.28,5.45,-1.26
KOSDAQ150,233740,2.0,만기 전 고정,756,1869,3,6.33,5.85,27.41,7.05,-4.08,8.58,36.0,-3.77
KOSDAQ150,251340,-1.0,미결제약정 역전,5,2462,493,0.04,0.04,0.04,0.04,0.01,-0.02,0.02,0.01
