지수,짝 종목,배수,롤 규칙,구간,표본,비중첩 표본,롤·베이시스 몫(%p),리밸런싱 오차(%p),그대로 두기 오차(%p),여유현금 이자(%p),잔여(%p),선물 − ETF(%p),선물 그대로 − ETF(%p),배당 보정분(%p)
KOSDAQ150,251340,-1.0,미결제약정 역전,10,2457,246,0.07,0.1,0.1,0.09,0.02,-0.05,0.05,0.02
KOSDAQ150,251340,-1.0,미결제약정 역전,21,2446,117,0.15,0.21,0.21,0.18,0.04,-0.1,0.11,0.05
KOSDAQ150,251340,-1.0,미결제약정 역전,63,2404,39,0.44,0.6,0.75,0.54,0.1,-0.33,0.42,0.16
KOSDAQ150,251340,-1.0,미결제약정 역전,126,2341,19,0.89,1.06,0.98,1.03,0.22,-0.66,0.31,0.31
KOSDAQ150,251340,-1.0,미결제약정 역전,252,2215,9,1.89,1.64,0.82,1.95,0.54,-1.36,-0.54,0.63
KOSDAQ150,251340,-1.0,미결제약정 역전,756,1711,3,6.54,3.4,16.15,4.42,3.57,-2.98,13.17,1.88
KOSDAQ150,251340,-1.0,만기 전 고정,5,2462,493,0.04,0.05,0.05,0.04,0.01,-0.03,0.02,0.01
KOSDAQ150,251340,-1.0,만기 전 고정,10,2457,246,0.07,0.11,0.11,0.09,0.01,-0.06,0.05,0.02
KOSDAQ150,251340,-1.0,만기 전 고정,21,2446,117,0.14,0.24,0.24,0.18,0.02,-0.12,0.12,0.05
KOSDAQ150,251340,-1.0,만기 전 고정,63,2404,39,0.4,0.68,0.82,0.53,0.03,-0.37,0.45,0.16
KOSDAQ150,251340,-1.0,만기 전 고정,126,2341,19,0.8,1.14,1.07,1.03,0.13,-0.67,0.4,0.31
KOSDAQ150,251340,-1.0,만기 전 고정,252,2215,9,1.66,1.75,0.98,1.95,0.37,-1.29,-0.3,0.63
KOSDAQ150,251340,-1.0,만기 전 고정,756,1711,3,5.57,3.62,16.88,4.4,2.83,-2.74,14.15,1.88
KOSDAQ150,530107,-2.0,미결제약정 역전,5,944,189,-0.03,0.24,0.24,0.07,-0.03,0.02,0.26,0.02
KOSDAQ150,530107,-2.0,미결제약정 역전,10,939,94,-0.05,0.62,0.62,0.13,-0.07,0.04,0.66,0.05
KOSDAQ150,530107,-2.0,미결제약정 역전,21,928,45,-0.12,1.47,1.47,0.27,-0.15,0.09,1.56,0.1
KOSDAQ150,530107,-2.0,미결제약정 역전,63,886,15,-0.34,4.03,4.57,0.76,-0.42,0.27,4.84,0.31
KOSDAQ150,530107,-2.0,미결제약정 역전,126,823,7,-0.58,6.48,7.31,1.31,-1.14,0.01,7.31,0.63
KOSDAQ150,530107,-2.0,미결제약정 역전,252,697,3,-1.12,9.46,13.59,2.23,-2.49,-0.25,13.34,1.26
KOSDAQ150,530107,-2.0,미결제약정 역전,756,193,1,-4.07,8.59,13.08,1.78,-8.19,-0.06,13.02,3.77
KOSDAQ150,530107,-2.0,만기 전 고정,5,944,189,-0.01,0.27,0.27,0.07,-0.06,-0.03,0.24,0.02
KOSDAQ150,530107,-2.0,만기 전 고정,10,939,94,-0.03,0.68,0.68,0.13,-0.13,-0.07,0.61,0.05
KOSDAQ150,530107,-2.0,만기 전 고정,21,928,45,-0.07,1.63,1.63,0.27,-0.3,-0.16,1.46,0.1
KOSDAQ150,530107,-2.0,만기 전 고정,63,886,15,-0.23,4.51,5.13,0.75,-0.97,-0.51,4.62,0.31
KOSDAQ150,530107,-2.0,만기 전 고정,126,823,7,-0.46,6.8,7.72,1.3,-1.58,-0.66,7.06,0.63
KOSDAQ150,530107,-2.0,만기 전 고정,252,697,3,-0.82,9.66,13.7,2.2,-2.67,-1.03,12.67,1.26
KOSDAQ150,530107,-2.0,만기 전 고정,756,193,1,-3.05,8.84,12.13,1.69,-6.96,-0.85,11.28,3.77
