종목,테스트,파라미터,시작연도,방향,시대 구간,구간,표본,거는 방향,적중률(%),방향 기대값(%),합산 수익률(%),기준선(%),기준선 대비 차이(%p),1차 판정
QQQ,테스트 A(역대급 등락),K=5,2005,폭락,전체,2주,3,위,100.0,8.5,25.51,61.71,38.29,후보
QQQ,테스트 A(역대급 등락),K=5,2005,폭락,전체,1개월,3,위,66.67,12.58,37.75,64.96,1.71,후보
QQQ,테스트 A(역대급 등락),K=5,2005,역방향 전체,전체,1일,6,위,100.0,5.05,30.31,49.76,50.24,후보
QQQ,테스트 A(역대급 등락),K=5,2005,역방향 전체,전체,2일,6,위,66.67,2.94,17.65,49.8,16.87,후보
QQQ,테스트 A(역대급 등락),K=5,2005,역방향 전체,전체,3일,6,위,83.33,3.82,22.92,49.94,33.4,후보
QQQ,테스트 A(역대급 등락),K=5,2005,역방향 전체,전체,1주,6,위,83.33,0.86,5.15,49.91,33.43,후보
QQQ,테스트 A(역대급 등락),K=5,2005,역방향 전체,전체,2주,6,위,83.33,8.18,49.08,49.92,33.42,후보
QQQ,테스트 A(역대급 등락),K=5,2005,역방향 전체,전체,1개월,6,위,66.67,9.2,55.23,49.95,16.71,후보
QQQ,테스트 A(역대급 등락),K=10,2005,폭등,전체,1일,3,아래,100.0,2.94,8.83,44.38,55.62,후보
QQQ,테스트 A(역대급 등락),K=10,2005,폭등,전체,2일,3,아래,66.67,4.1,12.31,42.84,23.82,후보
QQQ,테스트 A(역대급 등락),K=10,2005,폭등,전체,3일,3,아래,66.67,2.26,6.77,41.93,24.73,후보
QQQ,테스트 A(역대급 등락),K=10,2005,폭등,전체,1주,3,아래,66.67,1.41,4.24,40.7,25.97,후보
QQQ,테스트 A(역대급 등락),K=10,2005,폭등,전체,2주,3,아래,66.67,7.86,23.57,38.13,28.54,후보
QQQ,테스트 A(역대급 등락),K=10,2005,폭등,전체,1개월,3,아래,66.67,5.83,17.48,34.95,31.72,후보
QQQ,테스트 A(역대급 등락),K=10,2005,폭락,전체,1일,4,위,100.0,6.09,24.36,55.15,44.85,후보
QQQ,테스트 A(역대급 등락),K=10,2005,폭락,전체,2일,4,위,75.0,1.79,7.14,56.75,18.25,후보
QQQ,테스트 A(역대급 등락),K=10,2005,폭락,전체,3일,4,위,75.0,3.33,13.32,57.94,17.06,후보
QQQ,테스트 A(역대급 등락),K=10,2005,폭락,전체,1주,4,위,75.0,-1.73,-6.92,59.12,15.88,제외
QQQ,테스트 A(역대급 등락),K=10,2005,폭락,전체,2주,4,위,75.0,4.6,18.4,61.71,13.29,후보
QQQ,테스트 A(역대급 등락),K=10,2005,폭락,전체,1개월,4,아래,50.0,-5.5,-21.99,34.95,15.05,제외
QQQ,테스트 A(역대급 등락),K=10,2005,역방향 전체,전체,1일,7,위,100.0,4.74,33.19,49.76,50.24,후보
QQQ,테스트 A(역대급 등락),K=10,2005,역방향 전체,전체,2일,7,위,71.43,2.78,19.45,49.8,21.63,후보
QQQ,테스트 A(역대급 등락),K=10,2005,역방향 전체,전체,3일,7,위,71.43,2.87,20.09,49.94,21.49,후보
QQQ,테스트 A(역대급 등락),K=10,2005,역방향 전체,전체,1주,7,위,71.43,-0.38,-2.67,49.91,21.52,제외
QQQ,테스트 A(역대급 등락),K=10,2005,역방향 전체,전체,2주,7,위,71.43,5.99,41.96,49.92,21.51,후보
QQQ,테스트 A(역대급 등락),K=10,2005,역방향 전체,전체,1개월,7,위,57.14,5.64,39.47,49.95,7.19,제외
QQQ,테스트 A(역대급 등락),K=20,2005,폭등,전체,1일,7,아래,85.71,3.25,22.75,44.38,41.34,후보
QQQ,테스트 A(역대급 등락),K=20,2005,폭등,전체,2일,7,아래,57.14,2.09,14.63,42.84,14.3,제외
QQQ,테스트 A(역대급 등락),K=20,2005,폭등,전체,3일,7,아래,57.14,2.57,17.99,41.93,15.21,제외
QQQ,테스트 A(역대급 등락),K=20,2005,폭등,전체,1주,7,아래,42.86,1.47,10.26,40.7,2.16,제외
QQQ,테스트 A(역대급 등락),K=20,2005,폭등,전체,2주,7,아래,42.86,2.04,14.28,38.13,4.73,제외
QQQ,테스트 A(역대급 등락),K=20,2005,폭등,전체,1개월,7,위,71.43,3.62,25.37,64.96,6.47,후보
QQQ,테스트 A(역대급 등락),K=20,2005,폭락,전체,1일,7,위,85.71,4.62,32.35,55.15,30.57,후보
QQQ,테스트 A(역대급 등락),K=20,2005,폭락,전체,2일,7,위,71.43,1.54,10.81,56.75,14.68,후보
QQQ,테스트 A(역대급 등락),K=20,2005,폭락,전체,3일,7,아래,42.86,-0.59,-4.12,41.93,0.92,제외
