종목,테스트,파라미터,시작연도,방향,시대 구간,사건,구간,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%)
QQQ,테스트 A(역대급 등락),K=10,2005,폭등,전체,2,2일,3,0,3,-4.1,-2.49,33.33,66.67,3.08,-12.89,8.11
QQQ,테스트 A(역대급 등락),K=10,2005,폭등,전체,2,3일,3,0,3,-2.26,-1.83,33.33,66.67,3.23,-8.17,5.71
QQQ,테스트 A(역대급 등락),K=10,2005,폭등,전체,2,1주,3,0,3,-1.41,-4.68,33.33,66.67,5.93,-5.49,6.38
QQQ,테스트 A(역대급 등락),K=10,2005,폭등,전체,2,2주,3,0,3,-7.86,-5.52,33.33,66.67,0.29,-18.33,9.53
QQQ,테스트 A(역대급 등락),K=10,2005,폭등,전체,2,1개월,3,0,3,-5.83,-7.88,33.33,66.67,4.71,-14.32,9.68
QQQ,테스트 A(역대급 등락),K=10,2005,폭락,전체,2,1일,4,0,4,6.09,6.5,100.0,0.0,8.47,2.88,2.49
QQQ,테스트 A(역대급 등락),K=10,2005,폭락,전체,2,2일,4,0,4,1.79,3.05,75.0,25.0,5.56,-4.52,4.49
QQQ,테스트 A(역대급 등락),K=10,2005,폭락,전체,2,3일,4,0,4,3.33,3.83,75.0,25.0,8.5,-2.83,4.75
QQQ,테스트 A(역대급 등락),K=10,2005,폭락,전체,2,1주,4,0,4,-1.73,0.11,75.0,25.0,0.69,-7.83,4.07
QQQ,테스트 A(역대급 등락),K=10,2005,폭락,전체,2,2주,4,0,4,4.6,6.04,75.0,25.0,13.43,-7.11,8.73
QQQ,테스트 A(역대급 등락),K=10,2005,폭락,전체,2,1개월,4,0,4,5.5,7.02,50.0,50.0,23.7,-15.76,17.32
QQQ,테스트 A(역대급 등락),K=10,2005,역방향 전체,전체,3,1일,7,0,7,4.74,4.33,100.0,0.0,8.47,0.25,2.78
