대상,격자 칸,진입 달력일,청산 상대 거래일,시기,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 평균(%),내린 평균(%),오른 건수,내린 건수,기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),기준선 오른 평균(%),기준선 내린 평균(%),기준선 오른 건수,기준선 내린 건수,평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
KODEX 200,19일 → 말일-1,19,-1,최근 10년,120,0,120,0.24,0.26,53.33,46.67,16.92,-19.6,4.16,2.74,2.62,64,56,2208,0,2208,0.4,0.27,54.48,45.2,30.71,-34.86,4.89,3.16,2.91,1203,998,-0.16,-0.02,-1.15,1.47,0.6963,0.989,0.8462,0.7742,,False,예
KODEX 200,19일 → 말일-1,19,-1,최근 5년,60,0,60,0.25,0.42,53.33,46.67,13.71,-19.6,5.03,3.48,3.45,32,28,1098,0,1098,0.6,0.36,53.83,45.9,30.71,-34.86,6.12,4.18,3.59,591,504,-0.36,0.06,-0.49,0.77,0.6344,0.9011,1.0,0.8861,,False,예
KODEX 200,19일 → 말일,19,0,앞 절반,143,0,143,0.71,0.92,59.44,40.56,14.07,-9.66,3.48,2.9,2.51,85,58,2797,0,2797,0.82,0.85,61.6,37.75,23.77,-19.26,3.99,3.1,2.88,1723,1056,-0.11,0.07,-2.16,2.8,0.7193,0.9191,0.5614,0.4466,,False,예
KODEX 200,19일 → 말일,19,0,뒤 절반,144,0,144,0.21,0.17,51.39,47.92,19.0,-13.05,3.9,2.65,2.41,74,69,2781,0,2781,0.38,0.23,53.65,45.95,29.46,-19.11,4.26,2.92,2.59,1492,1278,-0.17,-0.06,-2.26,1.96,0.6094,0.8691,0.6014,0.6683,,False,예
KODEX 200,19일 → 말일,19,0,최근 10년,120,0,120,0.24,0.1,50.83,49.17,19.0,-13.05,4.21,2.97,2.57,61,59,2328,0,2328,0.39,0.19,52.53,47.08,29.46,-19.11,4.59,3.25,2.79,1223,1096,-0.15,-0.09,-1.7,2.09,0.7033,0.8062,0.7103,0.6324,,False,예
KODEX 200,19일 → 말일,19,0,최근 5년,60,0,60,0.44,0.33,53.33,46.67,17.93,-13.05,4.77,3.58,3.15,32,28,1158,0,1158,0.78,0.23,52.42,47.32,29.46,-19.11,5.52,4.29,3.1,607,548,-0.34,0.1,0.92,-0.66,0.6144,0.7373,1.0,1.0,,False,예
KODEX 200,19일 → 말일+1,19,1,앞 절반,143,0,143,0.83,1.13,59.44,39.86,13.81,-9.21,3.75,3.27,2.79,85,57,2939,0,2939,0.93,1.03,62.84,36.78,22.7,-19.96,4.21,3.27,3.08,1847,1081,-0.09,0.09,-3.4,3.08,0.7832,0.7922,0.4306,0.4865,,False,예
KODEX 200,19일 → 말일+1,19,1,뒤 절반,144,0,144,0.29,0.33,52.78,46.53,23.69,-9.09,4.08,2.87,2.64,76,67,2924,0,2924,0.45,0.29,54.55,45.25,34.67,-26.33,4.43,3.04,2.67,1595,1323,-0.16,0.03,-1.77,1.28,0.6444,0.8681,0.7562,0.8022,,False,예
KODEX 200,19일 → 말일+1,19,1,최근 10년,120,0,120,0.36,0.33,53.33,45.83,23.69,-9.09,4.38,3.1,2.83,64,55,2448,0,2448,0.49,0.29,54.21,45.63,34.67,-26.33,4.76,3.32,2.86,1327,1117,-0.14,0.04,-0.87,0.2,0.7962,0.8012,1.0,1.0,,False,예
KODEX 200,19일 → 말일+1,19,1,최근 5년,60,0,60,0.44,0.21,51.67,48.33,23.69,-9.08,5.26,3.9,3.26,31,29,1218,0,1218,0.75,0.15,51.56,48.36,34.67,-26.33,5.72,4.4,3.15,628,589,-0.31,0.06,0.11,-0.02,0.6723,0.8232,1.0,1.0,,False,예
KODEX 200,19일 → 말일+2,19,2,앞 절반,143,0,143,0.9,1.02,62.24,37.76,13.69,-7.47,3.77,3.19,2.89,89,54,2939,0,2939,0.98,1.11,62.4,37.26,25.25,-18.29,4.39,3.49,3.22,1834,1095,-0.08,-0.09,-0.16,0.5,0.8272,0.8372,1.0,0.9411,,False,예
KODEX 200,19일 → 말일+2,19,2,뒤 절반,144,0,144,0.38,0.14,50.69,48.61,23.85,-15.91,4.78,3.38,2.74,73,70,2924,0,2924,0.58,0.26,54.0,45.69,44.87,-25.42,4.97,3.39,2.75,1579,1336,-0.2,-0.11,-3.31,2.92,0.6384,0.6513,0.4755,0.5125,,False,예
KODEX 200,19일 → 말일+2,19,2,최근 10년,120,0,120,0.5,0.14,50.83,48.33,23.85,-15.91,5.15,3.73,2.9,61,58,2448,0,2448,0.65,0.24,53.51,46.24,44.87,-25.42,5.36,3.77,2.95,1310,1132,-0.16,-0.09,-2.68,2.09,0.7722,0.7692,0.6563,0.7313,,False,예
KODEX 200,19일 → 말일+2,19,2,최근 5년,60,0,60,0.51,-0.11,46.67,51.67,23.85,-15.91,6.35,5.05,3.58,28,31,1218,0,1218,0.86,0.22,52.63,47.13,44.87,-25.42,6.66,4.85,3.6,641,574,-0.35,-0.33,-5.96,4.54,0.6753,0.4655,0.3506,0.5065,,True,예
KODEX 200,19일 → 말일+3,19,3,앞 절반,143,0,143,0.88,1.25,61.54,38.46,13.33,-9.08,3.83,3.3,2.99,88,55,2939,0,2939,0.97,1.16,60.43,39.13,27.96,-19.02,4.57,3.74,3.3,1776,1150,-0.09,0.08,1.11,-0.67,0.8242,0.7762,0.7872,0.8601,,False,예
KODEX 200,19일 → 말일+3,19,3,뒤 절반,144,0,144,0.52,0.04,50.69,49.31,22.93,-13.89,4.82,3.68,2.72,73,71,2924,0,2924,0.71,0.18,52.29,47.37,47.87,-22.47,5.2,3.81,2.7,1529,1385,-0.19,-0.14,-1.6,1.94,0.6454,0.6234,0.7063,0.6364,,False,예
KODEX 200,19일 → 말일+3,19,3,최근 10년,120,0,120,0.71,0.14,51.67,48.33,22.93,-13.89,5.17,4.04,2.84,62,58,2448,0,2448,0.86,0.18,52.37,47.26,47.87,-22.47,5.59,4.22,2.84,1282,1157,-0.15,-0.04,-0.7,1.07,0.7952,0.8761,0.9061,0.8551,,False,예
KODEX 200,19일 → 말일+3,19,3,최근 5년,60,0,60,0.8,-0.12,50.0,50.0,22.93,-13.89,6.26,5.0,3.39,30,30,1218,0,1218,1.15,0.18,51.64,47.95,47.87,-22.47,6.9,5.34,3.35,629,584,-0.35,-0.3,-1.64,2.05,0.6873,0.4865,0.8991,0.7962,,False,예
KODEX 200,20일 → 말일-3,20,-3,앞 절반,142,0,142,0.04,0.27,54.23,45.07,6.25,-15.19,2.87,1.91,2.21,77,64,2372,0,2372,0.2,0.53,56.91,42.5,21.32,-28.11,4.19,2.76,3.22,1350,1008,-0.17,-0.26,-2.69,2.57,0.6294,0.3746,0.5315,0.5325,,False,예
KODEX 200,20일 → 말일-3,20,-3,뒤 절반,143,0,143,0.2,0.12,53.85,46.15,11.84,-8.09,2.36,1.69,1.54,77,66,2353,0,2353,0.57,0.38,58.22,41.39,28.2,-28.88,4.04,2.66,2.38,1370,974,-0.37,-0.26,-4.38,4.76,0.2617,0.1798,0.2837,0.2318,,False,예
KODEX 200,20일 → 말일-3,20,-3,최근 10년,119,0,119,0.22,0.07,51.26,48.74,11.84,-8.09,2.54,1.91,1.56,61,58,1968,0,1968,0.59,0.34,57.22,42.53,28.2,-28.88,4.33,2.9,2.51,1126,837,-0.37,-0.27,-5.95,6.21,0.3007,0.2088,0.1718,0.1399,,False,예
KODEX 200,20일 → 말일-3,20,-3,최근 5년,60,0,60,0.29,0.16,53.33,46.67,11.84,-8.09,2.94,2.15,1.83,32,28,978,0,978,0.92,0.45,58.79,41.0,28.2,-28.88,5.29,3.66,3.01,575,401,-0.62,-0.3,-5.46,5.66,0.3467,0.3437,0.4106,0.4126,,False,예
KODEX 200,20일 → 말일-2,20,-2,앞 절반,143,0,143,0.12,0.44,58.74,40.56,9.41,-18.42,3.22,2.07,2.7,84,58,2514,0,2514,0.26,0.5,57.6,42.08,20.55,-30.85,4.13,2.73,3.13,1448,1058,-0.13,-0.06,1.14,-1.52,0.6663,0.8232,0.8102,0.7572,,False,예
KODEX 200,20일 → 말일-2,20,-2,뒤 절반,144,0,144,0.23,0.23,56.94,43.06,15.23,-13.92,3.05,1.97,2.08,82,62,2496,0,2496,0.55,0.42,58.49,41.31,28.79,-33.39,4.32,2.77,2.58,1460,1031,-0.33,-0.19,-1.55,1.75,0.3127,0.3626,0.7083,0.7073,,False,예
KODEX 200,20일 → 말일-2,20,-2,최근 10년,120,0,120,0.23,0.19,55.83,44.17,15.23,-13.92,3.29,2.14,2.19,67,53,2088,0,2088,0.56,0.39,57.14,42.67,28.79,-33.39,4.65,3.04,2.77,1193,891,-0.33,-0.2,-1.3,1.49,0.4555,0.4206,0.8511,0.7582,,False,예
KODEX 200,20일 → 말일-2,20,-2,최근 5년,60,0,60,0.28,0.48,56.67,43.33,15.23,-13.92,4.0,2.65,2.8,34,26,1038,0,1038,0.83,0.51,57.13,42.77,28.79,-33.39,5.74,3.94,3.32,593,444,-0.55,-0.03,-0.46,0.56,0.4635,0.952,1.0,1.0,,False,예
KODEX 200,20일 → 말일-1,20,-1,앞 절반,143,0,143,0.33,0.42,55.94,44.06,12.63,-8.42,3.21,2.48,2.39,80,63,2656,0,2656,0.47,0.61,58.02,41.49,21.88,-20.49,3.92,2.9,2.93,1541,1102,-0.14,-0.19,-2.08,2.56,0.6543,0.5295,0.6174,0.5544,,False,예
KODEX 200,20일 → 말일-1,20,-1,뒤 절반,144,0,144,0.11,0.35,56.25,43.75,14.69,-15.81,3.42,2.12,2.47,81,63,2639,0,2639,0.4,0.3,55.1,44.56,30.71,-34.86,4.53,2.88,2.66,1454,1176,-0.29,0.05,1.15,-0.81,0.4505,0.7113,0.7992,0.8531,,False,예
KODEX 200,20일 → 말일-1,20,-1,최근 10년,120,0,120,0.12,0.32,55.0,45.0,14.69,-15.81,3.69,2.36,2.62,66,54,2208,0,2208,0.4,0.27,54.48,45.2,30.71,-34.86,4.89,3.16,2.91,1203,998,-0.29,0.05,0.52,-0.2,0.5035,0.7642,0.9171,1.0,,False,예
KODEX 200,20일 → 말일-1,20,-1,최근 5년,60,0,60,0.11,0.4,55.0,45.0,14.69,-15.81,4.59,2.94,3.36,33,27,1098,0,1098,0.6,0.36,53.83,45.9,30.71,-34.86,6.12,4.18,3.59,591,504,-0.5,0.04,1.17,-0.9,0.5035,0.9421,0.8871,1.0,,False,예
KODEX 200,20일 → 말일,20,0,앞 절반,143,0,143,0.69,1.01,58.04,40.56,15.0,-10.06,3.59,2.98,2.56,83,58,2798,0,2798,0.82,0.85,61.58,37.78,23.77,-19.26,3.99,3.1,2.88,1723,1057,-0.13,0.17,-3.54,2.78,0.7223,0.6464,0.4226,0.5385,,False,예
KODEX 200,20일 → 말일,20,0,뒤 절반,144,0,144,0.11,0.24,54.17,45.14,18.95,-12.96,3.57,2.28,2.51,78,65,2782,0,2782,0.38,0.22,53.63,45.97,29.46,-19.11,4.26,2.92,2.58,1492,1279,-0.27,0.01,0.54,-0.84,0.4216,0.9171,0.9321,0.8661,,False,예
KODEX 200,20일 → 말일,20,0,최근 10년,120,0,120,0.12,0.28,54.17,45.83,18.95,-12.96,3.85,2.52,2.71,65,55,2328,0,2328,0.39,0.19,52.53,47.08,29.46,-19.11,4.59,3.25,2.79,1223,1096,-0.27,0.09,1.63,-1.25,0.4785,0.7383,0.7762,0.8482,,False,예
KODEX 200,20일 → 말일,20,0,최근 5년,60,0,60,0.31,0.33,51.67,48.33,18.95,-12.96,4.59,3.39,2.97,31,29,1158,0,1158,0.78,0.23,52.42,47.32,29.46,-19.11,5.52,4.29,3.1,607,548,-0.47,0.1,-0.75,1.01,0.4945,0.7433,0.9061,0.9081,,False,예
KODEX 200,20일 → 말일+1,20,1,앞 절반,143,0,143,0.81,1.46,62.24,37.76,12.39,-9.61,3.72,3.09,2.94,89,54,2940,0,2940,0.92,1.03,62.82,36.8,22.7,-19.96,4.21,3.27,3.07,1847,1082,-0.11,0.42,-0.59,0.96,0.7233,0.2388,0.9351,0.8601,,False,예
KODEX 200,20일 → 말일+1,20,1,뒤 절반,144,0,144,0.18,0.26,52.08,47.92,24.75,-8.62,3.8,2.61,2.45,75,69,2925,0,2925,0.45,0.29,54.53,45.26,34.67,-26.33,4.43,3.04,2.67,1595,1324,-0.26,-0.03,-2.45,2.65,0.4915,0.965,0.5884,0.5325,,False,예
KODEX 200,20일 → 말일+1,20,1,최근 10년,120,0,120,0.24,0.26,52.5,47.5,24.75,-8.62,4.07,2.82,2.61,63,57,2448,0,2448,0.49,0.29,54.21,45.63,34.67,-26.33,4.76,3.32,2.86,1327,1117,-0.26,-0.03,-1.71,1.87,0.5764,0.991,0.8541,0.7782,,False,예
KODEX 200,20일 → 말일+1,20,1,최근 5년,60,0,60,0.31,-0.02,50.0,50.0,24.75,-8.43,5.0,3.58,2.97,30,30,1218,0,1218,0.75,0.15,51.56,48.36,34.67,-26.33,5.72,4.4,3.15,628,589,-0.44,-0.18,-1.56,1.64,0.5524,0.8292,0.8991,0.9001,,False,예
KODEX 200,20일 → 말일+2,20,2,앞 절반,143,0,143,0.87,1.38,62.94,36.36,8.79,-8.44,3.7,3.17,3.09,90,52,2940,0,2940,0.98,1.11,62.38,37.28,25.25,-18.29,4.39,3.49,3.22,1834,1096,-0.11,0.27,0.56,-0.92,0.7483,0.4825,0.9371,0.8601,,False,예
KODEX 200,20일 → 말일+2,20,2,뒤 절반,144,0,144,0.28,0.14,51.39,48.61,24.91,-15.91,4.61,3.13,2.73,74,70,2925,0,2925,0.57,0.26,53.98,45.71,44.87,-25.42,4.97,3.39,2.75,1579,1337,-0.29,-0.12,-2.59,2.9,0.5005,0.6354,0.6164,0.5624,,False,예
KODEX 200,20일 → 말일+2,20,2,최근 10년,120,0,120,0.38,0.14,51.67,48.33,24.91,-15.91,4.97,3.45,2.9,62,58,2448,0,2448,0.65,0.24,53.51,46.24,44.87,-25.42,5.36,3.77,2.95,1310,1132,-0.27,-0.1,-1.85,2.09,0.5864,0.7572,0.7872,0.7313,,False,예
KODEX 200,20일 → 말일+2,20,2,최근 5년,60,0,60,0.39,0.14,51.67,48.33,24.91,-15.91,6.32,4.33,3.83,31,29,1218,0,1218,0.86,0.22,52.63,47.13,44.87,-25.42,6.66,4.85,3.6,641,574,-0.47,-0.09,-0.96,1.21,0.5844,0.8262,0.8951,0.8981,,False,예
KODEX 200,20일 → 말일+3,20,3,앞 절반,143,0,143,0.86,1.33,60.14,38.46,9.62,-10.71,3.78,3.35,3.0,86,55,2940,0,2940,0.97,1.16,60.41,39.15,27.96,-19.02,4.57,3.74,3.3,1776,1151,-0.11,0.17,-0.27,-0.69,0.7562,0.6304,1.0,0.9381,,False,예
KODEX 200,20일 → 말일+3,20,3,뒤 절반,144,0,144,0.42,-0.06,48.61,51.39,22.4,-13.89,4.69,3.62,2.59,70,74,2925,0,2925,0.71,0.17,52.27,47.38,47.87,-22.47,5.2,3.81,2.7,1529,1386,-0.28,-0.24,-3.66,4.0,0.5335,0.4356,0.4426,0.3916,,True,예
KODEX 200,20일 → 말일+3,20,3,최근 10년,120,0,120,0.6,-0.06,49.17,50.83,22.4,-13.89,5.03,4.02,2.7,59,61,2448,0,2448,0.86,0.18,52.37,47.26,47.87,-22.47,5.59,4.22,2.84,1282,1157,-0.26,-0.24,-3.2,3.57,0.6364,0.4426,0.5295,0.4635,,True,예
KODEX 200,20일 → 말일+3,20,3,최근 5년,60,0,60,0.69,-0.28,45.0,55.0,22.4,-13.89,6.27,5.28,3.07,27,33,1218,0,1218,1.15,0.18,51.64,47.95,47.87,-22.47,6.9,5.34,3.35,629,584,-0.47,-0.46,-6.64,7.05,0.5964,0.3107,0.3347,0.2747,,True,예
KODEX 200,21일 → 말일-3,21,-3,앞 절반,142,0,142,-0.11,0.11,52.11,47.18,6.25,-14.76,2.59,1.63,2.04,74,67,2372,0,2372,0.2,0.53,56.91,42.5,21.32,-28.11,4.19,2.76,3.22,1350,1008,-0.31,-0.42,-4.8,4.69,0.3497,0.1688,0.2577,0.2607,,True,예
