대상,격자 칸,진입 달력일,청산 상대 거래일,시기,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 평균(%),내린 평균(%),오른 건수,내린 건수,기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),기준선 오른 평균(%),기준선 내린 평균(%),기준선 오른 건수,기준선 내린 건수,평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
KODEX 인버스,17일 → 말일+2,17,2,앞 절반,102,0,102,-0.37,-0.52,43.14,56.86,8.15,-7.38,2.67,2.03,2.19,44,58,2081,0,2081,-0.46,-0.52,40.99,57.95,16.88,-12.54,2.96,2.2,2.35,853,1206,0.09,-0.0,2.15,-1.09,0.7882,0.975,0.6873,0.8322,,False,예
KODEX 인버스,17일 → 말일+2,17,2,뒤 절반,102,0,102,-0.46,-0.23,47.06,50.98,12.22,-18.59,4.93,3.23,3.88,48,52,2065,0,2065,-0.78,-0.39,44.55,54.43,22.45,-32.48,5.23,3.03,3.91,920,1124,0.32,0.16,2.51,-3.45,0.5654,0.7223,0.6863,0.5345,,False,예
KODEX 인버스,17일 → 말일+2,17,2,최근 10년,120,0,120,-0.5,-0.24,45.83,52.5,12.22,-18.59,4.61,2.99,3.56,55,63,2448,0,2448,-0.73,-0.37,44.12,54.74,22.45,-32.48,4.9,2.85,3.62,1080,1340,0.23,0.12,1.72,-2.24,0.6284,0.7652,0.7822,0.7103,,False,예
KODEX 인버스,17일 → 말일+2,17,2,최근 5년,60,0,60,-0.56,0.28,50.0,46.67,12.22,-18.59,5.67,3.55,5.0,30,28,1219,0,1219,-0.89,-0.37,45.61,53.32,22.45,-32.48,5.96,3.4,4.58,556,650,0.33,0.66,4.39,-6.66,0.6893,0.1998,0.5095,0.3477,,False,예
KODEX 인버스,17일 → 말일+3,17,3,앞 절반,101,0,101,-0.24,-0.42,45.54,54.46,5.91,-8.14,2.85,2.27,2.33,46,55,2061,0,2061,-0.31,-0.41,43.33,55.6,22.26,-10.95,3.1,2.4,2.43,893,1146,0.08,-0.01,2.22,-1.15,0.7962,0.9111,0.6783,0.8422,,False,예
KODEX 인버스,17일 → 말일+3,17,3,뒤 절반,102,0,102,-0.75,-0.17,45.1,52.94,17.11,-19.67,5.15,3.2,4.15,46,54,2064,0,2064,-0.96,-0.34,44.62,53.83,19.23,-33.91,5.44,3.01,4.28,921,1111,0.2,0.16,0.48,-0.89,0.6643,0.6553,1.0,0.9191,,False,예
KODEX 인버스,17일 → 말일+3,17,3,최근 10년,119,0,119,-0.79,-0.42,43.7,54.62,17.11,-19.67,4.85,3.0,3.85,52,65,2428,0,2428,-0.96,-0.38,43.57,54.78,19.23,-33.91,5.15,2.83,4.0,1058,1330,0.17,-0.03,0.12,-0.16,0.7842,0.9141,1.0,1.0,,False,예
KODEX 인버스,17일 → 말일+3,17,3,최근 5년,59,0,59,-0.99,0.0,47.46,49.15,17.11,-19.67,5.95,3.41,5.31,28,29,1199,0,1199,-1.22,-0.34,44.2,54.05,19.23,-33.91,6.27,3.34,4.98,530,648,0.22,0.34,3.25,-4.89,0.8482,0.4665,0.6583,0.4635,,False,예
KODEX 인버스,18일 → 말일-3,18,-3,앞 절반,102,0,102,-0.13,-0.44,40.2,57.84,6.0,-4.23,2.08,1.84,1.5,41,59,1676,0,1676,-0.25,-0.51,40.33,57.94,22.67,-12.32,2.77,2.18,1.95,676,971,0.12,0.07,-0.14,-0.09,0.6294,0.8551,1.0,1.0,,False,예
KODEX 인버스,18일 → 말일-3,18,-3,뒤 절반,102,0,102,-0.16,-0.13,43.14,54.9,11.73,-9.21,3.15,2.24,2.05,44,56,1662,0,1662,-0.51,-0.33,42.48,55.42,33.55,-22.93,4.6,2.86,3.12,706,921,0.35,0.2,0.66,-0.51,0.3986,0.4306,0.9161,1.0,,False,예
KODEX 인버스,18일 → 말일-3,18,-3,최근 10년,120,0,120,-0.21,-0.14,42.5,55.0,11.73,-9.21,2.95,2.04,1.96,51,66,1968,0,1968,-0.53,-0.36,41.62,56.25,33.55,-22.93,4.27,2.62,2.88,819,1107,0.32,0.22,0.88,-1.25,0.3676,0.3307,0.8452,0.7572,,False,예
KODEX 인버스,18일 → 말일-3,18,-3,최근 5년,60,0,60,-0.19,-0.17,40.0,56.67,11.73,-8.24,3.51,2.67,2.21,24,34,979,0,979,-0.8,-0.45,40.35,57.71,33.55,-22.93,5.22,3.19,3.62,395,565,0.61,0.28,-0.35,-1.05,0.3546,0.4136,1.0,0.9051,,False,예
KODEX 인버스,18일 → 말일-2,18,-2,앞 절반,102,0,102,-0.24,-0.43,40.2,58.82,6.44,-5.31,2.17,1.78,1.62,41,60,1777,0,1777,-0.37,-0.44,39.5,59.48,18.95,-13.75,2.61,1.97,1.92,702,1057,0.13,0.01,0.69,-0.66,0.6264,0.9131,0.9301,0.9321,,False,예
KODEX 인버스,18일 → 말일-2,18,-2,뒤 절반,102,0,102,-0.1,-0.32,41.18,53.92,18.59,-11.25,3.95,3.05,2.51,42,55,1763,0,1763,-0.41,-0.31,43.79,54.74,41.75,-23.16,5.02,3.15,3.27,772,965,0.32,-0.01,-2.61,-0.81,0.5315,0.981,0.6024,0.8991,,False,예
KODEX 인버스,18일 → 말일-2,18,-2,최근 10년,120,0,120,-0.18,-0.34,39.17,56.67,18.59,-11.25,3.68,2.83,2.26,47,68,2088,0,2088,-0.46,-0.34,42.05,56.47,41.75,-23.16,4.67,2.9,2.97,878,1179,0.28,-0.0,-2.88,0.2,0.5345,0.9391,0.5075,1.0,,False,예
KODEX 인버스,18일 → 말일-2,18,-2,최근 5년,60,0,60,-0.1,-0.52,38.33,56.67,18.59,-10.9,4.53,3.82,2.76,23,34,1039,0,1039,-0.65,-0.47,42.35,55.82,41.75,-23.16,5.8,3.54,3.84,440,580,0.55,-0.05,-4.02,0.84,0.4136,0.9461,0.5814,0.8911,,False,예
KODEX 인버스,18일 → 말일-1,18,-1,앞 절반,102,0,102,-0.39,-0.46,35.29,61.76,5.17,-5.8,2.13,1.84,1.68,36,63,1878,0,1878,-0.49,-0.47,38.76,59.42,17.78,-14.19,2.52,1.81,2.01,728,1116,0.1,0.01,-3.47,2.34,0.6613,0.8561,0.5415,0.6993,,False,예
KODEX 인버스,18일 → 말일-1,18,-1,뒤 절반,102,0,102,-0.13,-0.33,42.16,55.88,21.21,-14.06,4.45,3.31,2.72,43,57,1864,0,1864,-0.42,-0.36,43.83,54.77,44.88,-24.73,5.31,3.34,3.44,817,1021,0.29,0.03,-1.67,1.11,0.5095,0.7862,0.8182,0.9071,,False,예
KODEX 인버스,18일 → 말일-1,18,-1,최근 10년,120,0,120,-0.2,-0.39,40.0,58.33,21.21,-14.06,4.14,3.07,2.45,48,70,2208,0,2208,-0.45,-0.42,41.76,56.79,44.88,-24.73,4.92,3.09,3.06,922,1254,0.25,0.03,-1.76,1.54,0.5534,0.8831,0.7003,0.6943,,False,예
KODEX 인버스,18일 → 말일-1,18,-1,최근 5년,60,0,60,-0.03,-0.53,41.67,55.0,21.21,-14.06,5.24,4.15,3.19,25,33,1099,0,1099,-0.54,-0.57,43.04,55.41,44.88,-24.73,6.19,3.89,3.98,473,609,0.51,0.04,-1.37,-0.41,0.5105,0.987,0.8971,1.0,,False,예
KODEX 인버스,18일 → 말일,18,0,앞 절반,102,0,102,-0.35,-0.4,41.18,57.84,6.88,-5.74,2.17,1.64,1.77,42,59,1979,0,1979,-0.43,-0.4,41.13,57.66,15.71,-13.2,2.51,1.78,2.02,814,1141,0.08,0.01,0.04,0.19,0.7502,0.961,1.0,1.0,,False,예
KODEX 인버스,18일 → 말일,18,0,뒤 절반,102,0,102,-0.17,0.0,46.08,49.02,17.87,-13.92,4.43,3.13,3.28,47,50,1965,0,1965,-0.48,-0.24,46.72,52.06,17.87,-24.02,4.73,3.02,3.62,918,1023,0.31,0.24,-0.64,-3.04,0.5025,0.5674,1.0,0.5455,,False,예
KODEX 인버스,18일 → 말일,18,0,최근 10년,120,0,120,-0.22,-0.19,45.0,50.83,17.87,-13.92,4.12,2.85,2.95,54,61,2328,0,2328,-0.48,-0.33,44.72,54.04,17.87,-24.02,4.4,2.82,3.22,1041,1258,0.26,0.14,0.28,-3.2,0.4945,0.6254,1.0,0.4865,,False,예
KODEX 인버스,18일 → 말일,18,0,최근 5년,60,0,60,-0.27,-0.19,43.33,51.67,17.87,-13.92,4.96,3.68,3.62,26,31,1159,0,1159,-0.81,-0.34,44.61,54.18,17.87,-24.02,5.2,3.18,4.11,517,628,0.54,0.15,-1.27,-2.52,0.3816,0.7113,0.8811,0.7802,,False,예
KODEX 인버스,18일 → 말일+1,18,1,앞 절반,102,0,102,-0.49,-0.69,40.2,58.82,6.72,-6.38,2.58,1.98,2.19,41,60,2080,0,2080,-0.57,-0.61,38.22,60.19,15.85,-13.2,2.73,1.99,2.21,795,1252,0.08,-0.08,1.97,-1.37,0.7223,0.7862,0.6733,0.7413,,False,예
KODEX 인버스,18일 → 말일+1,18,1,뒤 절반,102,0,102,-0.26,-0.2,47.06,52.94,9.59,-18.17,4.27,2.97,3.12,48,54,2066,0,2066,-0.53,-0.23,46.32,52.61,23.62,-27.78,4.78,2.95,3.61,957,1087,0.27,0.03,0.74,0.33,0.5684,0.9061,0.9071,1.0,,False,예
KODEX 인버스,18일 → 말일+1,18,1,최근 10년,120,0,120,-0.35,-0.38,44.17,55.83,9.59,-18.17,3.99,2.8,2.84,53,67,2448,0,2448,-0.57,-0.39,43.79,54.94,23.62,-27.78,4.46,2.79,3.27,1072,1345,0.22,0.02,0.38,0.89,0.6104,0.985,1.0,0.7822,,False,예
KODEX 인버스,18일 → 말일+1,18,1,최근 5년,60,0,60,-0.29,0.04,50.0,50.0,7.67,-18.17,4.78,3.17,3.74,30,30,1219,0,1219,-0.77,-0.23,46.68,52.34,23.62,-27.78,5.27,3.07,4.22,569,638,0.49,0.26,3.32,-2.34,0.4735,0.5804,0.6783,0.7892,,False,예
KODEX 인버스,18일 → 말일+2,18,2,앞 절반,102,0,102,-0.37,-0.36,44.12,54.9,8.15,-6.38,2.76,2.09,2.34,45,56,2080,0,2080,-0.46,-0.52,40.96,57.98,16.88,-12.54,2.96,2.2,2.35,852,1206,0.09,0.16,3.16,-3.08,0.7063,0.5395,0.5155,0.5215,,False,예
KODEX 인버스,18일 → 말일+2,18,2,뒤 절반,102,0,102,-0.44,-0.23,46.08,52.94,16.26,-18.09,5.05,3.22,3.62,47,54,2066,0,2066,-0.78,-0.38,44.58,54.4,22.45,-32.48,5.23,3.04,3.91,921,1124,0.34,0.15,1.5,-1.46,0.5165,0.7303,0.8342,0.8362,,False,예
KODEX 인버스,18일 → 말일+2,18,2,최근 10년,120,0,120,-0.47,-0.26,45.0,54.17,16.26,-18.09,4.72,2.98,3.34,54,65,2448,0,2448,-0.73,-0.37,44.12,54.74,22.45,-32.48,4.9,2.85,3.62,1080,1340,0.26,0.11,0.88,-0.57,0.5774,0.8132,0.9271,1.0,,False,예
KODEX 인버스,18일 → 말일+2,18,2,최근 5년,60,0,60,-0.34,0.11,51.67,48.33,16.26,-18.09,5.85,3.55,4.49,31,29,1219,0,1219,-0.89,-0.37,45.61,53.32,22.45,-32.48,5.96,3.4,4.58,556,650,0.55,0.49,6.06,-4.99,0.4765,0.3546,0.3596,0.5055,,True,예
KODEX 인버스,18일 → 말일+3,18,3,앞 절반,101,0,101,-0.23,-0.33,47.52,52.48,5.97,-7.36,2.85,2.23,2.46,48,53,2061,0,2061,-0.32,-0.41,43.33,55.6,22.26,-10.95,3.1,2.39,2.43,893,1146,0.08,0.08,4.2,-3.13,0.7552,0.8731,0.4096,0.5914,,False,예
KODEX 인버스,18일 → 말일+3,18,3,뒤 절반,102,0,102,-0.72,-0.12,44.12,52.94,16.37,-19.67,5.17,3.23,4.05,45,54,2064,0,2064,-0.96,-0.34,44.62,53.83,19.23,-33.91,5.44,3.01,4.28,921,1111,0.24,0.22,-0.5,-0.89,0.6234,0.5405,0.9211,0.9191,,False,예
KODEX 인버스,18일 → 말일+3,18,3,최근 10년,119,0,119,-0.75,-0.23,42.86,54.62,16.37,-19.67,4.87,3.02,3.75,51,65,2428,0,2428,-0.96,-0.38,43.57,54.78,19.23,-33.91,5.15,2.83,4.0,1058,1330,0.21,0.15,-0.72,-0.16,0.7303,0.6713,0.8472,1.0,,False,예
KODEX 인버스,18일 → 말일+3,18,3,최근 5년,59,0,59,-0.75,-0.14,44.07,50.85,16.37,-19.67,5.98,3.85,4.82,26,30,1199,0,1199,-1.22,-0.34,44.2,54.05,19.23,-33.91,6.27,3.34,4.98,530,648,0.46,0.2,-0.14,-3.2,0.5874,0.6224,1.0,0.6573,,False,예
KODEX 인버스,19일 → 말일-3,19,-3,앞 절반,102,0,102,-0.13,-0.12,43.14,53.92,5.67,-4.79,2.0,1.65,1.55,44,55,1677,0,1677,-0.25,-0.51,40.31,57.96,22.67,-12.32,2.77,2.18,1.95,676,972,0.13,0.39,2.83,-4.04,0.6114,0.1249,0.5265,0.3966,,False,예
KODEX 인버스,19일 → 말일-3,19,-3,뒤 절반,102,0,102,-0.29,-0.24,43.14,54.9,11.73,-15.2,3.22,2.04,2.13,44,56,1662,0,1662,-0.52,-0.33,42.42,55.48,33.55,-22.93,4.6,2.86,3.12,705,922,0.23,0.09,0.72,-0.57,0.6224,0.7792,0.9321,0.9141,,False,예
KODEX 인버스,19일 → 말일-3,19,-3,최근 10년,120,0,120,-0.31,-0.2,41.67,55.83,11.73,-15.2,3.01,1.9,1.98,50,67,1968,0,1968,-0.53,-0.36,41.62,56.25,33.55,-22.93,4.27,2.62,2.88,819,1107,0.22,0.16,0.05,-0.42,0.5095,0.4765,1.0,0.9191,,False,예
KODEX 인버스,19일 → 말일-3,19,-3,최근 5년,60,0,60,-0.4,-0.38,40.0,58.33,11.73,-10.93,3.31,2.26,2.24,24,35,979,0,979,-0.8,-0.45,40.35,57.71,33.55,-22.93,5.22,3.19,3.62,395,565,0.4,0.07,-0.35,0.62,0.5465,0.7662,1.0,1.0,,False,예
KODEX 인버스,19일 → 말일-2,19,-2,앞 절반,102,0,102,-0.23,-0.35,39.22,59.8,6.11,-5.42,2.12,1.82,1.58,40,61,1778,0,1778,-0.37,-0.44,39.48,59.51,18.95,-13.75,2.61,1.97,1.92,702,1058,0.13,0.09,-0.27,0.3,0.5684,0.6174,1.0,1.0,,False,예
KODEX 인버스,19일 → 말일-2,19,-2,뒤 절반,102,0,102,-0.23,-0.11,43.14,51.96,18.59,-17.1,4.08,2.71,2.69,44,53,1763,0,1763,-0.42,-0.31,43.73,54.79,41.75,-23.16,5.03,3.15,3.28,771,966,0.2,0.2,-0.6,-2.83,0.7083,0.4645,0.9141,0.6134,,False,예
KODEX 인버스,19일 → 말일-2,19,-2,최근 10년,120,0,120,-0.27,-0.14,40.83,55.0,18.59,-17.1,3.79,2.54,2.38,49,66,2088,0,2088,-0.46,-0.34,42.05,56.47,41.75,-23.16,4.67,2.9,2.97,878,1179,0.18,0.2,-1.22,-1.47,0.6943,0.3766,0.7932,0.7902,,False,예
KODEX 인버스,19일 → 말일-2,19,-2,최근 5년,60,0,60,-0.32,-0.4,41.67,51.67,18.59,-13.51,4.44,3.18,3.17,25,31,1039,0,1039,-0.65,-0.47,42.35,55.82,41.75,-23.16,5.8,3.54,3.84,440,580,0.33,0.07,-0.68,-4.16,0.6404,0.8382,1.0,0.5924,,False,예
KODEX 인버스,19일 → 말일-1,19,-1,앞 절반,102,0,102,-0.38,-0.39,37.25,57.84,6.12,-6.36,2.14,1.7,1.76,38,59,1879,0,1879,-0.49,-0.47,38.74,59.39,17.78,-14.19,2.52,1.81,2.01,728,1116,0.11,0.08,-1.49,-1.55,0.6234,0.6613,0.7463,0.7692,,False,예
KODEX 인버스,19일 → 말일-1,19,-1,뒤 절반,102,0,102,-0.26,-0.36,46.08,53.92,21.21,-16.83,4.48,2.91,2.96,47,55,1864,0,1864,-0.42,-0.37,43.78,54.83,44.88,-24.73,5.31,3.34,3.44,816,1022,0.16,0.01,2.3,-0.91,0.6923,0.8821,0.6683,0.8362,,False,예
KODEX 인버스,19일 → 말일-1,19,-1,최근 10년,120,0,120,-0.3,-0.36,43.33,55.83,21.21,-16.83,4.16,2.73,2.66,52,67,2208,0,2208,-0.45,-0.42,41.76,56.79,44.88,-24.73,4.92,3.09,3.06,922,1254,0.15,0.06,1.58,-0.96,0.7213,0.7822,0.7742,0.9101,,False,예
KODEX 인버스,19일 → 말일-1,19,-1,최근 5년,60,0,60,-0.25,-0.53,46.67,53.33,21.21,-12.99,5.04,3.45,3.48,28,32,1099,0,1099,-0.54,-0.57,43.04,55.41,44.88,-24.73,6.19,3.89,3.98,473,609,0.29,0.04,3.63,-2.08,0.7223,0.987,0.5964,0.7912,,False,예
KODEX 인버스,19일 → 말일,19,0,앞 절반,102,0,102,-0.35,-0.33,41.18,56.86,7.0,-8.0,2.28,1.73,1.86,42,58,1980,0,1980,-0.43,-0.4,41.16,57.63,15.71,-13.2,2.51,1.78,2.02,815,1141,0.09,0.08,0.01,-0.76,0.7033,0.7143,1.0,0.8482,,False,예
KODEX 인버스,19일 → 말일,19,0,뒤 절반,102,0,102,-0.29,-0.06,49.02,50.0,14.34,-18.3,4.52,2.88,3.41,50,51,1965,0,1965,-0.48,-0.24,46.67,52.11,17.87,-24.02,4.73,3.02,3.63,917,1024,0.19,0.18,2.35,-2.11,0.6494,0.6623,0.5934,0.6603,,False,예
KODEX 인버스,19일 → 말일,19,0,최근 10년,120,0,120,-0.31,-0.33,47.5,51.67,14.34,-18.3,4.2,2.66,3.05,57,62,2328,0,2328,-0.48,-0.33,44.72,54.04,17.87,-24.02,4.4,2.82,3.22,1041,1258,0.16,-0.0,2.78,-2.37,0.6603,0.963,0.5544,0.6064,,False,예
KODEX 인버스,19일 → 말일,19,0,최근 5년,60,0,60,-0.49,-0.44,45.0,53.33,14.34,-16.44,4.76,3.31,3.72,27,32,1159,0,1159,-0.81,-0.34,44.61,54.18,17.87,-24.02,5.2,3.18,4.11,517,628,0.32,-0.09,0.39,-0.85,0.6204,0.8102,1.0,1.0,,False,예
KODEX 인버스,19일 → 말일+1,19,1,앞 절반,102,0,102,-0.48,-0.86,41.18,58.82,6.52,-7.89,2.63,2.0,2.22,42,60,2081,0,2081,-0.57,-0.61,38.25,60.16,15.85,-13.2,2.73,1.99,2.21,796,1252,0.08,-0.25,2.93,-1.34,0.7752,0.3187,0.5924,0.8342,,False,예
KODEX 인버스,19일 → 말일+1,19,1,뒤 절반,102,0,102,-0.38,0.0,49.02,49.02,9.77,-20.57,4.43,2.72,3.5,50,50,2066,0,2066,-0.54,-0.24,46.27,52.66,23.62,-27.78,4.78,2.95,3.61,956,1088,0.15,0.24,2.75,-3.64,0.7473,0.5425,0.6184,0.5045,,False,예
KODEX 인버스,19일 → 말일+1,19,1,최근 10년,120,0,120,-0.44,-0.25,45.83,52.5,9.77,-20.57,4.14,2.6,3.11,55,63,2448,0,2448,-0.57,-0.39,43.79,54.94,23.62,-27.78,4.46,2.79,3.27,1072,1345,0.13,0.14,2.04,-2.44,0.7772,0.6993,0.7852,0.7123,,False,예
KODEX 인버스,19일 → 말일+1,19,1,최근 5년,60,0,60,-0.49,-0.05,50.0,50.0,7.92,-20.57,4.81,2.91,3.9,30,30,1219,0,1219,-0.77,-0.23,46.68,52.34,23.62,-27.78,5.27,3.07,4.22,569,638,0.28,0.17,3.32,-2.34,0.6923,0.6933,0.6783,0.7892,,False,예
KODEX 인버스,19일 → 말일+2,19,2,앞 절반,102,0,102,-0.36,-0.38,44.12,55.88,7.32,-7.07,2.84,2.15,2.34,45,57,2081,0,2081,-0.46,-0.52,40.99,57.95,16.88,-12.54,2.96,2.2,2.35,853,1206,0.1,0.14,3.13,-2.07,0.7622,0.6114,0.5425,0.6953,,False,예
KODEX 인버스,19일 → 말일+2,19,2,뒤 절반,102,0,102,-0.56,-0.12,48.04,50.98,16.53,-20.48,5.17,2.94,3.87,49,52,2066,0,2066,-0.78,-0.39,44.53,54.45,22.45,-32.48,5.23,3.04,3.91,920,1125,0.22,0.27,3.51,-3.47,0.6633,0.4895,0.5445,0.5524,,False,예
KODEX 인버스,19일 → 말일+2,19,2,최근 10년,120,0,120,-0.56,-0.14,46.67,52.5,16.53,-20.48,4.84,2.75,3.52,56,63,2448,0,2448,-0.73,-0.37,44.12,54.74,22.45,-32.48,4.9,2.85,3.62,1080,1340,0.17,0.23,2.55,-2.24,0.7433,0.5165,0.6304,0.7103,,False,예
KODEX 인버스,19일 → 말일+2,19,2,최근 5년,60,0,60,-0.55,0.12,51.67,48.33,16.53,-20.48,5.85,3.31,4.67,31,29,1219,0,1219,-0.89,-0.37,45.61,53.32,22.45,-32.48,5.96,3.4,4.58,556,650,0.34,0.49,6.06,-4.99,0.6763,0.3437,0.3596,0.5055,,True,예
KODEX 인버스,19일 → 말일+3,19,3,앞 절반,101,0,101,-0.23,-0.34,47.52,52.48,5.97,-7.68,2.85,2.21,2.44,48,53,2062,0,2062,-0.32,-0.41,43.36,55.58,22.26,-10.95,3.1,2.39,2.43,894,1146,0.08,0.07,4.17,-3.1,0.7193,0.8402,0.4066,0.5385,,False,예
KODEX 인버스,19일 → 말일+3,19,3,뒤 절반,102,0,102,-0.78,-0.04,47.06,50.0,14.93,-19.67,5.23,2.99,4.38,48,51,2063,0,2063,-0.96,-0.34,44.6,53.85,19.23,-33.91,5.44,3.02,4.28,920,1111,0.17,0.3,2.46,-3.85,0.7483,0.3866,0.6503,0.4316,,False,예
KODEX 인버스,19일 → 말일+3,19,3,최근 10년,119,0,119,-0.8,-0.14,45.38,52.1,14.93,-19.67,4.93,2.83,4.0,54,62,2428,0,2428,-0.96,-0.38,43.57,54.78,19.23,-33.91,5.15,2.83,4.0,1058,1330,0.16,0.24,1.8,-2.68,0.7972,0.5025,0.7772,0.6573,,False,예
KODEX 인버스,19일 → 말일+3,19,3,최근 5년,59,0,59,-0.87,0.0,47.46,49.15,14.93,-19.67,5.89,3.4,5.05,28,29,1199,0,1199,-1.22,-0.34,44.2,54.05,19.23,-33.91,6.27,3.34,4.98,530,648,0.35,0.34,3.25,-4.89,0.7213,0.4665,0.6583,0.4635,,False,예
KODEX 인버스,20일 → 말일-3,20,-3,앞 절반,101,0,101,-0.14,-0.18,43.56,55.45,5.65,-5.23,1.87,1.48,1.42,44,56,1662,0,1662,-0.25,-0.51,40.43,57.82,22.67,-12.32,2.78,2.18,1.95,672,961,0.11,0.33,3.13,-2.38,0.7043,0.2188,0.5544,0.6234,,False,예
KODEX 인버스,20일 → 말일-3,20,-3,뒤 절반,102,0,102,-0.19,-0.03,47.06,50.0,6.91,-11.61,2.71,1.79,2.07,48,51,1677,0,1677,-0.51,-0.33,42.46,55.46,33.55,-22.93,4.58,2.85,3.11,712,930,0.32,0.3,4.6,-5.46,0.4815,0.2458,0.3447,0.3077,,False,예
KODEX 인버스,20일 → 말일-3,20,-3,최근 10년,119,0,119,-0.21,-0.07,47.06,50.42,6.91,-11.61,2.55,1.64,1.96,56,60,1968,0,1968,-0.53,-0.36,41.62,56.25,33.55,-22.93,4.27,2.62,2.88,819,1107,0.31,0.29,5.44,-5.83,0.3656,0.1798,0.2048,0.1788,,False,예
KODEX 인버스,20일 → 말일-3,20,-3,최근 5년,60,0,60,-0.3,-0.33,46.67,51.67,6.91,-11.61,2.87,1.82,2.22,28,31,979,0,979,-0.8,-0.45,40.35,57.71,33.55,-22.93,5.22,3.19,3.62,395,565,0.51,0.12,6.32,-6.05,0.4496,0.6833,0.3866,0.3796,,False,예
KODEX 인버스,20일 → 말일-2,20,-2,앞 절반,102,0,102,-0.26,-0.53,39.22,59.8,6.01,-6.78,2.09,1.71,1.56,40,61,1779,0,1779,-0.37,-0.44,39.46,59.53,18.95,-13.75,2.61,1.97,1.92,702,1059,0.11,-0.09,-0.24,0.28,0.6953,0.7223,1.0,1.0,,False,예
KODEX 인버스,20일 → 말일-2,20,-2,뒤 절반,102,0,102,-0.12,-0.14,45.1,51.96,13.47,-14.18,3.49,2.51,2.4,46,53,1763,0,1763,-0.42,-0.31,43.68,54.85,41.75,-23.16,5.03,3.15,3.28,770,967,0.31,0.17,1.42,-2.89,0.5385,0.5195,0.8611,0.6214,,False,예
KODEX 인버스,20일 → 말일-2,20,-2,최근 10년,120,0,120,-0.18,-0.17,43.33,53.33,13.47,-14.18,3.26,2.3,2.21,52,64,2088,0,2088,-0.46,-0.34,42.05,56.47,41.75,-23.16,4.67,2.9,2.97,878,1179,0.28,0.18,1.28,-3.13,0.5395,0.4186,0.8641,0.5155,,False,예
KODEX 인버스,20일 → 말일-2,20,-2,최근 5년,60,0,60,-0.22,-0.42,43.33,53.33,13.47,-14.18,3.88,2.85,2.72,26,32,1039,0,1039,-0.65,-0.47,42.35,55.82,41.75,-23.16,5.8,3.54,3.84,440,580,0.43,0.05,0.98,-2.49,0.5325,0.8671,0.8711,0.7752,,False,예
KODEX 인버스,20일 → 말일-1,20,-1,앞 절반,102,0,102,-0.41,-0.39,38.24,58.82,6.28,-7.25,2.18,1.63,1.75,39,60,1880,0,1880,-0.49,-0.47,38.72,59.41,17.78,-14.19,2.51,1.81,2.01,728,1117,0.08,0.09,-0.49,-0.59,0.7183,0.6274,1.0,0.9201,,False,예
KODEX 인버스,20일 → 말일-1,20,-1,뒤 절반,102,0,102,-0.15,-0.42,44.12,54.9,15.98,-13.66,3.95,2.94,2.63,45,56,1864,0,1864,-0.42,-0.37,43.78,54.83,44.88,-24.73,5.31,3.34,3.44,816,1022,0.27,-0.06,0.34,0.07,0.5425,0.963,1.0,1.0,,False,예
KODEX 인버스,20일 → 말일-1,20,-1,최근 10년,120,0,120,-0.21,-0.41,41.67,56.67,15.98,-13.66,3.67,2.75,2.39,50,68,2208,0,2208,-0.45,-0.42,41.76,56.79,44.88,-24.73,4.92,3.09,3.06,922,1254,0.24,0.01,-0.09,-0.13,0.5694,0.9331,1.0,1.0,,False,예
KODEX 인버스,20일 → 말일-1,20,-1,최근 5년,60,0,60,-0.15,-0.54,43.33,55.0,15.98,-13.66,4.51,3.42,2.96,26,33,1099,0,1099,-0.54,-0.57,43.04,55.41,44.88,-24.73,6.19,3.89,3.98,473,609,0.39,0.03,0.29,-0.41,0.6214,0.998,1.0,1.0,,False,예
KODEX 인버스,20일 → 말일,20,0,앞 절반,102,0,102,-0.37,-0.32,43.14,54.9,6.88,-8.0,2.3,1.59,1.92,44,56,1981,0,1981,-0.43,-0.4,41.14,57.65,15.71,-13.2,2.51,1.78,2.02,815,1142,0.06,0.09,2.0,-2.75,0.7942,0.7473,0.7602,0.5764,,False,예
KODEX 인버스,20일 → 말일,20,0,뒤 절반,102,0,102,-0.18,-0.36,48.04,51.96,14.13,-17.08,4.24,2.92,3.04,49,53,1965,0,1965,-0.48,-0.24,46.67,52.11,17.87,-24.02,4.73,3.02,3.63,917,1024,0.3,-0.12,1.37,-0.15,0.4805,0.7103,0.7473,1.0,,False,예
KODEX 인버스,20일 → 말일,20,0,최근 10년,120,0,120,-0.21,-0.4,45.0,54.17,14.13,-17.08,3.94,2.76,2.69,54,65,2328,0,2328,-0.48,-0.33,44.72,54.04,17.87,-24.02,4.4,2.82,3.22,1041,1258,0.26,-0.08,0.28,0.13,0.4875,0.7213,1.0,1.0,,False,예
