대상,격자 칸,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),기준선(%),기준선 대비 차이(%p),우연확률,시기 구간,가장 약한 시기(%),1차 판정,뒷받침,미충족
251340,25일 → 말일+3,120,아래,57.5,0.61,73.43,56.4,1.1,0.8482,4,55.93,제외,1/3,차이 · 우연확률
251340,25일 → 말일-1,118,아래,55.93,0.21,25.0,53.26,2.67,0.5824,4,53.45,제외,0/3,차이 · 우연확률 · 시기
251340,25일 → 말일-2,111,아래,53.15,-0.0,-0.4,51.67,1.49,0.7772,4,45.45,제외,0/3,차이 · 우연확률 · 시기
251340,25일 → 말일-3,77,아래,53.25,0.23,17.94,52.8,0.45,1.0,4,50.0,제외,0/3,차이 · 우연확률 · 시기
2203,15일 → 말일,200,아래,50.5,0.11,22.6,48.14,2.36,0.5315,4,49.0,제외,0/3,차이 · 우연확률 · 시기
2203,15일 → 말일+1,200,아래,46.5,-0.1,-19.53,46.14,0.36,0.955,4,46.0,제외,0/3,차이 · 우연확률 · 시기
2203,15일 → 말일+2,200,아래,48.0,-0.13,-25.08,46.38,1.62,0.6643,4,47.0,제외,0/3,차이 · 우연확률 · 시기
2203,15일 → 말일+3,200,아래,48.5,-0.15,-30.5,46.65,1.85,0.5914,4,48.0,제외,0/3,차이 · 우연확률 · 시기
2203,15일 → 말일-1,200,위,50.5,-0.23,-46.0,50.45,0.05,1.0,4,49.0,제외,0/3,차이 · 우연확률 · 시기
2203,15일 → 말일-2,200,아래,53.0,0.52,104.86,52.61,0.39,1.0,4,49.0,제외,0/3,차이 · 우연확률 · 시기
2203,15일 → 말일-3,200,아래,52.0,0.35,70.13,50.14,1.86,0.6044,4,50.83,제외,0/3,차이 · 우연확률 · 시기
2203,16일 → 말일,200,아래,50.0,0.21,41.73,48.14,1.86,0.6294,4,49.0,제외,0/3,차이 · 우연확률 · 시기
2203,16일 → 말일+1,200,아래,48.5,-0.0,-0.92,46.14,2.36,0.5255,4,46.0,제외,0/3,차이 · 우연확률 · 시기
2203,16일 → 말일+2,200,아래,48.0,-0.03,-6.02,46.38,1.62,0.6643,4,47.0,제외,0/3,차이 · 우연확률 · 시기
2203,16일 → 말일+3,200,아래,48.5,-0.06,-11.54,46.65,1.85,0.5914,4,48.0,제외,0/3,차이 · 우연확률 · 시기
2203,16일 → 말일-1,200,아래,51.5,0.33,65.38,49.53,1.97,0.6244,4,49.17,제외,0/3,차이 · 우연확률 · 시기
2203,16일 → 말일-2,200,위,47.5,-0.62,-124.4,47.36,0.14,0.9391,4,44.0,제외,0/3,차이 · 우연확률 · 시기
2203,16일 → 말일-3,200,아래,50.5,0.45,89.51,50.14,0.36,0.9351,4,49.0,제외,0/3,차이 · 우연확률 · 시기
2203,17일 → 말일,200,아래,51.0,0.21,41.11,48.14,2.86,0.4376,4,49.0,제외,0/3,차이 · 우연확률 · 시기
2203,17일 → 말일+1,200,아래,49.5,-0.01,-1.92,46.14,3.36,0.3457,4,48.0,제외,0/3,차이 · 우연확률 · 시기
2203,17일 → 말일+2,200,아래,47.5,-0.04,-7.15,46.38,1.12,0.7762,4,46.67,제외,0/3,차이 · 우연확률 · 시기
2203,17일 → 말일+3,200,아래,47.0,-0.06,-12.4,46.65,0.35,0.9441,4,46.0,제외,0/3,차이 · 우연확률 · 시기
2203,17일 → 말일-1,200,아래,50.0,0.32,64.61,49.53,0.47,0.9491,4,47.5,제외,0/3,차이 · 우연확률 · 시기
2203,17일 → 말일-2,200,위,48.5,-0.62,-123.55,47.36,1.14,0.7373,4,45.0,제외,0/3,차이 · 우연확률 · 시기
2203,17일 → 말일-3,200,위,51.0,-0.44,-88.49,49.86,1.14,0.7612,4,48.0,제외,0/3,차이 · 우연확률 · 시기
2203,18일 → 말일,200,아래,50.5,0.16,31.88,48.14,2.36,0.5315,4,50.0,제외,0/3,차이 · 우연확률 · 시기
2203,18일 → 말일+1,200,아래,48.5,-0.05,-10.26,46.14,2.36,0.5255,4,47.0,제외,0/3,차이 · 우연확률 · 시기
2203,18일 → 말일+2,200,아래,48.0,-0.08,-15.86,46.38,1.62,0.6643,4,46.0,제외,0/3,차이 · 우연확률 · 시기
2203,18일 → 말일+3,200,아래,48.5,-0.11,-21.01,46.65,1.85,0.5914,4,48.0,제외,0/3,차이 · 우연확률 · 시기
2203,18일 → 말일-1,200,아래,50.5,0.28,55.86,49.53,0.97,0.8332,4,47.0,제외,0/3,차이 · 우연확률 · 시기
