종목,청산 요일,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 평균(%),내린 평균(%),오른 건수,내린 건수,오른 비율 우연확률,내린 비율 우연확률,비고,만기월,시기,판정가능
SPY,금요일,17,0,17,0.97,1.17,70.59,29.41,4.6,-2.68,1.61,1.72,0.83,12,5,0.0809,0.0809,,4,뒤 절반,예
SPY,금요일,17,0,17,-0.11,0.35,58.82,41.18,2.78,-3.52,1.73,1.13,1.87,10,7,1.0,1.0,,5,앞 절반,예
SPY,금요일,17,0,17,0.89,0.33,70.59,29.41,6.58,-2.54,1.99,1.65,0.93,12,5,0.1918,0.1918,,5,뒤 절반,예
SPY,금요일,17,0,17,-0.59,-0.32,35.29,64.71,3.29,-3.95,1.8,1.22,1.58,6,11,0.7762,0.5894,,6,앞 절반,예
SPY,금요일,17,0,17,-0.01,-0.34,29.41,70.59,6.62,-3.45,2.45,2.79,1.18,5,12,0.0579,0.0579,,6,뒤 절반,예
SPY,금요일,17,0,17,-0.35,-0.1,41.18,58.82,4.18,-5.47,2.73,2.05,2.03,7,10,0.4086,0.4086,,7,앞 절반,예
SPY,금요일,17,0,17,0.8,0.65,70.59,29.41,3.52,-2.11,1.41,1.45,0.76,12,5,1.0,1.0,,7,뒤 절반,예
SPY,금요일,16,0,16,0.54,0.87,75.0,25.0,3.1,-4.78,1.89,1.32,1.81,12,4,0.2527,0.3836,,8,앞 절반,예
SPY,금요일,17,0,17,0.59,0.73,70.59,29.41,4.73,-3.99,1.88,1.42,1.41,12,5,0.2937,0.2937,,8,뒤 절반,예
SPY,금요일,16,0,16,-0.62,-0.54,25.0,75.0,7.36,-4.49,2.68,2.49,1.66,4,12,0.016,0.016,,9,앞 절반,예
SPY,금요일,17,0,17,-1.12,-0.97,29.41,70.59,2.07,-6.57,2.1,0.91,1.96,5,12,0.1079,0.1079,,9,뒤 절반,예
SPY,금요일,16,0,16,0.23,0.24,50.0,50.0,4.18,-6.62,2.5,2.09,1.62,8,8,0.5744,0.5744,,10,앞 절반,예
SPY,금요일,17,0,17,0.57,0.55,58.82,41.18,4.22,-3.95,2.25,2.04,1.52,10,7,0.3846,0.3846,,10,뒤 절반,예
SPY,금요일,16,0,16,1.2,0.6,62.5,37.5,13.29,-2.15,3.52,2.58,1.09,10,6,1.0,1.0,,11,앞 절반,예
SPY,금요일,17,0,17,0.3,0.42,70.59,29.41,3.7,-4.62,2.27,1.44,2.41,12,5,1.0,1.0,,11,뒤 절반,예
SPY,금요일,16,0,16,0.25,0.36,56.25,43.75,3.53,-2.9,1.58,1.3,1.12,9,7,1.0,1.0,,12,앞 절반,예
SPY,금요일,17,0,17,1.15,0.93,82.35,17.65,3.95,-1.93,1.38,1.55,0.69,14,3,0.014,0.014,,12,뒤 절반,예
DIA,금요일,14,0,14,-1.07,-0.39,35.71,64.29,2.48,-5.47,2.43,1.2,2.33,5,9,0.3716,0.3716,,1,앞 절반,예
DIA,금요일,14,0,14,0.61,0.85,78.57,21.43,2.16,-3.41,1.51,1.24,1.7,11,3,0.0719,0.0719,,1,뒤 절반,예
DIA,금요일,14,0,14,-0.97,-0.67,28.57,71.43,1.56,-4.03,1.7,0.82,1.69,4,10,0.0629,0.0629,,2,앞 절반,예
DIA,금요일,15,0,15,-0.7,0.3,66.67,33.33,1.58,-12.14,3.41,0.78,3.66,10,5,0.5465,0.5465,,2,뒤 절반,예
DIA,금요일,14,0,14,0.47,-0.12,50.0,50.0,6.97,-4.18,3.06,2.73,1.79,7,7,0.5455,0.5455,,3,앞 절반,예
DIA,금요일,15,0,15,0.25,-0.43,46.67,53.33,12.74,-5.61,3.9,2.55,1.77,7,8,0.7672,0.7672,,3,뒤 절반,예
DIA,금요일,14,0,14,0.3,0.58,64.29,35.71,2.45,-3.66,1.62,1.26,1.43,9,5,0.7622,0.7622,,4,앞 절반,예
DIA,금요일,15,0,15,0.36,0.66,53.33,46.67,2.47,-1.9,1.28,1.34,0.77,8,7,0.5624,0.5624,,4,뒤 절반,예
DIA,금요일,14,0,14,-0.88,-0.47,35.71,64.29,2.38,-3.85,1.85,0.97,1.9,5,9,0.5255,0.5255,,5,앞 절반,예
DIA,금요일,15,0,15,0.76,0.74,60.0,40.0,6.29,-2.4,2.2,2.0,1.1,9,6,0.5844,0.5844,,5,뒤 절반,예
DIA,금요일,14,0,14,-1.12,-0.84,7.14,92.86,3.0,-4.04,1.74,3.0,1.43,1,13,0.001,0.001,,6,앞 절반,예
DIA,금요일,15,0,15,0.2,-0.35,40.0,60.0,5.46,-3.25,2.36,2.3,1.21,6,9,0.2507,0.2507,,6,뒤 절반,예
DIA,금요일,14,0,14,-0.08,-0.6,50.0,50.0,4.01,-4.64,2.92,2.43,2.59,7,7,0.5504,0.5504,,7,앞 절반,예
DIA,금요일,15,0,15,0.42,0.66,73.33,26.67,2.05,-2.78,1.26,1.0,1.19,11,4,0.5165,0.5165,,7,뒤 절반,예
DIA,금요일,14,0,14,0.32,0.49,57.14,42.86,4.44,-5.62,2.31,1.69,1.51,8,6,0.7582,0.7582,,8,앞 절반,예
DIA,금요일,14,0,14,0.23,0.61,57.14,42.86,2.65,-4.19,1.71,1.37,1.28,8,6,0.5315,0.5315,,8,뒤 절반,예
DIA,금요일,14,0,14,-1.11,-1.7,28.57,71.43,6.7,-6.45,3.34,2.86,2.71,4,10,0.1359,0.1359,,9,앞 절반,예
DIA,금요일,14,0,14,-0.76,-0.74,28.57,71.43,0.8,-3.96,1.27,0.59,1.3,4,10,0.2178,0.2178,,9,뒤 절반,예
DIA,금요일,14,0,14,1.04,1.22,71.43,28.57,4.5,-5.08,2.59,2.27,2.03,10,4,0.7572,0.7572,,10,앞 절반,예
DIA,금요일,14,0,14,0.45,0.59,64.29,35.71,5.69,-3.06,2.43,1.86,2.1,9,5,1.0,1.0,,10,뒤 절반,예
DIA,금요일,14,0,14,0.65,0.13,50.0,50.0,9.63,-4.75,3.19,2.68,1.38,7,7,0.7592,0.7592,,11,앞 절반,예
DIA,금요일,14,0,14,0.74,1.07,71.43,28.57,3.42,-4.42,2.06,1.72,1.71,10,4,0.7592,0.7592,,11,뒤 절반,예
DIA,금요일,14,0,14,0.92,0.67,71.43,28.57,3.8,-2.8,1.84,1.75,1.15,10,4,0.3946,0.3946,,12,앞 절반,예
DIA,금요일,14,0,14,0.87,0.78,92.86,7.14,2.85,-2.06,1.18,1.1,2.06,13,1,0.004,0.004,,12,뒤 절반,예
KODEX 200,금요일,12,0,12,-0.47,-0.54,33.33,66.67,5.58,-5.68,3.36,3.11,2.26,4,8,0.7363,0.5135,,1,앞 절반,예
KODEX 200,금요일,12,0,12,0.48,-0.1,50.0,50.0,6.21,-4.25,2.76,2.48,1.52,6,6,0.4995,0.4995,,1,뒤 절반,예
KODEX 200,금요일,12,0,12,0.55,0.89,66.67,33.33,6.12,-9.26,3.64,2.15,2.64,8,4,1.0,1.0,,2,앞 절반,예
KODEX 200,금요일,12,0,12,0.83,0.36,75.0,25.0,5.28,-2.81,2.19,1.63,1.58,9,3,0.0919,0.0919,,2,뒤 절반,예
KODEX 200,금요일,12,0,12,1.48,1.23,66.67,33.33,10.41,-3.22,3.43,2.92,1.4,8,4,1.0,1.0,,3,앞 절반,예
KODEX 200,금요일,12,0,12,0.85,1.99,83.33,16.67,4.84,-13.44,4.77,2.43,7.03,10,2,0.025,0.025,,3,뒤 절반,예
KODEX 200,금요일,12,0,12,0.76,0.28,50.0,50.0,8.92,-2.94,3.28,2.98,1.47,6,6,0.7473,0.7473,,4,앞 절반,예
KODEX 200,금요일,12,0,12,1.12,0.96,58.33,41.67,7.79,-4.9,3.12,2.91,1.38,7,5,1.0,1.0,,4,뒤 절반,예
KODEX 200,금요일,12,0,12,-0.95,-0.29,50.0,50.0,3.8,-8.5,4.0,2.05,3.95,6,6,0.7483,0.7483,,5,앞 절반,예
KODEX 200,금요일,12,0,12,0.63,0.53,58.33,41.67,3.49,-2.76,1.95,1.96,1.22,7,5,1.0,1.0,,5,뒤 절반,예
KODEX 200,금요일,12,0,12,-0.44,-1.45,41.67,58.33,4.31,-5.11,3.11,2.78,2.73,5,7,0.3387,0.3387,,6,앞 절반,예
KODEX 200,금요일,12,0,12,1.03,0.36,50.0,50.0,18.62,-7.35,6.26,4.68,2.63,6,6,0.7113,0.7113,,6,뒤 절반,예
KODEX 200,금요일,12,0,12,0.8,0.96,58.33,41.67,3.61,-1.65,1.58,1.92,0.76,7,5,1.0,1.0,,7,앞 절반,예
KODEX 200,금요일,12,0,12,0.04,0.68,83.33,16.67,3.73,-7.39,2.83,1.12,5.39,10,2,0.022,0.022,,7,뒤 절반,예
KODEX 200,금요일,12,0,12,-0.94,0.63,58.33,41.67,4.66,-13.01,4.89,2.2,5.34,7,5,0.7303,0.7303,,8,앞 절반,예
KODEX 200,금요일,12,0,12,-1.1,-1.29,41.67,58.33,6.31,-5.2,3.42,2.07,3.36,5,7,0.5135,0.5135,,8,뒤 절반,예
KODEX 200,금요일,11,0,11,1.72,2.25,81.82,18.18,4.61,-3.15,2.37,2.51,1.83,9,2,0.4655,0.4655,,9,앞 절반,예
KODEX 200,금요일,12,0,12,0.81,0.84,75.0,25.0,4.44,-3.32,2.21,1.78,2.09,9,3,0.039,0.049,,9,뒤 절반,예
KODEX 200,금요일,11,0,11,-0.19,0.59,54.55,45.45,6.06,-8.32,4.01,2.49,3.4,6,5,1.0,1.0,,10,앞 절반,예
KODEX 200,금요일,12,0,12,0.45,0.93,75.0,25.0,6.38,-3.66,2.64,1.58,2.96,9,3,0.3137,0.3137,,10,뒤 절반,예
KODEX 200,금요일,12,0,12,-0.03,0.67,58.33,41.67,6.92,-7.04,3.79,2.41,3.45,7,5,0.7473,0.7473,,11,앞 절반,예
KODEX 200,금요일,12,0,12,-0.03,-0.22,41.67,58.33,4.68,-8.2,3.24,2.58,1.89,5,7,1.0,1.0,,11,뒤 절반,예
KODEX 200,금요일,12,0,12,0.22,0.69,75.0,25.0,1.9,-4.58,1.83,1.08,2.34,9,3,0.5225,0.5225,,12,앞 절반,예
KODEX 200,금요일,12,0,12,-0.13,0.12,50.0,50.0,3.23,-3.35,1.92,1.37,1.62,6,6,0.2897,0.2897,,12,뒤 절반,예
KODEX 200,목요일,12,0,12,-0.03,0.92,66.67,33.33,3.52,-7.62,3.44,2.0,4.1,8,4,0.1049,0.3377,,1,앞 절반,예
KODEX 200,목요일,12,0,12,0.25,0.46,66.67,33.33,5.1,-3.85,2.64,1.68,2.63,8,4,1.0,1.0,,1,뒤 절반,예
KODEX 200,목요일,12,0,12,0.52,0.51,58.33,33.33,6.67,-5.65,2.9,2.14,2.18,7,4,1.0,0.7233,,2,앞 절반,예
KODEX 200,목요일,12,0,12,0.67,0.15,58.33,41.67,3.14,-1.4,1.55,1.57,0.6,7,5,1.0,1.0,,2,뒤 절반,예
KODEX 200,목요일,12,0,12,0.87,0.21,50.0,50.0,8.94,-3.01,3.1,2.91,1.16,6,6,0.7373,0.7373,,3,앞 절반,예
KODEX 200,목요일,12,0,12,0.29,1.97,83.33,16.67,4.34,-19.62,6.48,2.48,10.68,10,2,0.01,0.01,,3,뒤 절반,예
KODEX 200,목요일,12,0,12,0.55,0.34,58.33,41.67,6.79,-3.27,2.67,2.06,1.57,7,5,0.7473,0.7473,,4,앞 절반,예
KODEX 200,목요일,12,0,12,1.18,0.57,75.0,25.0,8.55,-3.08,2.84,2.01,1.34,9,3,0.1928,0.3137,,4,뒤 절반,예
KODEX 200,목요일,12,0,12,-0.66,0.23,58.33,41.67,3.88,-5.71,3.64,1.97,4.35,7,5,1.0,1.0,,5,앞 절반,예
KODEX 200,목요일,12,0,12,0.5,0.53,50.0,50.0,4.19,-2.11,1.85,2.05,1.06,6,6,0.5275,0.5275,,5,뒤 절반,예
KODEX 200,목요일,12,0,12,0.1,-0.54,41.67,58.33,4.79,-3.6,2.52,2.58,1.66,5,7,0.3197,0.2088,,6,앞 절반,예
KODEX 200,목요일,12,0,12,0.85,0.1,50.0,50.0,18.65,-6.65,6.25,4.51,2.81,6,6,1.0,1.0,,6,뒤 절반,예
KODEX 200,목요일,12,0,12,0.85,0.93,66.67,33.33,3.51,-1.26,1.33,1.6,0.64,8,4,1.0,1.0,,7,앞 절반,예
KODEX 200,목요일,12,0,12,0.02,0.56,75.0,25.0,4.38,-7.39,2.79,1.16,3.38,9,3,0.1838,0.1838,,7,뒤 절반,예
KODEX 200,목요일,12,0,12,-0.02,1.06,66.67,33.33,4.98,-10.13,4.12,2.28,4.63,8,4,0.7363,1.0,,8,앞 절반,예
KODEX 200,목요일,12,0,12,-1.32,-1.4,41.67,58.33,3.85,-6.51,2.83,1.28,3.18,5,7,0.7512,0.7512,,8,뒤 절반,예
KODEX 200,목요일,11,0,11,1.05,1.48,72.73,27.27,5.85,-3.8,3.03,2.54,2.93,8,3,0.5025,0.5025,,9,앞 절반,예
KODEX 200,목요일,12,0,12,0.74,0.57,83.33,16.67,4.83,-3.32,2.14,1.47,2.87,10,2,0.049,0.0919,,9,뒤 절반,예
KODEX 200,목요일,11,0,11,-0.31,-1.07,45.45,54.55,6.7,-7.11,3.91,3.19,3.22,5,6,1.0,1.0,,10,앞 절반,예
KODEX 200,목요일,12,0,12,0.78,0.95,66.67,33.33,6.08,-2.51,2.24,1.91,1.48,8,4,0.5415,0.5415,,10,뒤 절반,예
KODEX 200,목요일,12,0,12,-0.22,0.99,58.33,41.67,6.55,-12.46,4.9,2.77,4.41,7,5,0.4955,0.4955,,11,앞 절반,예
KODEX 200,목요일,12,0,12,0.15,-0.36,41.67,58.33,3.75,-4.18,2.35,2.37,1.44,5,7,0.5035,0.5035,,11,뒤 절반,예
KODEX 200,목요일,12,0,12,-0.04,0.59,75.0,25.0,2.01,-5.63,2.19,0.95,3.02,9,3,0.3506,0.3506,,12,앞 절반,예
KODEX 200,목요일,12,0,12,-0.23,-0.27,41.67,58.33,3.01,-2.37,1.77,1.45,1.42,5,7,0.1878,0.1878,,12,뒤 절반,예
