STAT_CODE,STAT_NAME,GRP_CODE,GRP_NAME,ITEM_CODE,ITEM_NAME,P_ITEM_CODE,P_ITEM_NAME,CYCLE,START_TIME,END_TIME,DATA_CNT,UNIT_NAME,WEIGHT
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000001,원/미국달러(매매기준율),,,D,19640504,20260821,17491,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000053,원/위안(매매기준율),,,D,20160104,20260821,2618,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000002,원/일본엔(100엔),,,D,19770401,20260821,13643,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000003,원/유로,,,D,19940411,20260821,8605,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000004,원/독일마르크,,,D,19640504,20011231,11170,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000005,원/프랑스프랑,,,D,19641214,20020216,10968,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000006,원/이태리리라(100리라),,,D,19641214,20020228,10980,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000007,원/벨기에프랑,,,D,19700220,20020228,9488,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000008,원/오스트리아실링,,,D,19700220,20020228,9483,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000009,원/네덜란드길더,,,D,19700220,20020128,9464,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000010,원/스페인페세타(100페세타),,,D,19880104,20020228,4202,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000011,원/핀란드마르카,,,D,19880104,20020228,4202,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000012,원/영국파운드,,,D,19640504,20260821,17478,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000013,원/캐나다달러,,,D,19641214,20260821,17242,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000014,원/스위스프랑,,,D,19641214,20260821,17239,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000017,원/호주달러,,,D,19700220,20260821,15743,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000026,원/뉴질랜드달러,,,D,19880104,20260821,10463,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000027,원/중국위안,,,D,19940411,20160201,6008,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000030,원/홍콩위안,,,D,20150102,20160308,250,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000015,원/홍콩달러,,,D,19640504,20260821,17420,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000031,원/대만달러,,,D,20150102,20260821,2867,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000032,원/몽골투그릭,,,D,20150102,20260821,2867,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000033,원/카자흐스탄텡게,,,D,20150102,20260821,2867,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000028,원/태국바트,,,D,19940411,20260821,8605,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000024,원/싱가포르달러,,,D,19830824,20260821,11756,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000029,원/인도네시아루피아(100루피아),,,D,19940411,20260821,8605,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000025,원/말레이지아링깃,,,D,19830824,20260821,11756,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000034,원/필리핀페소,,,D,20150102,20260821,2867,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000035,원/베트남동(100동),,,D,20150102,20260821,2867,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000036,원/브루나이달러,,,D,20150102,20260821,2867,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000037,원/인도루피,,,D,20150102,20260821,2867,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000038,원/파키스탄루피,,,D,20150102,20260821,2867,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000039,원/방글라데시타카,,,D,20150102,20260821,2867,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000040,원/멕시코 페소,,,D,20150102,20260821,2867,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000041,원/브라질 헤알,,,D,20150102,20260821,2867,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000042,원/아르헨티나페소,,,D,20150102,20260821,2867,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000016,원/스웨덴크로나,,,D,19670718,20260821,16466,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000018,원/덴마크크로나,,,D,19700220,20260821,15748,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000019,원/노르웨이크로나,,,D,19700220,20260821,15750,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000043,원/러시아루블,,,D,20150102,20260821,2867,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000044,원/헝가리포린트,,,D,20150102,20260821,2867,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000045,원/폴란트즈워티,,,D,20150102,20260821,2867,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000046,원/체코코루나,,,D,20150102,20260821,2867,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000020,원/사우디아라비아리얄,,,D,19760701,20260821,13869,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000047,원/카타르리얄,,,D,20150102,20260821,2867,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000048,원/이스라엘셰켈,,,D,20150102,20260821,2867,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000049,원/요르단디나르,,,D,20150102,20260821,2867,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000021,원/쿠웨이트디나르,,,D,19770401,20260821,13644,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000022,원/바레인디나르,,,D,19770401,20260821,13645,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000023,원/아랍에미리트디르함,,,D,19770401,20260821,13645,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000050,원/튀르키예리라,,,D,20150102,20260821,2867,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000051,원/남아프리카공화국랜드,,,D,20150102,20260821,2867,원,
731Y001,3.1.1.1. 주요국 통화의 대원화환율,Group1,계정항목,0000052,원/이집트파운드,,,D,20150102,20260821,2867,원,
