종목,사이클 위치,방향,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 평균(%),내린 평균(%),오른 건수,내린 건수,기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),기준선 오른 평균(%),기준선 내린 평균(%),기준선 오른 건수,기준선 내린 건수,평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능,비중첩 표본,기준선 비중첩 표본,배당락 대조 건수,배당락 걸린 건수,배당락 평균 왜곡(%p)
SPY,중간선거해,위,8,0,8,16.18,16.73,100.0,0.0,34.64,0.78,10.71,16.18,,8,0,103,7,96,7.29,8.19,80.21,19.79,35.63,-22.96,11.65,11.64,10.36,77,19,8.9,8.54,19.79,-19.79,,,,,표본 부족으로 검정 불가,False,아니오,8,16,8,8,-1.6039
DIA,중간선거해,위,7,0,7,15.93,14.96,100.0,0.0,39.89,0.55,12.85,15.93,,7,0,91,7,84,6.67,6.7,80.95,19.05,40.42,-20.09,11.04,10.42,9.26,68,16,9.26,8.25,19.05,-19.05,,,,,표본 부족으로 검정 불가,False,아니오,7,14,7,7,-1.841
QQQ,중간선거해,위,6,0,6,20.84,16.68,100.0,0.0,44.55,0.51,17.13,20.84,,6,0,80,8,72,9.66,11.62,77.78,22.22,44.55,-36.25,16.75,16.39,13.9,56,16,11.17,5.06,22.22,-22.22,,,,,표본 부족으로 검정 불가,False,아니오,6,12,6,5,-0.5499
S&P 500 지수,중간선거해,위,24,0,24,16.88,17.41,91.67,8.33,49.81,-20.23,16.23,19.84,15.75,22,2,296,8,288,9.21,10.98,74.65,25.35,54.59,-39.07,17.01,17.0,13.75,215,73,7.67,6.43,17.01,-17.01,0.012,0.0749,0.046,0.046,,False,예,24,48,,,
나스닥 종합 지수,중간선거해,위,13,0,13,29.36,22.13,92.31,7.69,69.84,-0.5,21.84,31.85,0.5,12,1,164,8,156,13.89,11.2,78.21,21.79,75.12,-35.17,20.75,21.26,12.55,122,34,15.48,10.93,14.1,-14.1,0.008,0.1099,0.2887,0.2887,,False,예,13,26,,,
