레벨,레벨가,목표가,매수일,매수 판정환율,매수 집행가,매도일,매도 판정환율,매도 집행가,투입액,매수비용,회수액,매도비용,매도과세,실현손익,이탈 보너스,보유일
-6,953.3158,960.9424,2006-10-26,949.7,949.7,2008-03-10,965.3,965.3,5148723.0,9268.0,5214475.0,9403.0,0.0,65751.0,43306.0,501
-5,960.9424,968.6299,2006-06-15,959.5,959.5,2008-03-11,970.0,970.0,5097436.0,9175.0,5134683.0,9259.0,0.0,37247.0,14976.0,635
-3,976.3789,984.19,2006-03-15,974.8,974.8,2008-03-14,997.3,997.3,5088360.0,9159.0,5187084.0,9354.0,0.0,98724.0,76603.0,730
1,1008.0,1016.064,2006-01-02,1008.0,1008.0,2008-03-17,1029.2,1029.2,5910032.0,10638.0,6012626.0,10842.0,0.0,102594.0,76879.0,805
2,1016.064,1024.1925,2005-12-15,1014.0,1014.0,2008-03-17,1029.2,1029.2,5914645.0,10646.0,5981714.0,10787.0,0.0,67069.0,41270.0,823
-3,976.3789,984.19,2008-03-25,976.3,976.3,2008-03-26,986.8,986.8,4688020.0,8438.0,4721396.0,8514.0,0.0,33376.0,12892.0,1
-2,984.19,992.0635,2008-03-25,976.3,976.3,2008-03-28,993.0,993.0,4688020.0,8438.0,4751061.0,8567.0,0.0,63040.0,42609.0,3
-3,976.3789,984.19,2008-04-02,974.7,974.7,2008-04-15,986.9,986.9,4688069.0,8439.0,4729675.0,8529.0,0.0,41606.0,21136.0,13
-2,984.19,992.0635,2008-04-01,983.8,983.8,2008-04-18,1000.7,1000.7,4707011.0,8473.0,4770649.0,8603.0,0.0,63638.0,43125.0,17
-1,992.0635,1000.0,2008-03-25,976.3,976.3,2008-04-18,1000.7,1000.7,4688020.0,8438.0,4787902.0,8634.0,0.0,99881.0,79517.0,24
-1,992.0635,1000.0,2008-04-21,991.5,991.5,2008-04-29,1001.0,1001.0,4735849.0,8525.0,4764029.0,8591.0,0.0,28179.0,7476.0,8
0,1000.0,1008.0,2008-03-24,997.2,997.2,2008-05-02,1009.6,1009.6,4723088.0,8502.0,4764620.0,8592.0,0.0,41532.0,20908.0,39
1,1008.0,1016.064,2008-03-21,1003.1,1003.1,2008-05-07,1026.1,1026.1,4730743.0,8515.0,4821809.0,8695.0,0.0,91065.0,70498.0,47
2,1016.064,1024.1925,2008-03-18,1014.0,1014.0,2008-05-07,1026.1,1026.1,2371719.0,4269.0,2391389.0,4312.0,0.0,19669.0,9311.0,50
3,1024.1925,1032.3861,2005-12-14,1016.3,1016.3,2008-05-08,1049.6,1049.6,5918389.0,10653.0,6090326.0,10982.0,0.0,171937.0,146310.0,876
4,1032.3861,1040.6451,2005-12-13,1026.0,1026.0,2008-05-08,1049.6,1049.6,5930729.0,10675.0,6045325.0,10901.0,0.0,114596.0,88812.0,877
5,1040.6451,1048.9703,2005-11-14,1037.8,1037.8,2008-05-08,1049.6,1049.6,5928088.0,10671.0,5973927.0,10772.0,0.0,45839.0,19943.0,906
3,1024.1925,1032.3861,2008-06-02,1022.6,1022.6,2008-06-12,1034.0,1034.0,2410690.0,4339.0,2428797.0,4380.0,0.0,18107.0,7575.0,10
4,1032.3861,1040.6451,2008-05-29,1030.3,1030.3,2008-06-13,1041.0,1041.0,2413488.0,4344.0,2429782.0,4381.0,0.0,16294.0,5747.0,15
3,1024.1925,1032.3861,2008-06-17,1023.2,1023.2,2008-06-23,1039.0,1039.0,2416570.0,4350.0,2445060.0,4409.0,0.0,28490.0,17951.0,6
4,1032.3861,1040.6451,2008-06-17,1023.2,1023.2,2008-06-27,1041.5,1041.5,2416570.0,4350.0,2450943.0,4420.0,0.0,34373.0,23845.0,10
5,1040.6451,1048.9703,2008-05-27,1037.7,1037.7,2008-07-04,1050.4,1050.4,2414984.0,4347.0,2435748.0,4392.0,0.0,20764.0,10218.0,38
