지수,1배 종목,배수 종목,배수,상품,구간,표본,비중첩 표본,제외,판정가능,경로 효과(%p) 평균,경로 효과(%p) 중앙값,상품 비용(%p) 평균,상품 비용(%p) 중앙값,총 괴리(%p) 평균,총 괴리(%p) 중앙값,총 괴리 하위5%(%p),총 괴리 상위5%(%p),1배 수익률(%) 평균,실제(%) 평균,실현 배수,실현 배수 표본
KOSPI200,069500,122630,2.0,ETF,1주,4064,813,5,예,-0.01,-0.01,-0.0,-0.06,-0.01,-0.06,-0.47,0.57,0.24,0.47,2.004,2591
KOSPI200,069500,122630,2.0,ETF,2주,4059,406,10,예,-0.02,-0.02,-0.01,-0.11,-0.02,-0.12,-0.69,1.42,0.48,0.94,2.007,3071
KOSPI200,069500,122630,2.0,ETF,1개월,4048,193,21,예,0.01,-0.07,-0.01,-0.21,0.0,-0.24,-1.14,2.51,1.02,2.04,2.004,3366
KOSPI200,069500,122630,2.0,ETF,3개월,4006,64,63,예,0.19,-0.24,-0.06,-0.42,0.13,-0.45,-2.28,4.28,3.26,6.64,1.988,3624
KOSPI200,069500,122630,2.0,ETF,6개월,3943,32,126,예,2.04,-0.52,-0.2,-0.28,1.84,-0.66,-4.32,14.39,6.86,15.56,2.021,3678
KOSPI200,069500,122630,2.0,ETF,1년,3817,16,252,예,9.44,-1.19,-0.25,-0.06,9.19,-1.44,-6.69,39.32,12.64,34.46,2.039,3582
KOSPI200,069500,122630,2.0,ETF,3년,3313,5,756,예,6.55,-4.92,-0.15,0.29,6.41,-5.4,-18.02,57.09,20.47,47.36,1.999,3206
KOSPI200,069500,114800,-1.0,ETF,1주,4172,835,5,예,-0.01,-0.01,0.02,0.04,0.01,0.04,-0.41,0.37,0.23,-0.22,-1.006,2670
KOSPI200,069500,114800,-1.0,ETF,2주,4167,417,10,예,-0.02,-0.02,0.04,0.08,0.02,0.06,-0.96,0.59,0.46,-0.45,-0.999,3154
KOSPI200,069500,114800,-1.0,ETF,1개월,4156,198,21,예,-0.01,-0.07,0.08,0.15,0.07,0.11,-1.36,1.17,1.0,-0.92,-0.982,3469
KOSPI200,069500,114800,-1.0,ETF,3개월,4114,66,63,예,0.19,-0.23,0.22,0.32,0.4,0.18,-2.11,4.4,3.23,-2.83,-0.961,3707
KOSPI200,069500,114800,-1.0,ETF,6개월,4051,33,126,예,1.47,-0.53,0.41,0.58,1.88,0.28,-3.34,12.03,6.77,-4.9,-0.923,3762
KOSPI200,069500,114800,-1.0,ETF,1년,3925,16,252,예,4.59,-1.11,0.83,0.65,5.41,0.52,-5.51,29.18,12.84,-7.42,-0.907,3690
KOSPI200,069500,114800,-1.0,ETF,3년,3421,5,756,예,2.46,-4.42,2.08,1.97,4.54,-2.01,-13.5,47.78,20.44,-15.89,-1.028,3314
KOSPI200,069500,252670,-2.0,ETF,1주,2435,487,5,예,-0.06,-0.02,-0.0,0.05,-0.06,0.03,-1.19,0.77,0.35,-0.76,-1.998,1575
KOSPI200,069500,252670,-2.0,ETF,2주,2430,243,10,예,-0.12,-0.08,-0.0,0.07,-0.12,0.01,-2.86,1.79,0.7,-1.52,-1.975,1866
KOSPI200,069500,252670,-2.0,ETF,1개월,2419,116,21,예,-0.02,-0.21,0.0,0.12,-0.02,-0.01,-3.97,4.59,1.5,-3.03,-1.953,2033
KOSPI200,069500,252670,-2.0,ETF,3개월,2377,38,63,예,1.51,-0.5,-0.18,0.0,1.32,-0.42,-5.15,21.16,4.99,-8.65,-1.869,2181
