지수,1배 종목,배수 종목,배수,상품,구간,표본,비중첩 표본,제외,판정가능,경로 효과(%p) 평균,경로 효과(%p) 중앙값,상품 비용(%p) 평균,상품 비용(%p) 중앙값,총 괴리(%p) 평균,총 괴리(%p) 중앙값,총 괴리 하위5%(%p),총 괴리 상위5%(%p),1배 수익률(%) 평균,실제(%) 평균,실현 배수,실현 배수 표본
KOSPI200,069500,252670,-2.0,ETF,6개월,2314,19,126,예,8.28,-0.95,-0.47,-0.19,7.81,-0.93,-14.7,69.29,10.55,-13.28,-1.726,2197
KOSPI200,069500,252670,-2.0,ETF,1년,2188,9,252,예,22.76,-1.89,-0.93,-0.86,21.83,-2.45,-14.59,187.07,19.67,-17.52,-1.738,2135
KOSPI200,069500,252670,-2.0,ETF,3년,1684,3,756,예,23.17,-13.49,-2.37,-3.64,20.81,-17.8,-37.42,302.8,33.09,-45.37,-1.657,1644
KOSDAQ150,229200,233740,2.0,ETF,1주,2620,524,5,예,-0.03,-0.02,-0.01,-0.01,-0.03,-0.03,-1.01,0.95,0.14,0.25,1.979,1986
KOSDAQ150,229200,233740,2.0,ETF,2주,2615,262,10,예,-0.06,-0.06,-0.0,-0.02,-0.07,-0.07,-1.38,1.36,0.27,0.47,1.992,2176
KOSDAQ150,229200,233740,2.0,ETF,1개월,2604,124,21,예,-0.13,-0.15,0.02,-0.06,-0.11,-0.14,-2.27,2.37,0.55,0.98,1.995,2321
KOSDAQ150,229200,233740,2.0,ETF,3개월,2562,41,63,예,-0.47,-0.75,0.12,-0.21,-0.36,-0.72,-4.86,5.0,1.64,2.91,1.996,2402
KOSDAQ150,229200,233740,2.0,ETF,6개월,2499,20,126,예,-0.55,-1.44,0.14,-0.37,-0.41,-1.13,-8.27,9.84,4.2,7.98,1.983,2412
KOSDAQ150,229200,233740,2.0,ETF,1년,2373,10,252,예,-1.34,-2.98,0.27,-0.74,-1.07,-2.53,-13.41,24.72,8.74,16.41,1.878,2322
KOSDAQ150,229200,233740,2.0,ETF,3년,1869,3,756,예,-22.63,-22.73,-0.06,1.84,-22.68,-20.26,-43.71,-7.68,10.62,-1.44,1.072,1765
KOSDAQ150,229200,251340,-1.0,ETF,1주,2462,493,5,예,-0.03,-0.02,-0.03,-0.01,-0.06,-0.04,-0.75,0.57,0.15,-0.2,-1.004,1894
KOSDAQ150,229200,251340,-1.0,ETF,2주,2457,246,10,예,-0.08,-0.06,-0.05,-0.02,-0.13,-0.1,-1.15,0.79,0.29,-0.42,-0.998,2073
KOSDAQ150,229200,251340,-1.0,ETF,1개월,2446,117,21,예,-0.15,-0.17,-0.11,-0.05,-0.27,-0.25,-1.91,1.49,0.62,-0.89,-0.98,2199
KOSDAQ150,229200,251340,-1.0,ETF,3개월,2404,39,63,예,-0.56,-0.87,-0.31,-0.11,-0.87,-1.11,-5.01,3.95,1.96,-2.83,-0.945,2263
KOSDAQ150,229200,251340,-1.0,ETF,6개월,2341,19,126,예,-0.65,-1.81,-0.6,-0.37,-1.25,-2.24,-7.82,10.4,5.08,-6.32,-0.888,2258
KOSDAQ150,229200,251340,-1.0,ETF,1년,2215,9,252,예,-0.4,-2.42,-1.06,-0.79,-1.46,-3.67,-12.13,18.56,10.04,-11.5,-0.873,2171
KOSDAQ150,229200,251340,-1.0,ETF,3년,1711,3,756,예,-16.91,-20.55,-3.23,-3.72,-20.14,-23.89,-32.19,10.23,11.28,-31.42,-1.54,1614
KOSDAQ150,229200,530107,-2.0,ETN,1주,944,189,5,예,-0.19,-0.1,-0.03,0.01,-0.22,-0.08,-1.91,1.17,0.31,-0.84,-1.998,762
KOSDAQ150,229200,530107,-2.0,ETN,2주,939,94,10,예,-0.5,-0.28,-0.06,-0.0,-0.57,-0.25,-5.27,1.96,0.59,-1.75,-1.969,818
KOSDAQ150,229200,530107,-2.0,ETN,1개월,928,45,21,예,-1.18,-0.83,-0.17,0.05,-1.36,-0.73,-12.12,3.93,1.2,-3.76,-1.907,843
KOSDAQ150,229200,530107,-2.0,ETN,3개월,886,15,63,예,-3.61,-3.24,-0.65,-0.19,-4.26,-3.36,-23.01,7.95,3.72,-11.71,-1.821,844
KOSDAQ150,229200,530107,-2.0,ETN,6개월,823,7,126,예,-5.37,-7.67,-0.89,-0.62,-6.27,-8.47,-45.25,27.99,8.9,-24.07,-1.518,788
KOSDAQ150,229200,530107,-2.0,ETN,1년,697,3,252,예,-7.16,-18.27,-1.61,-1.13,-8.77,-20.98,-40.15,51.75,13.96,-36.69,-1.497,674
KOSDAQ150,229200,530107,-2.0,ETN,3년,193,1,756,예,17.18,28.31,-0.99,-0.72,16.19,27.7,-84.14,113.92,49.72,-83.25,-1.44,191
KOSDAQ150,229200,520057,-2.0,ETN,1주,944,189,5,예,-0.19,-0.1,-0.03,0.01,-0.22,-0.09,-1.85,1.14,0.31,-0.84,-1.996,762
KOSDAQ150,229200,520057,-2.0,ETN,2주,939,94,10,예,-0.5,-0.28,-0.06,0.02,-0.56,-0.24,-5.36,1.95,0.59,-1.75,-1.957,818
KOSDAQ150,229200,520057,-2.0,ETN,1개월,928,45,21,예,-1.18,-0.83,-0.15,0.06,-1.34,-0.74,-12.58,3.99,1.2,-3.74,-1.907,843
KOSDAQ150,229200,520057,-2.0,ETN,3개월,886,15,63,예,-3.61,-3.24,-0.61,-0.12,-4.22,-3.35,-22.79,8.09,3.72,-11.66,-1.821,844
KOSDAQ150,229200,520057,-2.0,ETN,6개월,823,7,126,예,-5.37,-7.67,-0.84,-0.52,-6.21,-8.37,-45.08,27.96,8.9,-24.01,-1.518,788
KOSDAQ150,229200,520057,-2.0,ETN,1년,697,3,252,예,-7.16,-18.27,-1.52,-1.05,-8.68,-20.94,-40.17,51.79,13.96,-36.61,-1.495,674
KOSDAQ150,229200,520057,-2.0,ETN,3년,193,1,756,예,17.18,28.31,-0.92,-0.66,16.26,27.79,-84.04,113.92,49.72,-83.18,-1.44,191
S&P500,SPY,SSO,2.0,ETF,1주,5071,1015,5,예,-0.01,-0.0,-0.01,-0.05,-0.02,-0.06,-0.36,0.74,0.21,0.4,1.994,2952
S&P500,SPY,SSO,2.0,ETF,2주,5066,507,10,예,-0.03,-0.02,-0.02,-0.08,-0.05,-0.11,-0.53,0.83,0.41,0.78,1.987,3552
S&P500,SPY,SSO,2.0,ETF,1개월,5055,241,21,예,-0.07,-0.05,-0.04,-0.12,-0.11,-0.16,-0.88,0.89,0.87,1.63,1.983,4176
S&P500,SPY,SSO,2.0,ETF,3개월,5013,80,63,예,-0.22,-0.22,-0.1,0.25,-0.32,-0.02,-3.03,1.47,2.56,4.8,2.051,4609
S&P500,SPY,SSO,2.0,ETF,6개월,4950,40,126,예,-0.31,-0.35,-0.19,0.56,-0.49,-0.15,-6.04,3.98,5.06,9.63,2.103,4712
S&P500,SPY,SSO,2.0,ETF,1년,4824,20,252,예,-0.28,-0.92,-0.11,1.2,-0.39,-0.48,-10.39,9.81,10.18,19.97,2.049,4669
S&P500,SPY,SSO,2.0,ETF,3년,4320,6,756,예,-0.0,-1.81,2.47,3.59,2.46,2.68,-19.32,35.81,33.83,70.13,2.236,4302
S&P500,SPY,UPRO,3.0,ETF,1주,4313,863,5,예,-0.02,-0.01,-0.0,-0.08,-0.02,-0.09,-0.49,1.21,0.27,0.79,2.99,2478
S&P500,SPY,UPRO,3.0,ETF,2주,4308,431,10,예,-0.05,-0.05,-0.0,-0.12,-0.05,-0.16,-0.88,1.36,0.55,1.58,2.985,3002
S&P500,SPY,UPRO,3.0,ETF,1개월,4297,205,21,예,-0.12,-0.14,0.0,-0.18,-0.12,-0.27,-1.58,1.67,1.13,3.28,2.98,3522
S&P500,SPY,UPRO,3.0,ETF,3개월,4255,68,63,예,-0.59,-0.68,0.03,0.62,-0.55,-0.15,-4.48,3.45,3.26,9.24,3.074,3906
S&P500,SPY,UPRO,3.0,ETF,6개월,4192,34,126,예,-1.3,-1.17,0.07,1.36,-1.23,-0.5,-10.94,7.66,6.36,17.86,3.154,3979
S&P500,SPY,UPRO,3.0,ETF,1년,4066,17,252,예,-1.77,-3.21,0.15,3.4,-1.62,-2.68,-30.47,22.13,12.88,37.02,3.085,3919
S&P500,SPY,UPRO,3.0,ETF,3년,3562,5,756,예,0.78,-6.16,3.27,5.6,4.05,8.2,-57.46,102.28,40.97,126.96,3.246,3561
S&P500,SPY,SH,-1.0,ETF,1주,5071,1015,5,예,-0.01,-0.0,-0.03,0.02,-0.04,0.01,-0.55,0.28,0.21,-0.25,-0.991,2952
S&P500,SPY,SH,-1.0,ETF,2주,5066,507,10,예,-0.04,-0.02,-0.05,0.0,-0.09,-0.0,-0.82,0.46,0.41,-0.5,-0.987,3552
S&P500,SPY,SH,-1.0,ETF,1개월,5055,241,21,예,-0.09,-0.05,-0.11,-0.06,-0.19,-0.11,-1.11,0.84,0.87,-1.06,-0.993,4176
S&P500,SPY,SH,-1.0,ETF,3개월,5013,80,63,예,-0.32,-0.21,-0.34,-0.46,-0.66,-0.45,-2.21,1.36,2.56,-3.22,-1.006,4609
S&P500,SPY,SH,-1.0,ETF,6개월,4950,40,126,예,-0.48,-0.28,-0.73,-0.94,-1.21,-0.76,-6.68,2.62,5.06,-6.27,-0.979,4712
S&P500,SPY,SH,-1.0,ETF,1년,4824,20,252,예,-0.47,-0.58,-1.48,-1.7,-1.94,-1.16,-11.92,7.21,10.18,-12.12,-0.977,4669
S&P500,SPY,SH,-1.0,ETF,3년,4320,6,756,예,2.75,2.94,-4.06,-4.05,-1.31,0.72,-39.9,27.44,33.83,-35.15,-0.897,4302
S&P500,SPY,SDS,-2.0,ETF,1주,5056,1012,5,예,-0.04,-0.01,-0.04,0.04,-0.08,0.02,-1.04,0.5,0.21,-0.5,-1.968,2943
S&P500,SPY,SDS,-2.0,ETF,2주,5051,506,10,예,-0.12,-0.05,-0.07,0.02,-0.19,-0.02,-1.49,0.82,0.42,-1.03,-1.958,3541
S&P500,SPY,SDS,-2.0,ETF,1개월,5040,240,21,예,-0.28,-0.15,-0.16,-0.06,-0.44,-0.22,-2.24,1.48,0.87,-2.17,-1.964,4168
S&P500,SPY,SDS,-2.0,ETF,3개월,4998,80,63,예,-1.06,-0.61,-0.48,-0.75,-1.54,-0.84,-7.15,3.3,2.55,-6.64,-1.959,4594
S&P500,SPY,SDS,-2.0,ETF,6개월,4935,40,126,예,-1.66,-0.79,-0.98,-1.42,-2.64,-1.45,-19.44,7.24,5.04,-12.71,-1.873,4697
S&P500,SPY,SDS,-2.0,ETF,1년,4809,20,252,예,-1.59,-1.44,-1.84,-2.45,-3.44,-1.89,-27.23,19.67,10.15,-23.73,-1.853,4654
S&P500,SPY,SDS,-2.0,ETF,3년,4305,6,756,예,11.0,12.39,-3.71,-4.09,7.29,9.6,-82.94,72.28,34.05,-60.81,-1.537,4287
S&P500,SPY,SPXU,-3.0,ETF,1주,4313,863,5,예,-0.05,-0.03,-0.04,0.04,-0.09,0.02,-1.48,0.72,0.27,-0.9,-2.943,2478
S&P500,SPY,SPXU,-3.0,ETF,2주,4308,431,10,예,-0.14,-0.1,-0.08,0.02,-0.23,-0.06,-2.1,1.31,0.55,-1.86,-2.918,3002
S&P500,SPY,SPXU,-3.0,ETF,1개월,4297,205,21,예,-0.34,-0.26,-0.17,-0.08,-0.51,-0.39,-3.24,2.42,1.13,-3.91,-2.93,3522
S&P500,SPY,SPXU,-3.0,ETF,3개월,4255,68,63,예,-1.41,-1.03,-0.46,-1.05,-1.87,-1.31,-9.24,5.77,3.26,-11.66,-2.931,3906
S&P500,SPY,SPXU,-3.0,ETF,6개월,4192,34,126,예,-2.12,-0.92,-0.82,-1.77,-2.94,-1.95,-18.9,12.86,6.36,-22.03,-2.796,3979
S&P500,SPY,SPXU,-3.0,ETF,1년,4066,17,252,예,0.58,0.02,-1.3,-2.74,-0.72,-0.84,-30.74,34.83,12.88,-39.36,-2.719,3919
S&P500,SPY,SPXU,-3.0,ETF,3년,3562,5,756,예,46.01,36.38,-1.72,-2.12,44.29,33.64,-3.64,130.65,40.97,-78.63,-2.088,3561
나스닥100,QQQ,QLD,2.0,ETF,1주,5076,1016,5,예,-0.01,-0.01,-0.05,-0.05,-0.06,-0.06,-0.42,0.41,0.33,0.6,1.996,3446
나스닥100,QQQ,QLD,2.0,ETF,2주,5071,508,10,예,-0.03,-0.03,-0.09,-0.08,-0.12,-0.11,-0.63,0.49,0.66,1.19,1.992,3979
나스닥100,QQQ,QLD,2.0,ETF,1개월,5060,241,21,예,-0.06,-0.08,-0.19,-0.15,-0.25,-0.2,-1.18,0.67,1.39,2.53,1.992,4378
나스닥100,QQQ,QLD,2.0,ETF,3개월,5018,80,63,예,-0.14,-0.34,-0.57,-0.19,-0.71,-0.48,-3.72,1.78,4.21,7.71,1.994,4730
나스닥100,QQQ,QLD,2.0,ETF,6개월,4955,40,126,예,-0.14,-0.52,-1.21,-0.36,-1.34,-1.18,-9.84,5.04,8.37,15.39,1.986,4787
나스닥100,QQQ,QLD,2.0,ETF,1년,4829,20,252,예,0.76,-0.5,-2.39,-0.85,-1.63,-1.91,-13.73,9.79,17.18,32.73,1.959,4704
나스닥100,QQQ,QLD,2.0,ETF,3년,4325,6,756,예,10.58,9.8,-7.22,-5.57,3.36,8.35,-37.03,53.1,58.75,120.86,2.175,4287
나스닥100,QQQ,TQQQ,3.0,ETF,1주,4159,832,5,예,-0.03,-0.02,-0.06,-0.08,-0.09,-0.09,-0.69,0.67,0.37,1.03,2.995,2785
나스닥100,QQQ,TQQQ,3.0,ETF,2주,4154,416,10,예,-0.08,-0.09,-0.11,-0.12,-0.19,-0.19,-1.25,0.95,0.74,2.02,2.993,3248
나스닥100,QQQ,TQQQ,3.0,ETF,1개월,4143,198,21,예,-0.16,-0.24,-0.23,-0.19,-0.4,-0.35,-2.44,1.66,1.55,4.24,2.997,3556
나스닥100,QQQ,TQQQ,3.0,ETF,3개월,4101,66,63,예,-0.62,-1.06,-0.75,-0.16,-1.37,-1.1,-7.47,5.16,4.58,12.37,3.003,3849
나스닥100,QQQ,TQQQ,3.0,ETF,6개월,4038,33,126,예,-1.34,-2.04,-1.69,-0.33,-3.03,-2.78,-16.91,10.51,9.3,24.87,2.947,3893
나스닥100,QQQ,TQQQ,3.0,ETF,1년,3912,16,252,예,0.39,-2.65,-4.18,-0.95,-3.78,-5.39,-33.08,25.36,19.29,54.07,2.854,3822
나스닥100,QQQ,TQQQ,3.0,ETF,3년,3408,5,756,예,32.57,22.09,-20.57,-11.86,12.0,19.23,-96.54,156.45,65.21,207.63,3.331,3408
나스닥100,QQQ,PSQ,-1.0,ETF,1주,5075,1015,5,예,-0.01,-0.01,-0.01,0.01,-0.02,0.01,-0.44,0.31,0.33,-0.35,-0.989,3445
나스닥100,QQQ,PSQ,-1.0,ETF,2주,5070,507,10,예,-0.04,-0.03,-0.01,-0.0,-0.05,-0.02,-0.82,0.53,0.66,-0.71,-0.987,3978
나스닥100,QQQ,PSQ,-1.0,ETF,1개월,5059,241,21,예,-0.08,-0.08,-0.03,-0.08,-0.11,-0.12,-1.1,0.96,1.39,-1.5,-0.988,4377
나스닥100,QQQ,PSQ,-1.0,ETF,3개월,5017,80,63,예,-0.19,-0.3,-0.11,-0.29,-0.3,-0.35,-2.46,2.81,4.21,-4.52,-0.975,4729
나스닥100,QQQ,PSQ,-1.0,ETF,6개월,4954,40,126,예,-0.09,-0.26,-0.27,-0.61,-0.37,-0.4,-5.3,4.77,8.37,-8.73,-0.966,4786
나스닥100,QQQ,PSQ,-1.0,ETF,1년,4828,20,252,예,1.08,0.68,-0.58,-1.05,0.51,0.14,-7.41,11.97,17.18,-16.67,-0.914,4703
나스닥100,QQQ,PSQ,-1.0,ETF,3년,4324,6,756,예,15.23,14.87,-1.64,-1.79,13.59,12.2,-26.9,53.67,58.74,-45.16,-0.766,4286
나스닥100,QQQ,QID,-2.0,ETF,1주,5060,1012,5,예,-0.05,-0.02,-0.01,0.02,-0.06,0.0,-0.89,0.69,0.34,-0.73,-1.97,3432
나스닥100,QQQ,QID,-2.0,ETF,2주,5055,506,10,예,-0.12,-0.1,-0.02,0.0,-0.15,-0.06,-1.43,1.09,0.67,-1.48,-1.957,3964
나스닥100,QQQ,QID,-2.0,ETF,1개월,5044,241,21,예,-0.26,-0.23,-0.05,-0.09,-0.31,-0.2,-2.46,2.11,1.41,-3.12,-1.942,4363
나스닥100,QQQ,QID,-2.0,ETF,3개월,5002,80,63,예,-0.63,-0.86,-0.2,-0.42,-0.83,-0.76,-7.28,7.16,4.21,-9.24,-1.903,4714
나스닥100,QQQ,QID,-2.0,ETF,6개월,4939,40,126,예,-0.33,-0.62,-0.51,-0.81,-0.84,-0.72,-13.61,13.28,8.35,-17.53,-1.848,4771
나스닥100,QQQ,QID,-2.0,ETF,1년,4813,20,252,예,3.25,2.91,-0.92,-1.17,2.33,2.45,-23.08,32.45,17.15,-31.97,-1.665,4688
나스닥100,QQQ,QID,-2.0,ETF,3년,4309,6,756,예,46.2,44.68,-1.54,-1.41,44.66,42.4,-58.03,139.7,58.97,-73.28,-1.222,4271
나스닥100,QQQ,SQQQ,-3.0,ETF,1주,4159,832,5,예,-0.07,-0.04,-0.0,0.04,-0.08,-0.01,-1.27,1.02,0.37,-1.19,-2.938,2785
나스닥100,QQQ,SQQQ,-3.0,ETF,2주,4154,416,10,예,-0.21,-0.17,-0.01,0.01,-0.22,-0.12,-2.22,1.82,0.74,-2.43,-2.919,3248
나스닥100,QQQ,SQQQ,-3.0,ETF,1개월,4143,198,21,예,-0.47,-0.43,-0.01,-0.1,-0.48,-0.39,-4.28,3.67,1.55,-5.12,-2.883,3556
나스닥100,QQQ,SQQQ,-3.0,ETF,3개월,4101,66,63,예,-1.4,-1.69,-0.04,-0.54,-1.44,-1.78,-13.7,12.7,4.58,-15.18,-2.806,3849
나스닥100,QQQ,SQQQ,-3.0,ETF,6개월,4038,33,126,예,-0.51,-0.58,-0.09,-0.93,-0.6,-0.85,-22.92,22.2,9.3,-28.5,-2.72,3893
나스닥100,QQQ,SQQQ,-3.0,ETF,1년,3912,16,252,예,9.52,9.35,-0.19,-0.93,9.33,8.61,-35.56,57.01,19.29,-48.52,-2.318,3822
나스닥100,QQQ,SQQQ,-3.0,ETF,3년,3408,5,756,예,107.85,94.01,-0.29,-0.23,107.56,92.96,7.28,246.55,65.21,-88.07,-1.453,3408
다우,DIA,DDM,2.0,ETF,1주,5072,1015,5,예,-0.01,-0.0,-0.0,-0.03,-0.01,-0.03,-0.35,0.49,0.18,0.35,1.996,2875
다우,DIA,DDM,2.0,ETF,2주,5067,507,10,예,-0.03,-0.02,-0.01,-0.03,-0.03,-0.04,-0.51,0.57,0.36,0.69,2.001,3478
다우,DIA,DDM,2.0,ETF,1개월,5056,241,21,예,-0.06,-0.05,-0.01,0.05,-0.07,-0.0,-0.77,0.7,0.76,1.46,2.013,4137
다우,DIA,DDM,2.0,ETF,3개월,5014,80,63,예,-0.22,-0.21,-0.01,0.37,-0.23,0.12,-2.35,1.57,2.22,4.22,2.063,4466
다우,DIA,DDM,2.0,ETF,6개월,4951,40,126,예,-0.36,-0.44,-0.0,0.79,-0.37,0.04,-6.49,4.0,4.34,8.31,2.124,4611
다우,DIA,DDM,2.0,ETF,1년,4825,20,252,예,-0.59,-0.96,0.41,1.68,-0.19,0.02,-11.82,9.07,8.64,17.08,2.114,4668
다우,DIA,DDM,2.0,ETF,3년,4321,6,756,예,-2.64,-2.73,5.23,5.55,2.58,0.18,-18.11,31.32,28.1,58.79,2.346,4284
다우,DIA,UDOW,3.0,ETF,1주,4155,831,5,예,-0.01,-0.01,0.02,-0.05,0.0,-0.06,-0.47,0.74,0.22,0.67,2.99,2286
다우,DIA,UDOW,3.0,ETF,2주,4150,415,10,예,-0.04,-0.04,0.04,-0.04,-0.01,-0.06,-0.75,0.92,0.44,1.32,3.005,2814
다우,DIA,UDOW,3.0,ETF,1개월,4139,198,21,예,-0.1,-0.13,0.08,0.15,-0.02,-0.0,-1.3,1.38,0.92,2.74,3.037,3330
다우,DIA,UDOW,3.0,ETF,3개월,4097,66,63,예,-0.59,-0.62,0.26,0.83,-0.33,0.02,-3.49,3.64,2.66,7.65,3.107,3638
다우,DIA,UDOW,3.0,ETF,6개월,4034,33,126,예,-1.46,-1.47,0.6,1.78,-0.86,-0.36,-8.63,8.14,5.3,15.05,3.217,3729
다우,DIA,UDOW,3.0,ETF,1년,3908,16,252,예,-2.57,-3.04,1.45,3.87,-1.11,-1.93,-28.51,23.0,10.72,31.06,3.183,3782
다우,DIA,UDOW,3.0,ETF,3년,3404,5,756,예,-7.28,-6.83,9.54,9.86,2.25,7.94,-59.36,79.18,33.36,102.34,3.425,3403
다우,DIA,DOG,-1.0,ETF,1주,5072,1015,5,예,-0.01,-0.0,-0.03,-0.0,-0.04,-0.01,-0.38,0.25,0.18,-0.23,-0.991,2875
다우,DIA,DOG,-1.0,ETF,2주,5067,507,10,예,-0.03,-0.02,-0.06,-0.04,-0.09,-0.05,-0.67,0.41,0.36,-0.45,-0.995,3478
다우,DIA,DOG,-1.0,ETF,1개월,5056,241,21,예,-0.08,-0.05,-0.12,-0.18,-0.2,-0.21,-0.86,0.72,0.76,-0.96,-1.01,4137
다우,DIA,DOG,-1.0,ETF,3개월,5014,80,63,예,-0.32,-0.2,-0.39,-0.57,-0.71,-0.59,-2.25,1.16,2.22,-2.93,-1.008,4466
다우,DIA,DOG,-1.0,ETF,6개월,4951,40,126,예,-0.58,-0.4,-0.8,-1.13,-1.38,-0.99,-6.51,2.28,4.34,-5.72,-0.976,4611
다우,DIA,DOG,-1.0,ETF,1년,4825,20,252,예,-0.84,-0.82,-1.62,-2.05,-2.45,-1.89,-13.83,5.33,8.64,-11.09,-0.98,4668
다우,DIA,DOG,-1.0,ETF,3년,4321,6,756,예,0.09,1.56,-4.43,-4.72,-4.34,-1.8,-35.92,15.93,28.1,-32.45,-0.977,4284
다우,DIA,DXD,-2.0,ETF,1주,5057,1012,5,예,-0.04,-0.01,-0.06,-0.0,-0.1,-0.01,-0.76,0.44,0.19,-0.47,-1.977,2865
다우,DIA,DXD,-2.0,ETF,2주,5052,506,10,예,-0.1,-0.05,-0.12,-0.05,-0.22,-0.11,-1.13,0.74,0.37,-0.96,-1.979,3469
다우,DIA,DXD,-2.0,ETF,1개월,5041,241,21,예,-0.25,-0.13,-0.25,-0.27,-0.5,-0.34,-1.94,1.2,0.76,-2.02,-1.993,4132
다우,DIA,DXD,-2.0,ETF,3개월,4999,80,63,예,-1.06,-0.58,-0.76,-0.92,-1.82,-1.15,-6.48,2.79,2.21,-6.25,-1.956,4451
다우,DIA,DXD,-2.0,ETF,6개월,4936,40,126,예,-1.93,-1.16,-1.51,-1.73,-3.44,-2.25,-24.1,5.83,4.32,-12.08,-1.876,4596
다우,DIA,DXD,-2.0,ETF,1년,4810,20,252,예,-2.66,-2.12,-2.87,-2.86,-5.53,-3.4,-35.18,14.24,8.59,-22.72,-1.873,4653
다우,DIA,DXD,-2.0,ETF,3년,4306,6,756,예,3.62,8.11,-5.34,-5.05,-1.72,3.94,-81.29,43.4,28.29,-58.3,-1.678,4269
다우,DIA,SDOW,-3.0,ETF,1주,4155,831,5,예,-0.04,-0.02,-0.06,0.01,-0.1,-0.02,-1.03,0.61,0.22,-0.77,-2.959,2286
다우,DIA,SDOW,-3.0,ETF,2주,4150,415,10,예,-0.13,-0.08,-0.12,-0.07,-0.25,-0.16,-1.58,1.15,0.44,-1.57,-2.958,2814
다우,DIA,SDOW,-3.0,ETF,1개월,4139,198,21,예,-0.31,-0.25,-0.24,-0.39,-0.55,-0.52,-2.9,1.95,0.92,-3.32,-2.966,3330
다우,DIA,SDOW,-3.0,ETF,3개월,4097,66,63,예,-1.52,-1.08,-0.66,-1.31,-2.18,-1.68,-8.06,4.5,2.66,-10.16,-2.902,3638
다우,DIA,SDOW,-3.0,ETF,6개월,4034,33,126,예,-2.81,-2.01,-1.16,-2.21,-3.97,-3.31,-17.44,9.83,5.3,-19.89,-2.852,3729
다우,DIA,SDOW,-3.0,ETF,1년,3908,16,252,예,-2.05,-2.26,-1.85,-2.97,-3.9,-3.59,-44.39,25.33,10.72,-36.07,-2.824,3782
