종목,만기월,방향,손절선(%),구간,신호,제외,합계(%),평균(%),승률(%),최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능
DIA,12,위,-5.5,앞 절반,14,0,12.89,0.92,71.43,3.8,-2.8,1.84,0,0,4.29,예
DIA,12,위,-5.5,뒤 절반,14,0,12.2,0.87,92.86,2.85,-2.06,1.18,0,0,4.29,예
DIA,12,위,-5.5,최근 10년,10,0,8.85,0.88,100.0,2.85,0.04,0.84,0,0,4.4,예
DIA,12,위,-5.5,최근 5년,5,0,4.4,0.88,100.0,1.62,0.31,0.56,0,0,4.4,아니오
DIA,12,위,-6.0,전체,28,0,25.08,0.9,82.14,3.8,-2.8,1.52,0,0,4.29,예
DIA,12,위,-6.0,앞 절반,14,0,12.89,0.92,71.43,3.8,-2.8,1.84,0,0,4.29,예
DIA,12,위,-6.0,뒤 절반,14,0,12.2,0.87,92.86,2.85,-2.06,1.18,0,0,4.29,예
DIA,12,위,-6.0,최근 10년,10,0,8.85,0.88,100.0,2.85,0.04,0.84,0,0,4.4,예
DIA,12,위,-6.0,최근 5년,5,0,4.4,0.88,100.0,1.62,0.31,0.56,0,0,4.4,아니오
DIA,12,위,-6.5,전체,28,0,25.08,0.9,82.14,3.8,-2.8,1.52,0,0,4.29,예
DIA,12,위,-6.5,앞 절반,14,0,12.89,0.92,71.43,3.8,-2.8,1.84,0,0,4.29,예
DIA,12,위,-6.5,뒤 절반,14,0,12.2,0.87,92.86,2.85,-2.06,1.18,0,0,4.29,예
DIA,12,위,-6.5,최근 10년,10,0,8.85,0.88,100.0,2.85,0.04,0.84,0,0,4.4,예
DIA,12,위,-6.5,최근 5년,5,0,4.4,0.88,100.0,1.62,0.31,0.56,0,0,4.4,아니오
DIA,12,위,-7.0,전체,28,0,25.08,0.9,82.14,3.8,-2.8,1.52,0,0,4.29,예
DIA,12,위,-7.0,앞 절반,14,0,12.89,0.92,71.43,3.8,-2.8,1.84,0,0,4.29,예
DIA,12,위,-7.0,뒤 절반,14,0,12.2,0.87,92.86,2.85,-2.06,1.18,0,0,4.29,예
DIA,12,위,-7.0,최근 10년,10,0,8.85,0.88,100.0,2.85,0.04,0.84,0,0,4.4,예
DIA,12,위,-7.0,최근 5년,5,0,4.4,0.88,100.0,1.62,0.31,0.56,0,0,4.4,아니오
DIA,12,위,-7.5,전체,28,0,25.08,0.9,82.14,3.8,-2.8,1.52,0,0,4.29,예
DIA,12,위,-7.5,앞 절반,14,0,12.89,0.92,71.43,3.8,-2.8,1.84,0,0,4.29,예
DIA,12,위,-7.5,뒤 절반,14,0,12.2,0.87,92.86,2.85,-2.06,1.18,0,0,4.29,예
DIA,12,위,-7.5,최근 10년,10,0,8.85,0.88,100.0,2.85,0.04,0.84,0,0,4.4,예
DIA,12,위,-7.5,최근 5년,5,0,4.4,0.88,100.0,1.62,0.31,0.56,0,0,4.4,아니오
DIA,12,위,-8.0,전체,28,0,25.08,0.9,82.14,3.8,-2.8,1.52,0,0,4.29,예
DIA,12,위,-8.0,앞 절반,14,0,12.89,0.92,71.43,3.8,-2.8,1.84,0,0,4.29,예
DIA,12,위,-8.0,뒤 절반,14,0,12.2,0.87,92.86,2.85,-2.06,1.18,0,0,4.29,예
DIA,12,위,-8.0,최근 10년,10,0,8.85,0.88,100.0,2.85,0.04,0.84,0,0,4.4,예
DIA,12,위,-8.0,최근 5년,5,0,4.4,0.88,100.0,1.62,0.31,0.56,0,0,4.4,아니오
DIA,12,위,-8.5,전체,28,0,25.08,0.9,82.14,3.8,-2.8,1.52,0,0,4.29,예
DIA,12,위,-8.5,앞 절반,14,0,12.89,0.92,71.43,3.8,-2.8,1.84,0,0,4.29,예
DIA,12,위,-8.5,뒤 절반,14,0,12.2,0.87,92.86,2.85,-2.06,1.18,0,0,4.29,예
DIA,12,위,-8.5,최근 10년,10,0,8.85,0.88,100.0,2.85,0.04,0.84,0,0,4.4,예
DIA,12,위,-8.5,최근 5년,5,0,4.4,0.88,100.0,1.62,0.31,0.56,0,0,4.4,아니오
DIA,12,위,-9.0,전체,28,0,25.08,0.9,82.14,3.8,-2.8,1.52,0,0,4.29,예
DIA,12,위,-9.0,앞 절반,14,0,12.89,0.92,71.43,3.8,-2.8,1.84,0,0,4.29,예
DIA,12,위,-9.0,뒤 절반,14,0,12.2,0.87,92.86,2.85,-2.06,1.18,0,0,4.29,예
DIA,12,위,-9.0,최근 10년,10,0,8.85,0.88,100.0,2.85,0.04,0.84,0,0,4.4,예
