종목,만기월,방향,손절선(%),구간,신호,제외,합계(%),평균(%),승률(%),최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능
SPY,9,아래,-2.5,앞 절반,16,0,14.39,0.9,75.0,4.49,-2.51,1.91,1,1,4.62,예
SPY,9,아래,-2.5,뒤 절반,17,0,19.0,1.12,70.59,6.57,-2.07,2.1,0,0,5.0,예
SPY,9,아래,-2.5,최근 10년,10,0,7.29,0.73,60.0,4.57,-1.23,1.76,0,0,5.0,예
SPY,9,아래,-2.5,최근 5년,5,0,6.64,1.33,60.0,4.57,-0.57,2.31,0,0,5.0,아니오
SPY,9,아래,-3.0,전체,33,0,32.39,0.98,72.73,6.57,-3.0,2.04,0,2,4.82,예
SPY,9,아래,-3.0,앞 절반,16,0,13.39,0.84,75.0,4.49,-3.0,2.03,0,2,4.62,예
SPY,9,아래,-3.0,뒤 절반,17,0,19.0,1.12,70.59,6.57,-2.07,2.1,0,0,5.0,예
SPY,9,아래,-3.0,최근 10년,10,0,7.29,0.73,60.0,4.57,-1.23,1.76,0,0,5.0,예
SPY,9,아래,-3.0,최근 5년,5,0,6.64,1.33,60.0,4.57,-0.57,2.31,0,0,5.0,아니오
SPY,9,아래,-3.5,전체,33,0,31.39,0.95,72.73,6.57,-3.5,2.1,0,2,4.82,예
SPY,9,아래,-3.5,앞 절반,16,0,12.39,0.77,75.0,4.49,-3.5,2.16,0,2,4.62,예
SPY,9,아래,-3.5,뒤 절반,17,0,19.0,1.12,70.59,6.57,-2.07,2.1,0,0,5.0,예
SPY,9,아래,-3.5,최근 10년,10,0,7.29,0.73,60.0,4.57,-1.23,1.76,0,0,5.0,예
SPY,9,아래,-3.5,최근 5년,5,0,6.64,1.33,60.0,4.57,-0.57,2.31,0,0,5.0,아니오
SPY,9,아래,-4.0,전체,33,0,30.39,0.92,72.73,6.57,-4.0,2.17,0,2,4.85,예
SPY,9,아래,-4.0,앞 절반,16,0,11.39,0.71,75.0,4.49,-4.0,2.29,0,2,4.69,예
SPY,9,아래,-4.0,뒤 절반,17,0,19.0,1.12,70.59,6.57,-2.07,2.1,0,0,5.0,예
SPY,9,아래,-4.0,최근 10년,10,0,7.29,0.73,60.0,4.57,-1.23,1.76,0,0,5.0,예
SPY,9,아래,-4.0,최근 5년,5,0,6.64,1.33,60.0,4.57,-0.57,2.31,0,0,5.0,아니오
SPY,9,아래,-4.5,전체,33,0,29.39,0.89,72.73,6.57,-4.5,2.24,0,2,4.85,예
SPY,9,아래,-4.5,앞 절반,16,0,10.39,0.65,75.0,4.49,-4.5,2.43,0,2,4.69,예
SPY,9,아래,-4.5,뒤 절반,17,0,19.0,1.12,70.59,6.57,-2.07,2.1,0,0,5.0,예
SPY,9,아래,-4.5,최근 10년,10,0,7.29,0.73,60.0,4.57,-1.23,1.76,0,0,5.0,예
SPY,9,아래,-4.5,최근 5년,5,0,6.64,1.33,60.0,4.57,-0.57,2.31,0,0,5.0,아니오
SPY,9,아래,-5.0,전체,33,0,31.07,0.94,72.73,6.57,-5.21,2.16,1,0,4.94,예
SPY,9,아래,-5.0,앞 절반,16,0,12.07,0.75,75.0,4.49,-5.21,2.27,1,0,4.88,예
SPY,9,아래,-5.0,뒤 절반,17,0,19.0,1.12,70.59,6.57,-2.07,2.1,0,0,5.0,예
SPY,9,아래,-5.0,최근 10년,10,0,7.29,0.73,60.0,4.57,-1.23,1.76,0,0,5.0,예
SPY,9,아래,-5.0,최근 5년,5,0,6.64,1.33,60.0,4.57,-0.57,2.31,0,0,5.0,아니오
SPY,9,아래,-5.5,전체,33,0,30.42,0.92,72.73,6.57,-5.86,2.22,1,0,5.0,예
SPY,9,아래,-5.5,앞 절반,16,0,11.42,0.71,75.0,4.49,-5.86,2.39,1,0,5.0,예
SPY,9,아래,-5.5,뒤 절반,17,0,19.0,1.12,70.59,6.57,-2.07,2.1,0,0,5.0,예
SPY,9,아래,-5.5,최근 10년,10,0,7.29,0.73,60.0,4.57,-1.23,1.76,0,0,5.0,예
SPY,9,아래,-5.5,최근 5년,5,0,6.64,1.33,60.0,4.57,-0.57,2.31,0,0,5.0,아니오
SPY,9,아래,-6.0,전체,33,0,30.28,0.92,72.73,6.57,-6.0,2.23,0,1,5.0,예
SPY,9,아래,-6.0,앞 절반,16,0,11.28,0.71,75.0,4.49,-6.0,2.42,0,1,5.0,예
SPY,9,아래,-6.0,뒤 절반,17,0,19.0,1.12,70.59,6.57,-2.07,2.1,0,0,5.0,예
SPY,9,아래,-6.0,최근 10년,10,0,7.29,0.73,60.0,4.57,-1.23,1.76,0,0,5.0,예
SPY,9,아래,-6.0,최근 5년,5,0,6.64,1.33,60.0,4.57,-0.57,2.31,0,0,5.0,아니오
SPY,9,아래,-6.5,전체,33,0,29.78,0.9,72.73,6.57,-6.5,2.28,0,1,5.0,예
SPY,9,아래,-6.5,앞 절반,16,0,10.78,0.67,75.0,4.49,-6.5,2.51,0,1,5.0,예
SPY,9,아래,-6.5,뒤 절반,17,0,19.0,1.12,70.59,6.57,-2.07,2.1,0,0,5.0,예
SPY,9,아래,-6.5,최근 10년,10,0,7.29,0.73,60.0,4.57,-1.23,1.76,0,0,5.0,예
SPY,9,아래,-6.5,최근 5년,5,0,6.64,1.33,60.0,4.57,-0.57,2.31,0,0,5.0,아니오
SPY,9,아래,-7.0,전체,33,0,29.28,0.89,72.73,6.57,-7.0,2.33,0,1,5.0,예
SPY,9,아래,-7.0,앞 절반,16,0,10.28,0.64,75.0,4.49,-7.0,2.61,0,1,5.0,예
SPY,9,아래,-7.0,뒤 절반,17,0,19.0,1.12,70.59,6.57,-2.07,2.1,0,0,5.0,예
SPY,9,아래,-7.0,최근 10년,10,0,7.29,0.73,60.0,4.57,-1.23,1.76,0,0,5.0,예
SPY,9,아래,-7.0,최근 5년,5,0,6.64,1.33,60.0,4.57,-0.57,2.31,0,0,5.0,아니오
SPY,9,아래,-7.5,전체,33,0,28.78,0.87,72.73,6.57,-7.5,2.39,0,1,5.0,예
SPY,9,아래,-7.5,앞 절반,16,0,9.78,0.61,75.0,4.49,-7.5,2.71,0,1,5.0,예
SPY,9,아래,-7.5,뒤 절반,17,0,19.0,1.12,70.59,6.57,-2.07,2.1,0,0,5.0,예
SPY,9,아래,-7.5,최근 10년,10,0,7.29,0.73,60.0,4.57,-1.23,1.76,0,0,5.0,예
SPY,9,아래,-7.5,최근 5년,5,0,6.64,1.33,60.0,4.57,-0.57,2.31,0,0,5.0,아니오
SPY,9,아래,-8.0,전체,33,0,28.28,0.86,72.73,6.57,-8.0,2.44,0,1,5.0,예
SPY,9,아래,-8.0,앞 절반,16,0,9.28,0.58,75.0,4.49,-8.0,2.81,0,1,5.0,예
SPY,9,아래,-8.0,뒤 절반,17,0,19.0,1.12,70.59,6.57,-2.07,2.1,0,0,5.0,예
SPY,9,아래,-8.0,최근 10년,10,0,7.29,0.73,60.0,4.57,-1.23,1.76,0,0,5.0,예
SPY,9,아래,-8.0,최근 5년,5,0,6.64,1.33,60.0,4.57,-0.57,2.31,0,0,5.0,아니오
SPY,9,아래,-8.5,전체,33,0,27.78,0.84,72.73,6.57,-8.5,2.5,0,1,5.0,예
SPY,9,아래,-8.5,앞 절반,16,0,8.78,0.55,75.0,4.49,-8.5,2.91,0,1,5.0,예
SPY,9,아래,-8.5,뒤 절반,17,0,19.0,1.12,70.59,6.57,-2.07,2.1,0,0,5.0,예
SPY,9,아래,-8.5,최근 10년,10,0,7.29,0.73,60.0,4.57,-1.23,1.76,0,0,5.0,예
SPY,9,아래,-8.5,최근 5년,5,0,6.64,1.33,60.0,4.57,-0.57,2.31,0,0,5.0,아니오
SPY,9,아래,-9.0,전체,33,0,27.28,0.83,72.73,6.57,-9.0,2.56,0,1,5.0,예
SPY,9,아래,-9.0,앞 절반,16,0,8.28,0.52,75.0,4.49,-9.0,3.01,0,1,5.0,예
SPY,9,아래,-9.0,뒤 절반,17,0,19.0,1.12,70.59,6.57,-2.07,2.1,0,0,5.0,예
SPY,9,아래,-9.0,최근 10년,10,0,7.29,0.73,60.0,4.57,-1.23,1.76,0,0,5.0,예
SPY,9,아래,-9.0,최근 5년,5,0,6.64,1.33,60.0,4.57,-0.57,2.31,0,0,5.0,아니오
SPY,9,아래,-9.5,전체,33,0,26.78,0.81,72.73,6.57,-9.5,2.62,0,1,5.0,예
SPY,9,아래,-9.5,앞 절반,16,0,7.78,0.49,75.0,4.49,-9.5,3.12,0,1,5.0,예
SPY,9,아래,-9.5,뒤 절반,17,0,19.0,1.12,70.59,6.57,-2.07,2.1,0,0,5.0,예
SPY,9,아래,-9.5,최근 10년,10,0,7.29,0.73,60.0,4.57,-1.23,1.76,0,0,5.0,예
SPY,9,아래,-9.5,최근 5년,5,0,6.64,1.33,60.0,4.57,-0.57,2.31,0,0,5.0,아니오
SPY,9,아래,-10.0,전체,33,0,26.28,0.8,72.73,6.57,-10.0,2.68,0,1,5.0,예
SPY,9,아래,-10.0,앞 절반,16,0,7.28,0.46,75.0,4.49,-10.0,3.23,0,1,5.0,예
SPY,9,아래,-10.0,뒤 절반,17,0,19.0,1.12,70.59,6.57,-2.07,2.1,0,0,5.0,예
SPY,9,아래,-10.0,최근 10년,10,0,7.29,0.73,60.0,4.57,-1.23,1.76,0,0,5.0,예
SPY,9,아래,-10.0,최근 5년,5,0,6.64,1.33,60.0,4.57,-0.57,2.31,0,0,5.0,아니오
DIA,9,아래,무손절,전체,28,0,26.29,0.94,71.43,6.45,-6.7,2.49,0,0,5.0,예
DIA,9,아래,무손절,앞 절반,14,0,15.6,1.11,71.43,6.45,-6.7,3.34,0,0,5.0,예
DIA,9,아래,무손절,뒤 절반,14,0,10.7,0.76,71.43,3.96,-0.8,1.27,0,0,5.0,예
DIA,9,아래,무손절,최근 10년,10,0,6.87,0.69,60.0,3.96,-0.8,1.5,0,0,5.0,예
DIA,9,아래,무손절,최근 5년,5,0,4.78,0.96,60.0,3.96,-0.65,1.96,0,0,5.0,아니오
DIA,9,아래,-1.0,전체,28,0,26.79,0.96,64.29,6.45,-3.21,2.17,2,5,4.32,예
DIA,9,아래,-1.0,앞 절반,14,0,18.13,1.29,64.29,6.45,-3.21,2.75,2,2,4.07,예
DIA,9,아래,-1.0,뒤 절반,14,0,8.66,0.62,64.29,3.96,-1.0,1.41,0,3,4.57,예
DIA,9,아래,-1.0,최근 10년,10,0,6.24,0.62,60.0,3.96,-1.0,1.57,0,2,4.8,예
DIA,9,아래,-1.0,최근 5년,5,0,4.35,0.87,60.0,3.96,-1.0,2.06,0,1,5.0,아니오
DIA,9,아래,-1.5,전체,28,0,30.02,1.07,71.43,6.45,-3.21,2.13,2,2,4.57,예
DIA,9,아래,-1.5,앞 절반,14,0,20.02,1.43,71.43,6.45,-3.21,2.71,2,1,4.21,예
DIA,9,아래,-1.5,뒤 절반,14,0,10.0,0.71,71.43,3.96,-1.5,1.35,0,1,4.93,예
DIA,9,아래,-1.5,최근 10년,10,0,6.18,0.62,60.0,3.96,-1.5,1.59,0,1,4.9,예
DIA,9,아래,-1.5,최근 5년,5,0,4.78,0.96,60.0,3.96,-0.65,1.96,0,0,5.0,아니오
DIA,9,아래,-2.0,전체,28,0,29.81,1.06,71.43,6.45,-3.21,2.15,1,2,4.68,예
DIA,9,아래,-2.0,앞 절반,14,0,19.11,1.36,71.43,6.45,-3.21,2.79,1,2,4.36,예
DIA,9,아래,-2.0,뒤 절반,14,0,10.7,0.76,71.43,3.96,-0.8,1.27,0,0,5.0,예
DIA,9,아래,-2.0,최근 10년,10,0,6.87,0.69,60.0,3.96,-0.8,1.5,0,0,5.0,예
DIA,9,아래,-2.0,최근 5년,5,0,4.78,0.96,60.0,3.96,-0.65,1.96,0,0,5.0,아니오
DIA,9,아래,-2.5,전체,28,0,28.95,1.03,71.43,6.45,-3.21,2.2,1,1,4.79,예
DIA,9,아래,-2.5,앞 절반,14,0,18.25,1.3,71.43,6.45,-3.21,2.88,1,1,4.57,예
DIA,9,아래,-2.5,뒤 절반,14,0,10.7,0.76,71.43,3.96,-0.8,1.27,0,0,5.0,예
DIA,9,아래,-2.5,최근 10년,10,0,6.87,0.69,60.0,3.96,-0.8,1.5,0,0,5.0,예
DIA,9,아래,-2.5,최근 5년,5,0,4.78,0.96,60.0,3.96,-0.65,1.96,0,0,5.0,아니오
DIA,9,아래,-3.0,전체,28,0,28.45,1.02,71.43,6.45,-3.21,2.23,1,1,4.79,예
DIA,9,아래,-3.0,앞 절반,14,0,17.75,1.27,71.43,6.45,-3.21,2.93,1,1,4.57,예
DIA,9,아래,-3.0,뒤 절반,14,0,10.7,0.76,71.43,3.96,-0.8,1.27,0,0,5.0,예
DIA,9,아래,-3.0,최근 10년,10,0,6.87,0.69,60.0,3.96,-0.8,1.5,0,0,5.0,예
DIA,9,아래,-3.0,최근 5년,5,0,4.78,0.96,60.0,3.96,-0.65,1.96,0,0,5.0,아니오
DIA,9,아래,-3.5,전체,28,0,27.66,0.99,71.43,6.45,-3.5,2.29,0,2,4.79,예
DIA,9,아래,-3.5,앞 절반,14,0,16.97,1.21,71.43,6.45,-3.5,3.02,0,2,4.57,예
DIA,9,아래,-3.5,뒤 절반,14,0,10.7,0.76,71.43,3.96,-0.8,1.27,0,0,5.0,예
DIA,9,아래,-3.5,최근 10년,10,0,6.87,0.69,60.0,3.96,-0.8,1.5,0,0,5.0,예
DIA,9,아래,-3.5,최근 5년,5,0,4.78,0.96,60.0,3.96,-0.65,1.96,0,0,5.0,아니오
DIA,9,아래,-4.0,전체,28,0,29.0,1.04,71.43,6.45,-4.0,2.22,0,1,4.86,예
DIA,9,아래,-4.0,앞 절반,14,0,18.3,1.31,71.43,6.45,-4.0,2.9,0,1,4.71,예
DIA,9,아래,-4.0,뒤 절반,14,0,10.7,0.76,71.43,3.96,-0.8,1.27,0,0,5.0,예
DIA,9,아래,-4.0,최근 10년,10,0,6.87,0.69,60.0,3.96,-0.8,1.5,0,0,5.0,예
DIA,9,아래,-4.0,최근 5년,5,0,4.78,0.96,60.0,3.96,-0.65,1.96,0,0,5.0,아니오
DIA,9,아래,-4.5,전체,28,0,28.5,1.02,71.43,6.45,-4.5,2.26,0,1,4.86,예
DIA,9,아래,-4.5,앞 절반,14,0,17.8,1.27,71.43,6.45,-4.5,2.98,0,1,4.71,예
DIA,9,아래,-4.5,뒤 절반,14,0,10.7,0.76,71.43,3.96,-0.8,1.27,0,0,5.0,예
DIA,9,아래,-4.5,최근 10년,10,0,6.87,0.69,60.0,3.96,-0.8,1.5,0,0,5.0,예
DIA,9,아래,-4.5,최근 5년,5,0,4.78,0.96,60.0,3.96,-0.65,1.96,0,0,5.0,아니오
DIA,9,아래,-5.0,전체,28,0,28.0,1.0,71.43,6.45,-5.0,2.31,0,1,4.89,예
DIA,9,아래,-5.0,앞 절반,14,0,17.3,1.24,71.43,6.45,-5.0,3.05,0,1,4.79,예
DIA,9,아래,-5.0,뒤 절반,14,0,10.7,0.76,71.43,3.96,-0.8,1.27,0,0,5.0,예
DIA,9,아래,-5.0,최근 10년,10,0,6.87,0.69,60.0,3.96,-0.8,1.5,0,0,5.0,예
DIA,9,아래,-5.0,최근 5년,5,0,4.78,0.96,60.0,3.96,-0.65,1.96,0,0,5.0,아니오
DIA,9,아래,-5.5,전체,28,0,27.45,0.98,71.43,6.45,-5.54,2.36,1,0,4.93,예
DIA,9,아래,-5.5,앞 절반,14,0,16.76,1.2,71.43,6.45,-5.54,3.14,1,0,4.86,예
DIA,9,아래,-5.5,뒤 절반,14,0,10.7,0.76,71.43,3.96,-0.8,1.27,0,0,5.0,예
DIA,9,아래,-5.5,최근 10년,10,0,6.87,0.69,60.0,3.96,-0.8,1.5,0,0,5.0,예
DIA,9,아래,-5.5,최근 5년,5,0,4.78,0.96,60.0,3.96,-0.65,1.96,0,0,5.0,아니오
DIA,9,아래,-6.0,전체,28,0,27.0,0.96,71.43,6.45,-6.0,2.41,0,1,5.0,예
DIA,9,아래,-6.0,앞 절반,14,0,16.3,1.16,71.43,6.45,-6.0,3.22,0,1,5.0,예
DIA,9,아래,-6.0,뒤 절반,14,0,10.7,0.76,71.43,3.96,-0.8,1.27,0,0,5.0,예
DIA,9,아래,-6.0,최근 10년,10,0,6.87,0.69,60.0,3.96,-0.8,1.5,0,0,5.0,예
DIA,9,아래,-6.0,최근 5년,5,0,4.78,0.96,60.0,3.96,-0.65,1.96,0,0,5.0,아니오
DIA,9,아래,-6.5,전체,28,0,26.5,0.95,71.43,6.45,-6.5,2.46,0,1,5.0,예
DIA,9,아래,-6.5,앞 절반,14,0,15.8,1.13,71.43,6.45,-6.5,3.3,0,1,5.0,예
DIA,9,아래,-6.5,뒤 절반,14,0,10.7,0.76,71.43,3.96,-0.8,1.27,0,0,5.0,예
DIA,9,아래,-6.5,최근 10년,10,0,6.87,0.69,60.0,3.96,-0.8,1.5,0,0,5.0,예
DIA,9,아래,-6.5,최근 5년,5,0,4.78,0.96,60.0,3.96,-0.65,1.96,0,0,5.0,아니오
DIA,9,아래,-7.0,전체,28,0,26.0,0.93,71.43,6.45,-7.0,2.52,0,1,5.0,예
DIA,9,아래,-7.0,앞 절반,14,0,15.3,1.09,71.43,6.45,-7.0,3.4,0,1,5.0,예
DIA,9,아래,-7.0,뒤 절반,14,0,10.7,0.76,71.43,3.96,-0.8,1.27,0,0,5.0,예
DIA,9,아래,-7.0,최근 10년,10,0,6.87,0.69,60.0,3.96,-0.8,1.5,0,0,5.0,예
DIA,9,아래,-7.0,최근 5년,5,0,4.78,0.96,60.0,3.96,-0.65,1.96,0,0,5.0,아니오
DIA,9,아래,-7.5,전체,28,0,26.29,0.94,71.43,6.45,-6.7,2.49,0,0,5.0,예
DIA,9,아래,-7.5,앞 절반,14,0,15.6,1.11,71.43,6.45,-6.7,3.34,0,0,5.0,예
DIA,9,아래,-7.5,뒤 절반,14,0,10.7,0.76,71.43,3.96,-0.8,1.27,0,0,5.0,예
DIA,9,아래,-7.5,최근 10년,10,0,6.87,0.69,60.0,3.96,-0.8,1.5,0,0,5.0,예
DIA,9,아래,-7.5,최근 5년,5,0,4.78,0.96,60.0,3.96,-0.65,1.96,0,0,5.0,아니오
DIA,9,아래,-8.0,전체,28,0,26.29,0.94,71.43,6.45,-6.7,2.49,0,0,5.0,예
DIA,9,아래,-8.0,앞 절반,14,0,15.6,1.11,71.43,6.45,-6.7,3.34,0,0,5.0,예
DIA,9,아래,-8.0,뒤 절반,14,0,10.7,0.76,71.43,3.96,-0.8,1.27,0,0,5.0,예
DIA,9,아래,-8.0,최근 10년,10,0,6.87,0.69,60.0,3.96,-0.8,1.5,0,0,5.0,예
DIA,9,아래,-8.0,최근 5년,5,0,4.78,0.96,60.0,3.96,-0.65,1.96,0,0,5.0,아니오
DIA,9,아래,-8.5,전체,28,0,26.29,0.94,71.43,6.45,-6.7,2.49,0,0,5.0,예
DIA,9,아래,-8.5,앞 절반,14,0,15.6,1.11,71.43,6.45,-6.7,3.34,0,0,5.0,예
DIA,9,아래,-8.5,뒤 절반,14,0,10.7,0.76,71.43,3.96,-0.8,1.27,0,0,5.0,예
DIA,9,아래,-8.5,최근 10년,10,0,6.87,0.69,60.0,3.96,-0.8,1.5,0,0,5.0,예
DIA,9,아래,-8.5,최근 5년,5,0,4.78,0.96,60.0,3.96,-0.65,1.96,0,0,5.0,아니오
DIA,9,아래,-9.0,전체,28,0,26.29,0.94,71.43,6.45,-6.7,2.49,0,0,5.0,예
DIA,9,아래,-9.0,앞 절반,14,0,15.6,1.11,71.43,6.45,-6.7,3.34,0,0,5.0,예
DIA,9,아래,-9.0,뒤 절반,14,0,10.7,0.76,71.43,3.96,-0.8,1.27,0,0,5.0,예
DIA,9,아래,-9.0,최근 10년,10,0,6.87,0.69,60.0,3.96,-0.8,1.5,0,0,5.0,예
DIA,9,아래,-9.0,최근 5년,5,0,4.78,0.96,60.0,3.96,-0.65,1.96,0,0,5.0,아니오
DIA,9,아래,-9.5,전체,28,0,26.29,0.94,71.43,6.45,-6.7,2.49,0,0,5.0,예
DIA,9,아래,-9.5,앞 절반,14,0,15.6,1.11,71.43,6.45,-6.7,3.34,0,0,5.0,예
DIA,9,아래,-9.5,뒤 절반,14,0,10.7,0.76,71.43,3.96,-0.8,1.27,0,0,5.0,예
DIA,9,아래,-9.5,최근 10년,10,0,6.87,0.69,60.0,3.96,-0.8,1.5,0,0,5.0,예
DIA,9,아래,-9.5,최근 5년,5,0,4.78,0.96,60.0,3.96,-0.65,1.96,0,0,5.0,아니오
DIA,9,아래,-10.0,전체,28,0,26.29,0.94,71.43,6.45,-6.7,2.49,0,0,5.0,예
DIA,9,아래,-10.0,앞 절반,14,0,15.6,1.11,71.43,6.45,-6.7,3.34,0,0,5.0,예
DIA,9,아래,-10.0,뒤 절반,14,0,10.7,0.76,71.43,3.96,-0.8,1.27,0,0,5.0,예
DIA,9,아래,-10.0,최근 10년,10,0,6.87,0.69,60.0,3.96,-0.8,1.5,0,0,5.0,예
DIA,9,아래,-10.0,최근 5년,5,0,4.78,0.96,60.0,3.96,-0.65,1.96,0,0,5.0,아니오
SPY,12,위,무손절,전체,33,0,23.53,0.71,69.7,3.95,-2.9,1.53,0,0,4.3,예
SPY,12,위,무손절,앞 절반,16,0,3.93,0.25,56.25,3.53,-2.9,1.58,0,0,4.31,예
SPY,12,위,무손절,뒤 절반,17,0,19.6,1.15,82.35,3.95,-1.93,1.38,0,0,4.29,예
SPY,12,위,무손절,최근 10년,10,0,9.46,0.95,80.0,2.93,-0.09,1.0,0,0,4.4,예
SPY,12,위,무손절,최근 5년,5,0,5.24,1.05,80.0,2.33,-0.09,0.9,0,0,4.4,아니오
SPY,12,위,-1.0,전체,33,0,6.88,0.21,57.58,3.53,-1.79,1.28,3,10,3.27,예
SPY,12,위,-1.0,앞 절반,16,0,0.73,0.05,50.0,3.53,-1.79,1.35,1,6,3.38,예
SPY,12,위,-1.0,뒤 절반,17,0,6.15,0.36,64.71,2.83,-1.17,1.23,2,4,3.18,예
SPY,12,위,-1.0,최근 10년,10,0,0.03,0.0,60.0,1.43,-1.17,0.98,2,2,3.1,예
SPY,12,위,-1.0,최근 5년,5,0,0.83,0.17,60.0,1.43,-1.17,1.18,1,1,3.0,아니오
SPY,12,위,-1.5,전체,33,0,11.18,0.34,63.64,3.95,-1.79,1.59,1,9,3.67,예
SPY,12,위,-1.5,앞 절반,16,0,2.27,0.14,56.25,3.53,-1.79,1.6,1,4,3.69,예
SPY,12,위,-1.5,뒤 절반,17,0,8.91,0.52,70.59,3.95,-1.5,1.62,0,5,3.65,예
SPY,12,위,-1.5,최근 10년,10,0,-1.66,-0.17,60.0,1.43,-1.5,1.19,0,4,3.4,예
SPY,12,위,-1.5,최근 5년,5,0,0.0,0.0,60.0,1.43,-1.5,1.4,0,2,3.6,아니오
SPY,12,위,-2.0,전체,33,0,14.72,0.45,66.67,3.95,-2.0,1.65,0,6,4.0,예
SPY,12,위,-2.0,앞 절반,16,0,2.02,0.13,56.25,3.53,-2.0,1.64,0,3,4.0,예
SPY,12,위,-2.0,뒤 절반,17,0,12.7,0.75,76.47,3.95,-2.0,1.65,0,3,4.0,예
SPY,12,위,-2.0,최근 10년,10,0,2.62,0.26,70.0,2.33,-2.0,1.36,0,2,4.0,예
SPY,12,위,-2.0,최근 5년,5,0,3.33,0.67,80.0,2.33,-2.0,1.62,0,1,4.2,아니오
SPY,12,위,-2.5,전체,33,0,14.69,0.45,66.67,3.95,-2.5,1.69,0,4,4.06,예
SPY,12,위,-2.5,앞 절반,16,0,0.52,0.03,56.25,3.53,-2.5,1.77,0,3,4.0,예
SPY,12,위,-2.5,뒤 절반,17,0,14.17,0.83,76.47,3.95,-2.5,1.56,0,1,4.12,예
SPY,12,위,-2.5,최근 10년,10,0,4.03,0.4,70.0,2.33,-2.5,1.25,0,1,4.1,예
SPY,12,위,-2.5,최근 5년,5,0,5.24,1.05,80.0,2.33,-0.09,0.9,0,0,4.4,아니오
SPY,12,위,-3.0,전체,33,0,18.72,0.57,69.7,3.95,-3.0,1.74,0,2,4.15,예
SPY,12,위,-3.0,앞 절반,16,0,-0.88,-0.06,56.25,3.53,-3.0,1.91,0,2,4.0,예
SPY,12,위,-3.0,뒤 절반,17,0,19.6,1.15,82.35,3.95,-1.93,1.38,0,0,4.29,예
SPY,12,위,-3.0,최근 10년,10,0,9.46,0.95,80.0,2.93,-0.09,1.0,0,0,4.4,예
SPY,12,위,-3.0,최근 5년,5,0,5.24,1.05,80.0,2.33,-0.09,0.9,0,0,4.4,아니오
SPY,12,위,-3.5,전체,33,0,20.05,0.61,69.7,3.95,-3.5,1.69,0,1,4.24,예
SPY,12,위,-3.5,앞 절반,16,0,0.45,0.03,56.25,3.53,-3.5,1.83,0,1,4.19,예
SPY,12,위,-3.5,뒤 절반,17,0,19.6,1.15,82.35,3.95,-1.93,1.38,0,0,4.29,예
SPY,12,위,-3.5,최근 10년,10,0,9.46,0.95,80.0,2.93,-0.09,1.0,0,0,4.4,예
SPY,12,위,-3.5,최근 5년,5,0,5.24,1.05,80.0,2.33,-0.09,0.9,0,0,4.4,아니오
SPY,12,위,-4.0,전체,33,0,19.55,0.59,69.7,3.95,-4.0,1.73,0,1,4.27,예
SPY,12,위,-4.0,앞 절반,16,0,-0.05,-0.0,56.25,3.53,-4.0,1.9,0,1,4.25,예
SPY,12,위,-4.0,뒤 절반,17,0,19.6,1.15,82.35,3.95,-1.93,1.38,0,0,4.29,예
SPY,12,위,-4.0,최근 10년,10,0,9.46,0.95,80.0,2.93,-0.09,1.0,0,0,4.4,예
SPY,12,위,-4.0,최근 5년,5,0,5.24,1.05,80.0,2.33,-0.09,0.9,0,0,4.4,아니오
SPY,12,위,-4.5,전체,33,0,23.53,0.71,69.7,3.95,-2.9,1.53,0,0,4.3,예
SPY,12,위,-4.5,앞 절반,16,0,3.93,0.25,56.25,3.53,-2.9,1.58,0,0,4.31,예
SPY,12,위,-4.5,뒤 절반,17,0,19.6,1.15,82.35,3.95,-1.93,1.38,0,0,4.29,예
SPY,12,위,-4.5,최근 10년,10,0,9.46,0.95,80.0,2.93,-0.09,1.0,0,0,4.4,예
SPY,12,위,-4.5,최근 5년,5,0,5.24,1.05,80.0,2.33,-0.09,0.9,0,0,4.4,아니오
SPY,12,위,-5.0,전체,33,0,23.53,0.71,69.7,3.95,-2.9,1.53,0,0,4.3,예
SPY,12,위,-5.0,앞 절반,16,0,3.93,0.25,56.25,3.53,-2.9,1.58,0,0,4.31,예
SPY,12,위,-5.0,뒤 절반,17,0,19.6,1.15,82.35,3.95,-1.93,1.38,0,0,4.29,예
SPY,12,위,-5.0,최근 10년,10,0,9.46,0.95,80.0,2.93,-0.09,1.0,0,0,4.4,예
SPY,12,위,-5.0,최근 5년,5,0,5.24,1.05,80.0,2.33,-0.09,0.9,0,0,4.4,아니오
SPY,12,위,-5.5,전체,33,0,23.53,0.71,69.7,3.95,-2.9,1.53,0,0,4.3,예
SPY,12,위,-5.5,앞 절반,16,0,3.93,0.25,56.25,3.53,-2.9,1.58,0,0,4.31,예
SPY,12,위,-5.5,뒤 절반,17,0,19.6,1.15,82.35,3.95,-1.93,1.38,0,0,4.29,예
SPY,12,위,-5.5,최근 10년,10,0,9.46,0.95,80.0,2.93,-0.09,1.0,0,0,4.4,예
SPY,12,위,-5.5,최근 5년,5,0,5.24,1.05,80.0,2.33,-0.09,0.9,0,0,4.4,아니오
SPY,12,위,-6.0,전체,33,0,23.53,0.71,69.7,3.95,-2.9,1.53,0,0,4.3,예
SPY,12,위,-6.0,앞 절반,16,0,3.93,0.25,56.25,3.53,-2.9,1.58,0,0,4.31,예
