종목,청산 요일,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 평균(%),내린 평균(%),오른 건수,내린 건수,오른 비율 우연확률,내린 비율 우연확률,비고,만기월,시기,판정가능
QQQ,금요일,13,0,13,-1.65,-1.36,30.77,69.23,2.08,-10.65,3.14,0.96,2.82,4,9,0.1592,0.1592,,1,앞 절반,예
QQQ,금요일,14,0,14,1.5,1.07,71.43,28.57,4.8,-1.3,1.91,2.27,0.44,10,4,0.7313,0.7313,,1,뒤 절반,예
QQQ,금요일,13,0,13,-0.94,-0.16,38.46,61.54,5.71,-7.16,3.37,1.72,2.61,5,8,0.602,0.602,,2,앞 절반,예
QQQ,금요일,14,0,14,-1.12,0.17,50.0,50.0,1.95,-10.63,3.45,1.11,3.34,7,7,0.5572,0.5572,,2,뒤 절반,예
QQQ,금요일,14,0,14,1.54,1.06,71.43,28.57,6.09,-4.01,2.82,2.8,1.63,10,4,0.3134,0.3134,,3,앞 절반,예
QQQ,금요일,14,0,14,-0.17,0.01,50.0,50.0,8.55,-7.31,3.66,2.37,2.72,7,7,1.0,1.0,,3,뒤 절반,예
QQQ,금요일,14,0,14,1.05,1.57,78.57,21.43,8.6,-9.92,4.66,2.88,5.67,11,3,0.0348,0.0348,,4,앞 절반,예
QQQ,금요일,14,0,14,1.31,1.81,57.14,42.86,6.41,-3.85,2.66,3.17,1.15,8,6,1.0,1.0,,4,뒤 절반,예
QQQ,금요일,14,0,14,-0.43,-0.1,50.0,50.0,4.37,-5.13,2.78,1.78,2.63,7,7,0.7413,0.7413,,5,앞 절반,예
QQQ,금요일,14,0,14,1.61,1.74,78.57,21.43,7.07,-2.67,2.53,2.61,2.07,11,3,0.1791,0.1791,,5,뒤 절반,예
QQQ,금요일,14,0,14,-0.67,-0.59,42.86,57.14,2.44,-3.73,1.99,1.22,2.08,6,8,0.7463,0.7463,,6,앞 절반,예
QQQ,금요일,14,0,14,0.38,-0.39,42.86,57.14,7.25,-4.6,2.92,2.96,1.56,6,8,0.3731,0.3731,,6,뒤 절반,예
QQQ,금요일,14,0,14,-0.5,1.17,64.29,35.71,3.97,-10.44,4.5,2.34,5.61,9,5,0.2289,0.2289,,7,앞 절반,예
QQQ,금요일,14,0,14,0.44,0.78,57.14,42.86,3.47,-2.58,1.95,1.88,1.47,8,6,1.0,1.0,,7,뒤 절반,예
QQQ,금요일,14,0,14,1.64,1.72,64.29,35.71,6.2,-1.89,2.54,3.16,1.09,9,5,0.4925,0.4925,,8,앞 절반,예
QQQ,금요일,14,0,14,0.69,1.25,71.43,28.57,3.78,-4.78,2.18,1.75,1.99,10,4,0.5323,0.5323,,8,뒤 절반,예
QQQ,금요일,13,0,13,-1.29,-1.66,30.77,69.23,3.48,-5.78,3.08,2.54,2.99,4,9,0.1194,0.1194,,9,앞 절반,예
QQQ,금요일,14,0,14,-0.94,-0.88,35.71,64.29,1.76,-4.77,1.88,0.95,1.99,5,9,0.1443,0.1443,,9,뒤 절반,예
QQQ,금요일,13,0,13,0.33,0.5,69.23,30.77,7.33,-8.64,4.39,2.48,4.51,9,4,0.7562,0.7562,,10,앞 절반,예
QQQ,금요일,14,0,14,0.85,1.16,64.29,35.71,6.04,-3.68,2.59,2.32,1.8,9,5,1.0,1.0,,10,뒤 절반,예
QQQ,금요일,13,0,13,1.15,0.79,69.23,30.77,9.19,-4.55,3.47,2.65,2.23,9,4,0.5572,0.7562,,11,앞 절반,예
QQQ,금요일,14,0,14,0.83,1.08,71.43,28.57,4.95,-4.95,2.61,2.04,2.2,10,4,0.7164,0.7164,,11,뒤 절반,예
QQQ,금요일,13,0,13,0.32,0.4,53.85,46.15,7.68,-5.28,3.29,2.53,2.26,7,6,0.796,0.796,,12,앞 절반,예
QQQ,금요일,14,0,14,0.72,0.75,71.43,28.57,3.66,-2.51,1.72,1.52,1.26,10,4,0.2239,0.2239,,12,뒤 절반,예
SPY,금요일,16,0,16,-0.45,0.26,56.25,43.75,2.04,-5.93,2.24,1.01,2.33,9,7,0.7463,0.7463,,1,앞 절반,예
SPY,금요일,17,0,17,0.41,0.98,58.82,41.18,2.48,-3.9,1.72,1.56,1.24,10,7,1.0,1.0,,1,뒤 절반,예
SPY,금요일,17,0,17,-0.37,-0.13,47.06,52.94,1.94,-4.51,1.81,0.98,1.57,8,9,0.7861,0.7861,,2,앞 절반,예
SPY,금요일,17,0,17,-0.73,-0.14,47.06,52.94,1.67,-11.16,2.98,0.96,2.24,8,9,0.4229,0.4229,,2,뒤 절반,예
SPY,금요일,17,0,17,0.28,-0.31,29.41,70.59,6.39,-3.3,2.5,3.47,1.04,5,12,0.0498,0.0498,,3,앞 절반,예
SPY,금요일,17,0,17,0.34,-0.38,41.18,58.82,10.76,-5.89,3.4,3.04,1.55,7,10,0.4527,0.4527,,3,뒤 절반,예
SPY,금요일,17,0,17,0.2,0.61,70.59,29.41,3.25,-4.86,1.8,1.06,1.87,12,5,0.592,0.592,,4,앞 절반,예
SPY,금요일,17,0,17,0.97,1.17,70.59,29.41,4.6,-2.68,1.61,1.72,0.83,12,5,0.0796,0.0796,,4,뒤 절반,예
SPY,금요일,17,0,17,-0.11,0.35,58.82,41.18,2.78,-3.52,1.73,1.13,1.87,10,7,1.0,1.0,,5,앞 절반,예
SPY,금요일,17,0,17,0.89,0.33,70.59,29.41,6.58,-2.54,1.99,1.65,0.93,12,5,0.1592,0.1592,,5,뒤 절반,예
SPY,금요일,17,0,17,-0.59,-0.32,35.29,64.71,3.29,-3.95,1.8,1.22,1.58,6,11,0.801,0.7861,,6,앞 절반,예
SPY,금요일,17,0,17,-0.01,-0.34,29.41,70.59,6.62,-3.45,2.45,2.79,1.18,5,12,0.1045,0.1045,,6,뒤 절반,예
SPY,금요일,17,0,17,-0.35,-0.1,41.18,58.82,4.18,-5.47,2.73,2.05,2.03,7,10,0.4378,0.4378,,7,앞 절반,예
SPY,금요일,17,0,17,0.8,0.65,70.59,29.41,3.52,-2.11,1.41,1.45,0.76,12,5,1.0,1.0,,7,뒤 절반,예
SPY,금요일,16,0,16,0.54,0.87,75.0,25.0,3.1,-4.78,1.89,1.32,1.81,12,4,0.2736,0.393,,8,앞 절반,예
SPY,금요일,17,0,17,0.59,0.73,70.59,29.41,4.73,-3.99,1.88,1.42,1.41,12,5,0.3184,0.3184,,8,뒤 절반,예
SPY,금요일,16,0,16,-0.62,-0.54,25.0,75.0,7.36,-4.49,2.68,2.49,1.66,4,12,0.01,0.01,,9,앞 절반,예
SPY,금요일,17,0,17,-1.12,-0.97,29.41,70.59,2.07,-6.57,2.1,0.91,1.96,5,12,0.1393,0.1393,,9,뒤 절반,예
SPY,금요일,16,0,16,0.23,0.24,50.0,50.0,4.18,-6.62,2.5,2.09,1.62,8,8,0.398,0.398,,10,앞 절반,예
SPY,금요일,17,0,17,0.57,0.55,58.82,41.18,4.22,-3.95,2.25,2.04,1.52,10,7,0.403,0.403,,10,뒤 절반,예
SPY,금요일,16,0,16,1.2,0.6,62.5,37.5,13.29,-2.15,3.52,2.58,1.09,10,6,1.0,1.0,,11,앞 절반,예
SPY,금요일,17,0,17,0.3,0.42,70.59,29.41,3.7,-4.62,2.27,1.44,2.41,12,5,1.0,1.0,,11,뒤 절반,예
SPY,금요일,16,0,16,0.25,0.36,56.25,43.75,3.53,-2.9,1.58,1.3,1.12,9,7,1.0,1.0,,12,앞 절반,예
SPY,금요일,17,0,17,1.15,0.93,82.35,17.65,3.95,-1.93,1.38,1.55,0.69,14,3,0.01,0.01,,12,뒤 절반,예
DIA,금요일,14,0,14,-1.07,-0.39,35.71,64.29,2.48,-5.47,2.43,1.2,2.33,5,9,0.393,0.393,,1,앞 절반,예
DIA,금요일,14,0,14,0.61,0.85,78.57,21.43,2.16,-3.41,1.51,1.24,1.7,11,3,0.1294,0.1294,,1,뒤 절반,예
DIA,금요일,14,0,14,-0.97,-0.67,28.57,71.43,1.56,-4.03,1.7,0.82,1.69,4,10,0.0746,0.0746,,2,앞 절반,예
DIA,금요일,15,0,15,-0.7,0.3,66.67,33.33,1.58,-12.14,3.41,0.78,3.66,10,5,0.5771,0.5771,,2,뒤 절반,예
DIA,금요일,14,0,14,0.47,-0.12,50.0,50.0,6.97,-4.18,3.06,2.73,1.79,7,7,0.4876,0.4876,,3,앞 절반,예
DIA,금요일,15,0,15,0.25,-0.43,46.67,53.33,12.74,-5.61,3.9,2.55,1.77,7,8,0.7811,0.7811,,3,뒤 절반,예
DIA,금요일,14,0,14,0.3,0.58,64.29,35.71,2.45,-3.66,1.62,1.26,1.43,9,5,0.7662,0.7662,,4,앞 절반,예
DIA,금요일,15,0,15,0.36,0.66,53.33,46.67,2.47,-1.9,1.28,1.34,0.77,8,7,0.5224,0.5224,,4,뒤 절반,예
DIA,금요일,14,0,14,-0.88,-0.47,35.71,64.29,2.38,-3.85,1.85,0.97,1.9,5,9,0.5572,0.5572,,5,앞 절반,예
DIA,금요일,15,0,15,0.76,0.74,60.0,40.0,6.29,-2.4,2.2,2.0,1.1,9,6,0.6169,0.6169,,5,뒤 절반,예
DIA,금요일,14,0,14,-1.12,-0.84,7.14,92.86,3.0,-4.04,1.74,3.0,1.43,1,13,0.005,0.005,,6,앞 절반,예
DIA,금요일,15,0,15,0.2,-0.35,40.0,60.0,5.46,-3.25,2.36,2.3,1.21,6,9,0.2786,0.2786,,6,뒤 절반,예
DIA,금요일,14,0,14,-0.08,-0.6,50.0,50.0,4.01,-4.64,2.92,2.43,2.59,7,7,0.7562,0.7562,,7,앞 절반,예
DIA,금요일,15,0,15,0.42,0.66,73.33,26.67,2.05,-2.78,1.26,1.0,1.19,11,4,0.5224,0.5224,,7,뒤 절반,예
DIA,금요일,14,0,14,0.32,0.49,57.14,42.86,4.44,-5.62,2.31,1.69,1.51,8,6,0.7313,0.7313,,8,앞 절반,예
DIA,금요일,14,0,14,0.23,0.61,57.14,42.86,2.65,-4.19,1.71,1.37,1.28,8,6,0.5323,0.5323,,8,뒤 절반,예
DIA,금요일,14,0,14,-1.11,-1.7,28.57,71.43,6.7,-6.45,3.34,2.86,2.71,4,10,0.1343,0.1343,,9,앞 절반,예
DIA,금요일,14,0,14,-0.76,-0.74,28.57,71.43,0.8,-3.96,1.27,0.59,1.3,4,10,0.1244,0.1244,,9,뒤 절반,예
DIA,금요일,14,0,14,1.04,1.22,71.43,28.57,4.5,-5.08,2.59,2.27,2.03,10,4,0.5473,0.5473,,10,앞 절반,예
DIA,금요일,14,0,14,0.45,0.59,64.29,35.71,5.69,-3.06,2.43,1.86,2.1,9,5,1.0,1.0,,10,뒤 절반,예
DIA,금요일,14,0,14,0.65,0.13,50.0,50.0,9.63,-4.75,3.19,2.68,1.38,7,7,1.0,1.0,,11,앞 절반,예
DIA,금요일,14,0,14,0.74,1.07,71.43,28.57,3.42,-4.42,2.06,1.72,1.71,10,4,0.7811,0.7811,,11,뒤 절반,예
DIA,금요일,14,0,14,0.92,0.67,71.43,28.57,3.8,-2.8,1.84,1.75,1.15,10,4,0.4279,0.4279,,12,앞 절반,예
DIA,금요일,14,0,14,0.87,0.78,92.86,7.14,2.85,-2.06,1.18,1.1,2.06,13,1,0.01,0.01,,12,뒤 절반,예
KODEX 200,금요일,12,0,12,-0.47,-0.54,33.33,66.67,5.58,-5.68,3.36,3.11,2.26,4,8,0.7562,0.5323,,1,앞 절반,예
KODEX 200,금요일,12,0,12,0.48,-0.1,50.0,50.0,6.21,-4.25,2.76,2.48,1.52,6,6,0.4975,0.4975,,1,뒤 절반,예
KODEX 200,금요일,12,0,12,0.55,0.89,66.67,33.33,6.12,-9.26,3.64,2.15,2.64,8,4,1.0,1.0,,2,앞 절반,예
KODEX 200,금요일,12,0,12,0.83,0.36,75.0,25.0,5.28,-2.81,2.19,1.63,1.58,9,3,0.1095,0.1095,,2,뒤 절반,예
KODEX 200,금요일,12,0,12,1.48,1.23,66.67,33.33,10.41,-3.22,3.43,2.92,1.4,8,4,0.801,0.801,,3,앞 절반,예
KODEX 200,금요일,12,0,12,0.85,1.99,83.33,16.67,4.84,-13.44,4.77,2.43,7.03,10,2,0.0498,0.0498,,3,뒤 절반,예
KODEX 200,금요일,12,0,12,0.76,0.28,50.0,50.0,8.92,-2.94,3.28,2.98,1.47,6,6,0.7065,0.7065,,4,앞 절반,예
KODEX 200,금요일,12,0,12,1.12,0.96,58.33,41.67,7.79,-4.9,3.12,2.91,1.38,7,5,0.7861,1.0,,4,뒤 절반,예
KODEX 200,금요일,12,0,12,-0.95,-0.29,50.0,50.0,3.8,-8.5,4.0,2.05,3.95,6,6,0.7214,0.7214,,5,앞 절반,예
KODEX 200,금요일,12,0,12,0.63,0.53,58.33,41.67,3.49,-2.76,1.95,1.96,1.22,7,5,1.0,1.0,,5,뒤 절반,예
KODEX 200,금요일,12,0,12,-0.44,-1.45,41.67,58.33,4.31,-5.11,3.11,2.78,2.73,5,7,0.3134,0.3134,,6,앞 절반,예
KODEX 200,금요일,12,0,12,1.03,0.36,50.0,50.0,18.62,-7.35,6.26,4.68,2.63,6,6,0.7114,0.7114,,6,뒤 절반,예
KODEX 200,금요일,12,0,12,0.8,0.96,58.33,41.67,3.61,-1.65,1.58,1.92,0.76,7,5,1.0,1.0,,7,앞 절반,예
KODEX 200,금요일,12,0,12,0.04,0.68,83.33,16.67,3.73,-7.39,2.83,1.12,5.39,10,2,0.0199,0.0199,,7,뒤 절반,예
KODEX 200,금요일,12,0,12,-0.94,0.63,58.33,41.67,4.66,-13.01,4.89,2.2,5.34,7,5,0.7164,0.7164,,8,앞 절반,예
KODEX 200,금요일,12,0,12,-1.1,-1.29,41.67,58.33,6.31,-5.2,3.42,2.07,3.36,5,7,0.7761,0.5473,,8,뒤 절반,예
KODEX 200,금요일,11,0,11,1.72,2.25,81.82,18.18,4.61,-3.15,2.37,2.51,1.83,9,2,0.4876,0.4876,,9,앞 절반,예
KODEX 200,금요일,12,0,12,0.81,0.84,75.0,25.0,4.44,-3.32,2.21,1.78,2.09,9,3,0.0498,0.1095,,9,뒤 절반,예
KODEX 200,금요일,11,0,11,-0.19,0.59,54.55,45.45,6.06,-8.32,4.01,2.49,3.4,6,5,1.0,1.0,,10,앞 절반,예
KODEX 200,금요일,12,0,12,0.45,0.93,75.0,25.0,6.38,-3.66,2.64,1.58,2.96,9,3,0.4726,0.4726,,10,뒤 절반,예
KODEX 200,금요일,12,0,12,-0.03,0.67,58.33,41.67,6.92,-7.04,3.79,2.41,3.45,7,5,0.7164,0.7164,,11,앞 절반,예
KODEX 200,금요일,12,0,12,-0.03,-0.22,41.67,58.33,4.68,-8.2,3.24,2.58,1.89,5,7,1.0,1.0,,11,뒤 절반,예
KODEX 200,금요일,12,0,12,0.22,0.69,75.0,25.0,1.9,-4.58,1.83,1.08,2.34,9,3,0.6667,0.6667,,12,앞 절반,예
KODEX 200,금요일,12,0,12,-0.13,0.12,50.0,50.0,3.23,-3.35,1.92,1.37,1.62,6,6,0.1741,0.1741,,12,뒤 절반,예
KODEX 200,목요일,12,0,12,-0.03,0.92,66.67,33.33,3.52,-7.62,3.44,2.0,4.1,8,4,0.1144,0.3831,,1,앞 절반,예
KODEX 200,목요일,12,0,12,0.25,0.46,66.67,33.33,5.1,-3.85,2.64,1.68,2.63,8,4,1.0,1.0,,1,뒤 절반,예
KODEX 200,목요일,12,0,12,0.52,0.51,58.33,33.33,6.67,-5.65,2.9,2.14,2.18,7,4,1.0,0.6866,,2,앞 절반,예
KODEX 200,목요일,12,0,12,0.67,0.15,58.33,41.67,3.14,-1.4,1.55,1.57,0.6,7,5,1.0,1.0,,2,뒤 절반,예
KODEX 200,목요일,12,0,12,0.87,0.21,50.0,50.0,8.94,-3.01,3.1,2.91,1.16,6,6,0.7313,0.7313,,3,앞 절반,예
KODEX 200,목요일,12,0,12,0.29,1.97,83.33,16.67,4.34,-19.62,6.48,2.48,10.68,10,2,0.0149,0.0149,,3,뒤 절반,예
KODEX 200,목요일,12,0,12,0.55,0.34,58.33,41.67,6.79,-3.27,2.67,2.06,1.57,7,5,0.7761,0.7761,,4,앞 절반,예
KODEX 200,목요일,12,0,12,1.18,0.57,75.0,25.0,8.55,-3.08,2.84,2.01,1.34,9,3,0.1791,0.2786,,4,뒤 절반,예
KODEX 200,목요일,12,0,12,-0.66,0.23,58.33,41.67,3.88,-5.71,3.64,1.97,4.35,7,5,1.0,1.0,,5,앞 절반,예
KODEX 200,목요일,12,0,12,0.5,0.53,50.0,50.0,4.19,-2.11,1.85,2.05,1.06,6,6,0.5174,0.5174,,5,뒤 절반,예
KODEX 200,목요일,12,0,12,0.1,-0.54,41.67,58.33,4.79,-3.6,2.52,2.58,1.66,5,7,0.2935,0.1841,,6,앞 절반,예
KODEX 200,목요일,12,0,12,0.85,0.1,50.0,50.0,18.65,-6.65,6.25,4.51,2.81,6,6,1.0,1.0,,6,뒤 절반,예
KODEX 200,목요일,12,0,12,0.85,0.93,66.67,33.33,3.51,-1.26,1.33,1.6,0.64,8,4,0.7711,0.7711,,7,앞 절반,예
KODEX 200,목요일,12,0,12,0.02,0.56,75.0,25.0,4.38,-7.39,2.79,1.16,3.38,9,3,0.1592,0.1592,,7,뒤 절반,예
KODEX 200,목요일,12,0,12,-0.02,1.06,66.67,33.33,4.98,-10.13,4.12,2.28,4.63,8,4,0.7313,1.0,,8,앞 절반,예
KODEX 200,목요일,12,0,12,-1.32,-1.4,41.67,58.33,3.85,-6.51,2.83,1.28,3.18,5,7,0.7413,0.7413,,8,뒤 절반,예
KODEX 200,목요일,11,0,11,1.05,1.48,72.73,27.27,5.85,-3.8,3.03,2.54,2.93,8,3,0.6915,0.6915,,9,앞 절반,예
KODEX 200,목요일,12,0,12,0.74,0.57,83.33,16.67,4.83,-3.32,2.14,1.47,2.87,10,2,0.0547,0.0896,,9,뒤 절반,예
KODEX 200,목요일,11,0,11,-0.31,-1.07,45.45,54.55,6.7,-7.11,3.91,3.19,3.22,5,6,1.0,1.0,,10,앞 절반,예
KODEX 200,목요일,12,0,12,0.78,0.95,66.67,33.33,6.08,-2.51,2.24,1.91,1.48,8,4,0.5721,0.5721,,10,뒤 절반,예
KODEX 200,목요일,12,0,12,-0.22,0.99,58.33,41.67,6.55,-12.46,4.9,2.77,4.41,7,5,0.4925,0.4925,,11,앞 절반,예
KODEX 200,목요일,12,0,12,0.15,-0.36,41.67,58.33,3.75,-4.18,2.35,2.37,1.44,5,7,0.5274,0.5274,,11,뒤 절반,예
KODEX 200,목요일,12,0,12,-0.04,0.59,75.0,25.0,2.01,-5.63,2.19,0.95,3.02,9,3,0.4229,0.4229,,12,앞 절반,예
KODEX 200,목요일,12,0,12,-0.23,-0.27,41.67,58.33,3.01,-2.37,1.77,1.45,1.42,5,7,0.1592,0.1592,,12,뒤 절반,예
