대상,격자 칸,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),기준선(%),기준선 대비 차이(%p),우연확률,시기 구간,가장 약한 시기(%),1차 판정,뒷받침,미충족
229200,15일 → 말일,131,아래,49.62,0.11,14.22,48.59,1.03,0.8292,2,46.15,제외,0/3,차이 · 우연확률 · 시기
229200,15일 → 말일+1,131,위,54.2,0.16,21.04,52.48,1.71,0.7233,2,53.03,제외,0/3,차이 · 우연확률 · 시기
229200,15일 → 말일+2,131,아래,48.85,-0.14,-18.83,47.18,1.68,0.7293,2,47.69,제외,0/3,차이 · 우연확률 · 시기
229200,15일 → 말일+3,130,아래,46.15,-0.3,-38.52,45.43,0.73,0.8581,2,44.62,제외,0/3,차이 · 우연확률 · 시기
229200,15일 → 말일-1,131,위,52.67,-0.12,-15.81,51.14,1.53,0.7173,2,51.52,제외,0/3,차이 · 우연확률 · 시기
229200,15일 → 말일-2,131,위,51.91,-0.35,-46.48,49.34,2.57,0.5764,2,50.0,제외,0/3,차이 · 우연확률 · 시기
229200,15일 → 말일-3,131,위,51.15,-0.24,-30.89,50.26,0.89,0.9351,2,48.48,제외,0/3,차이 · 우연확률 · 시기
229200,16일 → 말일,131,아래,48.85,0.22,29.33,48.59,0.27,1.0,2,46.15,제외,0/3,차이 · 우연확률 · 시기
229200,16일 → 말일+1,131,아래,49.62,-0.05,-6.26,47.03,2.59,0.5205,2,47.69,제외,0/3,차이 · 우연확률 · 시기
229200,16일 → 말일+2,131,아래,47.33,-0.03,-3.55,47.18,0.15,1.0,2,46.15,제외,0/3,차이 · 우연확률 · 시기
229200,16일 → 말일+3,130,아래,46.15,-0.18,-23.26,45.43,0.73,0.8581,2,44.62,제외,0/3,차이 · 우연확률 · 시기
229200,16일 → 말일-1,131,아래,48.85,0.24,31.4,48.53,0.32,1.0,2,47.69,제외,0/3,차이 · 우연확률 · 시기
229200,16일 → 말일-2,131,위,52.67,-0.48,-62.3,49.34,3.33,0.4496,2,51.52,제외,0/3,차이 · 우연확률 · 시기
229200,16일 → 말일-3,131,아래,50.38,0.35,46.46,49.19,1.19,0.7922,2,49.23,제외,0/3,차이 · 우연확률 · 시기
229200,17일 → 말일,131,아래,50.38,0.22,29.0,48.59,1.8,0.6873,2,46.15,제외,0/3,차이 · 우연확률 · 시기
229200,17일 → 말일+1,131,아래,48.85,-0.05,-6.96,47.03,1.82,0.6424,2,48.48,제외,0/3,차이 · 우연확률 · 시기
229200,17일 → 말일+2,131,위,54.96,0.03,4.35,52.37,2.59,0.5524,2,53.85,제외,0/3,차이 · 우연확률 · 시기
229200,17일 → 말일+3,130,위,55.38,0.18,23.73,54.42,0.96,0.8631,2,53.85,제외,0/3,차이 · 우연확률 · 시기
229200,17일 → 말일-1,131,아래,48.85,0.24,30.92,48.53,0.32,1.0,2,48.48,제외,0/3,차이 · 우연확률 · 시기
229200,17일 → 말일-2,131,위,53.44,-0.47,-61.49,49.34,4.09,0.3477,2,53.03,제외,0/3,차이 · 우연확률 · 시기
229200,17일 → 말일-3,131,아래,49.62,0.35,45.33,49.19,0.43,0.9421,2,46.97,제외,0/3,차이 · 우연확률 · 시기
229200,18일 → 말일,131,아래,50.38,0.14,18.86,48.59,1.8,0.6873,2,50.0,제외,0/3,차이 · 우연확률 · 시기
229200,18일 → 말일+1,131,아래,51.15,-0.13,-16.58,47.03,4.11,0.3157,2,50.0,제외,0/3,차이 · 우연확률 · 시기
229200,18일 → 말일+2,131,아래,48.85,-0.11,-14.44,47.18,1.68,0.7293,2,47.69,제외,0/3,차이 · 우연확률 · 시기
229200,18일 → 말일+3,130,아래,46.92,-0.23,-29.58,45.43,1.5,0.7203,2,44.62,제외,0/3,차이 · 우연확률 · 시기
229200,18일 → 말일-1,131,아래,48.85,0.16,21.06,48.53,0.32,1.0,2,47.69,제외,0/3,차이 · 우연확률 · 시기
229200,18일 → 말일-2,131,위,50.38,-0.39,-51.66,49.34,1.04,0.8571,2,50.0,제외,0/3,차이 · 우연확률 · 시기
229200,18일 → 말일-3,131,아래,50.38,0.27,35.4,49.19,1.19,0.7922,2,47.69,제외,0/3,차이 · 우연확률 · 시기
229200,19일 → 말일,131,아래,49.62,0.1,13.58,48.59,1.03,0.8292,2,46.97,제외,0/3,차이 · 우연확률 · 시기
229200,19일 → 말일+1,131,아래,51.91,-0.17,-21.75,47.03,4.88,0.2308,2,51.52,제외,0/3,차이 · 우연확률 · 시기
229200,19일 → 말일+2,131,아래,49.62,-0.16,-20.7,47.18,2.44,0.6124,2,47.69,제외,0/3,차이 · 우연확률 · 시기
229200,19일 → 말일+3,130,아래,49.23,-0.27,-35.06,45.43,3.8,0.3646,2,49.23,제외,0/3,차이 · 우연확률 · 시기
229200,19일 → 말일-1,131,아래,50.38,0.12,16.24,48.53,1.85,0.7253,2,50.0,제외,0/3,차이 · 우연확률 · 시기
229200,19일 → 말일-2,131,아래,55.73,0.36,46.94,50.18,5.55,0.2018,2,53.03,제외,0/3,차이 · 우연확률 · 시기
229200,19일 → 말일-3,131,아래,58.02,0.23,30.75,49.19,8.83,0.032,2,57.58,제외,2/3,차이
229200,20일 → 말일,131,아래,53.44,0.18,23.7,48.59,4.85,0.2777,2,51.52,제외,0/3,차이 · 우연확률 · 시기
229200,20일 → 말일+1,131,아래,52.67,-0.09,-12.16,47.03,5.64,0.1678,2,50.0,제외,0/3,차이 · 우연확률 · 시기
229200,20일 → 말일+2,131,아래,51.91,-0.09,-11.16,47.18,4.73,0.2937,2,51.52,제외,0/3,차이 · 우연확률 · 시기
229200,20일 → 말일+3,130,아래,46.92,-0.22,-28.46,45.43,1.5,0.7203,2,43.08,제외,0/3,차이 · 우연확률 · 시기
229200,20일 → 말일-1,131,아래,53.44,0.2,26.19,48.53,4.91,0.2677,2,51.52,제외,0/3,차이 · 우연확률 · 시기
