대상,격자 칸,진입 달력일,청산 상대 거래일,시기,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
229200,15일 → 말일-1,15,-1,최근 10년,120,0,120,-0.19,0.39,52.5,47.5,32.04,-26.07,5.99,2208,0,2208,0.07,0.15,51.36,48.32,35.46,-36.21,5.89,-0.26,0.24,1.14,-0.82,0.6404,0.4895,0.7792,0.8392,,True,예
229200,15일 → 말일-1,15,-1,최근 5년,60,0,60,-0.31,-0.32,50.0,50.0,32.04,-26.07,7.34,1099,0,1099,0.06,0.17,51.14,48.68,35.46,-36.21,6.93,-0.37,-0.49,-1.14,1.32,0.6434,0.5804,0.8791,0.8791,,False,예
229200,15일 → 말일,15,0,앞 절반,65,0,65,0.01,0.64,52.31,46.15,10.93,-9.47,4.91,1246,0,1246,0.05,0.02,50.0,49.44,28.6,-19.99,4.89,-0.04,0.62,2.31,-3.28,0.9331,0.2498,0.8112,0.7303,,False,예
229200,15일 → 말일,15,0,뒤 절반,66,0,66,-0.23,-0.53,46.97,53.03,29.42,-15.65,6.76,1265,0,1265,0.1,0.26,51.78,47.98,32.77,-27.22,6.23,-0.32,-0.79,-4.81,5.05,0.6703,0.2498,0.4236,0.4236,,False,예
229200,15일 → 말일,15,0,최근 10년,120,0,120,-0.22,-0.12,49.17,50.0,29.42,-15.65,6.06,2328,0,2328,0.07,0.12,50.9,48.75,32.77,-27.22,5.77,-0.28,-0.25,-1.74,1.25,0.5664,0.6623,0.7872,0.8641,,False,예
229200,15일 → 말일,15,0,최근 5년,60,0,60,-0.26,-0.86,45.0,55.0,29.42,-15.65,7.0,1159,0,1159,0.13,0.26,51.94,47.8,32.77,-27.22,6.43,-0.38,-1.12,-6.94,7.2,0.6054,0.1159,0.2717,0.2737,,False,예
229200,15일 → 말일+1,15,1,앞 절반,65,0,65,0.53,0.54,55.38,43.08,9.3,-9.05,4.76,1310,0,1310,0.56,0.18,51.37,48.09,23.89,-19.89,4.77,-0.02,0.35,4.01,-5.01,0.956,0.7423,0.6124,0.4505,,False,예
229200,15일 → 말일+1,15,1,뒤 절반,66,0,66,-0.21,0.05,53.03,46.97,21.81,-13.07,6.22,1330,0,1330,0.16,0.42,53.68,45.86,24.97,-24.99,5.76,-0.37,-0.37,-0.65,1.11,0.6004,0.5604,1.0,0.8961,,True,예
229200,15일 → 말일+1,15,1,최근 10년,120,0,120,0.05,0.49,54.17,45.0,21.81,-13.07,5.67,2448,0,2448,0.35,0.31,52.49,47.02,24.97,-24.99,5.44,-0.29,0.19,1.67,-2.02,0.5524,0.7043,0.7223,0.6523,,False,예
229200,15일 → 말일+1,15,1,최근 5년,60,0,60,-0.25,0.04,51.67,48.33,21.81,-13.07,6.36,1219,0,1219,0.16,0.31,52.5,47.01,24.97,-24.99,5.87,-0.42,-0.27,-0.84,1.33,0.6044,0.7602,1.0,0.8951,,True,예
229200,15일 → 말일+2,15,2,앞 절반,65,0,65,0.69,0.54,52.31,47.69,11.35,-9.86,5.26,1310,0,1310,0.7,0.43,52.82,46.87,27.15,-14.99,5.08,-0.01,0.1,-0.52,0.82,0.982,0.9111,1.0,0.9131,,False,예
229200,15일 → 말일+2,15,2,뒤 절반,66,0,66,-0.39,-0.01,50.0,50.0,27.18,-15.39,6.86,1330,0,1330,0.01,0.25,52.11,47.29,30.47,-19.82,6.4,-0.4,-0.26,-2.11,2.71,0.6164,0.6673,0.7972,0.7103,,False,예
229200,15일 → 말일+2,15,2,최근 10년,120,0,120,-0.02,0.25,50.83,49.17,27.18,-15.39,6.27,2448,0,2448,0.28,0.25,51.72,47.88,30.47,-19.82,5.97,-0.31,-0.0,-0.88,1.29,0.5794,0.994,0.9161,0.8482,,True,예
