대상,월,시기,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
229200,9,앞 절반,5,0,5,-2.23,-0.73,20.0,80.0,0.04,-5.26,2.73,76,0,76,-0.89,-1.02,31.58,65.79,5.41,-5.77,2.87,-1.34,0.28,-11.58,14.21,,,,,표본 부족으로 검정 불가,False,아니오
229200,9,뒤 절반,5,0,5,-3.72,-3.65,20.0,80.0,2.1,-10.05,4.37,75,0,75,-2.68,-2.18,33.33,66.67,9.72,-15.84,6.15,-1.04,-1.46,-13.33,13.33,,,,,표본 부족으로 검정 불가,False,아니오
229200,9,최근 10년,10,0,10,-2.97,-3.05,20.0,80.0,2.1,-10.05,3.52,183,0,183,-1.62,-1.18,32.79,66.12,9.72,-15.84,4.54,-1.36,-1.87,-12.79,13.88,0.3117,0.1808,0.5055,0.4995,,False,예
229200,9,최근 5년,5,0,5,-3.72,-3.65,20.0,80.0,2.1,-10.05,4.37,91,0,91,-2.61,-2.18,28.57,71.43,9.72,-15.84,5.61,-1.1,-1.46,-8.57,8.57,,,,,표본 부족으로 검정 불가,False,아니오
229200,10,앞 절반,5,0,5,-1.5,-0.98,40.0,60.0,5.32,-12.04,6.78,74,0,74,-1.79,-1.6,40.54,59.46,11.6,-19.99,7.34,0.29,0.62,-0.54,0.54,,,,,표본 부족으로 검정 불가,False,아니오
229200,10,뒤 절반,6,0,6,-0.19,-0.42,50.0,50.0,4.88,-5.61,4.44,90,0,90,-0.41,-0.23,47.78,52.22,10.22,-13.19,5.31,0.23,-0.2,2.22,-2.22,,,,,표본 부족으로 검정 불가,False,아니오
229200,10,최근 10년,10,0,10,-0.76,-0.42,50.0,50.0,5.32,-12.04,5.65,182,0,182,-1.22,-0.5,45.05,54.4,11.6,-19.99,6.29,0.46,0.08,4.95,-4.4,0.8432,0.8831,1.0,1.0,,False,예
229200,10,최근 5년,5,0,5,0.65,0.39,60.0,40.0,4.88,-5.61,4.41,90,0,90,-0.04,0.22,52.22,47.78,10.22,-13.19,5.33,0.68,0.18,7.78,-7.78,,,,,표본 부족으로 검정 불가,False,아니오
229200,11,앞 절반,5,0,5,-2.07,-3.15,40.0,60.0,1.06,-5.37,2.72,83,0,83,-1.04,-1.16,33.73,65.06,12.75,-9.46,5.12,-1.03,-2.0,6.27,-5.06,,,,,표본 부족으로 검정 불가,False,아니오
229200,11,뒤 절반,6,0,6,-0.6,0.24,50.0,50.0,2.26,-5.87,3.25,103,0,103,-0.52,-0.48,45.63,54.37,14.71,-13.0,4.52,-0.08,0.72,4.37,-4.37,,,,,표본 부족으로 검정 불가,False,아니오
229200,11,최근 10년,10,0,10,-1.44,-1.91,40.0,60.0,2.26,-5.87,3.08,205,0,205,-0.19,-0.55,43.9,55.61,14.71,-13.0,5.02,-1.25,-1.36,-3.9,4.39,0.4306,0.4416,1.0,0.7792,,False,예
229200,11,최근 5년,5,0,5,-1.14,-1.24,40.0,60.0,2.26,-5.87,3.32,102,0,102,-0.33,-0.52,46.08,53.92,14.71,-13.0,4.73,-0.81,-0.73,-6.08,6.08,,,,,표본 부족으로 검정 불가,False,아니오
229200,12,앞 절반,5,0,5,4.88,4.01,100.0,0.0,9.82,1.86,3.05,78,0,78,4.91,5.39,93.59,6.41,11.84,-4.41,3.59,-0.03,-1.37,6.41,-6.41,,,,,표본 부족으로 검정 불가,False,아니오
229200,12,뒤 절반,6,0,6,1.41,1.91,83.33,16.67,3.57,-2.53,2.32,100,0,100,-0.01,0.39,53.0,46.0,8.23,-8.67,3.76,1.42,1.52,30.33,-29.33,,,,,표본 부족으로 검정 불가,False,아니오
229200,12,최근 10년,10,0,10,2.88,2.99,90.0,10.0,9.82,-2.53,3.26,193,0,193,2.37,2.31,72.02,27.46,12.85,-8.67,4.47,0.52,0.68,17.98,-17.46,0.7123,0.6963,0.3127,0.3077,,False,예
229200,12,최근 5년,5,0,5,1.03,1.08,80.0,20.0,3.57,-2.53,2.38,98,0,98,-0.21,0.28,51.02,47.96,8.23,-8.67,3.68,1.24,0.8,28.98,-27.96,,,,,표본 부족으로 검정 불가,False,아니오
251340,1,앞 절반,5,0,5,0.81,-0.32,40.0,60.0,6.83,-3.68,4.74,79,0,79,-0.18,-0.45,46.84,51.9,7.82,-15.41,5.73,0.99,0.14,-6.84,8.1,,,,,표본 부족으로 검정 불가,True,아니오
251340,1,뒤 절반,5,0,5,-2.43,-1.3,40.0,60.0,9.74,-22.86,12.49,76,0,76,-3.19,-2.1,36.84,61.84,13.05,-25.13,10.87,0.76,0.81,3.16,-1.84,,,,,표본 부족으로 검정 불가,False,아니오
251340,1,최근 10년,10,0,10,-0.81,-0.81,40.0,60.0,9.74,-22.86,9.07,195,0,195,-0.65,0.27,50.77,48.21,20.37,-26.28,9.19,-0.16,-1.08,-10.77,11.79,0.978,0.6763,0.5325,0.5145,,False,예
251340,1,최근 5년,5,0,5,-2.43,-1.3,40.0,60.0,9.74,-22.86,12.49,96,0,96,-1.77,-1.1,43.75,55.21,20.37,-26.28,11.86,-0.66,-0.19,-3.75,4.79,,,,,표본 부족으로 검정 불가,False,아니오
251340,2,앞 절반,5,0,5,3.42,1.57,100.0,0.0,8.47,0.6,3.56,71,0,71,3.62,2.26,78.87,16.9,10.63,-4.77,4.23,-0.2,-0.69,21.13,-16.9,,,,,표본 부족으로 검정 불가,False,아니오
251340,2,뒤 절반,5,0,5,-1.09,-1.56,40.0,60.0,2.49,-4.21,2.58,74,0,74,-3.39,-2.89,17.57,82.43,4.22,-12.95,4.23,2.3,1.33,22.43,-22.43,,,,,표본 부족으로 검정 불가,False,아니오
251340,2,최근 10년,10,0,10,1.17,0.6,70.0,30.0,8.47,-4.21,3.78,177,0,177,-0.19,-0.59,43.5,54.8,10.63,-12.95,5.08,1.36,1.19,26.5,-24.8,0.3666,0.4376,0.1359,0.2148,,False,예
251340,2,최근 5년,5,0,5,-1.09,-1.56,40.0,60.0,2.49,-4.21,2.58,89,0,89,-3.22,-2.81,16.85,83.15,4.22,-12.95,3.99,2.13,1.25,23.15,-23.15,,,,,표본 부족으로 검정 불가,False,아니오
251340,3,앞 절반,5,0,5,-2.65,0.33,60.0,40.0,3.04,-16.76,8.22,83,0,83,-2.38,-1.18,37.35,60.24,6.18,-24.85,6.1,-0.27,1.51,22.65,-20.24,,,,,표본 부족으로 검정 불가,True,아니오
251340,3,뒤 절반,5,0,5,1.54,-0.9,40.0,60.0,9.93,-6.58,7.16,82,0,82,0.75,-0.9,43.9,56.1,13.4,-11.58,6.9,0.79,0.0,-3.9,3.9,,,,,표본 부족으로 검정 불가,True,아니오
251340,3,최근 10년,10,0,10,-0.55,-0.29,50.0,50.0,9.93,-16.76,7.59,201,0,201,-0.86,-1.28,39.8,59.2,13.4,-24.85,6.35,0.31,1.0,10.2,-9.2,0.8671,0.6404,0.7323,0.7323,,False,예
251340,3,최근 5년,5,0,5,1.54,-0.9,40.0,60.0,9.93,-6.58,7.16,99,0,99,0.44,-1.35,42.42,57.58,13.4,-11.58,6.85,1.1,0.44,-2.42,2.42,,,,,표본 부족으로 검정 불가,True,아니오
251340,4,앞 절반,5,0,5,2.15,0.95,80.0,20.0,7.29,-0.68,3.06,80,0,80,0.73,0.91,68.75,30.0,7.79,-12.24,3.54,1.41,0.04,11.25,-10.0,,,,,표본 부족으로 검정 불가,False,아니오
251340,4,뒤 절반,5,0,5,-0.06,0.76,60.0,40.0,2.33,-4.1,2.56,81,0,81,-1.64,-1.7,30.86,65.43,6.35,-11.24,3.96,1.58,2.46,29.14,-25.43,,,,,표본 부족으로 검정 불가,True,아니오
251340,4,최근 10년,10,0,10,1.04,0.91,70.0,30.0,7.29,-4.1,2.9,201,0,201,-0.0,0.22,54.73,43.28,7.79,-12.24,3.78,1.05,0.69,15.27,-13.28,0.4116,0.5694,0.5415,0.5355,,False,예
251340,4,최근 5년,5,0,5,-0.06,0.76,60.0,40.0,2.33,-4.1,2.56,101,0,101,-0.86,-0.36,42.57,54.46,6.35,-11.24,3.96,0.8,1.13,17.43,-14.46,,,,,표본 부족으로 검정 불가,True,아니오
251340,5,앞 절반,5,0,5,-0.96,-0.83,20.0,80.0,1.12,-2.21,1.35,77,0,77,-0.91,-1.4,27.27,72.73,11.86,-10.21,3.94,-0.05,0.57,-7.27,7.27,,,,,표본 부족으로 검정 불가,False,아니오
251340,5,뒤 절반,5,0,5,-2.92,-3.11,20.0,80.0,1.1,-7.35,3.17,75,0,75,-0.23,-0.89,34.67,62.67,7.64,-7.35,3.73,-2.69,-2.22,-14.67,17.33,,,,,표본 부족으로 검정 불가,False,아니오
251340,5,최근 10년,10,0,10,-1.94,-1.66,20.0,80.0,1.12,-7.35,2.52,186,0,186,-0.89,-1.37,27.42,71.51,11.86,-10.21,3.79,-1.05,-0.29,-7.42,8.49,0.3686,0.7952,0.7393,0.7333,,False,예
251340,5,최근 5년,5,0,5,-2.92,-3.11,20.0,80.0,1.1,-7.35,3.17,93,0,93,-0.7,-1.19,32.26,65.59,7.64,-9.45,3.96,-2.22,-1.92,-12.26,14.41,,,,,표본 부족으로 검정 불가,False,아니오
251340,6,앞 절반,5,0,5,1.94,0.17,60.0,20.0,8.39,-1.02,3.78,79,0,79,1.44,0.69,56.96,41.77,9.93,-6.76,4.35,0.5,-0.53,3.04,-21.77,,,,,표본 부족으로 검정 불가,False,아니오
251340,6,뒤 절반,5,0,5,1.95,1.56,100.0,0.0,3.78,1.13,1.08,78,0,78,1.35,1.26,69.23,30.77,8.45,-7.99,2.91,0.6,0.3,30.77,-30.77,,,,,표본 부족으로 검정 불가,False,아니오
251340,6,최근 10년,10,0,10,1.95,1.4,80.0,10.0,8.39,-1.02,2.62,193,0,193,1.57,0.83,58.55,40.93,16.92,-8.55,4.43,0.37,0.57,21.45,-30.93,0.7532,0.7353,0.1998,0.046,,False,예
251340,6,최근 5년,5,0,5,1.95,1.56,100.0,0.0,3.78,1.13,1.08,95,0,95,2.28,1.41,70.53,29.47,16.92,-8.55,4.68,-0.33,0.14,29.47,-29.47,,,,,표본 부족으로 검정 불가,False,아니오
251340,7,앞 절반,5,0,5,2.36,3.52,80.0,20.0,6.43,-4.33,4.04,86,0,86,1.96,2.25,66.28,32.56,9.99,-10.38,4.82,0.4,1.27,13.72,-12.56,,,,,표본 부족으로 검정 불가,False,아니오
251340,7,뒤 절반,5,0,5,-0.16,0.88,60.0,40.0,2.68,-4.92,3.11,84,0,84,-0.05,0.0,47.62,48.81,29.15,-15.39,8.08,-0.11,0.88,12.38,-8.81,,,,,표본 부족으로 검정 불가,True,아니오
251340,7,최근 10년,10,0,10,1.1,2.14,70.0,30.0,6.43,-4.92,3.65,211,0,211,0.4,0.53,54.5,43.6,29.15,-15.39,6.45,0.7,1.62,15.5,-13.6,0.7253,0.3516,0.3646,0.5105,,False,예
251340,7,최근 5년,5,0,5,-0.16,0.88,60.0,40.0,2.68,-4.92,3.11,105,0,105,-0.97,-1.22,41.9,55.24,29.15,-15.39,7.78,0.81,2.1,18.1,-15.24,,,,,표본 부족으로 검정 불가,True,아니오
251340,8,앞 절반,5,0,5,-2.95,-2.41,20.0,80.0,4.51,-8.26,4.99,83,0,83,-3.3,-3.25,15.66,83.13,4.51,-10.4,3.42,0.34,0.84,4.34,-3.13,,,,,표본 부족으로 검정 불가,False,아니오
251340,8,뒤 절반,6,0,6,-1.53,-0.28,50.0,50.0,1.94,-7.18,3.73,101,0,101,-0.78,-0.71,41.58,56.44,4.65,-14.44,3.25,-0.75,0.43,8.42,-6.44,,,,,표본 부족으로 검정 불가,False,아니오
251340,8,최근 10년,10,0,10,-2.85,-2.15,30.0,70.0,1.94,-8.26,3.73,201,0,201,-2.13,-1.75,24.88,73.63,4.65,-14.44,3.31,-0.72,-0.4,5.12,-3.63,0.5225,0.8292,0.7463,1.0,,False,예
