날짜,시가,고가,저가,종가,거래량,등락률
2016-12-27,9976,10010,9946,9991,577279,
2016-12-28,10010,10045,9991,10045,412679,0.5404864377940146
2016-12-29,10095,10095,10010,10030,434759,-0.14932802389248384
2017-01-02,10045,10045,9995,10040,493968,0.09970089730807577
2017-01-03,10040,10090,9921,9961,500794,-0.7868525896414343
2017-01-04,10000,10040,9991,9991,434862,0.30117458086537496
2017-01-05,9827,9827,9678,9678,454018,-3.132819537583825
2017-01-06,9638,9782,9638,9782,436613,1.0746021905352345
2017-01-09,9911,10030,9911,10030,469222,2.5352688611735843
2017-01-10,9876,9946,9802,9812,481499,-2.173479561316052
2017-01-11,9886,9906,9767,9827,434628,0.15287403179779863
2017-01-12,9638,9643,9579,9623,444466,-2.0759133000915844
2017-01-13,9524,9569,9480,9494,508688,-1.340538293671412
2017-01-16,9529,9589,9529,9589,420672,1.0006319780914261
2017-01-17,9628,9683,9465,9485,472305,-1.0845760767546146
2017-01-18,9326,9365,9291,9356,444434,-1.36004217185029
2017-01-19,9549,9549,9465,9504,532062,1.581872595126122
2017-01-20,9475,9514,9370,9370,474288,-1.40993265993266
2017-01-23,9405,9405,9306,9331,464150,-0.41622198505869795
2017-01-24,9276,9331,9261,9326,452995,-0.053584824777622976
2017-01-25,9356,9365,9311,9341,484043,0.1608406605189792
2017-01-26,9266,9266,9172,9222,486199,-1.2739535381650786
2017-01-31,9336,9390,9256,9271,420238,0.5313381045326393
2017-02-01,9117,9217,9117,9217,455705,-0.5824614388954805
2017-02-02,9127,9132,9003,9048,428174,-1.8335684062059237
2017-02-03,9013,9053,8983,9038,383946,-0.11052166224580018
2017-02-06,8929,8929,8859,8874,262609,-1.814560743527329
2017-02-07,8869,8998,8869,8993,265120,1.3409961685823755
2017-02-08,9008,9048,8964,9018,254668,0.27799399532970087
2017-02-09,9013,9048,8979,9008,237204,-0.11088933244621868
2017-02-10,9117,9137,9063,9073,250362,0.7215808170515098
2017-02-13,9107,9137,9053,9112,243633,0.4298467981924391
2017-02-14,9068,9083,8884,8889,293188,-2.447322212467076
2017-02-15,8934,8993,8894,8939,316253,0.5624929688378896
2017-02-16,8835,8969,8825,8954,334549,0.1678040049222508
2017-02-17,8979,9028,8959,9008,311232,0.6030824212642395
2017-02-20,9078,9078,9008,9043,207920,0.3885435168738899
2017-02-21,8993,9053,8993,9028,214422,-0.16587415680636958
2017-02-22,8969,8969,8909,8959,238639,-0.7642888790429774
2017-02-23,8929,8949,8864,8894,257907,-0.7255274026118986
2017-02-24,8810,8840,8745,8790,297186,-1.1693276366089498
2017-02-27,8810,8835,8775,8825,269812,0.39817974971558584
2017-02-28,8830,8850,8770,8785,237398,-0.4532577903682719
2017-03-02,8974,8993,8924,8949,361453,1.86681844052362
2017-03-03,9053,9172,9048,9172,312921,2.4918985361492902
2017-03-06,9142,9222,9142,9212,293492,0.436109899694723
2017-03-07,9172,9202,9028,9038,278460,-1.8888406426400348
2017-03-08,9078,9093,8983,9028,293739,-0.11064394777605664
2017-03-09,9142,9222,9132,9212,267522,2.03810367744794
2017-03-10,9251,9266,9157,9197,545214,-0.1628310898827616
2017-03-13,9073,9107,9008,9008,273327,-2.055017940632815
2017-03-14,9068,9083,9018,9073,242574,0.7215808170515098
2017-03-15,9063,9083,8983,8988,286236,-0.936845585804034
2017-03-16,8760,8830,8760,8810,357866,-1.9804183355585223
2017-03-17,8785,8820,8760,8805,280171,-0.056753688989784334
2017-03-20,8765,8790,8616,8626,592864,-2.0329358319136857
2017-03-21,8547,8621,8532,8606,300617,-0.2318571759795966
2017-03-22,8666,8711,8626,8671,312273,0.7552870090634441
2017-03-23,8587,8656,8577,8651,339789,-0.2306539038173221
2017-03-24,8631,8691,8626,8656,329735,0.05779678649867067
2017-03-27,8522,8547,8512,8512,389729,-1.6635859519408502
2017-03-28,8487,8532,8477,8502,381946,-0.1174812030075188
2017-03-29,8552,8557,8507,8537,324019,0.4116678428605034
2017-03-30,8507,8611,8492,8582,310007,0.5271172543047908
2017-03-31,8611,8646,8587,8597,315551,0.17478443253320905
2017-04-03,8587,8587,8497,8557,313504,-0.46527858555309987
2017-04-04,8601,8636,8572,8636,312612,0.9232207549374781
2017-04-05,8686,8711,8641,8681,314927,0.5210745715609079
2017-04-06,8740,8835,8716,8815,511299,1.5436009676304574
2017-04-07,8790,8919,8780,8835,337084,0.22688598979013047
2017-04-10,8899,8988,8879,8969,407177,1.516694963214488
2017-04-11,8964,9083,8929,9008,424356,0.4348310848478091
2017-04-12,9038,9073,8939,8939,323538,-0.7659857904085257
2017-04-13,8835,8894,8711,8770,400920,-1.8905917887906927
2017-04-14,8845,8949,8845,8909,439992,1.5849486887115165
2017-04-17,8924,8924,8815,8874,336515,-0.3928611516444046
2017-04-18,8835,8954,8805,8954,380821,0.901510029299076
2017-04-19,8974,8979,8889,8929,311883,-0.27920482465937013
2017-04-20,8983,8993,8909,8929,340372,0.0
2017-04-21,8914,8924,8815,8830,373441,-1.1087467801545525
2017-04-24,8735,8850,8735,8780,435095,-0.5662514156285391
2017-04-25,8830,8869,8711,8716,416455,-0.7289293849658315
2017-04-26,8716,8755,8646,8701,570240,-0.1720972923359339
