종목,만기월,방향,손절선(%),손절적용,구간,신호,제외,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),질 때 표본,최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,구간 시작일,구간 종료일
DIA,12,위,-4.0,가능,전체,28,0.0,25.08,0.9,82.14,1.034,49.16,5,3.8,-2.8,1.52,0,0,4.29,예,1998-12-18,2025-12-19
DIA,12,위,-4.0,가능,앞 절반,14,,12.89,0.92,71.43,1.517,39.73,4,3.8,-2.8,1.84,0,0,4.29,예,1998-12-18,2011-12-16
DIA,12,위,-4.0,가능,뒤 절반,14,,12.2,0.87,92.86,0.532,65.29,1,2.85,-2.06,1.18,0,0,4.29,예,2012-12-21,2025-12-19
DIA,12,위,-4.0,가능,최근 10년,10,,8.85,0.88,100.0,,,0,2.85,0.04,0.84,0,0,4.4,예,2016-12-16,2025-12-19
DIA,12,위,-4.0,가능,최근 5년,5,,4.4,0.88,100.0,,,0,1.62,0.31,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19
DIA,12,위,-4.5,가능,전체,28,0.0,25.08,0.9,82.14,1.034,49.16,5,3.8,-2.8,1.52,0,0,4.29,예,1998-12-18,2025-12-19
DIA,12,위,-4.5,가능,앞 절반,14,,12.89,0.92,71.43,1.517,39.73,4,3.8,-2.8,1.84,0,0,4.29,예,1998-12-18,2011-12-16
DIA,12,위,-4.5,가능,뒤 절반,14,,12.2,0.87,92.86,0.532,65.29,1,2.85,-2.06,1.18,0,0,4.29,예,2012-12-21,2025-12-19
DIA,12,위,-4.5,가능,최근 10년,10,,8.85,0.88,100.0,,,0,2.85,0.04,0.84,0,0,4.4,예,2016-12-16,2025-12-19
DIA,12,위,-4.5,가능,최근 5년,5,,4.4,0.88,100.0,,,0,1.62,0.31,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19
DIA,12,위,-5.0,가능,전체,28,0.0,25.08,0.9,82.14,1.034,49.16,5,3.8,-2.8,1.52,0,0,4.29,예,1998-12-18,2025-12-19
DIA,12,위,-5.0,가능,앞 절반,14,,12.89,0.92,71.43,1.517,39.73,4,3.8,-2.8,1.84,0,0,4.29,예,1998-12-18,2011-12-16
DIA,12,위,-5.0,가능,뒤 절반,14,,12.2,0.87,92.86,0.532,65.29,1,2.85,-2.06,1.18,0,0,4.29,예,2012-12-21,2025-12-19
DIA,12,위,-5.0,가능,최근 10년,10,,8.85,0.88,100.0,,,0,2.85,0.04,0.84,0,0,4.4,예,2016-12-16,2025-12-19
DIA,12,위,-5.0,가능,최근 5년,5,,4.4,0.88,100.0,,,0,1.62,0.31,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19
DIA,12,위,-5.5,가능,전체,28,0.0,25.08,0.9,82.14,1.034,49.16,5,3.8,-2.8,1.52,0,0,4.29,예,1998-12-18,2025-12-19
DIA,12,위,-5.5,가능,앞 절반,14,,12.89,0.92,71.43,1.517,39.73,4,3.8,-2.8,1.84,0,0,4.29,예,1998-12-18,2011-12-16
DIA,12,위,-5.5,가능,뒤 절반,14,,12.2,0.87,92.86,0.532,65.29,1,2.85,-2.06,1.18,0,0,4.29,예,2012-12-21,2025-12-19
DIA,12,위,-5.5,가능,최근 10년,10,,8.85,0.88,100.0,,,0,2.85,0.04,0.84,0,0,4.4,예,2016-12-16,2025-12-19
DIA,12,위,-5.5,가능,최근 5년,5,,4.4,0.88,100.0,,,0,1.62,0.31,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19
DIA,12,위,-6.0,가능,전체,28,0.0,25.08,0.9,82.14,1.034,49.16,5,3.8,-2.8,1.52,0,0,4.29,예,1998-12-18,2025-12-19
DIA,12,위,-6.0,가능,앞 절반,14,,12.89,0.92,71.43,1.517,39.73,4,3.8,-2.8,1.84,0,0,4.29,예,1998-12-18,2011-12-16
DIA,12,위,-6.0,가능,뒤 절반,14,,12.2,0.87,92.86,0.532,65.29,1,2.85,-2.06,1.18,0,0,4.29,예,2012-12-21,2025-12-19
DIA,12,위,-6.0,가능,최근 10년,10,,8.85,0.88,100.0,,,0,2.85,0.04,0.84,0,0,4.4,예,2016-12-16,2025-12-19
DIA,12,위,-6.0,가능,최근 5년,5,,4.4,0.88,100.0,,,0,1.62,0.31,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19
DIA,12,위,-6.5,가능,전체,28,0.0,25.08,0.9,82.14,1.034,49.16,5,3.8,-2.8,1.52,0,0,4.29,예,1998-12-18,2025-12-19
DIA,12,위,-6.5,가능,앞 절반,14,,12.89,0.92,71.43,1.517,39.73,4,3.8,-2.8,1.84,0,0,4.29,예,1998-12-18,2011-12-16
DIA,12,위,-6.5,가능,뒤 절반,14,,12.2,0.87,92.86,0.532,65.29,1,2.85,-2.06,1.18,0,0,4.29,예,2012-12-21,2025-12-19
DIA,12,위,-6.5,가능,최근 10년,10,,8.85,0.88,100.0,,,0,2.85,0.04,0.84,0,0,4.4,예,2016-12-16,2025-12-19
DIA,12,위,-6.5,가능,최근 5년,5,,4.4,0.88,100.0,,,0,1.62,0.31,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19
DIA,12,위,-7.0,가능,전체,28,0.0,25.08,0.9,82.14,1.034,49.16,5,3.8,-2.8,1.52,0,0,4.29,예,1998-12-18,2025-12-19
DIA,12,위,-7.0,가능,앞 절반,14,,12.89,0.92,71.43,1.517,39.73,4,3.8,-2.8,1.84,0,0,4.29,예,1998-12-18,2011-12-16
DIA,12,위,-7.0,가능,뒤 절반,14,,12.2,0.87,92.86,0.532,65.29,1,2.85,-2.06,1.18,0,0,4.29,예,2012-12-21,2025-12-19
DIA,12,위,-7.0,가능,최근 10년,10,,8.85,0.88,100.0,,,0,2.85,0.04,0.84,0,0,4.4,예,2016-12-16,2025-12-19
DIA,12,위,-7.0,가능,최근 5년,5,,4.4,0.88,100.0,,,0,1.62,0.31,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19
DIA,12,위,-7.5,가능,전체,28,0.0,25.08,0.9,82.14,1.034,49.16,5,3.8,-2.8,1.52,0,0,4.29,예,1998-12-18,2025-12-19
DIA,12,위,-7.5,가능,앞 절반,14,,12.89,0.92,71.43,1.517,39.73,4,3.8,-2.8,1.84,0,0,4.29,예,1998-12-18,2011-12-16
DIA,12,위,-7.5,가능,뒤 절반,14,,12.2,0.87,92.86,0.532,65.29,1,2.85,-2.06,1.18,0,0,4.29,예,2012-12-21,2025-12-19
DIA,12,위,-7.5,가능,최근 10년,10,,8.85,0.88,100.0,,,0,2.85,0.04,0.84,0,0,4.4,예,2016-12-16,2025-12-19
DIA,12,위,-7.5,가능,최근 5년,5,,4.4,0.88,100.0,,,0,1.62,0.31,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19
DIA,12,위,-8.0,가능,전체,28,0.0,25.08,0.9,82.14,1.034,49.16,5,3.8,-2.8,1.52,0,0,4.29,예,1998-12-18,2025-12-19
DIA,12,위,-8.0,가능,앞 절반,14,,12.89,0.92,71.43,1.517,39.73,4,3.8,-2.8,1.84,0,0,4.29,예,1998-12-18,2011-12-16
DIA,12,위,-8.0,가능,뒤 절반,14,,12.2,0.87,92.86,0.532,65.29,1,2.85,-2.06,1.18,0,0,4.29,예,2012-12-21,2025-12-19
DIA,12,위,-8.0,가능,최근 10년,10,,8.85,0.88,100.0,,,0,2.85,0.04,0.84,0,0,4.4,예,2016-12-16,2025-12-19
DIA,12,위,-8.0,가능,최근 5년,5,,4.4,0.88,100.0,,,0,1.62,0.31,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19
DIA,12,위,-8.5,가능,전체,28,0.0,25.08,0.9,82.14,1.034,49.16,5,3.8,-2.8,1.52,0,0,4.29,예,1998-12-18,2025-12-19
DIA,12,위,-8.5,가능,앞 절반,14,,12.89,0.92,71.43,1.517,39.73,4,3.8,-2.8,1.84,0,0,4.29,예,1998-12-18,2011-12-16
DIA,12,위,-8.5,가능,뒤 절반,14,,12.2,0.87,92.86,0.532,65.29,1,2.85,-2.06,1.18,0,0,4.29,예,2012-12-21,2025-12-19
DIA,12,위,-8.5,가능,최근 10년,10,,8.85,0.88,100.0,,,0,2.85,0.04,0.84,0,0,4.4,예,2016-12-16,2025-12-19
DIA,12,위,-8.5,가능,최근 5년,5,,4.4,0.88,100.0,,,0,1.62,0.31,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19
DIA,12,위,-9.0,가능,전체,28,0.0,25.08,0.9,82.14,1.034,49.16,5,3.8,-2.8,1.52,0,0,4.29,예,1998-12-18,2025-12-19
DIA,12,위,-9.0,가능,앞 절반,14,,12.89,0.92,71.43,1.517,39.73,4,3.8,-2.8,1.84,0,0,4.29,예,1998-12-18,2011-12-16
DIA,12,위,-9.0,가능,뒤 절반,14,,12.2,0.87,92.86,0.532,65.29,1,2.85,-2.06,1.18,0,0,4.29,예,2012-12-21,2025-12-19
DIA,12,위,-9.0,가능,최근 10년,10,,8.85,0.88,100.0,,,0,2.85,0.04,0.84,0,0,4.4,예,2016-12-16,2025-12-19
DIA,12,위,-9.0,가능,최근 5년,5,,4.4,0.88,100.0,,,0,1.62,0.31,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19
DIA,12,위,-9.5,가능,전체,28,0.0,25.08,0.9,82.14,1.034,49.16,5,3.8,-2.8,1.52,0,0,4.29,예,1998-12-18,2025-12-19
DIA,12,위,-9.5,가능,앞 절반,14,,12.89,0.92,71.43,1.517,39.73,4,3.8,-2.8,1.84,0,0,4.29,예,1998-12-18,2011-12-16
DIA,12,위,-9.5,가능,뒤 절반,14,,12.2,0.87,92.86,0.532,65.29,1,2.85,-2.06,1.18,0,0,4.29,예,2012-12-21,2025-12-19
DIA,12,위,-9.5,가능,최근 10년,10,,8.85,0.88,100.0,,,0,2.85,0.04,0.84,0,0,4.4,예,2016-12-16,2025-12-19
DIA,12,위,-9.5,가능,최근 5년,5,,4.4,0.88,100.0,,,0,1.62,0.31,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19
DIA,12,위,-10.0,가능,전체,28,0.0,25.08,0.9,82.14,1.034,49.16,5,3.8,-2.8,1.52,0,0,4.29,예,1998-12-18,2025-12-19
DIA,12,위,-10.0,가능,앞 절반,14,,12.89,0.92,71.43,1.517,39.73,4,3.8,-2.8,1.84,0,0,4.29,예,1998-12-18,2011-12-16
DIA,12,위,-10.0,가능,뒤 절반,14,,12.2,0.87,92.86,0.532,65.29,1,2.85,-2.06,1.18,0,0,4.29,예,2012-12-21,2025-12-19
DIA,12,위,-10.0,가능,최근 10년,10,,8.85,0.88,100.0,,,0,2.85,0.04,0.84,0,0,4.4,예,2016-12-16,2025-12-19
DIA,12,위,-10.0,가능,최근 5년,5,,4.4,0.88,100.0,,,0,1.62,0.31,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19
KODEX 200,9,위,무손절,가능,전체,23,0.0,28.71,1.25,78.26,1.082,48.03,5,4.61,-3.32,2.28,0,0,5.3,예,2003-09-09,2025-09-11
KODEX 200,9,위,무손절,가능,앞 절반,11,,18.95,1.72,81.82,1.375,42.11,2,4.61,-3.15,2.37,0,0,5.36,예,2003-09-09,2013-09-12
KODEX 200,9,위,무손절,가능,뒤 절반,12,,9.75,0.81,75.0,0.853,53.98,3,4.44,-3.32,2.21,0,0,5.25,예,2014-09-11,2025-09-11
KODEX 200,9,위,무손절,가능,최근 10년,10,,6.16,0.62,70.0,0.85,54.05,3,4.44,-3.32,2.34,0,0,5.1,예,2016-09-08,2025-09-11
KODEX 200,9,위,무손절,가능,최근 5년,5,,2.64,0.53,60.0,1.264,44.17,2,4.44,-2.78,2.59,0,0,5.0,아니오,2021-09-09,2025-09-11
KODEX 200,9,위,-1.0,가능,전체,23,0.0,19.54,0.85,56.52,1.9,34.48,10,4.61,-5.35,2.42,2,6,4.3,예,2003-09-09,2025-09-11
KODEX 200,9,위,-1.0,가능,앞 절반,11,,12.64,1.15,63.64,1.491,40.15,4,4.61,-5.35,3.01,1,2,4.45,예,2003-09-09,2013-09-12
KODEX 200,9,위,-1.0,가능,뒤 절반,12,,6.9,0.57,50.0,2.269,30.59,6,4.44,-1.27,1.82,1,4,4.17,예,2014-09-11,2025-09-11
KODEX 200,9,위,-1.0,가능,최근 10년,10,,7.07,0.71,50.0,2.595,27.82,5,4.44,-1.27,1.94,1,3,4.2,예,2016-09-08,2025-09-11
KODEX 200,9,위,-1.0,가능,최근 5년,5,,2.85,0.57,40.0,3.258,23.48,3,4.44,-1.27,2.32,1,1,4.6,아니오,2021-09-09,2025-09-11
KODEX 200,9,위,-1.5,가능,전체,23,0.0,23.21,1.01,69.57,1.201,45.43,7,4.61,-5.35,2.5,2,3,4.78,예,2003-09-09,2025-09-11
KODEX 200,9,위,-1.5,가능,앞 절반,11,,11.64,1.06,63.64,1.322,43.06,4,4.61,-5.35,3.09,1,2,4.45,예,2003-09-09,2013-09-12
KODEX 200,9,위,-1.5,가능,뒤 절반,12,,11.57,0.96,75.0,1.203,45.4,3,4.44,-2.78,1.95,1,1,5.08,예,2014-09-11,2025-09-11
KODEX 200,9,위,-1.5,가능,최근 10년,10,,7.98,0.8,70.0,1.199,45.48,3,4.44,-2.78,2.06,1,1,4.9,예,2016-09-08,2025-09-11
KODEX 200,9,위,-1.5,가능,최근 5년,5,,3.92,0.78,60.0,2.239,30.87,2,4.44,-1.5,2.22,0,1,4.8,아니오,2021-09-09,2025-09-11
KODEX 200,9,위,-2.0,가능,전체,23,0.0,21.71,0.94,69.57,1.08,48.09,7,4.61,-5.35,2.57,2,3,4.83,예,2003-09-09,2025-09-11
KODEX 200,9,위,-2.0,가능,앞 절반,11,,10.64,0.97,63.64,1.188,45.7,4,4.61,-5.35,3.18,1,2,4.55,예,2003-09-09,2013-09-12
KODEX 200,9,위,-2.0,가능,뒤 절반,12,,11.07,0.92,75.0,1.081,48.06,3,4.44,-2.78,2.01,1,1,5.08,예,2014-09-11,2025-09-11
KODEX 200,9,위,-2.0,가능,최근 10년,10,,7.48,0.75,70.0,1.078,48.13,3,4.44,-2.78,2.13,1,1,4.9,예,2016-09-08,2025-09-11
KODEX 200,9,위,-2.0,가능,최근 5년,5,,3.42,0.68,60.0,1.721,36.75,2,4.44,-2.0,2.36,0,1,4.8,아니오,2021-09-09,2025-09-11
KODEX 200,9,위,-2.5,가능,전체,23,0.0,19.36,0.84,69.57,0.931,51.77,7,4.61,-5.35,2.71,3,2,5.04,예,2003-09-09,2025-09-11
KODEX 200,9,위,-2.5,가능,앞 절반,11,,9.64,0.88,63.64,1.079,48.11,4,4.61,-5.35,3.27,1,2,4.91,예,2003-09-09,2013-09-12
KODEX 200,9,위,-2.5,가능,뒤 절반,12,,9.72,0.81,75.0,0.848,54.1,3,4.44,-3.35,2.22,2,0,5.17,예,2014-09-11,2025-09-11
KODEX 200,9,위,-2.5,가능,최근 10년,10,,6.12,0.61,70.0,0.846,54.18,3,4.44,-3.35,2.35,2,0,5.0,예,2016-09-08,2025-09-11
KODEX 200,9,위,-2.5,가능,최근 5년,5,,2.07,0.41,60.0,1.059,48.58,2,4.44,-3.35,2.78,1,0,5.0,아니오,2021-09-09,2025-09-11
KODEX 200,9,위,-3.0,가능,전체,23,0.0,18.13,0.79,69.57,0.869,53.49,7,4.61,-5.35,2.78,2,3,5.04,예,2003-09-09,2025-09-11
KODEX 200,9,위,-3.0,가능,앞 절반,11,,8.64,0.79,63.64,0.988,50.31,4,4.61,-5.35,3.38,1,2,4.91,예,2003-09-09,2013-09-12
KODEX 200,9,위,-3.0,가능,뒤 절반,12,,9.5,0.79,75.0,0.819,54.97,3,4.44,-3.35,2.25,1,1,5.17,예,2014-09-11,2025-09-11
KODEX 200,9,위,-3.0,가능,최근 10년,10,,5.9,0.59,70.0,0.817,55.04,3,4.44,-3.35,2.39,1,1,5.0,예,2016-09-08,2025-09-11
KODEX 200,9,위,-3.0,가능,최근 5년,5,,2.07,0.41,60.0,1.059,48.58,2,4.44,-3.35,2.78,1,0,5.0,아니오,2021-09-09,2025-09-11
KODEX 200,9,위,-3.5,가능,전체,23,0.0,16.84,0.73,69.57,0.812,55.18,7,4.61,-5.35,2.86,1,3,5.04,예,2003-09-09,2025-09-11
KODEX 200,9,위,-3.5,가능,앞 절반,11,,7.99,0.73,63.64,0.937,51.64,4,4.61,-5.35,3.46,1,1,4.91,예,2003-09-09,2013-09-12
KODEX 200,9,위,-3.5,가능,뒤 절반,12,,8.85,0.74,75.0,0.745,57.3,3,4.44,-3.5,2.35,0,2,5.17,예,2014-09-11,2025-09-11
KODEX 200,9,위,-3.5,가능,최근 10년,10,,5.25,0.53,70.0,0.743,57.37,3,4.44,-3.5,2.5,0,2,5.0,예,2016-09-08,2025-09-11
KODEX 200,9,위,-3.5,가능,최근 5년,5,,1.92,0.38,60.0,1.016,49.6,2,4.44,-3.5,2.83,0,1,5.0,아니오,2021-09-09,2025-09-11
KODEX 200,9,위,-4.0,가능,전체,23,0.0,17.24,0.75,69.57,0.829,54.67,7,4.61,-5.35,2.84,1,1,5.09,예,2003-09-09,2025-09-11
KODEX 200,9,위,-4.0,가능,앞 절반,11,,7.49,0.68,63.64,0.901,52.61,4,4.61,-5.35,3.52,1,1,4.91,예,2003-09-09,2013-09-12
KODEX 200,9,위,-4.0,가능,뒤 절반,12,,9.75,0.81,75.0,0.853,53.98,3,4.44,-3.32,2.21,0,0,5.25,예,2014-09-11,2025-09-11
KODEX 200,9,위,-4.0,가능,최근 10년,10,,6.16,0.62,70.0,0.85,54.05,3,4.44,-3.32,2.34,0,0,5.1,예,2016-09-08,2025-09-11
KODEX 200,9,위,-4.0,가능,최근 5년,5,,2.64,0.53,60.0,1.264,44.17,2,4.44,-2.78,2.59,0,0,5.0,아니오,2021-09-09,2025-09-11
KODEX 200,9,위,-4.5,가능,전체,23,0.0,16.74,0.73,69.57,0.808,55.31,7,4.61,-5.35,2.88,1,1,5.09,예,2003-09-09,2025-09-11
KODEX 200,9,위,-4.5,가능,앞 절반,11,,6.99,0.64,63.64,0.867,53.55,4,4.61,-5.35,3.59,1,1,4.91,예,2003-09-09,2013-09-12
KODEX 200,9,위,-4.5,가능,뒤 절반,12,,9.75,0.81,75.0,0.853,53.98,3,4.44,-3.32,2.21,0,0,5.25,예,2014-09-11,2025-09-11
KODEX 200,9,위,-4.5,가능,최근 10년,10,,6.16,0.62,70.0,0.85,54.05,3,4.44,-3.32,2.34,0,0,5.1,예,2016-09-08,2025-09-11
KODEX 200,9,위,-4.5,가능,최근 5년,5,,2.64,0.53,60.0,1.264,44.17,2,4.44,-2.78,2.59,0,0,5.0,아니오,2021-09-09,2025-09-11
KODEX 200,9,위,-5.0,가능,전체,23,0.0,16.24,0.71,69.57,0.788,55.92,7,4.61,-5.35,2.93,1,1,5.09,예,2003-09-09,2025-09-11
KODEX 200,9,위,-5.0,가능,앞 절반,11,,6.49,0.59,63.64,0.836,54.46,4,4.61,-5.35,3.66,1,1,4.91,예,2003-09-09,2013-09-12
KODEX 200,9,위,-5.0,가능,뒤 절반,12,,9.75,0.81,75.0,0.853,53.98,3,4.44,-3.32,2.21,0,0,5.25,예,2014-09-11,2025-09-11
KODEX 200,9,위,-5.0,가능,최근 10년,10,,6.16,0.62,70.0,0.85,54.05,3,4.44,-3.32,2.34,0,0,5.1,예,2016-09-08,2025-09-11
KODEX 200,9,위,-5.0,가능,최근 5년,5,,2.64,0.53,60.0,1.264,44.17,2,4.44,-2.78,2.59,0,0,5.0,아니오,2021-09-09,2025-09-11
KODEX 200,9,위,-5.5,가능,전체,23,0.0,21.17,0.92,73.91,0.838,54.41,6,4.61,-5.5,2.67,0,1,5.17,예,2003-09-09,2025-09-11
KODEX 200,9,위,-5.5,가능,앞 절반,11,,11.42,1.04,72.73,0.843,54.26,3,4.61,-5.5,3.21,0,1,5.09,예,2003-09-09,2013-09-12
KODEX 200,9,위,-5.5,가능,뒤 절반,12,,9.75,0.81,75.0,0.853,53.98,3,4.44,-3.32,2.21,0,0,5.25,예,2014-09-11,2025-09-11
KODEX 200,9,위,-5.5,가능,최근 10년,10,,6.16,0.62,70.0,0.85,54.05,3,4.44,-3.32,2.34,0,0,5.1,예,2016-09-08,2025-09-11
KODEX 200,9,위,-5.5,가능,최근 5년,5,,2.64,0.53,60.0,1.264,44.17,2,4.44,-2.78,2.59,0,0,5.0,아니오,2021-09-09,2025-09-11
KODEX 200,9,위,-6.0,가능,전체,23,0.0,28.71,1.25,78.26,1.082,48.03,5,4.61,-3.32,2.28,0,0,5.3,예,2003-09-09,2025-09-11
KODEX 200,9,위,-6.0,가능,앞 절반,11,,18.95,1.72,81.82,1.375,42.11,2,4.61,-3.15,2.37,0,0,5.36,예,2003-09-09,2013-09-12
KODEX 200,9,위,-6.0,가능,뒤 절반,12,,9.75,0.81,75.0,0.853,53.98,3,4.44,-3.32,2.21,0,0,5.25,예,2014-09-11,2025-09-11
KODEX 200,9,위,-6.0,가능,최근 10년,10,,6.16,0.62,70.0,0.85,54.05,3,4.44,-3.32,2.34,0,0,5.1,예,2016-09-08,2025-09-11
KODEX 200,9,위,-6.0,가능,최근 5년,5,,2.64,0.53,60.0,1.264,44.17,2,4.44,-2.78,2.59,0,0,5.0,아니오,2021-09-09,2025-09-11
KODEX 200,9,위,-6.5,가능,전체,23,0.0,28.71,1.25,78.26,1.082,48.03,5,4.61,-3.32,2.28,0,0,5.3,예,2003-09-09,2025-09-11
KODEX 200,9,위,-6.5,가능,앞 절반,11,,18.95,1.72,81.82,1.375,42.11,2,4.61,-3.15,2.37,0,0,5.36,예,2003-09-09,2013-09-12
KODEX 200,9,위,-6.5,가능,뒤 절반,12,,9.75,0.81,75.0,0.853,53.98,3,4.44,-3.32,2.21,0,0,5.25,예,2014-09-11,2025-09-11
