종목,청산 요일,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 비율 우연확률,내린 비율 우연확률,비고,만기월,시기
SPY,금요일,17,0,17,0.28,-0.31,29.41,70.59,6.39,-3.3,2.5,0.0519,0.0519,,3,앞 절반
SPY,금요일,17,0,17,0.34,-0.38,41.18,58.82,10.76,-5.89,3.4,0.3996,0.3996,,3,뒤 절반
SPY,금요일,17,0,17,0.2,0.61,70.59,29.41,3.25,-4.86,1.8,0.5425,0.5425,,4,앞 절반
SPY,금요일,17,0,17,0.97,1.17,70.59,29.41,4.6,-2.68,1.61,0.0809,0.0809,,4,뒤 절반
SPY,금요일,17,0,17,-0.11,0.35,58.82,41.18,2.78,-3.52,1.73,1.0,1.0,,5,앞 절반
SPY,금요일,17,0,17,0.89,0.33,70.59,29.41,6.58,-2.54,1.99,0.1918,0.1918,,5,뒤 절반
SPY,금요일,17,0,17,-0.59,-0.32,35.29,64.71,3.29,-3.95,1.8,0.7762,0.5894,,6,앞 절반
SPY,금요일,17,0,17,-0.01,-0.34,29.41,70.59,6.62,-3.45,2.45,0.0579,0.0579,,6,뒤 절반
SPY,금요일,17,0,17,-0.35,-0.1,41.18,58.82,4.18,-5.47,2.73,0.4086,0.4086,,7,앞 절반
SPY,금요일,17,0,17,0.8,0.65,70.59,29.41,3.52,-2.11,1.41,1.0,1.0,,7,뒤 절반
SPY,금요일,16,0,16,0.54,0.87,75.0,25.0,3.1,-4.78,1.89,0.2527,0.3836,,8,앞 절반
SPY,금요일,17,0,17,0.59,0.73,70.59,29.41,4.73,-3.99,1.88,0.2937,0.2937,,8,뒤 절반
SPY,금요일,16,0,16,-0.62,-0.54,25.0,75.0,7.36,-4.49,2.68,0.016,0.016,,9,앞 절반
SPY,금요일,17,0,17,-1.12,-0.97,29.41,70.59,2.07,-6.57,2.1,0.1079,0.1079,,9,뒤 절반
SPY,금요일,16,0,16,0.23,0.24,50.0,50.0,4.18,-6.62,2.5,0.5744,0.5744,,10,앞 절반
