종목,만기월,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 평균(%),내린 평균(%),오른 건수,내린 건수,기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),기준선 오른 평균(%),기준선 내린 평균(%),기준선 오른 건수,기준선 내린 건수,평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남
SPY,2,34,0,34,-0.55,-0.14,47.06,52.94,1.94,-11.16,2.43,0.97,1.9,16,18,137,0,137,-0.12,0.2,54.01,45.99,5.85,-11.16,2.22,1.34,1.83,74,63,-0.43,-0.34,-6.96,6.96,0.1878,0.3427,0.4196,0.4196,,False
SPY,3,34,0,34,0.31,-0.35,35.29,64.71,10.76,-5.89,2.94,3.22,1.27,12,22,142,0,142,0.16,0.2,51.41,48.59,10.76,-15.05,2.96,2.03,1.82,73,69,0.15,-0.55,-16.11,16.11,0.7772,0.1359,0.038,0.038,,True
SPY,4,34,0,34,0.58,0.78,70.59,29.41,4.6,-4.86,1.73,1.39,1.35,24,10,120,0,120,0.32,0.5,56.67,43.33,12.09,-10.19,2.51,1.8,1.62,68,52,0.26,0.27,13.92,-13.92,0.4625,0.1968,0.0709,0.0709,,False
SPY,5,34,0,34,0.39,0.34,64.71,35.29,6.58,-3.52,1.9,1.41,1.48,22,12,151,0,151,0.38,0.3,56.29,43.71,7.13,-4.59,2.09,1.79,1.43,85,66,0.01,0.04,8.41,-8.41,0.992,0.959,0.3147,0.3147,,False
SPY,6,34,0,34,-0.3,-0.33,32.35,67.65,6.62,-3.95,2.13,1.93,1.37,11,23,143,0,143,-0.0,-0.12,45.45,53.85,6.62,-6.14,2.1,1.7,1.44,65,77,-0.3,-0.21,-13.1,13.8,0.3606,0.2967,0.1149,0.0839,,False
SPY,7,34,0,34,0.23,0.29,55.88,44.12,4.18,-5.47,2.22,1.67,1.61,19,15,141,0,141,0.14,0.48,59.57,40.43,7.01,-7.77,2.22,1.47,1.83,84,57,0.09,-0.19,-3.69,3.69,0.8212,0.6623,0.6743,0.6743,,False
SPY,8,33,0,33,0.57,0.76,72.73,27.27,4.73,-4.78,1.85,1.37,1.59,24,9,148,0,148,0.08,0.34,59.46,39.86,5.18,-5.53,1.99,1.33,1.79,88,59,0.49,0.42,13.27,-12.59,0.1319,0.1389,0.1239,0.1189,,False
SPY,9,33,0,33,-0.88,-0.59,27.27,72.73,7.36,-6.57,2.37,1.61,1.81,9,24,141,0,141,-0.06,0.03,50.35,49.65,7.36,-8.7,2.15,1.51,1.65,71,70,-0.82,-0.62,-23.08,23.08,0.017,0.0629,0.003,0.003,,False
SPY,10,33,0,33,0.41,0.55,54.55,45.45,4.22,-6.62,2.34,2.06,1.58,18,15,146,0,146,0.52,0.56,64.38,35.62,11.25,-19.79,3.14,2.07,2.3,94,52,-0.11,-0.01,-9.84,9.84,0.7782,0.967,0.2138,0.2138,,False
SPY,11,33,0,33,0.74,0.42,66.67,33.33,13.29,-4.62,2.93,1.96,1.69,22,11,141,0,141,0.49,0.47,66.67,33.33,13.29,-8.2,2.45,1.65,1.82,94,47,0.25,-0.05,0.0,0.0,0.4825,0.7562,1.0,1.0,,False
SPY,12,33,0,33,0.71,0.68,69.7,30.3,3.95,-2.9,1.53,1.45,0.99,23,10,138,0,138,0.14,0.22,54.35,45.65,6.65,-7.59,1.93,1.46,1.43,75,63,0.57,0.47,15.35,-15.35,0.044,0.1139,0.05,0.05,,False
DIA,1,28,0,28,-0.23,0.59,57.14,42.86,2.48,-5.47,2.16,1.23,2.17,16,12,122,0,122,0.02,0.25,52.46,47.54,4.29,-5.47,2.12,1.62,1.74,64,58,-0.25,0.34,4.68,-4.68,0.4905,0.4995,0.6843,0.6843,,True
DIA,2,29,0,29,-0.83,-0.13,48.28,51.72,1.58,-12.14,2.68,0.79,2.35,14,15,117,0,117,-0.21,0.12,54.7,45.3,5.39,-12.14,2.35,1.27,1.99,64,53,-0.63,-0.25,-6.42,6.42,0.1049,0.2737,0.5185,0.5185,,False
DIA,3,29,0,29,0.35,-0.29,48.28,51.72,12.74,-5.61,3.46,2.64,1.78,14,15,121,0,121,0.23,0.26,56.2,43.8,12.74,-17.32,3.36,2.13,2.2,68,53,0.12,-0.54,-7.92,7.92,0.8432,0.1618,0.4176,0.4176,,True
DIA,4,29,0,29,0.33,0.66,58.62,41.38,2.47,-3.66,1.43,1.3,1.05,17,12,102,0,102,0.4,0.4,57.84,42.16,12.6,-7.57,2.33,1.73,1.43,59,43,-0.07,0.26,0.78,-0.78,0.8571,0.4496,1.0,1.0,,False
DIA,5,29,0,29,-0.03,-0.12,48.28,51.72,6.29,-3.85,2.17,1.63,1.58,14,15,129,0,129,0.13,-0.15,48.06,51.94,6.78,-4.38,2.1,1.83,1.44,62,67,-0.16,0.03,0.21,-0.21,0.6184,1.0,1.0,1.0,,False
DIA,6,29,0,29,-0.44,-0.45,24.14,75.86,5.46,-4.04,2.15,2.4,1.34,7,22,122,0,122,-0.12,-0.06,48.36,51.64,5.6,-5.45,2.11,1.56,1.69,59,63,-0.32,-0.39,-24.22,24.22,0.3457,0.3606,0.006,0.006,,False
DIA,7,29,0,29,0.18,0.34,62.07,37.93,4.01,-4.64,2.19,1.56,2.08,18,11,120,0,120,0.2,0.36,61.67,38.33,7.39,-7.99,2.26,1.49,1.87,74,46,-0.02,-0.02,0.4,-0.4,0.981,0.9111,1.0,1.0,,False
DIA,8,28,0,28,0.28,0.55,57.14,42.86,4.44,-5.62,1.99,1.53,1.4,16,12,126,0,126,-0.03,0.12,50.79,49.21,5.29,-6.0,1.93,1.39,1.5,64,62,0.31,0.43,6.35,-6.35,0.3147,0.1908,0.5335,0.5335,,False
DIA,9,28,0,28,-0.94,-1.02,28.57,71.43,6.7,-6.45,2.49,1.73,2.01,8,20,119,0,119,-0.08,-0.14,47.06,52.94,6.7,-7.15,2.09,1.6,1.57,56,63,-0.86,-0.87,-18.49,18.49,0.012,0.026,0.028,0.028,,False
DIA,10,28,0,28,0.74,0.75,67.86,32.14,5.69,-5.08,2.48,2.08,2.07,19,9,124,0,124,0.66,0.75,66.13,33.87,12.53,-18.85,3.21,2.16,2.28,82,42,0.09,0.0,1.73,-1.73,0.8412,0.995,1.0,1.0,,False
DIA,11,28,0,28,0.7,0.79,60.71,39.29,9.63,-4.75,2.63,2.12,1.5,17,11,120,0,120,0.49,0.49,60.0,40.0,9.63,-6.56,2.35,1.87,1.58,72,48,0.21,0.31,0.71,-0.71,0.5884,0.3447,1.0,1.0,,False
DIA,12,28,0,28,0.9,0.67,82.14,17.86,3.8,-2.8,1.52,1.38,1.34,23,5,116,0,116,0.25,0.33,58.62,41.38,6.03,-7.18,1.89,1.44,1.43,68,48,0.64,0.34,23.52,-23.52,0.041,0.3077,0.007,0.007,,False
KODEX 200,1,24,0,24,0.01,-0.36,41.67,58.33,6.21,-5.68,3.04,2.73,1.94,10,14,100,0,100,0.23,0.03,51.0,48.0,6.58,-7.14,3.02,2.54,2.21,51,48,-0.23,-0.38,-9.33,10.33,0.6424,0.3616,0.3586,0.2557,,True
KODEX 200,2,24,0,24,0.69,0.56,70.83,29.17,6.12,-9.26,2.94,1.87,2.18,17,7,91,0,91,-0.01,0.27,57.14,42.86,11.53,-12.07,3.46,2.12,2.85,52,39,0.7,0.29,13.69,-13.69,0.2058,0.6014,0.1269,0.1269,,False
KODEX 200,3,24,0,24,1.16,1.68,75.0,25.0,10.41,-13.44,4.07,2.65,3.28,18,6,103,0,103,0.51,0.62,58.25,41.75,17.61,-13.78,3.85,2.68,2.53,60,43,0.66,1.05,16.75,-16.75,0.2987,0.0559,0.0889,0.0889,,False
KODEX 200,4,24,0,24,0.94,0.56,54.17,45.83,8.92,-4.9,3.14,2.94,1.43,13,11,101,0,101,0.32,-0.03,48.51,50.5,15.92,-8.8,3.48,2.76,2.03,49,51,0.62,0.58,5.65,-4.66,0.3367,0.3756,0.6543,0.6513,,False
KODEX 200,5,24,0,24,-0.16,0.17,54.17,45.83,3.8,-8.5,3.18,2.0,2.71,13,11,96,0,96,0.36,0.55,59.38,40.62,9.55,-9.43,2.98,2.13,2.21,57,39,-0.52,-0.37,-5.21,5.21,0.3287,0.4505,0.6274,0.6274,,True
KODEX 200,6,24,0,24,0.3,-0.58,45.83,54.17,18.62,-7.35,4.89,3.81,2.68,11,13,100,0,100,-0.03,-0.0,50.0,50.0,18.62,-10.16,3.49,2.37,2.43,50,50,0.33,-0.58,-4.17,4.17,0.6124,0.1908,0.8022,0.8022,,True
KODEX 200,7,24,0,24,0.42,0.83,70.83,29.17,3.73,-7.39,2.27,1.45,2.08,17,7,106,0,106,0.13,0.43,55.66,43.4,11.93,-10.23,2.85,2.01,2.28,59,46,0.29,0.41,15.17,-14.23,0.5874,0.2607,0.1099,0.1638,,False
KODEX 200,8,24,0,24,-1.02,-0.32,50.0,50.0,6.31,-13.01,4.13,2.14,4.18,12,12,102,0,102,-0.07,0.23,56.86,43.14,11.28,-13.01,3.42,2.12,2.95,58,44,-0.95,-0.55,-6.86,6.86,0.1169,0.2458,0.4805,0.4805,,False
KODEX 200,9,23,0,23,1.25,1.49,78.26,21.74,4.61,-3.32,2.28,2.15,1.98,18,5,93,0,93,0.29,0.43,56.99,41.94,7.51,-7.93,2.88,2.22,2.32,53,39,0.96,1.06,21.27,-20.2,0.0619,0.046,0.029,0.027,,False
KODEX 200,10,23,0,23,0.15,0.85,65.22,34.78,6.38,-8.32,3.3,1.95,3.23,15,8,97,0,97,0.13,0.39,56.7,43.3,9.06,-22.77,4.0,2.4,2.85,55,42,0.02,0.46,8.52,-8.52,0.9491,0.4336,0.4805,0.4805,,False
KODEX 200,11,24,0,24,-0.03,0.26,50.0,50.0,6.92,-8.2,3.45,2.48,2.54,12,12,102,0,102,0.36,0.28,53.92,45.1,15.0,-8.2,3.36,2.54,2.23,55,46,-0.39,-0.02,-3.92,4.9,0.5385,0.9391,0.8232,0.6494,,False
KODEX 200,12,24,0,24,0.05,0.45,62.5,37.5,3.23,-4.58,1.84,1.19,1.86,15,9,98,0,98,0.56,0.79,66.33,33.67,9.81,-5.01,2.47,1.94,2.14,65,33,-0.52,-0.34,-3.83,3.83,0.2418,0.4286,0.6254,0.6254,,False
KODEX 코스닥150,1,11,0,11,-0.67,-0.21,36.36,54.55,3.21,-6.34,2.6,1.47,2.2,4,6,46,0,46,0.94,0.16,52.17,45.65,29.09,-11.4,5.97,4.2,2.74,24,21,-1.61,-0.37,-15.81,8.89,0.2867,0.4855,0.3037,0.4935,,False
KODEX 코스닥150,2,11,0,11,0.12,-0.04,45.45,54.55,4.55,-4.03,3.07,2.88,2.18,5,6,43,0,43,-0.37,0.16,51.16,48.84,5.84,-12.99,3.9,2.47,3.34,22,21,0.49,-0.21,-5.71,5.71,0.6424,0.8482,0.7283,0.7283,,True
KODEX 코스닥150,3,11,0,11,0.14,0.46,54.55,45.45,4.73,-10.23,4.19,2.78,3.03,6,5,48,0,48,0.23,0.26,58.33,41.67,18.42,-15.75,5.12,2.99,3.62,28,20,-0.09,0.2,-3.79,3.79,0.9481,0.9411,1.0,1.0,,False
KODEX 코스닥150,4,11,0,11,1.0,0.37,54.55,45.45,6.16,-4.26,3.26,3.44,1.93,6,5,46,0,46,0.07,-0.66,47.83,52.17,6.98,-6.72,2.76,2.3,1.97,22,24,0.93,1.03,6.72,-6.72,0.1818,0.6793,0.7303,0.7303,,False
KODEX 코스닥150,5,11,0,11,0.2,-0.65,45.45,54.55,8.49,-5.74,3.87,3.51,2.55,5,6,45,0,45,0.25,0.73,57.78,42.22,8.76,-8.19,3.64,2.68,3.08,26,19,-0.04,-1.38,-12.32,12.32,0.9411,0.2108,0.4635,0.4635,,True
KODEX 코스닥150,6,11,0,11,-1.81,-2.27,18.18,81.82,3.36,-7.77,3.01,2.75,2.83,2,9,46,0,46,-0.67,-0.05,47.83,50.0,4.54,-13.54,3.43,1.87,3.13,22,23,-1.14,-2.23,-29.64,31.82,0.2198,0.0519,0.047,0.023,,False
KODEX 코스닥150,7,11,0,11,1.41,1.04,72.73,27.27,9.14,-4.14,3.78,3.02,2.88,8,3,48,0,48,0.32,0.48,52.08,47.92,28.29,-9.7,5.68,3.76,3.42,25,23,1.09,0.56,20.64,-20.64,0.4515,0.4505,0.1698,0.1698,,False
KODEX 코스닥150,8,11,0,11,-2.4,-2.99,18.18,72.73,6.21,-7.05,3.91,3.63,4.21,2,8,46,0,46,-0.34,0.06,52.17,45.65,9.2,-8.96,3.99,2.68,3.81,24,21,-2.06,-3.05,-33.99,27.08,0.0519,0.034,0.013,0.047,,False
KODEX 코스닥150,9,10,0,10,0.7,1.25,70.0,30.0,3.41,-3.16,2.49,2.12,2.64,7,3,40,0,40,-0.72,-0.34,42.5,55.0,5.59,-9.36,3.7,2.37,3.15,17,22,1.42,1.59,27.5,-25.0,0.1728,0.0679,0.0669,0.1389,,False
KODEX 코스닥150,10,11,0,11,-0.25,1.05,63.64,36.36,5.43,-8.04,4.06,2.22,4.57,7,4,44,0,44,-0.15,0.1,52.27,47.73,5.43,-8.04,3.47,2.53,3.08,23,21,-0.09,0.94,11.36,-11.36,0.959,0.4366,0.5155,0.5155,,True
KODEX 코스닥150,11,11,0,11,0.9,-1.09,45.45,54.55,13.26,-6.22,5.69,5.93,3.29,5,6,47,0,47,0.27,-0.47,46.81,53.19,13.26,-6.22,3.74,3.34,2.44,22,25,0.64,-0.62,-1.35,1.35,0.5185,0.5095,1.0,1.0,,True
KODEX 코스닥150,12,11,0,11,-0.11,-0.47,45.45,54.55,6.36,-5.22,3.41,2.86,2.59,5,6,46,0,46,0.75,1.19,54.35,45.65,11.84,-7.21,3.71,3.43,2.44,25,21,-0.86,-1.66,-8.89,8.89,0.3706,0.2428,0.4965,0.4965,,False
