종목,테스트,파라미터,시작연도,방향,시대 구간,신호,사건,베이스라인,구간,기준,신호 표본,베이스라인 표본,평균 초과(%p),중앙값 초과(%p),승률 초과(%p)
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,3,2,조건부 SMA200,3개월,익일시가,3,1226,13.15,18.36,-5.85
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,3,2,조건부 SMA200,6개월,종가,3,1214,31.2,41.99,22.9
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,3,2,조건부 SMA200,6개월,익일시가,3,1214,26.38,33.98,22.9
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,3,2,조건부 SMA200,1년,종가,3,1214,47.62,53.44,16.64
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,3,2,조건부 SMA200,1년,익일시가,3,1214,41.99,44.31,16.64
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,3,2,조건부 EMA200,1일,종가,3,1111,7.06,7.47,47.61
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,3,2,조건부 EMA200,1일,익일시가,3,1111,3.7,3.71,47.7
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,3,2,조건부 EMA200,1주,종가,3,1111,-0.17,-0.56,42.3
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,3,2,조건부 EMA200,1주,익일시가,3,1111,-3.3,-3.48,-55.54
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,3,2,조건부 EMA200,1개월,종가,3,1111,10.73,11.57,3.66
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,3,2,조건부 EMA200,1개월,익일시가,3,1111,7.08,5.61,3.93
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,3,2,조건부 EMA200,3개월,종가,3,1111,16.69,24.39,-7.05
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,3,2,조건부 EMA200,3개월,익일시가,3,1111,12.54,17.49,-6.87
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,3,2,조건부 EMA200,6개월,종가,3,1103,29.69,40.67,22.21
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,3,2,조건부 EMA200,6개월,익일시가,3,1103,24.88,32.43,22.21
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,3,2,조건부 EMA200,1년,종가,3,1103,45.65,52.1,16.14
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,3,2,조건부 EMA200,1년,익일시가,3,1103,40.04,42.85,16.14
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,단순 보유,1일,종가,3,5943,-3.01,-4.37,-55.04
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,단순 보유,1일,익일시가,3,5943,-3.04,-1.7,-53.1
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,단순 보유,1주,종가,3,5939,-1.74,-5.2,-25.5
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,단순 보유,1주,익일시가,3,5939,-1.76,-2.5,-24.4
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,단순 보유,1개월,종가,3,5923,-7.16,-9.65,-31.67
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,단순 보유,1개월,익일시가,3,5923,-7.01,-9.78,-31.85
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,단순 보유,3개월,종가,3,5881,-5.47,-11.88,-39.17
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,3,2,단순 보유,3개월,익일시가,3,5881,-5.18,-11.96,-39.04
