종목,이상치,표본,상관,베타,알파 연환산(%),R2,추적오차(%),합격
261250,포함,2364,0.6741,0.9156,2.22,0.4544,12.58,X
261250,제외,2362,0.9854,1.9634,-1.81,0.9711,2.9,X
