종목,청산 요일,만기월,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남
QQQ,금요일,11,27,0,27,0.98,0.9,70.37,29.63,9.19,-4.95,3.0,116,0,116,0.46,0.76,62.07,37.07,9.19,-13.62,3.44,0.52,0.14,8.3,-7.44,0.3876,0.7642,0.3686,0.4975,,False
QQQ,금요일,12,27,0,27,0.53,0.73,62.96,37.04,7.68,-5.28,2.56,113,0,113,0.1,0.5,56.64,43.36,7.68,-8.39,2.77,0.43,0.23,6.33,-6.33,0.3606,0.3616,0.5265,0.5265,,False
SPY,금요일,1,33,0,33,-0.01,0.56,57.58,42.42,2.48,-5.93,2.01,143,0,143,0.21,0.56,54.55,45.45,5.01,-5.93,2.21,-0.22,0.0,3.03,-3.03,0.5095,0.9351,0.8541,0.8541,,True
SPY,금요일,2,34,0,34,-0.55,-0.14,47.06,52.94,1.94,-11.16,2.43,137,0,137,-0.12,0.2,54.01,45.99,5.85,-11.16,2.22,-0.43,-0.34,-6.96,6.96,0.1878,0.3427,0.4196,0.4196,,False
SPY,금요일,3,34,0,34,0.31,-0.35,35.29,64.71,10.76,-5.89,2.94,142,0,142,0.16,0.2,51.41,48.59,10.76,-15.05,2.96,0.15,-0.55,-16.11,16.11,0.7772,0.1359,0.038,0.038,,True
SPY,금요일,4,34,0,34,0.58,0.78,70.59,29.41,4.6,-4.86,1.73,120,0,120,0.32,0.5,56.67,43.33,12.09,-10.19,2.51,0.26,0.27,13.92,-13.92,0.4625,0.1968,0.0709,0.0709,,False
SPY,금요일,5,34,0,34,0.39,0.34,64.71,35.29,6.58,-3.52,1.9,151,0,151,0.38,0.3,56.29,43.71,7.13,-4.59,2.09,0.01,0.04,8.41,-8.41,0.992,0.959,0.3147,0.3147,,False
SPY,금요일,6,34,0,34,-0.3,-0.33,32.35,67.65,6.62,-3.95,2.13,143,0,143,-0.0,-0.12,45.45,53.85,6.62,-6.14,2.1,-0.3,-0.21,-13.1,13.8,0.3606,0.2967,0.1149,0.0839,,False
SPY,금요일,7,34,0,34,0.23,0.29,55.88,44.12,4.18,-5.47,2.22,141,0,141,0.14,0.48,59.57,40.43,7.01,-7.77,2.22,0.09,-0.19,-3.69,3.69,0.8212,0.6623,0.6743,0.6743,,False
SPY,금요일,8,33,0,33,0.57,0.76,72.73,27.27,4.73,-4.78,1.85,148,0,148,0.08,0.34,59.46,39.86,5.18,-5.53,1.99,0.49,0.42,13.27,-12.59,0.1319,0.1389,0.1239,0.1189,,False
SPY,금요일,9,33,0,33,-0.88,-0.59,27.27,72.73,7.36,-6.57,2.37,141,0,141,-0.06,0.03,50.35,49.65,7.36,-8.7,2.15,-0.82,-0.62,-23.08,23.08,0.017,0.0629,0.003,0.003,,False
SPY,금요일,10,33,0,33,0.41,0.55,54.55,45.45,4.22,-6.62,2.34,146,0,146,0.52,0.56,64.38,35.62,11.25,-19.79,3.14,-0.11,-0.01,-9.84,9.84,0.7782,0.967,0.2138,0.2138,,False
SPY,금요일,11,33,0,33,0.74,0.42,66.67,33.33,13.29,-4.62,2.93,141,0,141,0.49,0.47,66.67,33.33,13.29,-8.2,2.45,0.25,-0.05,0.0,0.0,0.4825,0.7562,1.0,1.0,,False
SPY,금요일,12,33,0,33,0.71,0.68,69.7,30.3,3.95,-2.9,1.53,138,0,138,0.14,0.22,54.35,45.65,6.65,-7.59,1.93,0.57,0.47,15.35,-15.35,0.044,0.1139,0.05,0.05,,False
DIA,금요일,1,28,0,28,-0.23,0.59,57.14,42.86,2.48,-5.47,2.16,122,0,122,0.02,0.25,52.46,47.54,4.29,-5.47,2.12,-0.25,0.34,4.68,-4.68,0.4905,0.4995,0.6843,0.6843,,True
DIA,금요일,2,29,0,29,-0.83,-0.13,48.28,51.72,1.58,-12.14,2.68,117,0,117,-0.21,0.12,54.7,45.3,5.39,-12.14,2.35,-0.63,-0.25,-6.42,6.42,0.1049,0.2737,0.5185,0.5185,,False
DIA,금요일,3,29,0,29,0.35,-0.29,48.28,51.72,12.74,-5.61,3.46,121,0,121,0.23,0.26,56.2,43.8,12.74,-17.32,3.36,0.12,-0.54,-7.92,7.92,0.8432,0.1618,0.4176,0.4176,,True
DIA,금요일,4,29,0,29,0.33,0.66,58.62,41.38,2.47,-3.66,1.43,102,0,102,0.4,0.4,57.84,42.16,12.6,-7.57,2.33,-0.07,0.26,0.78,-0.78,0.8571,0.4496,1.0,1.0,,False
DIA,금요일,5,29,0,29,-0.03,-0.12,48.28,51.72,6.29,-3.85,2.17,129,0,129,0.13,-0.15,48.06,51.94,6.78,-4.38,2.1,-0.16,0.03,0.21,-0.21,0.6184,1.0,1.0,1.0,,False
