종목,테스트,파라미터,시작연도,방향,시대 구간,신호,사건,구간,표본,치우친 쪽,적중률(%),방향 기대값(%),합산 수익률(%),1차 판정
QQQ,테스트 A(역대급 등락),K=10,2011,폭등,전체,1,1,1개월,1,위,100.0,4.71,4.71,후보
QQQ,테스트 A(역대급 등락),K=10,2011,폭락,전체,2,1,1일,2,위,100.0,8.03,16.05,후보
QQQ,테스트 A(역대급 등락),K=10,2011,폭락,전체,2,1,2일,2,위,50.0,-0.11,-0.21,제외
QQQ,테스트 A(역대급 등락),K=10,2011,폭락,전체,2,1,3일,2,위,100.0,3.83,7.66,후보
QQQ,테스트 A(역대급 등락),K=10,2011,폭락,전체,2,1,1주,2,위,100.0,0.44,0.88,후보
QQQ,테스트 A(역대급 등락),K=10,2011,폭락,전체,2,1,2주,2,위,100.0,10.83,21.65,후보
QQQ,테스트 A(역대급 등락),K=10,2011,폭락,전체,2,1,1개월,2,위,100.0,19.1,38.2,후보
QQQ,테스트 A(역대급 등락),K=10,2011,역방향 전체,전체,3,2,1일,3,위,100.0,6.77,20.31,후보
QQQ,테스트 A(역대급 등락),K=10,2011,역방향 전체,전체,3,2,2일,3,위,66.67,0.76,2.28,후보
QQQ,테스트 A(역대급 등락),K=10,2011,역방향 전체,전체,3,2,3일,3,위,100.0,3.16,9.48,후보
QQQ,테스트 A(역대급 등락),K=10,2011,역방향 전체,전체,3,2,1주,3,위,100.0,1.85,5.56,후보
QQQ,테스트 A(역대급 등락),K=10,2011,역방향 전체,전체,3,2,2주,3,위,66.67,7.12,21.36,후보
QQQ,테스트 A(역대급 등락),K=10,2011,역방향 전체,전체,3,2,1개월,3,위,66.67,11.16,33.49,후보
QQQ,테스트 A(역대급 등락),K=20,2011,폭등,전체,5,3,1일,5,아래,80.0,3.63,18.17,후보
QQQ,테스트 A(역대급 등락),K=20,2011,폭등,전체,5,3,2일,5,아래,60.0,0.96,4.81,후보
QQQ,테스트 A(역대급 등락),K=20,2011,폭등,전체,5,3,3일,5,아래,60.0,2.61,13.05,후보
QQQ,테스트 A(역대급 등락),K=20,2011,폭등,전체,5,3,1주,5,위,60.0,-2.14,-10.7,제외
QQQ,테스트 A(역대급 등락),K=20,2011,폭등,전체,5,3,2주,5,위,80.0,1.92,9.58,후보
QQQ,테스트 A(역대급 등락),K=20,2011,폭등,전체,5,3,1개월,5,위,100.0,9.51,47.57,후보
QQQ,테스트 A(역대급 등락),K=20,2011,폭락,전체,3,1,1일,3,위,100.0,7.17,21.5,후보
QQQ,테스트 A(역대급 등락),K=20,2011,폭락,전체,3,1,2일,3,위,66.67,0.21,0.64,후보
QQQ,테스트 A(역대급 등락),K=20,2011,폭락,전체,3,1,3일,3,위,66.67,-0.25,-0.74,제외
QQQ,테스트 A(역대급 등락),K=20,2011,폭락,전체,3,1,1주,3,위,66.67,-3.89,-11.66,제외
QQQ,테스트 A(역대급 등락),K=20,2011,폭락,전체,3,1,2주,3,위,66.67,3.24,9.72,후보
QQQ,테스트 A(역대급 등락),K=20,2011,폭락,전체,3,1,1개월,3,위,100.0,13.22,39.66,후보
QQQ,테스트 A(역대급 등락),K=20,2011,역방향 전체,전체,8,3,1일,8,위,87.5,4.96,39.67,후보
QQQ,테스트 A(역대급 등락),K=20,2011,역방향 전체,전체,8,3,2일,8,위,62.5,0.68,5.46,후보
QQQ,테스트 A(역대급 등락),K=20,2011,역방향 전체,전체,8,3,3일,8,위,62.5,1.54,12.31,후보
