종목,테스트,파라미터,시작연도,방향,시대 구간,신호,사건,베이스라인,구간,신호 표본,베이스라인 표본,평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p)
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,단순 보유,1개월,4,5949,4.16,5.25,-15.0,15.1
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 SMA200,1일,4,1226,6.0,6.39,47.72,-47.47
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 SMA200,2일,4,1226,1.62,2.83,21.66,-21.25
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 SMA200,3일,4,1226,3.07,3.43,20.19,-20.11
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 SMA200,1주,4,1226,-2.15,-0.56,17.5,-17.33
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 SMA200,2주,4,1226,3.72,4.49,13.25,-13.09
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 SMA200,1개월,4,1226,3.71,4.15,-14.27,14.27
QQQ,테스트 A(역대급 등락),K=10,2003,역방향 전체,전체,7,3,단순 보유,1일,7,11938,4.74,4.33,50.24,-49.76
QQQ,테스트 A(역대급 등락),K=10,2003,역방향 전체,전체,7,3,단순 보유,2일,7,11936,2.78,2.49,21.65,-21.21
QQQ,테스트 A(역대급 등락),K=10,2003,역방향 전체,전체,7,3,단순 보유,3일,7,11934,2.87,2.72,21.5,-21.36
QQQ,테스트 A(역대급 등락),K=10,2003,역방향 전체,전체,7,3,단순 보유,1주,7,11930,-0.38,0.19,21.53,-21.33
QQQ,테스트 A(역대급 등락),K=10,2003,역방향 전체,전체,7,3,단순 보유,2주,7,11920,5.99,5.52,21.5,-21.35
QQQ,테스트 A(역대급 등락),K=10,2003,역방향 전체,전체,7,3,단순 보유,1개월,7,11898,5.64,7.88,7.19,-7.09
QQQ,테스트 A(역대급 등락),K=10,2003,역방향 전체,전체,7,3,조건부 SMA200,1일,7,2452,4.74,4.33,50.12,-49.88
QQQ,테스트 A(역대급 등락),K=10,2003,역방향 전체,전체,7,3,조건부 SMA200,2일,7,2452,2.78,2.49,21.63,-21.22
QQQ,테스트 A(역대급 등락),K=10,2003,역방향 전체,전체,7,3,조건부 SMA200,3일,7,2452,2.87,2.72,21.47,-21.39
QQQ,테스트 A(역대급 등락),K=10,2003,역방향 전체,전체,7,3,조건부 SMA200,1주,7,2452,-0.38,0.19,21.51,-21.35
QQQ,테스트 A(역대급 등락),K=10,2003,역방향 전체,전체,7,3,조건부 SMA200,2주,7,2452,5.99,5.52,21.51,-21.35
QQQ,테스트 A(역대급 등락),K=10,2003,역방향 전체,전체,7,3,조건부 SMA200,1개월,7,2452,5.64,7.88,7.14,-7.14
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,단순 보유,1일,7,5969,-3.32,-3.16,-40.75,41.23
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,단순 보유,2일,7,5968,-2.22,-2.68,-13.78,14.21
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,단순 보유,3일,7,5967,-2.76,-2.17,-14.84,14.98
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,단순 보유,1주,7,5965,-1.79,0.21,-1.63,1.83
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,단순 보유,2주,7,5960,-2.67,-0.63,-4.22,4.37
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,단순 보유,1개월,7,5949,2.29,2.94,6.43,-6.33
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 SMA200,1일,7,1226,-3.34,-3.15,-38.0,38.24
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 SMA200,2일,7,1226,-2.26,-2.68,-10.49,10.89
