종목,파라미터,시작연도,방향,손절선(%),시기,신호,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),손익분기 대비(%p),이길 때(%),질 때(%),질 때 표본,최고(%),최악(%),보유 중 최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,시기 시작일,시기 종료일,1차 판정,사건
QQQ,K=10,2005,역방향 전체,-3.0,최근 10년,3,20.31,6.77,100.0,,,,6.77,,0,8.47,4.25,0.28,2.22,0,0,1.0,아니오,2020-03-12,2025-04-09,판정 안 함,2
QQQ,K=10,2005,역방향 전체,-3.0,최근 5년,1,4.25,4.25,100.0,,,,4.25,,0,4.25,4.25,2.23,,0,0,1.0,아니오,2025-04-09,2025-04-09,판정 안 함,1
QQQ,K=10,2005,역방향 전체,-4.0,전체,7,23.77,3.4,85.71,1.157,46.36,39.35,4.63,-4.0,1,8.47,-4.0,-4.0,4.28,0,1,1.0,아니오,2008-09-29,2025-04-09,후보,3
QQQ,K=10,2005,역방향 전체,-4.0,앞 절반,3,3.21,1.07,66.67,0.901,52.6,14.07,3.6,-4.0,1,4.33,-4.0,-4.0,4.45,0,1,1.0,아니오,2008-09-29,2008-10-15,판정 안 함,1
QQQ,K=10,2005,역방향 전체,-4.0,뒤 절반,4,20.56,5.14,100.0,,,,5.14,,0,8.47,0.25,-3.83,3.73,0,0,1.0,아니오,2008-10-28,2025-04-09,판정 안 함,3
QQQ,K=10,2005,역방향 전체,-4.0,최근 10년,3,20.31,6.77,100.0,,,,6.77,,0,8.47,4.25,0.28,2.22,0,0,1.0,아니오,2020-03-12,2025-04-09,판정 안 함,2
QQQ,K=10,2005,역방향 전체,-4.0,최근 5년,1,4.25,4.25,100.0,,,,4.25,,0,4.25,4.25,2.23,,0,0,1.0,아니오,2025-04-09,2025-04-09,판정 안 함,1
QQQ,K=10,2005,역방향 전체,-5.0,전체,7,33.19,4.74,100.0,,,,4.74,,0,8.47,0.25,-4.41,2.78,0,0,1.0,아니오,2008-09-29,2025-04-09,후보,3
QQQ,K=10,2005,역방향 전체,-5.0,앞 절반,3,12.63,4.21,100.0,,,,4.21,,0,5.42,2.88,-4.41,1.28,0,0,1.0,아니오,2008-09-29,2008-10-15,판정 안 함,1
QQQ,K=10,2005,역방향 전체,-5.0,뒤 절반,4,20.56,5.14,100.0,,,,5.14,,0,8.47,0.25,-3.83,3.73,0,0,1.0,아니오,2008-10-28,2025-04-09,판정 안 함,3
QQQ,K=10,2005,역방향 전체,-5.0,최근 10년,3,20.31,6.77,100.0,,,,6.77,,0,8.47,4.25,0.28,2.22,0,0,1.0,아니오,2020-03-12,2025-04-09,판정 안 함,2
QQQ,K=10,2005,역방향 전체,-5.0,최근 5년,1,4.25,4.25,100.0,,,,4.25,,0,4.25,4.25,2.23,,0,0,1.0,아니오,2025-04-09,2025-04-09,판정 안 함,1
QQQ,K=10,2005,역방향 전체,-6.0,전체,7,33.19,4.74,100.0,,,,4.74,,0,8.47,0.25,-4.41,2.78,0,0,1.0,아니오,2008-09-29,2025-04-09,후보,3
QQQ,K=10,2005,역방향 전체,-6.0,앞 절반,3,12.63,4.21,100.0,,,,4.21,,0,5.42,2.88,-4.41,1.28,0,0,1.0,아니오,2008-09-29,2008-10-15,판정 안 함,1
QQQ,K=10,2005,역방향 전체,-6.0,뒤 절반,4,20.56,5.14,100.0,,,,5.14,,0,8.47,0.25,-3.83,3.73,0,0,1.0,아니오,2008-10-28,2025-04-09,판정 안 함,3
QQQ,K=10,2005,역방향 전체,-6.0,최근 10년,3,20.31,6.77,100.0,,,,6.77,,0,8.47,4.25,0.28,2.22,0,0,1.0,아니오,2020-03-12,2025-04-09,판정 안 함,2
QQQ,K=10,2005,역방향 전체,-6.0,최근 5년,1,4.25,4.25,100.0,,,,4.25,,0,4.25,4.25,2.23,,0,0,1.0,아니오,2025-04-09,2025-04-09,판정 안 함,1
QQQ,K=10,2005,역방향 전체,-7.0,전체,7,33.19,4.74,100.0,,,,4.74,,0,8.47,0.25,-4.41,2.78,0,0,1.0,아니오,2008-09-29,2025-04-09,후보,3
QQQ,K=10,2005,역방향 전체,-7.0,앞 절반,3,12.63,4.21,100.0,,,,4.21,,0,5.42,2.88,-4.41,1.28,0,0,1.0,아니오,2008-09-29,2008-10-15,판정 안 함,1
QQQ,K=10,2005,역방향 전체,-7.0,뒤 절반,4,20.56,5.14,100.0,,,,5.14,,0,8.47,0.25,-3.83,3.73,0,0,1.0,아니오,2008-10-28,2025-04-09,판정 안 함,3
QQQ,K=10,2005,역방향 전체,-7.0,최근 10년,3,20.31,6.77,100.0,,,,6.77,,0,8.47,4.25,0.28,2.22,0,0,1.0,아니오,2020-03-12,2025-04-09,판정 안 함,2
QQQ,K=10,2005,역방향 전체,-7.0,최근 5년,1,4.25,4.25,100.0,,,,4.25,,0,4.25,4.25,2.23,,0,0,1.0,아니오,2025-04-09,2025-04-09,판정 안 함,1
QQQ,K=10,2005,역방향 전체,-8.0,전체,7,33.19,4.74,100.0,,,,4.74,,0,8.47,0.25,-4.41,2.78,0,0,1.0,아니오,2008-09-29,2025-04-09,후보,3
QQQ,K=10,2005,역방향 전체,-8.0,앞 절반,3,12.63,4.21,100.0,,,,4.21,,0,5.42,2.88,-4.41,1.28,0,0,1.0,아니오,2008-09-29,2008-10-15,판정 안 함,1
QQQ,K=10,2005,역방향 전체,-8.0,뒤 절반,4,20.56,5.14,100.0,,,,5.14,,0,8.47,0.25,-3.83,3.73,0,0,1.0,아니오,2008-10-28,2025-04-09,판정 안 함,3
QQQ,K=10,2005,역방향 전체,-8.0,최근 10년,3,20.31,6.77,100.0,,,,6.77,,0,8.47,4.25,0.28,2.22,0,0,1.0,아니오,2020-03-12,2025-04-09,판정 안 함,2
QQQ,K=10,2005,역방향 전체,-8.0,최근 5년,1,4.25,4.25,100.0,,,,4.25,,0,4.25,4.25,2.23,,0,0,1.0,아니오,2025-04-09,2025-04-09,판정 안 함,1
QQQ,K=10,2005,역방향 전체,-9.0,전체,7,33.19,4.74,100.0,,,,4.74,,0,8.47,0.25,-4.41,2.78,0,0,1.0,아니오,2008-09-29,2025-04-09,후보,3
QQQ,K=10,2005,역방향 전체,-9.0,앞 절반,3,12.63,4.21,100.0,,,,4.21,,0,5.42,2.88,-4.41,1.28,0,0,1.0,아니오,2008-09-29,2008-10-15,판정 안 함,1
QQQ,K=10,2005,역방향 전체,-9.0,뒤 절반,4,20.56,5.14,100.0,,,,5.14,,0,8.47,0.25,-3.83,3.73,0,0,1.0,아니오,2008-10-28,2025-04-09,판정 안 함,3
QQQ,K=10,2005,역방향 전체,-9.0,최근 10년,3,20.31,6.77,100.0,,,,6.77,,0,8.47,4.25,0.28,2.22,0,0,1.0,아니오,2020-03-12,2025-04-09,판정 안 함,2
QQQ,K=10,2005,역방향 전체,-9.0,최근 5년,1,4.25,4.25,100.0,,,,4.25,,0,4.25,4.25,2.23,,0,0,1.0,아니오,2025-04-09,2025-04-09,판정 안 함,1
QQQ,K=10,2005,역방향 전체,-10.0,전체,7,33.19,4.74,100.0,,,,4.74,,0,8.47,0.25,-4.41,2.78,0,0,1.0,아니오,2008-09-29,2025-04-09,후보,3
QQQ,K=10,2005,역방향 전체,-10.0,앞 절반,3,12.63,4.21,100.0,,,,4.21,,0,5.42,2.88,-4.41,1.28,0,0,1.0,아니오,2008-09-29,2008-10-15,판정 안 함,1
QQQ,K=10,2005,역방향 전체,-10.0,뒤 절반,4,20.56,5.14,100.0,,,,5.14,,0,8.47,0.25,-3.83,3.73,0,0,1.0,아니오,2008-10-28,2025-04-09,판정 안 함,3
QQQ,K=10,2005,역방향 전체,-10.0,최근 10년,3,20.31,6.77,100.0,,,,6.77,,0,8.47,4.25,0.28,2.22,0,0,1.0,아니오,2020-03-12,2025-04-09,판정 안 함,2
QQQ,K=10,2005,역방향 전체,-10.0,최근 5년,1,4.25,4.25,100.0,,,,4.25,,0,4.25,4.25,2.23,,0,0,1.0,아니오,2025-04-09,2025-04-09,판정 안 함,1
QQQ,K=20,2005,역방향 전체,무손절,전체,14,53.33,3.81,85.71,2.181,31.44,54.27,4.81,-2.21,2,11.98,-3.46,-5.15,4.0,0,0,1.14,예,2008-09-29,2025-04-09,후보,5
QQQ,K=20,2005,역방향 전체,무손절,앞 절반,7,18.21,2.6,85.71,1.044,48.93,36.78,3.61,-3.46,1,5.45,-3.46,-5.15,3.21,0,0,1.14,아니오,2008-09-29,2020-03-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,무손절,뒤 절반,7,35.12,5.02,85.71,6.319,13.66,72.05,6.01,-0.95,1,11.98,-0.95,-3.19,4.57,0,0,1.14,아니오,2020-03-12,2025-04-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,무손절,최근 10년,8,40.56,5.07,87.5,6.234,13.82,73.68,5.93,-0.95,1,11.98,-0.95,-3.19,4.23,0,0,1.12,아니오,2020-03-09,2025-04-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,무손절,최근 5년,2,3.3,1.65,50.0,4.471,18.28,31.72,4.25,-0.95,1,4.25,-0.95,-2.28,3.68,0,0,1.5,아니오,2022-11-10,2025-04-09,판정 안 함,2
QQQ,K=20,2005,역방향 전체,-2.0,전체,14,33.95,2.43,57.14,2.702,27.02,30.12,5.87,-2.17,6,11.98,-2.9,-2.9,4.77,2,4,1.0,예,2008-09-29,2025-04-09,후보,5
QQQ,K=20,2005,역방향 전체,-2.0,앞 절반,7,2.62,0.37,42.86,1.72,36.77,6.09,3.89,-2.26,4,5.45,-2.9,-2.9,3.4,2,2,1.0,아니오,2008-09-29,2020-03-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,-2.0,뒤 절반,7,31.33,4.48,71.43,3.533,22.06,49.37,7.07,-2.0,2,11.98,-2.0,-2.0,5.29,0,2,1.0,아니오,2020-03-12,2025-04-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,-2.0,최근 10년,8,36.77,4.6,75.0,3.398,22.74,52.26,6.8,-2.0,2,11.98,-2.0,-2.0,4.91,0,2,1.0,아니오,2020-03-09,2025-04-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,-2.0,최근 5년,2,2.25,1.13,50.0,2.127,31.98,18.02,4.25,-2.0,1,4.25,-2.0,-2.0,4.42,0,1,1.0,아니오,2022-11-10,2025-04-09,판정 안 함,2
QQQ,K=20,2005,역방향 전체,-3.0,전체,14,38.37,2.74,64.29,2.202,31.23,33.06,5.7,-2.59,5,11.98,-3.0,-3.0,4.8,0,4,1.14,예,2008-09-29,2025-04-09,후보,5
QQQ,K=20,2005,역방향 전체,-3.0,앞 절반,7,7.0,1.0,57.14,1.333,42.86,14.28,4.0,-3.0,3,5.45,-3.0,-3.0,3.83,0,3,1.14,아니오,2008-09-29,2020-03-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,-3.0,뒤 절반,7,31.38,4.48,71.43,3.576,21.85,49.58,7.07,-1.98,2,11.98,-3.0,-3.0,5.31,0,1,1.14,아니오,2020-03-12,2025-04-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,-3.0,최근 10년,8,36.82,4.6,75.0,3.44,22.52,52.48,6.8,-1.98,2,11.98,-3.0,-3.0,4.93,0,1,1.12,아니오,2020-03-09,2025-04-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,-3.0,최근 5년,2,3.3,1.65,50.0,4.471,18.28,31.72,4.25,-0.95,1,4.25,-0.95,-2.28,3.68,0,0,1.5,아니오,2022-11-10,2025-04-09,판정 안 함,2
QQQ,K=20,2005,역방향 전체,-4.0,전체,14,43.36,3.1,78.57,1.594,38.55,40.02,4.76,-2.98,3,11.98,-4.0,-4.0,4.53,0,2,1.14,예,2008-09-29,2025-04-09,후보,5
QQQ,K=20,2005,역방향 전체,-4.0,앞 절반,7,8.25,1.18,71.43,0.812,55.18,16.25,3.25,-4.0,2,5.45,-4.0,-4.0,3.88,0,2,1.14,아니오,2008-09-29,2020-03-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,-4.0,뒤 절반,7,35.12,5.02,85.71,6.319,13.66,72.05,6.01,-0.95,1,11.98,-0.95,-3.19,4.57,0,0,1.14,아니오,2020-03-12,2025-04-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,-4.0,최근 10년,8,40.56,5.07,87.5,6.234,13.82,73.68,5.93,-0.95,1,11.98,-0.95,-3.19,4.23,0,0,1.12,아니오,2020-03-09,2025-04-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,-4.0,최근 5년,2,3.3,1.65,50.0,4.471,18.28,31.72,4.25,-0.95,1,4.25,-0.95,-2.28,3.68,0,0,1.5,아니오,2022-11-10,2025-04-09,판정 안 함,2
QQQ,K=20,2005,역방향 전체,-5.0,전체,14,51.79,3.7,85.71,1.617,38.21,47.5,4.81,-2.98,2,11.98,-5.0,-5.0,4.23,0,1,1.14,예,2008-09-29,2025-04-09,후보,5
QQQ,K=20,2005,역방향 전체,-5.0,앞 절반,7,16.67,2.38,85.71,0.722,58.06,27.65,3.61,-5.0,1,5.45,-5.0,-5.0,3.71,0,1,1.14,아니오,2008-09-29,2020-03-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,-5.0,뒤 절반,7,35.12,5.02,85.71,6.319,13.66,72.05,6.01,-0.95,1,11.98,-0.95,-3.19,4.57,0,0,1.14,아니오,2020-03-12,2025-04-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,-5.0,최근 10년,8,40.56,5.07,87.5,6.234,13.82,73.68,5.93,-0.95,1,11.98,-0.95,-3.19,4.23,0,0,1.12,아니오,2020-03-09,2025-04-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,-5.0,최근 5년,2,3.3,1.65,50.0,4.471,18.28,31.72,4.25,-0.95,1,4.25,-0.95,-2.28,3.68,0,0,1.5,아니오,2022-11-10,2025-04-09,판정 안 함,2
QQQ,K=20,2005,역방향 전체,-6.0,전체,14,53.33,3.81,85.71,2.181,31.44,54.27,4.81,-2.21,2,11.98,-3.46,-5.15,4.0,0,0,1.14,예,2008-09-29,2025-04-09,후보,5
QQQ,K=20,2005,역방향 전체,-6.0,앞 절반,7,18.21,2.6,85.71,1.044,48.93,36.78,3.61,-3.46,1,5.45,-3.46,-5.15,3.21,0,0,1.14,아니오,2008-09-29,2020-03-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,-6.0,뒤 절반,7,35.12,5.02,85.71,6.319,13.66,72.05,6.01,-0.95,1,11.98,-0.95,-3.19,4.57,0,0,1.14,아니오,2020-03-12,2025-04-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,-6.0,최근 10년,8,40.56,5.07,87.5,6.234,13.82,73.68,5.93,-0.95,1,11.98,-0.95,-3.19,4.23,0,0,1.12,아니오,2020-03-09,2025-04-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,-6.0,최근 5년,2,3.3,1.65,50.0,4.471,18.28,31.72,4.25,-0.95,1,4.25,-0.95,-2.28,3.68,0,0,1.5,아니오,2022-11-10,2025-04-09,판정 안 함,2
QQQ,K=20,2005,역방향 전체,-7.0,전체,14,53.33,3.81,85.71,2.181,31.44,54.27,4.81,-2.21,2,11.98,-3.46,-5.15,4.0,0,0,1.14,예,2008-09-29,2025-04-09,후보,5
QQQ,K=20,2005,역방향 전체,-7.0,앞 절반,7,18.21,2.6,85.71,1.044,48.93,36.78,3.61,-3.46,1,5.45,-3.46,-5.15,3.21,0,0,1.14,아니오,2008-09-29,2020-03-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,-7.0,뒤 절반,7,35.12,5.02,85.71,6.319,13.66,72.05,6.01,-0.95,1,11.98,-0.95,-3.19,4.57,0,0,1.14,아니오,2020-03-12,2025-04-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,-7.0,최근 10년,8,40.56,5.07,87.5,6.234,13.82,73.68,5.93,-0.95,1,11.98,-0.95,-3.19,4.23,0,0,1.12,아니오,2020-03-09,2025-04-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,-7.0,최근 5년,2,3.3,1.65,50.0,4.471,18.28,31.72,4.25,-0.95,1,4.25,-0.95,-2.28,3.68,0,0,1.5,아니오,2022-11-10,2025-04-09,판정 안 함,2
QQQ,K=20,2005,역방향 전체,-8.0,전체,14,53.33,3.81,85.71,2.181,31.44,54.27,4.81,-2.21,2,11.98,-3.46,-5.15,4.0,0,0,1.14,예,2008-09-29,2025-04-09,후보,5
QQQ,K=20,2005,역방향 전체,-8.0,앞 절반,7,18.21,2.6,85.71,1.044,48.93,36.78,3.61,-3.46,1,5.45,-3.46,-5.15,3.21,0,0,1.14,아니오,2008-09-29,2020-03-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,-8.0,뒤 절반,7,35.12,5.02,85.71,6.319,13.66,72.05,6.01,-0.95,1,11.98,-0.95,-3.19,4.57,0,0,1.14,아니오,2020-03-12,2025-04-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,-8.0,최근 10년,8,40.56,5.07,87.5,6.234,13.82,73.68,5.93,-0.95,1,11.98,-0.95,-3.19,4.23,0,0,1.12,아니오,2020-03-09,2025-04-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,-8.0,최근 5년,2,3.3,1.65,50.0,4.471,18.28,31.72,4.25,-0.95,1,4.25,-0.95,-2.28,3.68,0,0,1.5,아니오,2022-11-10,2025-04-09,판정 안 함,2
QQQ,K=20,2005,역방향 전체,-9.0,전체,14,53.33,3.81,85.71,2.181,31.44,54.27,4.81,-2.21,2,11.98,-3.46,-5.15,4.0,0,0,1.14,예,2008-09-29,2025-04-09,후보,5
QQQ,K=20,2005,역방향 전체,-9.0,앞 절반,7,18.21,2.6,85.71,1.044,48.93,36.78,3.61,-3.46,1,5.45,-3.46,-5.15,3.21,0,0,1.14,아니오,2008-09-29,2020-03-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,-9.0,뒤 절반,7,35.12,5.02,85.71,6.319,13.66,72.05,6.01,-0.95,1,11.98,-0.95,-3.19,4.57,0,0,1.14,아니오,2020-03-12,2025-04-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,-9.0,최근 10년,8,40.56,5.07,87.5,6.234,13.82,73.68,5.93,-0.95,1,11.98,-0.95,-3.19,4.23,0,0,1.12,아니오,2020-03-09,2025-04-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,-9.0,최근 5년,2,3.3,1.65,50.0,4.471,18.28,31.72,4.25,-0.95,1,4.25,-0.95,-2.28,3.68,0,0,1.5,아니오,2022-11-10,2025-04-09,판정 안 함,2
QQQ,K=20,2005,역방향 전체,-10.0,전체,14,53.33,3.81,85.71,2.181,31.44,54.27,4.81,-2.21,2,11.98,-3.46,-5.15,4.0,0,0,1.14,예,2008-09-29,2025-04-09,후보,5
QQQ,K=20,2005,역방향 전체,-10.0,앞 절반,7,18.21,2.6,85.71,1.044,48.93,36.78,3.61,-3.46,1,5.45,-3.46,-5.15,3.21,0,0,1.14,아니오,2008-09-29,2020-03-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,-10.0,뒤 절반,7,35.12,5.02,85.71,6.319,13.66,72.05,6.01,-0.95,1,11.98,-0.95,-3.19,4.57,0,0,1.14,아니오,2020-03-12,2025-04-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,-10.0,최근 10년,8,40.56,5.07,87.5,6.234,13.82,73.68,5.93,-0.95,1,11.98,-0.95,-3.19,4.23,0,0,1.12,아니오,2020-03-09,2025-04-09,판정 안 함,3
QQQ,K=20,2005,역방향 전체,-10.0,최근 5년,2,3.3,1.65,50.0,4.471,18.28,31.72,4.25,-0.95,1,4.25,-0.95,-2.28,3.68,0,0,1.5,아니오,2022-11-10,2025-04-09,판정 안 함,2
