종목,파라미터,시작연도,방향,손절선(%),시기,신호,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),손익분기 대비(%p),이길 때(%),질 때(%),질 때 표본,최고(%),최악(%),보유 중 최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,시기 시작일,시기 종료일,1차 판정,사건
KODEX 200,K=10,2005,역방향 전체,-6.0,전체,51,76.47,1.5,80.39,0.687,59.26,21.13,2.89,-4.2,10,10.11,-6.0,-6.0,3.87,0,6,1.22,예,2005-11-23,2026-08-03,후보,12
KODEX 200,K=10,2005,역방향 전체,-6.0,앞 절반,25,16.16,0.65,80.0,0.465,68.27,11.73,1.75,-3.76,5,6.19,-6.0,-6.0,2.92,0,3,1.28,예,2005-11-23,2011-08-19,판정 안 함,6
KODEX 200,K=10,2005,역방향 전체,-6.0,뒤 절반,26,60.32,2.32,80.77,0.856,53.88,26.89,3.98,-4.65,5,10.11,-6.0,-6.0,4.51,0,3,1.15,예,2011-09-27,2026-08-03,판정 안 함,6
KODEX 200,K=10,2005,역방향 전체,-6.0,최근 10년,25,59.24,2.37,80.0,0.887,52.99,27.01,4.12,-4.65,5,10.11,-6.0,-6.0,4.59,0,3,1.16,예,2020-03-19,2026-08-03,판정 안 함,5
KODEX 200,K=10,2005,역방향 전체,-6.0,최근 5년,20,49.46,2.47,80.0,0.967,50.84,29.16,4.17,-4.31,4,10.11,-6.0,-6.0,4.54,0,2,1.15,예,2024-08-05,2026-08-03,판정 안 함,3
KODEX 200,K=10,2005,역방향 전체,-7.0,전체,51,70.47,1.38,80.39,0.602,62.44,17.95,2.89,-4.8,10,10.11,-7.0,-7.0,4.11,0,6,1.22,예,2005-11-23,2026-08-03,후보,12
KODEX 200,K=10,2005,역방향 전체,-7.0,앞 절반,25,13.16,0.53,80.0,0.401,71.39,8.61,1.75,-4.36,5,6.19,-7.0,-7.0,3.21,0,3,1.28,예,2005-11-23,2011-08-19,판정 안 함,6
KODEX 200,K=10,2005,역방향 전체,-7.0,뒤 절반,26,57.32,2.2,80.77,0.758,56.88,23.89,3.98,-5.25,5,10.11,-7.0,-7.0,4.73,0,3,1.15,예,2011-09-27,2026-08-03,판정 안 함,6
KODEX 200,K=10,2005,역방향 전체,-7.0,최근 10년,25,56.24,2.25,80.0,0.786,56.0,24.0,4.12,-5.25,5,10.11,-7.0,-7.0,4.83,0,3,1.16,예,2020-03-19,2026-08-03,판정 안 함,5
KODEX 200,K=10,2005,역방향 전체,-7.0,최근 5년,20,47.46,2.37,80.0,0.867,53.58,26.42,4.17,-4.81,4,10.11,-7.0,-7.0,4.74,0,2,1.15,예,2024-08-05,2026-08-03,판정 안 함,3
KODEX 200,K=10,2005,역방향 전체,-8.0,전체,51,80.6,1.58,82.35,0.628,61.42,20.93,2.91,-4.64,9,10.11,-8.0,-8.0,4.01,0,4,1.22,예,2005-11-23,2026-08-03,후보,12
