종목,노출,표본,베타,R2,실효 총비용(%),공시 총보수(%),차이(%p)
261240,1,2362,0.9901,0.9738,0.1,0.25,-0.15
261250,2,2362,0.9867,0.9812,-0.05,0.45,-0.5
