대상,격자 칸,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),기준선(%),기준선 대비 차이(%p),우연확률,시기 구간,가장 약한 시기(%),1차 판정,뒷받침,미충족
KODEX 200,20일 → 말일-3,285,아래,45.61,-0.12,-33.69,42.01,3.6,0.2338,2,45.07,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,21일 → 말일,287,아래,42.86,-0.29,-82.12,41.97,0.89,0.7802,2,39.86,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,21일 → 말일+1,287,아래,41.81,-0.39,-110.77,41.11,0.7,0.8651,2,36.36,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,21일 → 말일+2,287,위,58.19,0.47,133.6,57.99,0.2,1.0,2,53.47,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,21일 → 말일+3,287,아래,44.25,-0.53,-152.44,43.47,0.78,0.8192,2,37.76,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,21일 → 말일-1,287,위,57.84,0.11,32.73,56.5,1.34,0.7303,2,56.64,제외,1/3,차이 · 우연확률
KODEX 200,21일 → 말일-2,285,아래,42.81,-0.07,-19.08,41.74,1.06,0.7532,2,41.26,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,21일 → 말일-3,285,아래,43.86,-0.01,-4.01,42.01,1.85,0.5624,2,40.56,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,22일 → 말일,287,아래,42.51,-0.38,-109.63,41.97,0.54,0.8681,2,38.46,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,22일 → 말일+1,287,위,58.89,0.48,137.89,58.59,0.3,0.8891,2,52.78,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,22일 → 말일+2,287,위,58.89,0.56,161.11,57.99,0.89,0.8102,2,52.78,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,22일 → 말일+3,287,아래,44.6,-0.63,-180.2,43.47,1.13,0.7363,2,37.06,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,22일 → 말일-1,287,아래,44.95,-0.21,-59.93,43.08,1.87,0.5095,2,44.06,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,22일 → 말일-2,285,아래,44.56,-0.16,-45.64,41.74,2.82,0.3387,2,44.37,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,22일 → 말일-3,279,아래,46.95,-0.11,-30.7,42.01,4.94,0.0969,2,45.71,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,23일 → 말일,287,아래,41.81,-0.44,-126.52,41.97,-0.15,1.0,2,37.76,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,23일 → 말일+1,287,아래,41.81,-0.54,-155.09,41.11,0.7,0.8651,2,32.87,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,23일 → 말일+2,287,위,57.84,0.62,177.15,57.99,-0.15,0.9491,2,50.69,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,23일 → 말일+3,287,아래,44.25,-0.69,-197.25,43.47,0.78,0.8192,2,36.36,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,23일 → 말일-1,287,아래,45.64,-0.27,-77.78,43.08,2.56,0.3536,2,44.06,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,23일 → 말일-2,283,아래,42.05,-0.22,-62.27,41.74,0.3,0.9481,2,39.01,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,23일 → 말일-3,267,아래,43.82,-0.17,-46.32,42.01,1.81,0.5704,2,41.35,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,24일 → 말일,287,위,57.84,0.49,141.92,57.52,0.32,0.962,2,52.78,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,24일 → 말일+1,287,위,59.93,0.59,170.3,58.59,1.35,0.6464,2,52.08,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,24일 → 말일+2,287,아래,42.51,-0.67,-193.43,41.69,0.82,0.8082,2,33.57,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,24일 → 말일+3,287,위,56.79,0.75,213.84,56.14,0.65,0.8701,2,49.31,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,24일 → 말일-1,285,아래,45.61,-0.32,-91.96,43.08,2.53,0.3497,2,44.37,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,24일 → 말일-2,274,위,58.76,0.27,74.65,58.0,0.76,0.7962,2,58.39,제외,1/3,차이 · 우연확률
KODEX 200,24일 → 말일-3,243,아래,42.8,-0.22,-53.16,42.01,0.78,0.8492,2,42.15,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,25일 → 말일,287,아래,41.81,-0.42,-119.88,41.97,-0.15,1.0,2,32.87,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,25일 → 말일+1,287,아래,41.11,-0.52,-148.85,41.11,0.01,1.0,2,32.87,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,25일 → 말일+2,287,아래,42.16,-0.6,-172.47,41.69,0.47,0.8961,2,33.57,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,25일 → 말일+3,287,위,55.75,0.67,192.2,56.14,-0.39,0.9101,2,47.92,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,25일 → 말일-1,279,아래,47.31,-0.25,-69.94,43.08,4.23,0.1239,2,41.01,제외,0/3,차이 · 우연확률 · 시기
KODEX 200,25일 → 말일-2,266,위,58.65,0.21,56.88,58.0,0.65,0.8462,2,58.65,제외,1/3,차이 · 우연확률
KODEX 200,25일 → 말일-3,181,위,60.22,0.22,39.55,57.5,2.72,0.5035,2,59.34,후보,1/3,차이 · 우연확률
KODEX 인버스,15일 → 말일,203,아래,57.64,0.4,81.59,54.77,2.86,0.3966,2,50.98,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,15일 → 말일+1,203,아래,59.11,0.52,104.75,56.26,2.85,0.4575,2,50.0,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,15일 → 말일+2,203,위,44.33,-0.56,-113.91,43.04,1.29,0.7363,2,37.62,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,15일 → 말일+3,202,아래,56.93,0.65,130.93,54.58,2.35,0.5335,2,54.46,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,15일 → 말일-1,203,아래,57.64,0.39,78.29,57.05,0.59,0.9261,2,50.98,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,15일 → 말일-2,203,아래,60.1,0.3,60.81,57.14,2.96,0.4376,2,54.9,후보,0/3,차이 · 우연확률 · 시기
KODEX 인버스,15일 → 말일-3,203,위,43.35,-0.27,-54.83,41.38,1.97,0.6104,2,38.61,제외,0/3,차이 · 우연확률 · 시기
