대상,월,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),기준선(%),기준선 대비 차이(%p),우연확률,시기 구간,가장 약한 시기(%),1차 판정,뒷받침,미충족
KODEX 인버스,3,17,위,35.29,-0.47,-8.02,33.72,1.57,1.0,0,,제외,0/2,차이 · 우연확률
KODEX 인버스,4,17,위,41.18,-0.96,-16.28,41.11,0.07,1.0,0,,제외,0/2,차이 · 우연확률
KODEX 인버스,5,17,아래,70.59,1.78,30.33,60.57,10.02,0.4755,0,,후보,1/2,우연확률
KODEX 인버스,6,17,위,52.94,0.17,2.92,44.98,7.96,0.6404,0,,제외,0/2,차이 · 우연확률
KODEX 인버스,7,17,아래,64.71,1.09,18.51,61.56,3.15,0.7932,0,,후보,0/2,차이 · 우연확률
KODEX 인버스,8,17,위,47.06,-0.79,-13.37,48.4,-1.34,1.0,0,,제외,0/2,차이 · 우연확률
KODEX 인버스,9,17,위,70.59,1.38,23.49,50.82,19.77,0.1469,0,,후보,1/2,우연확률
KODEX 인버스,10,17,아래,47.06,-0.18,-3.09,44.24,2.82,0.8042,0,,제외,0/2,차이 · 우연확률
KODEX 인버스,11,17,아래,52.94,-0.22,-3.66,49.28,3.66,0.8212,0,,제외,0/2,차이 · 우연확률
KODEX 인버스,12,17,아래,82.35,1.61,27.36,68.79,13.57,0.2947,0,,후보,1/2,우연확률
코스피200 지수,1,37,아래,51.35,0.07,2.43,48.54,2.81,0.7403,2,47.37,제외,0/3,차이 · 우연확률 · 시기
코스피200 지수,2,37,아래,59.46,0.83,30.89,58.32,1.14,1.0,2,55.56,제외,1/3,차이 · 우연확률
코스피200 지수,3,37,아래,45.95,-0.05,-1.84,41.98,3.96,0.7313,2,36.84,제외,0/3,차이 · 우연확률 · 시기
코스피200 지수,4,37,아래,45.95,0.0,0.01,41.14,4.81,0.6114,2,36.84,제외,0/3,차이 · 우연확률 · 시기
코스피200 지수,5,37,위,59.46,0.86,31.94,55.47,3.99,0.6434,2,55.56,제외,1/3,차이 · 우연확률
코스피200 지수,6,37,아래,54.05,0.31,11.6,51.98,2.07,0.8771,2,52.63,제외,0/3,차이 · 우연확률 · 시기
코스피200 지수,7,37,위,51.35,0.03,1.17,50.68,0.67,1.0,2,33.33,제외,0/3,차이 · 우연확률 · 시기
코스피200 지수,8,37,위,48.65,0.66,24.5,48.61,0.04,1.0,2,44.44,제외,0/3,차이 · 우연확률 · 시기
코스피200 지수,9,36,아래,55.56,1.11,40.02,49.58,5.98,0.6134,2,44.44,제외,0/3,차이 · 우연확률 · 시기
코스피200 지수,10,36,아래,52.78,0.36,12.84,49.66,3.12,0.7213,2,50.0,제외,0/3,차이 · 우연확률 · 시기
코스피200 지수,11,36,위,55.56,0.15,5.34,51.1,4.46,0.5814,2,55.56,제외,1/3,차이 · 우연확률
코스피200 지수,12,36,위,55.56,0.4,14.42,54.33,1.23,1.0,2,44.44,제외,0/3,차이 · 우연확률 · 시기
코스피 종합지수,1,47,위,57.45,0.51,24.17,54.84,2.6,0.7632,2,50.0,제외,0/3,차이 · 우연확률 · 시기
코스피 종합지수,2,47,위,53.19,-0.66,-31.01,47.12,6.08,0.4715,2,52.17,제외,0/3,차이 · 우연확률 · 시기
코스피 종합지수,3,47,아래,36.17,-0.74,-34.71,36.01,0.16,1.0,2,33.33,제외,0/3,차이 · 우연확률 · 시기
코스피 종합지수,4,47,아래,44.68,-0.27,-12.71,41.6,3.08,0.7742,2,43.48,제외,0/3,차이 · 우연확률 · 시기
코스피 종합지수,5,47,위,59.57,1.19,55.7,59.51,0.07,1.0,2,52.17,제외,0/3,차이 · 우연확률 · 시기
코스피 종합지수,6,47,아래,59.57,0.13,6.07,52.01,7.56,0.2877,2,54.17,제외,0/3,차이 · 우연확률 · 시기
코스피 종합지수,7,47,아래,42.55,-0.52,-24.5,41.23,1.32,1.0,2,33.33,제외,0/3,차이 · 우연확률 · 시기
코스피 종합지수,8,47,위,46.81,0.37,17.61,44.5,2.31,0.7582,2,30.43,제외,0/3,차이 · 우연확률 · 시기
코스피 종합지수,9,46,아래,60.87,1.12,51.39,51.8,9.06,0.2338,2,52.17,후보,0/3,차이 · 우연확률 · 시기
코스피 종합지수,10,46,아래,54.35,0.52,23.74,52.13,2.21,0.7542,2,52.17,제외,0/3,차이 · 우연확률 · 시기
코스피 종합지수,11,46,위,65.22,0.46,21.17,56.92,8.3,0.2637,2,60.87,후보,1/3,차이 · 우연확률
코스피 종합지수,12,46,아래,47.83,-0.41,-18.77,39.62,8.2,0.2478,2,43.48,제외,0/3,차이 · 우연확률 · 시기
KODEX 코스닥150,1,11,위,54.55,1.12,12.36,51.4,3.14,1.0,0,,제외,0/2,차이 · 우연확률
KODEX 코스닥150,2,11,아래,63.64,0.98,10.83,46.91,16.73,0.3397,0,,후보,1/2,우연확률
KODEX 코스닥150,3,11,아래,54.55,-0.42,-4.59,46.4,8.15,0.7592,0,,제외,0/2,차이 · 우연확률
KODEX 코스닥150,4,11,아래,81.82,1.69,18.63,66.82,15.0,0.3856,0,,후보,1/2,우연확률
KODEX 코스닥150,5,11,위,81.82,1.85,20.39,72.2,9.62,0.5185,0,,후보,0/2,차이 · 우연확률
KODEX 코스닥150,6,11,아래,81.82,1.94,21.36,61.97,19.85,0.2368,0,,후보,1/2,우연확률
KODEX 코스닥150,7,11,아래,63.64,1.28,14.03,54.11,9.52,0.5395,0,,후보,0/2,차이 · 우연확률
KODEX 코스닥150,8,11,아래,36.36,-2.11,-23.24,33.78,2.58,1.0,0,,제외,0/2,차이 · 우연확률
KODEX 코스닥150,9,10,아래,80.0,2.97,29.73,66.49,13.51,0.4825,0,,후보,1/2,우연확률
KODEX 코스닥150,10,11,아래,54.55,0.78,8.61,53.96,0.59,1.0,0,,제외,0/2,차이 · 우연확률
KODEX 코스닥150,11,11,아래,54.55,1.27,13.95,51.56,2.99,1.0,0,,제외,0/2,차이 · 우연확률
KODEX 코스닥150,12,11,위,90.91,2.99,32.86,73.24,17.67,0.2707,0,,후보,1/2,우연확률
KODEX 코스닥150선물인버스,1,10,아래,60.0,0.81,8.12,48.21,11.79,0.5145,0,,후보,1/2,우연확률
KODEX 코스닥150선물인버스,2,10,위,70.0,1.17,11.67,43.5,26.5,0.0929,0,,후보,1/2,우연확률
KODEX 코스닥150선물인버스,3,10,위,50.0,-0.55,-5.53,39.8,10.2,0.5155,0,,제외,1/2,우연확률
KODEX 코스닥150선물인버스,4,10,위,70.0,1.04,10.44,54.73,15.27,0.3497,0,,후보,1/2,우연확률
KODEX 코스닥150선물인버스,5,10,아래,80.0,1.94,19.43,71.51,8.49,0.7363,0,,후보,0/2,차이 · 우연확률
KODEX 코스닥150선물인버스,6,10,위,80.0,1.95,19.45,58.55,21.45,0.2198,0,,후보,1/2,우연확률
KODEX 코스닥150선물인버스,7,10,위,70.0,1.1,11.0,54.5,15.5,0.3267,0,,후보,1/2,우연확률
KODEX 코스닥150선물인버스,8,11,위,36.36,-2.18,-23.95,29.3,7.06,0.7373,0,,제외,0/2,차이 · 우연확률
KODEX 코스닥150선물인버스,9,10,위,80.0,3.05,30.54,64.86,15.14,0.5035,0,,후보,1/2,우연확률
KODEX 코스닥150선물인버스,10,10,아래,50.0,-0.61,-6.08,46.15,3.85,1.0,0,,제외,0/2,차이 · 우연확률
KODEX 코스닥150선물인버스,11,10,위,60.0,1.33,13.27,53.17,6.83,0.7373,0,,후보,0/2,차이 · 우연확률
KODEX 코스닥150선물인버스,12,10,아래,90.0,3.01,30.14,74.61,15.39,0.3157,0,,후보,1/2,우연확률
코스닥150 지수,1,17,아래,58.82,0.08,1.28,56.02,2.8,0.7922,0,,제외,0/2,차이 · 우연확률
코스닥150 지수,2,17,아래,47.06,0.45,7.71,41.86,5.2,0.8052,0,,제외,0/2,차이 · 우연확률
코스닥150 지수,3,17,아래,52.94,-0.59,-10.11,43.02,9.92,0.4625,0,,제외,0/2,차이 · 우연확률
코스닥150 지수,4,17,아래,70.59,1.24,21.03,59.48,11.11,0.4366,0,,후보,1/2,우연확률
코스닥150 지수,5,17,위,82.35,1.79,30.38,64.35,18.0,0.1259,0,,후보,1/2,우연확률
코스닥150 지수,6,17,아래,58.82,0.96,16.31,48.94,9.89,0.4515,0,,제외,0/2,차이 · 우연확률
코스닥150 지수,7,17,아래,70.59,1.75,29.76,60.45,10.14,0.4715,0,,후보,1/2,우연확률
코스닥150 지수,8,17,위,64.71,1.77,30.1,60.06,4.65,0.7962,0,,후보,0/2,차이 · 우연확률
코스닥150 지수,9,16,아래,75.0,2.23,35.69,57.63,17.37,0.1868,0,,후보,1/2,우연확률
코스닥150 지수,10,16,위,56.25,-0.2,-3.13,47.84,8.41,0.6324,0,,제외,0/2,차이 · 우연확률
코스닥150 지수,11,16,위,50.0,-0.98,-15.72,48.62,1.38,1.0,0,,제외,0/2,차이 · 우연확률
코스닥150 지수,12,16,위,87.5,2.67,42.8,70.65,16.85,0.1598,0,,후보,1/2,우연확률
코스닥 종합지수,1,30,위,56.67,0.15,4.46,50.25,6.41,0.5984,2,53.33,제외,0/3,차이 · 우연확률 · 시기
코스닥 종합지수,2,30,아래,56.67,1.01,30.33,47.42,9.25,0.3447,2,53.33,제외,0/3,차이 · 우연확률 · 시기
코스닥 종합지수,3,30,아래,43.33,-0.71,-21.3,39.48,3.85,0.7013,2,40.0,제외,0/3,차이 · 우연확률 · 시기
코스닥 종합지수,4,30,아래,66.67,1.25,37.37,53.38,13.29,0.1988,2,60.0,후보,2/3,우연확률
코스닥 종합지수,5,30,위,70.0,1.28,38.42,58.19,11.81,0.2078,2,60.0,후보,2/3,우연확률
코스닥 종합지수,6,30,아래,66.67,0.9,27.1,55.67,11.0,0.2547,2,60.0,후보,2/3,우연확률
코스닥 종합지수,7,31,아래,58.06,1.72,53.33,57.21,0.86,1.0,2,53.33,제외,0/3,차이 · 우연확률 · 시기
코스닥 종합지수,8,31,아래,48.39,-0.91,-28.15,47.58,0.81,1.0,2,31.25,제외,0/3,차이 · 우연확률 · 시기
코스닥 종합지수,9,30,아래,70.0,2.17,65.03,59.82,10.18,0.2777,2,66.67,후보,2/3,우연확률
코스닥 종합지수,10,30,위,50.0,-1.2,-35.87,47.31,2.69,0.8621,2,46.67,제외,0/3,차이 · 우연확률 · 시기
코스닥 종합지수,11,30,위,56.67,0.15,4.58,54.33,2.34,0.8781,2,53.33,제외,0/3,차이 · 우연확률 · 시기
코스닥 종합지수,12,30,위,63.33,0.45,13.4,59.0,4.34,0.7243,2,33.33,후보,0/3,차이 · 우연확률 · 시기
