지수,짝 종목,배수,방식,롤 규칙,구간,자기자본 소진 구간 수,잰 시작일 수,자기자본 소진일
KOSPI200,122630,2.0,선물 매일,미결제약정 역전,1주,0,4064,
KOSPI200,122630,2.0,선물 월 1회,미결제약정 역전,1주,0,4064,
KOSPI200,122630,2.0,선물 그대로,미결제약정 역전,1주,0,4064,
KOSPI200,122630,2.0,선물 매일,미결제약정 역전,2주,0,4059,
KOSPI200,122630,2.0,선물 월 1회,미결제약정 역전,2주,0,4059,
KOSPI200,122630,2.0,선물 그대로,미결제약정 역전,2주,0,4059,
KOSPI200,122630,2.0,선물 매일,미결제약정 역전,1개월,0,4048,
KOSPI200,122630,2.0,선물 월 1회,미결제약정 역전,1개월,0,4048,
KOSPI200,122630,2.0,선물 그대로,미결제약정 역전,1개월,0,4048,
KOSPI200,122630,2.0,선물 매일,미결제약정 역전,3개월,0,4006,
KOSPI200,122630,2.0,선물 월 1회,미결제약정 역전,3개월,0,4006,
KOSPI200,122630,2.0,선물 그대로,미결제약정 역전,3개월,0,4006,
KOSPI200,122630,2.0,선물 매일,미결제약정 역전,6개월,0,3943,
KOSPI200,122630,2.0,선물 월 1회,미결제약정 역전,6개월,0,3943,
KOSPI200,122630,2.0,선물 그대로,미결제약정 역전,6개월,0,3943,
KOSPI200,122630,2.0,선물 매일,미결제약정 역전,1년,0,3817,
KOSPI200,122630,2.0,선물 월 1회,미결제약정 역전,1년,0,3817,
KOSPI200,122630,2.0,선물 그대로,미결제약정 역전,1년,0,3817,
KOSPI200,122630,2.0,선물 매일,미결제약정 역전,3년,0,3313,
KOSPI200,122630,2.0,선물 월 1회,미결제약정 역전,3년,0,3313,
KOSPI200,122630,2.0,선물 그대로,미결제약정 역전,3년,0,3313,
KOSPI200,122630,2.0,선물 매일,만기 전 고정,1주,0,4064,
KOSPI200,122630,2.0,선물 월 1회,만기 전 고정,1주,0,4064,
KOSPI200,122630,2.0,선물 그대로,만기 전 고정,1주,0,4064,
KOSPI200,122630,2.0,선물 매일,만기 전 고정,2주,0,4059,
KOSPI200,122630,2.0,선물 월 1회,만기 전 고정,2주,0,4059,
KOSPI200,122630,2.0,선물 그대로,만기 전 고정,2주,0,4059,
KOSPI200,122630,2.0,선물 매일,만기 전 고정,1개월,0,4048,
KOSPI200,122630,2.0,선물 월 1회,만기 전 고정,1개월,0,4048,
KOSPI200,122630,2.0,선물 그대로,만기 전 고정,1개월,0,4048,
KOSPI200,122630,2.0,선물 매일,만기 전 고정,3개월,0,4006,
KOSPI200,122630,2.0,선물 월 1회,만기 전 고정,3개월,0,4006,
KOSPI200,122630,2.0,선물 그대로,만기 전 고정,3개월,0,4006,
KOSPI200,122630,2.0,선물 매일,만기 전 고정,6개월,0,3943,
KOSPI200,122630,2.0,선물 월 1회,만기 전 고정,6개월,0,3943,
KOSPI200,122630,2.0,선물 그대로,만기 전 고정,6개월,0,3943,
KOSPI200,122630,2.0,선물 매일,만기 전 고정,1년,0,3817,
KOSPI200,122630,2.0,선물 월 1회,만기 전 고정,1년,0,3817,
KOSPI200,122630,2.0,선물 그대로,만기 전 고정,1년,0,3817,
KOSPI200,122630,2.0,선물 매일,만기 전 고정,3년,0,3313,
KOSPI200,122630,2.0,선물 월 1회,만기 전 고정,3년,0,3313,
KOSPI200,122630,2.0,선물 그대로,만기 전 고정,3년,0,3313,
KOSPI200,114800,-1.0,선물 매일,미결제약정 역전,1주,0,4172,
KOSPI200,114800,-1.0,선물 월 1회,미결제약정 역전,1주,0,4172,
KOSPI200,114800,-1.0,선물 그대로,미결제약정 역전,1주,0,4172,
KOSPI200,114800,-1.0,선물 매일,미결제약정 역전,2주,0,4167,
KOSPI200,114800,-1.0,선물 월 1회,미결제약정 역전,2주,0,4167,
KOSPI200,114800,-1.0,선물 그대로,미결제약정 역전,2주,0,4167,
KOSPI200,114800,-1.0,선물 매일,미결제약정 역전,1개월,0,4156,
KOSPI200,114800,-1.0,선물 월 1회,미결제약정 역전,1개월,0,4156,
KOSPI200,114800,-1.0,선물 그대로,미결제약정 역전,1개월,0,4156,
KOSPI200,114800,-1.0,선물 매일,미결제약정 역전,3개월,0,4114,
