STAT_CODE,STAT_NAME,GRP_CODE,GRP_NAME,ITEM_CODE,ITEM_NAME,P_ITEM_CODE,P_ITEM_NAME,CYCLE,START_TIME,END_TIME,DATA_CNT,UNIT_NAME,WEIGHT
817Y002,1.3.2.1. 시장금리(일별),Group1,계정항목,010101000,"콜금리(1일, 전체거래)",010100000,콜금리(익일물),D,19950103,20260821,8032,연%,
817Y002,1.3.2.1. 시장금리(일별),Group1,계정항목,010102000,"콜금리(1일, 중개회사거래)",010100000,콜금리(익일물),D,19960103,20260821,7736,연%,
817Y002,1.3.2.1. 시장금리(일별),Group1,계정항목,010200001,국고채(5년),,,D,20000104,20260821,6593,연%,
817Y002,1.3.2.1. 시장금리(일별),Group1,계정항목,010260000,산금채(1년),,,D,20030930,20260821,5673,연%,
817Y002,1.3.2.1. 시장금리(일별),Group1,계정항목,010150000,KORIBOR(3개월),,,D,20050801,20260821,5216,연%,
817Y002,1.3.2.1. 시장금리(일별),Group1,계정항목,010151000,KORIBOR(6개월),,,D,20060201,20260821,5088,연%,
817Y002,1.3.2.1. 시장금리(일별),Group1,계정항목,010152000,KORIBOR(12개월),,,D,20040726,20260821,5471,연%,
817Y002,1.3.2.1. 시장금리(일별),Group1,계정항목,010190000,국고채(1년),,,D,20000201,20260821,6573,연%,
817Y002,1.3.2.1. 시장금리(일별),Group1,계정항목,010210000,국고채(10년),,,D,20001218,20260821,6358,연%,
817Y002,1.3.2.1. 시장금리(일별),Group1,계정항목,010220000,국고채(20년),,,D,20060125,20260821,5092,연%,
817Y002,1.3.2.1. 시장금리(일별),Group1,계정항목,010230000,국고채(30년),,,D,20120911,20260821,3437,연%,
817Y002,1.3.2.1. 시장금리(일별),Group1,계정항목,010195000,국고채(2년),,,D,20210310,20260821,1342,연%,
817Y002,1.3.2.1. 시장금리(일별),Group1,계정항목,010200000,국고채(3년),,,D,19981113,20260821,6882,연%,
817Y002,1.3.2.1. 시장금리(일별),Group1,계정항목,010300000,"회사채(3년, AA-)",,,D,19950103,20260821,8032,연%,
817Y002,1.3.2.1. 시장금리(일별),Group1,계정항목,010310000,"회사채(3년, AA-, 민평)",,,D,20020819,20260821,5952,연%,
817Y002,1.3.2.1. 시장금리(일별),Group1,계정항목,010320000,"회사채(3년, BBB-)",,,D,20000930,20260821,6510,연%,
817Y002,1.3.2.1. 시장금리(일별),Group1,계정항목,010400002,통안증권(2년),,,D,19990210,20260821,6993,연%,
817Y002,1.3.2.1. 시장금리(일별),Group1,계정항목,010501000,MMF(7일),,,D,19961231,20260821,7344,연%,
817Y002,1.3.2.1. 시장금리(일별),Group1,계정항목,010502000,CD(91일),,,D,19950103,20260821,8032,연%,
817Y002,1.3.2.1. 시장금리(일별),Group1,계정항목,010503000,CP(91일),,,D,19950103,20260821,8032,연%,
817Y002,1.3.2.1. 시장금리(일별),Group1,계정항목,010503500,국민주택채권1종(5년),,,D,20030930,20260821,5673,연%,
817Y002,1.3.2.1. 시장금리(일별),Group1,계정항목,010504000,CMA(수시형),,,D,19960103,20260821,7909,연%,
817Y002,1.3.2.1. 시장금리(일별),Group1,계정항목,010400000,통안증권(91일),,,D,20060925,20260821,4927,연%,
817Y002,1.3.2.1. 시장금리(일별),Group1,계정항목,010103000,"콜금리(1일, 은행증권금융차입)",010100000,콜금리(익일물),D,20211125,20260821,1164,연%,
817Y002,1.3.2.1. 시장금리(일별),Group1,계정항목,010400001,통안증권(1년),,,D,19950103,20260821,7993,연%,
817Y002,1.3.2.1. 시장금리(일별),Group1,계정항목,010240000,국고채(50년),,,D,20161011,20260821,2430,연%,
817Y002,1.3.2.1. 시장금리(일별),Group1,계정항목,010901000,KOFR(공시RFR),,,D,20211125,20260820,1163,연%,
