지수,1배 종목,배수 종목,배수,상품,구간,1배 연율 분배 기여(%),배수 연율 분배 기여(%),배당 보정분(%p),측정 여부,분배 측정 구간
S&P500,SPY,SSO,2.0,ETF,1주,1.78,1.0,-0.05,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,SSO,2.0,ETF,2주,1.78,1.0,-0.1,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,SSO,2.0,ETF,1개월,1.78,1.0,-0.21,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,SSO,2.0,ETF,3개월,1.78,1.0,-0.64,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,SSO,2.0,ETF,6개월,1.78,1.0,-1.28,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,SSO,2.0,ETF,1년,1.78,1.0,-2.56,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,SSO,2.0,ETF,3년,1.78,1.0,-7.69,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,UPRO,3.0,ETF,1주,1.78,0.38,-0.1,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,UPRO,3.0,ETF,2주,1.78,0.38,-0.2,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,UPRO,3.0,ETF,1개월,1.78,0.38,-0.41,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,UPRO,3.0,ETF,3개월,1.78,0.38,-1.24,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,UPRO,3.0,ETF,6개월,1.78,0.38,-2.49,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,UPRO,3.0,ETF,1년,1.78,0.38,-4.97,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,UPRO,3.0,ETF,3년,1.78,0.38,-14.91,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,SH,-1.0,ETF,1주,1.78,2.03,0.08,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,SH,-1.0,ETF,2주,1.78,2.03,0.15,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,SH,-1.0,ETF,1개월,1.78,2.03,0.32,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,SH,-1.0,ETF,3개월,1.78,2.03,0.95,예,1993-01-29 ~ 2026-08-25
S&P500,SPY,SH,-1.0,ETF,6개월,1.78,2.03,1.91,예,1993-01-29 ~ 2026-08-25
