종목,청산 요일,만기월,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),손익비,손익분기 적중률(%),빗나간 표본,기준선(%),기준선 대비 차이(%p),우연확률,시기 구간,가장 약한 시기(%),1차 판정,뒷받침 충족,뒷받침 물음,미충족
DIA,금요일,12,28,위,82.14,0.9,25.08,1.034,49.16,5,58.62,23.52,0.005,2,71.43,후보,4,4,
KODEX 200,금요일,1,24,아래,58.33,-0.01,-0.14,0.711,58.46,10,48.0,10.33,0.2687,2,50.0,제외,1,4,우연확률 · 시기 · 손익비
KODEX 200,금요일,2,24,위,70.83,0.69,16.56,0.858,53.81,7,57.14,13.69,0.1493,2,66.67,후보,2,4,우연확률 · 손익비
KODEX 200,금요일,3,24,위,75.0,1.16,27.96,0.807,55.33,6,58.25,16.75,0.1294,2,66.67,후보,2,4,우연확률 · 손익비
KODEX 200,금요일,4,24,위,54.17,0.94,22.55,2.06,32.68,11,48.51,5.65,0.6418,2,50.0,제외,1,4,차이 · 우연확률 · 시기
KODEX 200,금요일,5,24,아래,45.83,0.16,3.79,1.354,42.48,13,40.62,5.21,0.6169,2,41.67,제외,1,4,차이 · 우연확률 · 시기
KODEX 200,금요일,6,24,아래,54.17,-0.3,-7.09,0.703,58.71,11,50.0,4.17,0.6965,2,50.0,제외,0,4,차이 · 우연확률 · 시기 · 손익비
KODEX 200,금요일,7,24,위,70.83,0.42,10.06,0.696,58.96,7,55.66,15.17,0.1443,2,58.33,후보,2,4,우연확률 · 손익비
KODEX 200,금요일,8,24,아래,50.0,1.02,24.48,1.951,33.89,12,43.14,6.86,0.6517,2,41.67,제외,1,4,차이 · 우연확률 · 시기
KODEX 200,금요일,9,23,위,78.26,1.25,28.71,1.082,48.03,5,56.99,21.27,0.0249,2,75.0,후보,4,4,
KODEX 200,금요일,10,23,위,65.22,0.15,3.35,0.602,62.41,8,56.7,8.52,0.3433,2,54.55,후보,0,4,차이 · 우연확률 · 시기 · 손익비
