날짜,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2017-02-10,9168.51,9190,9210,9135,9145,248399,2280225405,1164.54
2017-02-13,9182.09,9180,9210,9125,9185,241722,2216526015,1165.35
2017-02-14,8964.95,9140,9155,8955,8960,290889,2644845415,1151.58
2017-02-15,9034.71,9005,9065,8965,9010,313773,2835922960,1156.14
2017-02-16,9032.43,8905,9040,8895,9025,331925,2971680550,1156.1
2017-02-17,9115.54,9050,9100,9030,9080,308791,2796427690,1161.4
2017-02-20,9128.99,9150,9150,9080,9115,206290,1881477270,1162.21
2017-02-21,9100.12,9065,9125,9065,9100,212741,1936619650,1160.39
2017-02-22,9049.54,9040,9040,8980,9030,236768,2128598565,1157.15
2017-02-23,8975.28,9000,9020,8935,8965,255884,2301206945,1152.39
2017-02-24,8875.84,8880,8910,8815,8860,294855,2619608375,1146.01
2017-02-27,8920.06,8880,8905,8845,8895,267696,2376655640,1148.84
2017-02-28,8857.0,8900,8920,8840,8855,235536,2093241850,1144.69
2017-03-02,9046.82,9045,9065,8995,9020,358618,3236814080,1157.05
2017-03-03,9258.9,9125,9245,9120,9245,310467,2852963540,1170.52
2017-03-06,9280.77,9215,9295,9215,9285,291190,2695559525,1171.94
2017-03-07,9126.86,9245,9275,9100,9110,276276,2541297455,1162.21
2017-03-08,9106.12,9150,9165,9055,9100,291435,2658582220,1160.9
2017-03-09,9286.98,9215,9295,9205,9285,265424,2452108985,1172.34
2017-03-10,9293.19,9325,9340,9230,9270,540938,5014700090,1172.85
2017-03-13,9075.49,9145,9180,9080,9080,271183,2474051795,1158.97
2017-03-14,9158.91,9140,9155,9090,9145,240672,2198506010,1164.44
2017-03-15,9068.47,9135,9155,9055,9060,283991,2593962820,1158.47
2017-03-16,8881.25,8830,8900,8830,8880,355059,3145814885,1146.44
2017-03-17,8855.84,8855,8890,8830,8875,277974,2463386150,1144.79
2017-03-20,8693.74,8835,8860,8685,8695,588214,5176936825,1134.36
2017-03-21,8684.02,8615,8690,8600,8675,298259,2574340230,1133.85
2017-03-22,8743.06,8735,8780,8695,8740,309824,2709201355,1137.6
2017-03-23,8720.01,8655,8725,8645,8720,337124,2927091435,1136.18
2017-03-24,8721.94,8700,8760,8695,8725,327149,2853865585,1136.18
2017-03-27,8581.37,8590,8615,8580,8580,386672,3324125210,1127.06
2017-03-28,8596.25,8555,8600,8545,8570,378950,3251014585,1128.07
2017-03-29,8611.91,8620,8625,8575,8605,321478,2763291420,1129.09
2017-03-30,8639.88,8575,8680,8560,8650,307576,2649207090,1130.81
2017-03-31,8669.66,8680,8715,8655,8665,313076,2716256475,1132.84
2017-04-03,8626.11,8655,8655,8565,8625,311045,2672499815,1130.0
2017-04-04,8729.83,8670,8705,8640,8705,310160,2685762410,1136.99
2017-04-05,8758.63,8755,8780,8710,8750,312457,2727283070,1138.61
2017-04-06,8896.48,8810,8905,8785,8885,507289,4482541255,1147.73
2017-04-07,8918.01,8860,8990,8850,8905,334440,2971295975,1148.94
2017-04-10,9045.34,8970,9060,8950,9040,403983,3641851865,1157.15
2017-04-11,9113.68,9035,9155,9000,9080,421028,3816541400,1161.51
2017-04-12,9035.13,9110,9145,9010,9010,321001,2926541335,1156.54
2017-04-13,8852.32,8905,8965,8780,8840,397776,3537063045,1144.65
2017-04-14,9003.12,8915,9020,8915,8980,436541,3916891535,1154.72
2017-04-17,8981.12,8995,8995,8885,8945,333876,2977524400,1153.2
2017-04-18,9038.74,8905,9025,8875,9025,377834,3370525630,1156.95
2017-04-19,9002.31,9045,9050,8960,9000,309437,2779960845,1154.52
2017-04-20,8995.12,9055,9065,8980,9000,337703,3053605495,1154.11
2017-04-21,8923.81,8985,8995,8885,8900,370512,3323220665,1149.65
2017-04-24,8862.19,8805,8920,8805,8850,431682,3818089610,1145.5
2017-04-25,8778.41,8900,8940,8780,8785,413189,3672497170,1140.13
2017-04-26,8801.99,8785,8825,8715,8770,565767,4961831115,1141.65
2017-04-27,8852.67,8855,8875,8815,8850,404719,3577537745,1144.99
2017-04-28,8959.25,8855,8960,8820,8945,382565,3389410270,1151.88
2017-05-02,8871.98,8915,8950,8800,8845,422211,3750610965,1146.11
2017-05-04,8905.6,8905,8910,8845,8870,468118,4160917865,1148.44
2017-05-08,8888.5,8905,8950,8835,8855,412374,3670676265,1147.12
2017-05-10,8956.56,8945,8950,8870,8920,451442,4027746895,1151.88
2017-05-11,8835.52,8855,8905,8805,8820,423360,3755501505,1143.94
2017-05-12,8815.85,8760,8850,8740,8825,409727,3603263100,1142.66
2017-05-15,8749.44,8770,8815,8750,8760,331540,2913202085,1138.2
2017-05-16,8636.36,8680,8795,8645,8650,667296,5788718245,1130.9
2017-05-17,8671.72,8640,8730,8640,8665,503133,4360645160,1133.23
2017-05-18,8774.31,8740,8805,8730,8770,415433,3643846520,1139.92
2017-05-19,8813.95,8805,8860,8770,8790,353664,3123007185,1142.96
2017-05-22,8660.76,8770,8770,8615,8675,525606,4548229145,1132.62
2017-05-23,8749.36,8620,8745,8620,8745,416569,3611532420,1138.6
2017-05-24,8789.6,8760,8810,8745,8795,382633,3362680970,1141.04
2017-05-25,8649.61,8685,8710,8635,8645,1010035,8770712360,1132.22
2017-05-26,8696.11,8695,8710,8650,8710,466171,4051947745,1135.26
2017-05-29,8727.18,8680,8710,8655,8705,434326,3771033715,1137.39
2017-05-30,8763.82,8735,8770,8715,8770,418935,3661239115,1139.62
2017-05-31,8671.98,8760,8760,8690,8695,372405,3251148515,1133.43
2017-06-01,8733.95,8690,8720,8670,8720,437514,3801014115,1137.89
2017-06-02,8728.06,8710,8725,8685,8720,384615,3350217490,1137.39
2017-06-05,8667.1,8715,8715,8630,8665,396658,3431395380,1133.33
2017-06-07,8748.71,8670,8745,8665,8730,380389,3309516750,1138.6
2017-06-08,8730.23,8760,8795,8720,8725,407007,3573495670,1137.59
2017-06-09,8751.9,8730,8740,8680,8720,381306,3328485495,1139.11
2017-06-12,8814.57,8765,8795,8750,8795,404217,3544909070,1143.06
2017-06-13,8834.12,8835,8850,8785,8800,442550,3904146630,1144.48
2017-06-14,8755.63,8795,8800,8745,8745,346710,3045176065,1139.11
2017-06-15,8756.9,8695,8770,8665,8735,414640,3611477365,1139.11
2017-06-16,8924.7,8845,8945,8760,8900,999731,8855963460,1150.03
2017-06-19,8900.33,8910,8910,8815,8880,418514,3711541685,1148.4
2017-06-20,8941.97,8930,8960,8910,8930,531971,4757262715,1151.04
2017-06-21,9063.88,9000,9075,8965,9065,1083915,9766158370,1158.95
2017-06-22,9024.31,9055,9055,8985,9025,466100,4199646260,1156.42
2017-06-23,8981.49,9000,9035,8985,9000,436222,3931689770,1153.58
2017-06-26,8951.72,8925,8965,8910,8955,246679,2200819520,1151.65
2017-06-27,8964.3,8910,8980,8910,8960,188834,1685266650,1152.56
2017-06-28,9075.64,9010,9055,8995,9055,325199,2933422690,1159.86
2017-06-29,9035.43,9005,9020,8960,9015,209487,1884902745,1157.13
2017-06-30,9086.77,9100,9115,9030,9080,312058,2834917900,1160.27
2017-07-03,9121.51,8690,9130,8690,9105,121148,1099188145,1162.5
2017-07-04,9183.18,9140,9195,9110,9170,133670,1222944375,1166.25
2017-07-05,9173.92,9190,9190,9130,9170,48318,442166705,1165.64
2017-07-06,9292.91,9215,9285,9170,9285,96959,895780555,1173.25
2017-07-07,9251.35,9290,9295,9230,9250,66217,613386545,1170.61
2017-07-10,9182.93,9225,9225,9140,9160,59710,546964980,1166.25
2017-07-11,9198.51,9150,9200,9140,9185,27996,256878145,1167.27
2017-07-12,9109.78,9125,9140,9080,9100,57951,527622590,1161.79
2017-07-13,8965.9,8980,9015,8945,8960,103189,926142805,1152.46
2017-07-14,8929.94,8960,8995,8920,8925,95392,854088695,1150.16
2017-07-17,8839.49,8850,8865,8815,8840,182495,1612160100,1144.28
2017-07-18,8760.19,8860,8875,8755,8760,202052,1777620550,1139.1
2017-07-19,8741.05,8770,8770,8710,8725,351516,3074542620,1137.99
2017-07-20,8795.96,8760,8815,8745,8800,333003,2926812885,1141.43
2017-07-21,8681.42,8725,8775,8680,8690,471838,4116987255,1134.13
2017-07-24,8610.72,8690,8695,8600,8625,681278,5896488310,1129.46
2017-07-25,8634.67,8635,8690,8630,8650,472706,4091474440,1130.99
2017-07-26,8731.21,8705,8745,8685,8730,419649,3656962795,1137.28
2017-07-27,8608.59,8590,8620,8560,8605,1535437,13199359935,1129.46
2017-07-28,8726.3,8650,8740,8640,8740,648621,5640071600,1137.07
2017-07-31,8699.31,8785,8790,8695,8700,166573,1457143210,1135.65
2017-08-01,8712.62,8675,8725,8640,8720,325126,2819316950,1136.26
2017-08-02,8762.78,8725,8790,8715,8770,259965,2275799060,1139.51
2017-08-03,8843.19,8765,8850,8765,8830,268529,2369133070,1144.88
2017-08-04,8787.61,8820,8835,8750,8775,171164,1505084945,1141.43
2017-08-07,8834.05,8800,8845,8790,8810,93020,820776835,1144.58
2017-08-08,8799.28,8815,8815,8750,8795,94534,830299990,1142.25
2017-08-09,8938.0,8885,8975,8885,8930,1001534,8943737050,1150.97
2017-08-10,9056.22,8985,9090,8975,9050,1322970,11951706000,1158.99
2017-08-11,9084.57,9090,9135,9065,9070,852417,7760052680,1160.81
2017-08-14,9000.42,8995,9015,8945,9010,273992,2458018970,1155.03
2017-08-16,9043.0,8935,9055,8925,9035,321621,2895319540,1158.17
2017-08-17,8975.82,8945,8975,8915,8955,90837,812047245,1153.85
2017-08-18,9039.55,9025,9060,9005,9035,301203,2721587265,1157.6
2017-08-21,9007.79,8970,9005,8960,9000,36616,328855260,1155.57
2017-08-22,8933.23,8995,8995,8910,8920,54668,488751010,1150.9
2017-08-23,8891.9,8895,8915,8835,8885,65511,580772105,1148.16
2017-08-24,8841.49,8815,8835,8800,8825,206360,1818253660,1144.92
2017-08-25,8840.32,8820,8875,8815,8825,148242,1310560715,1144.71
2017-08-28,8703.91,8735,8735,8695,8715,502239,4375915790,1135.79
2017-08-29,8795.58,8760,8845,8750,8790,269589,2373250700,1142.08
2017-08-30,8782.03,8765,8775,8725,8775,101940,891577695,1141.16
2017-08-31,8823.22,8775,8830,8745,8825,83804,736289180,1143.6
2017-09-01,8753.17,8750,8780,8725,8750,155972,1364435195,1139.03
2017-09-04,8897.81,8840,8915,8835,8910,328568,2916435425,1148.37
2017-09-05,8879.09,8865,8915,8850,8870,235984,2096659175,1147.25
2017-09-06,8944.27,8895,8950,8865,8930,230851,2055904065,1151.51
2017-09-07,8859.73,8885,8885,8820,8840,80241,710846070,1146.03
2017-09-08,8835.54,8800,8840,8780,8805,112359,988837355,1144.51
2017-09-11,8896.51,8795,8880,8795,8875,71978,636850225,1148.47
2017-09-12,8830.17,8840,8865,8830,8840,66652,589668360,1144.0
2017-09-13,8840.39,8835,8850,8790,8825,96566,851200225,1144.92
2017-09-14,8909.91,8870,8905,8870,8900,121397,1078781115,1149.38
2017-09-15,8883.38,8965,8965,8880,8885,139350,1244140910,1147.56
2017-09-18,8810.54,8900,8900,8790,8810,111606,984148840,1142.69
2017-09-19,8876.68,8820,8875,8820,8870,78800,697585605,1147.15
2017-09-20,8838.56,8870,8875,8820,8835,50411,445818625,1144.51
2017-09-21,8907.37,8915,8920,8875,8900,127436,1134233220,1148.98
2017-09-22,8965.02,8915,9005,8890,8955,347925,3120203205,1152.63
2017-09-25,8898.9,8930,8930,8850,8880,128897,1143337740,1148.47
2017-09-26,8986.15,8930,8965,8920,8960,132739,1187654665,1154.15
2017-09-27,9033.61,8985,9015,8985,9015,151620,1363715565,1157.4
2017-09-28,9176.08,9070,9165,9050,9145,502353,4574575020,1166.33
2017-09-29,9113.69,9095,9120,9080,9105,119017,1082815440,1162.27
2017-10-10,8965.86,9065,9065,8955,8955,206687,1862391355,1152.73
2017-10-11,8951.39,8935,8990,8890,8955,90016,804226460,1151.82
2017-10-12,8923.9,8890,8960,8885,8915,48969,437053135,1150.16
2017-10-13,8855.11,8890,8925,8845,8855,168258,1493268920,1145.56
2017-10-16,8834.97,8815,8850,8805,8840,328454,2899402745,1144.24
2017-10-17,8903.41,8860,8910,8855,8910,85616,760563750,1148.71
2017-10-18,8873.2,8885,8890,8840,8875,232439,2061539685,1146.98
2017-10-19,8901.84,8885,8920,8870,8905,92085,819269955,1148.6
2017-10-20,8891.84,8845,8925,8840,8885,119749,1063724080,1147.99
2017-10-23,8872.93,8940,8940,8860,8870,100634,895659010,1146.78
2017-10-24,8838.91,8870,8875,8825,8830,296990,2624702000,1144.65
2017-10-25,8838.62,8875,8875,8815,8830,127060,1122416290,1144.54
2017-10-26,8784.69,8795,8810,8770,8790,421235,3702193910,1140.99
2017-10-27,8881.43,8840,8890,8835,8870,210946,1869739065,1147.39
2017-10-30,8782.41,8800,8820,8760,8790,227296,1996967510,1140.89
2017-10-31,8714.04,8765,8765,8710,8720,790864,6904655650,1136.42
2017-11-01,8618.35,8680,8700,8635,8635,1199748,10402487900,1130.33
2017-11-02,8619.12,8600,8630,8580,8625,1761018,15156663865,1130.44
2017-11-03,8608.19,8595,8620,8570,8605,815907,7013566565,1129.73
2017-11-06,8637.18,8645,8695,8630,8635,431124,3732356280,1131.86
2017-11-07,8582.01,8635,8635,8560,8580,599936,5146965600,1128.1
2017-11-08,8635.41,8605,8640,8600,8635,371395,3200775640,1131.55
2017-11-09,8637.53,8610,8650,8595,8630,319123,2750767375,1131.76
2017-11-10,8673.25,8690,8690,8645,8665,200561,1738459650,1134.29
2017-11-13,8737.83,8690,8735,8690,8710,293974,2561093715,1138.66
2017-11-14,8682.04,8710,8715,8660,8680,155506,1349721095,1134.8
2017-11-15,8590.76,8635,8655,8595,8595,247025,2128990185,1128.81
2017-11-16,8419.72,8505,8510,8395,8420,980342,8297641985,1117.65
2017-11-17,8362.25,8345,8375,8290,8365,723049,6031549000,1113.79
2017-11-20,8411.9,8365,8415,8320,8395,353112,2957541120,1117.14
2017-11-21,8338.8,8355,8390,8330,8340,361671,3021209845,1112.27
2017-11-22,8210.2,8260,8310,8235,8235,489998,4049822230,1103.34
2017-11-23,8179.77,8200,8260,8110,8180,393658,3230214525,1101.61
2017-11-24,8190.89,8175,8200,8140,8175,243273,1987006235,1102.53
2017-11-27,8232.99,8165,8225,8165,8210,210407,1725960685,1105.27
2017-11-28,8167.01,8250,8255,8165,8165,200879,1651605870,1100.8
2017-11-29,8033.85,8155,8170,8055,8055,403619,3282225595,1091.56
2017-11-30,8215.2,8115,8235,8100,8205,439463,3589140605,1104.05
2017-12-01,8191.51,8205,8225,8160,8180,140917,1154495690,1102.53
2017-12-04,8221.9,8180,8240,8170,8215,162932,1338724535,1104.45
2017-12-05,8175.89,8185,8220,8120,8170,128317,1046838070,1101.41
2017-12-06,8295.56,8200,8310,8200,8300,232219,1918347060,1109.43
2017-12-07,8314.88,8325,8335,8255,8285,85548,709424820,1110.95
2017-12-08,8292.44,8310,8330,8265,8290,112438,932703170,1109.22
2017-12-11,8277.53,8265,8295,8255,8270,130598,1080946265,1108.21
2017-12-12,8268.75,8225,8280,8210,8280,84017,692716195,1107.5
2017-12-13,8245.39,8305,8315,8250,8265,76462,633121475,1105.98
2017-12-14,8215.95,8170,8225,8160,8225,167378,1371104300,1103.24
2017-12-15,8240.92,8240,8255,8205,8240,45259,372572505,1104.89
2017-12-18,8226.74,8230,8265,8200,8220,95024,781377460,1103.98
2017-12-19,8163.39,8195,8225,8170,8170,77125,632045500,1099.62
2017-12-20,8100.6,8185,8190,8100,8105,123680,1004775540,1095.36
2017-12-21,8127.69,8090,8130,8070,8120,195215,1581567930,1097.18
2017-12-22,8089.78,8090,8115,8045,8090,114852,927555875,1094.75
2017-12-26,8041.62,8060,8070,8030,8040,130276,1048502895,1091.5
2017-12-27,7997.71,8035,8035,8000,8000,153340,1229678920,1088.36
2017-12-28,7939.46,8010,8020,7955,7965,218442,1744881710,1084.3
2018-01-02,7817.31,7905,7920,7820,7825,346361,2725374945,1076.18
2018-01-03,7866.89,7835,7915,7830,7865,206855,1627290070,1079.53
2018-01-04,7832.96,7865,7925,7830,7830,144489,1138444870,1077.2
2018-01-05,7845.34,7835,7860,7805,7845,103720,811880950,1078.11
2018-01-08,7898.18,7830,7930,7785,7890,144483,1138112100,1081.76
2018-01-09,7910.83,7925,7935,7875,7895,120655,953783835,1082.57
2018-01-10,7985.97,7970,7985,7935,7980,136391,1085690795,1087.75
2018-01-11,7984.99,7955,8000,7935,7985,112138,892960940,1087.54
2018-01-12,7852.18,7895,7895,7850,7875,531030,4178643890,1078.82
2018-01-15,7844.69,7825,7845,7790,7840,165542,1293952310,1078.61
2018-01-16,7838.58,7845,7885,7835,7840,120804,949333740,1078.11
2018-01-17,7943.03,7860,7935,7850,7930,115513,910395340,1085.42
2018-01-18,7966.65,7930,7970,7900,7950,347648,2759825055,1087.04
2018-01-19,7888.75,7950,7965,7865,7895,296648,2344263140,1081.66
2018-01-22,7956.85,7895,7955,7880,7945,134895,1069710505,1086.43
2018-01-23,7963.73,7935,7975,7900,7945,208739,1657652220,1086.94
2018-01-24,7958.76,7990,7995,7925,7945,247679,1969666590,1086.54
2018-01-25,7796.31,7885,7890,7785,7795,384192,3004431475,1075.46
2018-01-26,7872.06,7880,7905,7845,7870,190309,1498250215,1080.64
2018-01-29,7902.91,7870,7905,7830,7890,105790,832875595,1082.88
2018-01-30,8014.47,7950,8010,7930,8005,281187,2241522005,1090.4
2018-01-31,7928.25,8010,8015,7920,7930,177816,1417767895,1084.5
2018-02-01,7992.67,7950,8015,7930,7985,109592,873906180,1088.97
2018-02-02,8113.3,7980,8120,7960,8095,387880,3128393960,1097.2
2018-02-05,8251.04,8255,8290,8215,8235,725707,5988048550,1106.65
2018-02-06,8280.69,8350,8380,8220,8255,831179,6922273925,1108.58
2018-02-07,8195.48,8125,8215,8095,8215,317109,2580465550,1102.69
2018-02-08,8234.85,8250,8270,8185,8215,299220,2459896030,1105.53
2018-02-09,8285.0,8365,8365,8240,8275,496006,4122220420,1108.78
2018-02-12,8185.38,8185,8185,8125,8170,226774,1849357095,1102.18
2018-02-13,8182.48,8140,8180,8110,8165,196026,1596294895,1101.98
2018-02-14,8070.24,8175,8175,8050,8060,134162,1087942745,1094.32
2018-02-19,7909.91,7950,7960,7905,7920,350510,2779716010,1083.24
2018-02-20,8012.44,7935,8005,7935,8005,170712,1359198990,1090.46
2018-02-21,8060.5,8015,8060,7990,8050,198927,1597861585,1093.71
2018-02-22,8173.2,8060,8180,8060,8160,145361,1183043130,1101.33
2018-02-23,8092.95,8120,8125,8050,8095,99578,804970745,1095.85
2018-02-26,8019.94,8050,8050,8000,8015,161740,1296413825,1090.97
2018-02-27,7978.18,7980,8015,7940,7990,288452,2302445265,1088.02
2018-02-28,8161.91,8105,8170,8090,8160,348222,2830050265,1100.72
2018-03-02,8125.74,8160,8160,8100,8120,351397,2856007350,1098.18
2018-03-05,8152.76,8100,8150,8060,8140,241133,1953377070,1100.01
2018-03-06,8058.15,8060,8075,8025,8045,191695,1542159585,1093.61
2018-03-07,7955.48,7900,7970,7900,7955,357154,2835488545,1086.6
2018-03-08,7978.89,7920,7965,7910,7960,179803,1427663670,1088.32
2018-03-09,7958.73,7960,7980,7920,7955,249753,1984505805,1086.8
2018-03-12,7888.93,7900,7915,7860,7895,380863,3001171900,1082.02
2018-03-13,7930.55,7890,7920,7875,7915,125213,988906930,1084.87
2018-03-14,7885.35,7920,7945,7860,7885,249131,1966537915,1081.52
2018-03-15,7891.0,7890,7935,7870,7895,176646,1395464915,1081.68
2018-03-16,7915.61,7945,7985,7915,7915,231909,1845732225,1083.48
2018-03-19,7985.14,7960,7990,7940,7985,174200,1389098830,1088.16
2018-03-20,7949.93,8000,8005,7940,7940,159712,1273816335,1085.82
2018-03-21,7995.23,7975,7990,7960,7985,152406,1215890735,1088.87
2018-03-22,7980.15,7900,8000,7880,7980,274520,2176395720,1087.75
2018-03-23,8129.6,8115,8125,8075,8125,457925,3707956745,1097.92
2018-03-26,8108.98,8120,8125,8070,8110,186452,1510087845,1096.49
2018-03-27,7955.67,8005,8040,7945,7950,470677,3759596120,1086.12
2018-03-28,7987.07,8010,8025,7895,7965,270985,2152658555,1088.46
2018-03-29,7894.83,7900,7945,7885,7905,220527,1744211965,1081.96
2018-03-30,7867.56,7865,7905,7860,7880,191980,1512966665,1080.13
2018-04-02,7757.53,7840,7850,7775,7775,510223,3975648865,1072.5
2018-04-03,7746.78,7790,7810,7745,7750,262002,2041233145,1071.99
2018-04-04,7806.84,7745,7820,7740,7805,167235,1300281005,1075.96
2018-04-05,7823.21,7790,7865,7775,7815,177299,1385517355,1077.18
2018-04-06,7953.83,7875,7955,7865,7950,216741,1713980495,1086.02
2018-04-09,7921.34,7960,7980,7895,7930,133881,1062273680,1083.79
2018-04-10,7916.46,7960,8000,7880,7910,189870,1507470935,1083.48
2018-04-11,7923.18,7895,7945,7885,7910,60463,478443765,1083.68
2018-04-12,7972.41,7915,7985,7910,7960,142963,1138252940,1087.04
2018-04-13,7975.51,7950,7990,7940,7975,58244,464180265,1087.28
2018-04-16,8035.86,7965,8045,7965,8025,224251,1797116040,1091.35
2018-04-17,7936.55,7965,7980,7925,7930,38534,306522710,1084.53
2018-04-18,7951.51,7910,7950,7885,7950,96218,762530635,1085.55
2018-04-19,7862.55,7915,7940,7825,7860,102776,808363755,1079.54
2018-04-20,7944.85,7915,7955,7910,7930,94811,752228780,1085.14
2018-04-23,7966.71,7990,7990,7935,7955,120813,961105625,1086.56
2018-04-24,8103.17,8090,8110,8045,8075,479745,3878514560,1096.03
2018-04-25,8160.79,8080,8145,8055,8135,274621,2228214950,1100.0
2018-04-26,8138.45,8125,8145,8090,8140,258440,2099278315,1098.16
2018-04-27,8081.62,8085,8115,8040,8080,106267,859211395,1094.4
2018-04-30,7962.53,7970,7970,7925,7960,74064,588697510,1086.36
2018-05-02,8082.37,8035,8100,8020,8070,171348,1381312355,1094.6
2018-05-03,8086.19,8110,8120,8060,8075,92138,745994050,1094.81
2018-05-04,8106.57,8070,8100,8055,8085,42196,341062375,1096.23
2018-05-08,8087.83,8120,8130,8075,8080,79948,648221430,1094.91
2018-05-09,8171.28,8120,8180,8115,8145,259059,2113206130,1100.61
2018-05-10,8030.96,8140,8155,8025,8035,50592,408919770,1090.94
2018-05-11,7990.42,7940,8000,7930,7995,107787,859203670,1088.29
2018-05-14,7969.92,7955,7980,7915,7970,126548,1004554685,1086.97
2018-05-15,8055.23,7995,8070,7980,8055,94876,761851325,1092.67
2018-05-16,8116.08,8140,8160,8080,8100,144677,1175683840,1096.84
2018-05-17,8161.24,8105,8150,8100,8150,121739,989814900,1099.79
2018-05-18,8114.37,8165,8165,8095,8110,72689,591772740,1096.5
2018-05-21,8218.1,8135,8240,8135,8210,199209,1631130730,1103.42
2018-05-23,8145.52,8115,8150,8095,8140,71519,580476015,1098.54
2018-05-24,8137.88,8095,8180,8095,8130,65546,534007280,1098.03
2018-05-25,8113.9,8200,8200,8090,8115,57109,464344495,1096.4
2018-05-28,8061.82,8080,8085,8020,8050,140809,1133002875,1092.94
2018-05-29,8113.15,8070,8100,8050,8090,77984,630460255,1096.5
2018-05-30,8156.36,8185,8185,8140,8145,195710,1597055180,1099.35
2018-05-31,8109.2,8090,8125,8060,8110,136507,1104622975,1096.09
2018-06-01,8084.59,8140,8140,8065,8065,74950,605965730,1094.47
2018-06-04,8036.0,8035,8035,7990,8030,106013,849183925,1091.21
2018-06-05,8014.24,8005,8020,7970,8015,129132,1031491950,1089.68
2018-06-07,7990.17,7970,7985,7955,7985,144769,1153853140,1088.05
2018-06-08,8085.34,8020,8085,8010,8085,127246,1023447880,1094.47
2018-06-11,8085.66,8040,8080,8030,8070,63571,512069820,1094.57
2018-06-12,8121.19,8080,8115,8045,8100,106079,858278070,1096.91
2018-06-14,8211.9,8200,8210,8165,8190,184121,1507452285,1103.05
2018-06-15,8414.97,8260,8400,8250,8400,526943,4382002590,1116.26
2018-06-18,8534.97,8470,8555,8465,8540,1056269,8996255245,1124.31
2018-06-19,8620.15,8545,8605,8495,8595,560526,4784608010,1130.12
2018-06-20,8549.36,8620,8630,8515,8530,571947,4908586420,1125.33
2018-06-21,8642.14,8585,8645,8530,8640,386502,3322473870,1131.35
2018-06-22,8576.21,8615,8630,8575,8590,140216,1205258030,1127.07
2018-06-25,8734.61,8660,8745,8660,8720,654563,5696576540,1137.46
2018-06-26,8702.75,8720,8745,8670,8695,269047,2343069670,1135.52
2018-06-27,8751.58,8750,8775,8715,8740,361672,3163586225,1138.68
2018-06-28,8856.41,8810,8835,8765,8830,737740,6496379360,1145.51
2018-06-29,8706.44,8820,8820,8675,8700,294131,2567920325,1135.83
2018-07-02,8777.62,8690,8780,8685,8780,199009,1740224980,1140.31
2018-07-03,8756.77,8745,8855,8740,8765,462590,4076175690,1138.89
2018-07-04,8714.22,8715,8760,8670,8705,278933,2431079510,1136.24
2018-07-05,8759.65,8715,8795,8705,8770,93042,815261325,1139.19
2018-07-06,8724.99,8795,8810,8695,8715,180712,1582513185,1136.95
2018-07-09,8673.56,8700,8720,8620,8670,158105,1368585250,1133.59
2018-07-10,8731.97,8655,8735,8630,8730,112311,976303335,1137.26
2018-07-11,8790.66,8780,8840,8770,8780,200975,1767409975,1141.33
2018-07-12,8894.55,8885,8940,8865,8885,941700,8385074200,1147.75
2018-07-13,8863.28,8850,8885,8825,8860,43954,389045905,1145.65
2018-07-16,8925.56,8940,8950,8895,8930,213216,1903117275,1149.62
