날짜,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2016-12-27,10107.69,10055,10090,10025,10070,572751,5768464065,1223.07
2016-12-28,10154.19,10090,10125,10070,10125,409442,4134636990,1225.81
2016-12-29,10129.36,10175,10175,10090,10110,431349,4358967505,1224.29
2017-01-02,10112.86,10125,10125,10075,10120,490094,4950363225,1223.27
2017-01-03,10035.04,10120,10170,10000,10040,496866,5031423405,1218.51
2017-01-04,10086.01,10080,10120,10070,10070,431451,4353210060,1221.55
2017-01-05,9734.17,9905,9905,9755,9755,450457,4447244145,1200.18
2017-01-06,9873.23,9715,9860,9715,9860,433189,4236283250,1208.69
2017-01-09,10127.89,9990,10110,9990,10110,465542,4676495870,1224.29
2017-01-10,9898.71,9955,10025,9880,9890,477722,4770943975,1210.41
2017-01-11,9910.52,9965,9985,9845,9905,431219,4291086705,1211.12
2017-01-12,9727.83,9715,9720,9655,9700,440980,4276800605,1196.7
2017-01-13,9561.17,9600,9645,9555,9570,504698,4856700195,1189.14
2017-01-16,9677.34,9605,9665,9605,9665,417373,4018080110,1196.33
2017-01-17,9562.26,9705,9760,9540,9560,468601,4555458330,1189.24
2017-01-18,9399.91,9400,9440,9365,9430,440948,4145562410,1179.02
2017-01-19,9609.3,9625,9625,9540,9580,527889,5065447970,1192.18
2017-01-20,9489.09,9550,9590,9445,9445,470568,4493338280,1184.79
2017-01-23,9400.56,9480,9480,9380,9405,460510,4339529020,1179.22
2017-01-24,9413.06,9350,9405,9335,9400,449442,4206468995,1180.03
2017-01-25,9430.26,9430,9440,9385,9415,480247,4524100205,1181.14
2017-01-26,9311.2,9340,9340,9245,9295,482386,4472255560,1173.65
2017-01-31,9362.14,9410,9465,9330,9345,416942,3937863290,1176.79
2017-02-01,9289.42,9190,9290,9190,9290,452131,4168191070,1172.13
2017-02-02,9088.82,9200,9205,9075,9120,424816,3889342305,1159.38
2017-02-03,9121.58,9085,9125,9055,9110,380935,3463994970,1161.5
2017-02-06,8963.0,9000,9000,8930,8945,260550,2334940070,1151.38
2017-02-07,9070.16,8940,9070,8940,9065,263041,2375897605,1158.26
2017-02-08,9114.03,9080,9120,9035,9090,252671,2296261510,1161.1
2017-02-09,9106.67,9085,9120,9050,9080,235344,2141623575,1160.59
