날짜,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2016-12-27,10054.22,10020,10040,10005,10040,159980,1602333660,1223.07
2016-12-28,10078.07,10050,10055,10030,10050,160822,1614947265,1225.81
2016-12-29,10066.17,10060,10075,10050,10055,179934,1811764970,1224.29
2017-01-02,10058.1,10065,10065,10040,10055,146119,1468696225,1223.27
2017-01-03,10019.64,10055,10090,10005,10020,168286,1694144285,1218.51
2017-01-04,10045.82,10035,10050,10030,10030,145789,1464312940,1221.55
2017-01-05,9870.47,9970,9970,9880,9880,180032,1786004410,1200.18
2017-01-06,9941.76,9870,9935,9855,9935,144724,1428243970,1208.69
2017-01-09,10070.22,10015,10050,10010,10050,124798,1249842875,1224.29
2017-01-10,9956.28,9995,10020,9945,9945,148081,1478835805,1210.41
2017-01-11,9963.78,9990,9995,9930,9930,279181,2784959065,1211.12
2017-01-12,9871.53,9920,9920,9820,9860,221482,2179575090,1196.7
2017-01-13,9786.87,9815,9815,9785,9785,202012,1979942510,1189.14
2017-01-16,9846.28,9805,9850,9785,9850,146928,1439718520,1196.33
2017-01-17,9788.41,9890,9890,9775,9775,152976,1509590640,1189.24
2017-01-18,9704.48,9700,9720,9680,9715,156949,1521039560,1179.02
2017-01-19,9813.25,9820,9820,9780,9810,137602,1349912270,1192.18
2017-01-20,9752.86,9790,9795,9735,9735,161563,1580372665,1184.79
2017-01-23,9707.15,9730,9740,9695,9695,161757,1573347920,1179.22
2017-01-24,9714.04,9670,9695,9665,9695,148570,1436889450,1180.03
2017-01-25,9723.46,9740,9740,9695,9695,140214,1363872095,1181.14
2017-01-26,9662.27,9665,9680,9630,9640,146811,1416686065,1173.65
2017-01-31,9688.6,9730,9730,9675,9675,126930,1234128365,1176.79
2017-02-01,9650.59,9600,9650,9590,9650,136113,1306740530,1172.13
2017-02-02,9546.3,9610,9610,9545,9555,176745,1696142685,1159.38
2017-02-03,9564.52,9550,9560,9535,9560,160610,1532525410,1161.5
2017-02-06,9481.48,9500,9500,9460,9480,166825,1580886200,1151.38
2017-02-07,9538.7,9455,9540,9455,9530,147392,1401250840,1158.26
2017-02-08,9562.31,9535,9560,9525,9545,147777,1409881055,1161.1
2017-02-09,9558.49,9530,9560,9520,9545,149795,1431059635,1160.59
2017-02-10,9591.46,9590,9615,9575,9575,127933,1228548835,1164.54
2017-02-13,9598.38,9580,9615,9570,9590,146118,1402889060,1165.35
2017-02-14,9485.2,9580,9580,9475,9475,181797,1739539350,1151.58
2017-02-15,9522.72,9510,9535,9485,9500,147050,1401330145,1156.14
2017-02-16,9521.8,9450,9525,9440,9500,146182,1384023280,1156.1
2017-02-17,9565.68,9540,9560,9530,9550,163163,1557748535,1161.4
2017-02-20,9572.5,9585,9585,9535,9565,134385,1285496940,1162.21
2017-02-21,9557.77,9550,9570,9540,9545,138490,1323687680,1160.39
2017-02-22,9531.34,9520,9520,9490,9520,167492,1591379630,1157.15
2017-02-23,9492.48,9510,9515,9470,9480,154398,1468092150,1152.39
2017-02-24,9440.43,9445,9460,9410,9425,132313,1249798670,1146.01
2017-02-27,9464.03,9450,9455,9420,9450,136375,1287721185,1148.84
2017-02-28,9430.23,9450,9465,9425,9430,123036,1163429475,1144.69
2017-03-02,9532.41,9520,9530,9510,9510,134291,1278656300,1157.05
2017-03-03,9643.66,9565,9640,9560,9640,130795,1252466500,1170.52
2017-03-06,9655.7,9620,9665,9605,9640,122101,1175167840,1171.94
2017-03-07,9575.65,9635,9645,9555,9565,128253,1235511760,1162.21
2017-03-08,9564.77,9585,9585,9535,9555,140102,1340742210,1160.9
2017-03-09,9659.45,9620,9660,9615,9660,159781,1539101240,1172.34
2017-03-10,9664.08,9670,9675,9635,9640,241649,2334548270,1172.85
2017-03-13,9550.09,9585,9595,9550,9550,127882,1226014905,1158.97
2017-03-14,9595.37,9585,9585,9545,9565,139060,1330471090,1164.44
2017-03-15,9546.98,9565,9595,9525,9545,166742,1597569100,1158.47
2017-03-16,9448.67,9430,9460,9415,9450,152650,1438037980,1146.44
2017-03-17,9435.34,9430,9450,9415,9440,149217,1406073405,1144.79
2017-03-20,9349.4,9420,9425,9345,9350,167613,1577525385,1134.36
2017-03-21,9345.49,9300,9345,9290,9330,168150,1565784045,1133.85
2017-03-22,9376.35,9370,9395,9355,9375,133994,1256067115,1137.6
2017-03-23,9365.13,9330,9350,9320,9350,140140,1307217680,1136.18
2017-03-24,9365.63,9350,9380,9340,9365,151763,1418702960,1136.18
2017-03-27,9290.59,9305,9305,9280,9285,137556,1278054495,1127.06
2017-03-28,9299.37,9275,9290,9270,9290,196939,1828379390,1128.07
2017-03-29,9307.87,9300,9310,9280,9300,136946,1272798720,1129.09
2017-03-30,9322.7,9290,9330,9275,9325,126864,1178347645,1130.81
2017-03-31,9340.04,9335,9360,9330,9335,295039,2754700750,1132.84
2017-04-03,9316.94,9330,9330,9275,9310,245224,2278881530,1130.0
2017-04-04,9374.98,9325,9350,9320,9350,284189,2652124270,1136.99
2017-04-05,9388.71,9375,9385,9350,9385,283557,2657249365,1138.61
2017-04-06,9464.27,9410,9460,9395,9445,290342,2731504930,1147.73
2017-04-07,9474.68,9450,9500,9435,9470,292227,2759331095,1148.94
2017-04-10,9542.94,9495,9545,9495,9535,797546,7601888740,1157.15
2017-04-11,9579.0,9540,9600,9515,9575,300757,2869157220,1161.51
2017-04-12,9538.9,9575,9595,9520,9520,316248,3029876990,1156.54
2017-04-13,9440.62,9455,9495,9400,9440,320797,3040032830,1144.65
2017-04-14,9523.27,9495,9525,9475,9510,262286,2491110715,1154.72
2017-04-17,9510.85,9500,9500,9460,9500,293898,2784850025,1153.2
2017-04-18,9542.01,9460,9535,9450,9525,243174,2303321950,1156.95
2017-04-19,9522.2,9535,9540,9495,9515,262921,2500656695,1154.52
2017-04-20,9519.1,9550,9555,9495,9505,741002,7058456495,1154.11
