종목,테스트,파라미터,시작연도,방향,시대 구간,사건,구간,기준,신호,제외,표본,평균(%),중앙값(%),승률(%),최고(%),최악(%),표준편차(%)
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,2,1일,익일시가,4,0,4,3.62,3.48,100.0,4.71,2.82,0.83
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,2,1주,종가,4,0,4,-1.73,0.11,75.0,0.69,-7.83,4.07
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,2,1주,익일시가,4,0,4,-4.03,-3.94,0.0,-0.65,-7.58,2.97
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,2,1개월,종가,4,0,4,5.5,7.02,50.0,23.7,-15.76,17.32
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,2,1개월,익일시가,4,0,4,2.8,3.7,50.0,19.35,-15.54,14.82
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,2,3개월,종가,4,0,4,11.12,13.54,50.0,41.02,-23.61,30.51
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,2,3개월,익일시가,4,0,4,8.05,9.77,50.0,36.06,-23.41,27.39
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,2,6개월,종가,4,0,4,26.29,31.22,75.0,62.53,-19.83,38.68
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,2,6개월,익일시가,4,0,4,22.72,26.85,75.0,56.81,-19.62,35.08
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,2,1년,종가,4,0,4,54.9,59.31,100.0,89.36,11.63,35.54
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,2,1년,익일시가,4,0,4,50.75,54.2,100.0,82.7,11.93,31.45
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,4,1일,종가,7,0,7,-3.25,-3.04,14.29,1.84,-11.98,4.47
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,4,1일,익일시가,7,0,7,-1.17,-1.15,28.57,2.91,-7.03,3.26
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,4,1주,종가,7,0,7,-1.47,0.73,57.14,5.93,-11.25,5.97
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,4,1주,익일시가,7,0,7,0.66,0.8,57.14,7.02,-8.16,5.25
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,4,1개월,종가,7,0,7,3.62,4.71,71.43,17.08,-14.32,11.6
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,4,1개월,익일시가,7,0,7,6.28,7.59,71.43,24.26,-16.74,15.19
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,4,3개월,종가,7,0,7,13.57,18.93,71.43,35.49,-15.94,19.65
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,4,3개월,익일시가,7,0,7,16.6,22.19,71.43,41.51,-18.31,23.13
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,4,6개월,종가,7,0,7,26.95,31.05,85.71,53.21,-7.77,22.59
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,4,6개월,익일시가,7,0,7,30.43,34.65,85.71,62.61,-10.37,27.03
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,4,1년,종가,7,0,7,47.05,33.41,100.0,76.73,21.21,22.76
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,4,1년,익일시가,7,0,7,50.98,36.12,100.0,87.58,17.79,28.22
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,3,1일,종가,7,0,7,4.62,5.42,85.71,8.47,-0.8,3.13
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,3,1일,익일시가,7,0,7,2.76,2.82,100.0,4.71,1.38,1.24
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,3,1주,종가,7,0,7,-0.69,0.19,71.43,11.7,-12.54,7.76
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,3,1주,익일시가,7,0,7,-2.37,-2.86,28.57,10.18,-15.82,8.5
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,3,1개월,종가,7,0,7,4.55,1.46,57.14,23.7,-15.76,12.85
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,3,1개월,익일시가,7,0,7,2.56,0.13,57.14,19.35,-15.54,11.03
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,3,3개월,종가,7,0,7,9.14,1.49,57.14,41.02,-23.61,23.68
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,3,3개월,익일시가,7,0,7,6.81,0.11,57.14,36.06,-23.41,20.86
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,3,6개월,종가,7,0,7,26.34,34.91,71.43,62.53,-19.83,31.04
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,3,6개월,익일시가,7,0,7,23.57,33.08,71.43,56.81,-19.62,27.82
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,3,1년,종가,7,0,7,53.27,61.06,100.0,89.36,11.63,27.57
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,3,1년,익일시가,7,0,7,50.13,55.02,100.0,82.7,11.93,24.01
