종목,월,방향,손절선(%),구간,신호,제외,합계(%),평균(%),승률(%),최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능
229200,1,아래,8.0,뒤 절반,6,0,6.87,1.14,50.0,9.6,-8.0,6.36,0,1,5.83,아니오
229200,1,아래,8.0,최근 10년,10,0,7.15,0.72,50.0,9.6,-8.0,5.52,0,1,6.4,예
229200,1,아래,8.0,최근 5년,5,0,2.36,0.47,40.0,9.6,-8.0,6.87,0,1,5.6,아니오
229200,1,아래,9.0,전체,11,0,5.03,0.46,45.45,9.6,-9.0,5.44,0,1,6.45,예
229200,1,아래,9.0,앞 절반,5,0,-0.84,-0.17,40.0,6.46,-3.7,4.2,0,0,7.2,아니오
229200,1,아래,9.0,뒤 절반,6,0,5.87,0.98,50.0,9.6,-9.0,6.65,0,1,5.83,아니오
229200,1,아래,9.0,최근 10년,10,0,6.15,0.62,50.0,9.6,-9.0,5.7,0,1,6.4,예
229200,1,아래,9.0,최근 5년,5,0,1.36,0.27,40.0,9.6,-9.0,7.18,0,1,5.6,아니오
229200,1,아래,10.0,전체,11,0,4.03,0.37,45.45,9.6,-10.0,5.61,0,1,6.45,예
229200,1,아래,10.0,앞 절반,5,0,-0.84,-0.17,40.0,6.46,-3.7,4.2,0,0,7.2,아니오
229200,1,아래,10.0,뒤 절반,6,0,4.87,0.81,50.0,9.6,-10.0,6.96,0,1,5.83,아니오
229200,1,아래,10.0,최근 10년,10,0,5.15,0.52,50.0,9.6,-10.0,5.9,0,1,6.4,예
229200,1,아래,10.0,최근 5년,5,0,0.36,0.07,40.0,9.6,-10.0,7.51,0,1,5.6,아니오
229200,1,아래,무손절,전체,11,0,-12.36,-1.12,45.45,9.6,-26.39,9.48,0,0,6.82,예
229200,1,아래,무손절,앞 절반,5,0,-0.84,-0.17,40.0,6.46,-3.7,4.2,0,0,7.2,아니오
229200,1,아래,무손절,뒤 절반,6,0,-11.52,-1.92,50.0,9.6,-26.39,12.81,0,0,6.5,아니오
229200,1,아래,무손절,최근 10년,10,0,-11.24,-1.12,50.0,9.6,-26.39,10.0,0,0,6.8,예
229200,1,아래,무손절,최근 5년,5,0,-16.02,-3.2,40.0,9.6,-26.39,13.88,0,0,6.4,아니오
229200,1,위,3.0,전체,11,0,-4.38,-0.4,45.45,3.7,-3.81,2.95,1,4,5.09,예
229200,1,위,3.0,앞 절반,5,0,3.49,0.7,60.0,3.7,-3.81,3.2,1,0,6.6,아니오
229200,1,위,3.0,뒤 절반,6,0,-7.87,-1.31,33.33,2.82,-3.0,2.66,0,4,3.83,아니오
229200,1,위,3.0,최근 10년,10,0,-5.5,-0.55,40.0,3.7,-3.81,3.07,1,4,4.9,예
229200,1,위,3.0,최근 5년,5,0,-4.87,-0.97,40.0,2.82,-3.0,2.82,0,3,3.2,아니오
229200,1,위,4.0,전체,11,0,-8.89,-0.81,45.45,3.7,-4.32,3.38,1,4,5.27,예
229200,1,위,4.0,앞 절반,5,0,3.3,0.66,60.0,3.7,-4.0,3.27,0,1,6.6,아니오
229200,1,위,4.0,뒤 절반,6,0,-12.19,-2.03,33.33,2.82,-4.32,3.21,1,3,4.17,아니오
229200,1,위,4.0,최근 10년,10,0,-10.01,-1.0,40.0,3.7,-4.32,3.49,1,4,5.1,예
229200,1,위,4.0,최근 5년,5,0,-8.19,-1.64,40.0,2.82,-4.32,3.42,1,2,3.6,아니오
229200,1,위,5.0,전체,11,0,-13.57,-1.23,45.45,3.7,-5.0,3.83,0,5,5.82,예
229200,1,위,5.0,앞 절반,5,0,2.3,0.46,60.0,3.7,-5.0,3.63,0,1,7.0,아니오
229200,1,위,5.0,뒤 절반,6,0,-15.87,-2.64,33.33,2.82,-5.0,3.68,0,4,4.83,아니오
229200,1,위,5.0,최근 10년,10,0,-14.69,-1.47,40.0,3.7,-5.0,3.95,0,5,5.7,예
229200,1,위,5.0,최근 5년,5,0,-10.87,-2.17,40.0,2.82,-5.0,3.91,0,3,4.4,아니오
229200,1,위,6.0,전체,11,0,-15.96,-1.45,45.45,3.7,-6.0,4.09,0,3,5.91,예
229200,1,위,6.0,앞 절반,5,0,1.3,0.26,60.0,3.7,-6.0,4.02,0,1,7.2,아니오
229200,1,위,6.0,뒤 절반,6,0,-17.27,-2.88,33.33,2.82,-6.0,3.9,0,2,4.83,아니오
229200,1,위,6.0,최근 10년,10,0,-17.09,-1.71,40.0,3.7,-6.0,4.22,0,3,5.8,예
229200,1,위,6.0,최근 5년,5,0,-12.76,-2.55,40.0,2.82,-6.0,4.27,0,2,4.4,아니오
229200,1,위,7.0,전체,11,0,14.96,1.36,54.55,26.39,-7.0,9.22,0,1,6.64,예
229200,1,위,7.0,앞 절반,5,0,0.84,0.17,60.0,3.7,-6.46,4.2,0,0,7.2,아니오
229200,1,위,7.0,뒤 절반,6,0,14.12,2.35,50.0,26.39,-7.0,12.38,0,1,6.17,아니오
229200,1,위,7.0,최근 10년,10,0,13.84,1.38,50.0,26.39,-7.0,9.72,0,1,6.6,예
229200,1,위,7.0,최근 5년,5,0,18.62,3.72,60.0,26.39,-7.0,13.32,0,1,6.0,아니오
229200,1,위,8.0,전체,11,0,13.96,1.27,54.55,26.39,-8.0,9.31,0,1,6.64,예
229200,1,위,8.0,앞 절반,5,0,0.84,0.17,60.0,3.7,-6.46,4.2,0,0,7.2,아니오
229200,1,위,8.0,뒤 절반,6,0,13.12,2.19,50.0,26.39,-8.0,12.53,0,1,6.17,아니오
229200,1,위,8.0,최근 10년,10,0,12.84,1.28,50.0,26.39,-8.0,9.82,0,1,6.6,예
229200,1,위,8.0,최근 5년,5,0,17.62,3.52,60.0,26.39,-8.0,13.53,0,1,6.0,아니오
229200,1,위,9.0,전체,11,0,12.96,1.18,54.55,26.39,-9.0,9.42,0,1,6.73,예
229200,1,위,9.0,앞 절반,5,0,0.84,0.17,60.0,3.7,-6.46,4.2,0,0,7.2,아니오
229200,1,위,9.0,뒤 절반,6,0,12.12,2.02,50.0,26.39,-9.0,12.7,0,1,6.33,아니오
229200,1,위,9.0,최근 10년,10,0,11.84,1.18,50.0,26.39,-9.0,9.93,0,1,6.7,예
229200,1,위,9.0,최근 5년,5,0,16.62,3.32,60.0,26.39,-9.0,13.74,0,1,6.2,아니오
229200,1,위,10.0,전체,11,0,11.96,1.09,54.55,26.39,-10.0,9.53,0,1,6.73,예
229200,1,위,10.0,앞 절반,5,0,0.84,0.17,60.0,3.7,-6.46,4.2,0,0,7.2,아니오
229200,1,위,10.0,뒤 절반,6,0,11.12,1.85,50.0,26.39,-10.0,12.88,0,1,6.33,아니오
229200,1,위,10.0,최근 10년,10,0,10.84,1.08,50.0,26.39,-10.0,10.04,0,1,6.7,예
229200,1,위,10.0,최근 5년,5,0,15.62,3.12,60.0,26.39,-10.0,13.97,0,1,6.2,아니오
229200,1,위,무손절,전체,11,0,12.36,1.12,54.55,26.39,-9.6,9.48,0,0,6.82,예
229200,1,위,무손절,앞 절반,5,0,0.84,0.17,60.0,3.7,-6.46,4.2,0,0,7.2,아니오
229200,1,위,무손절,뒤 절반,6,0,11.52,1.92,50.0,26.39,-9.6,12.81,0,0,6.5,아니오
229200,1,위,무손절,최근 10년,10,0,11.24,1.12,50.0,26.39,-9.6,10.0,0,0,6.8,예
229200,1,위,무손절,최근 5년,5,0,16.02,3.2,60.0,26.39,-9.6,13.88,0,0,6.4,아니오
229200,2,아래,3.0,전체,11,0,8.71,0.79,54.55,8.23,-3.0,3.61,0,2,5.64,예
229200,2,아래,3.0,앞 절반,5,0,6.49,1.3,60.0,8.23,-3.0,4.22,0,1,5.6,아니오
229200,2,아래,3.0,뒤 절반,6,0,2.22,0.37,50.0,5.92,-3.0,3.38,0,1,5.67,아니오
229200,2,아래,3.0,최근 10년,10,0,9.48,0.95,60.0,8.23,-3.0,3.77,0,2,5.6,예
229200,2,아래,3.0,최근 5년,5,0,-3.7,-0.74,40.0,2.55,-3.0,2.25,0,1,5.8,아니오
229200,2,아래,4.0,전체,11,0,11.16,1.01,63.64,8.23,-4.0,3.53,0,1,5.82,예
229200,2,아래,4.0,앞 절반,5,0,9.94,1.99,80.0,8.23,-0.77,3.57,0,0,6.0,아니오
229200,2,아래,4.0,뒤 절반,6,0,1.22,0.2,50.0,5.92,-4.0,3.6,0,1,5.67,아니오
229200,2,아래,4.0,최근 10년,10,0,11.93,1.19,70.0,8.23,-4.0,3.66,0,1,5.8,예
