종목,월,방향,손절적용,구간,신호,제외,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),질 때 표본,최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,구간 시작일,구간 종료일
KODEX 코스닥150,3,아래,가능,전체,11,0,7.03,0.64,54.55,1.144,46.65,5,9.63,-5.99,5.14,1,2,7.09,예,2016-03-18,2026-03-20
KODEX 코스닥150,3,아래,가능,앞 절반,5,0,-0.44,-0.09,60.0,0.633,61.24,2,3.62,-5.99,4.09,1,0,7.2,아니오,2016-03-18,2020-03-20
KODEX 코스닥150,3,아래,가능,뒤 절반,6,0,7.47,1.24,50.0,1.73,36.63,3,9.63,-5.0,6.21,0,2,7.0,아니오,2021-03-19,2026-03-20
KODEX 코스닥150,3,아래,가능,최근 10년,10,0,5.2,0.52,50.0,1.276,43.94,5,9.63,-5.99,5.4,1,2,6.9,예,2017-03-20,2026-03-20
KODEX 코스닥150,3,아래,가능,최근 5년,5,0,7.08,1.42,40.0,2.539,28.26,3,9.63,-5.0,6.92,0,2,6.8,아니오,2022-03-18,2026-03-20
KODEX 코스닥150,3,위,가능,전체,11,0,-17.06,-1.55,36.36,0.73,57.79,7,6.97,-6.62,4.32,2,3,6.27,예,2016-03-18,2026-03-20
KODEX 코스닥150,3,위,가능,앞 절반,5,0,-16.23,-3.25,20.0,0.563,63.99,4,2.66,-6.62,3.75,2,1,5.8,아니오,2016-03-18,2020-03-20
KODEX 코스닥150,3,위,가능,뒤 절반,6,0,-0.83,-0.14,50.0,0.92,52.07,3,6.97,-5.0,4.57,0,2,6.67,아니오,2021-03-19,2026-03-20
KODEX 코스닥150,3,위,가능,최근 10년,10,0,-15.23,-1.52,40.0,0.668,59.97,6,6.97,-6.62,4.55,2,3,6.0,예,2017-03-20,2026-03-20
KODEX 코스닥150,3,위,가능,최근 5년,5,0,-0.44,-0.09,60.0,0.637,61.08,2,6.97,-5.0,5.1,0,2,6.4,아니오,2022-03-18,2026-03-20
KODEX 코스닥150,4,아래,가능,전체,11,0,14.41,1.31,81.82,0.584,63.14,2,7.77,-5.0,3.39,0,1,6.73,예,2016-04-20,2026-04-20
KODEX 코스닥150,4,아래,가능,앞 절반,5,0,9.52,1.9,100.0,,,0,2.86,0.8,0.75,0,0,6.6,아니오,2016-04-20,2020-04-20
KODEX 코스닥150,4,아래,가능,뒤 절반,6,0,4.89,0.82,66.67,0.776,56.3,2,7.77,-5.0,4.68,0,1,6.83,아니오,2021-04-20,2026-04-20
KODEX 코스닥150,4,아래,가능,최근 10년,10,0,12.75,1.27,80.0,0.61,62.12,2,7.77,-5.0,3.57,0,1,6.7,예,2017-04-20,2026-04-20
KODEX 코스닥150,4,아래,가능,최근 5년,5,0,-2.87,-0.57,60.0,0.45,68.94,2,2.51,-5.0,3.58,0,1,6.6,아니오,2022-04-20,2026-04-20
KODEX 코스닥150,4,위,가능,전체,11,0,-21.02,-1.91,18.18,0.815,55.1,9,3.86,-5.0,2.68,0,3,6.45,예,2016-04-20,2026-04-20
KODEX 코스닥150,4,위,가능,앞 절반,5,0,-9.52,-1.9,0.0,0.0,100.0,5,-0.8,-2.86,0.75,0,0,6.6,아니오,2016-04-20,2020-04-20
KODEX 코스닥150,4,위,가능,뒤 절반,6,0,-11.5,-1.92,33.33,0.576,63.47,4,3.86,-5.0,3.74,0,3,6.33,아니오,2021-04-20,2026-04-20
KODEX 코스닥150,4,위,가능,최근 10년,10,0,-19.35,-1.94,20.0,0.775,56.35,8,3.86,-5.0,2.83,0,3,6.4,예,2017-04-20,2026-04-20
