종목,사이클 위치,분기,방향,표본,합계(%),평균(%),중앙값(%),오른 비율(%),최고(%),최악(%),진입가 대비 최악 평균(%),진입가 대비 최악 중앙값(%),진입가 대비 최악 25%분위(%),진입가 대비 최악 75%분위(%),진입가 대비 최악 가장 얕게(%),진입가 대비 최악 가장 깊게(%),분기 시작가 대비 최악 평균(%),분기 시작가 대비 최악 중앙값(%),분기 시작가 대비 최악 가장 깊게(%),-5% 이내 건수,-10% 이내 건수,-15% 이내 건수,-20% 이내 건수
SPY,중간선거해,전체 보유,위,8,129.46,16.18,16.73,100.0,34.64,0.78,-6.23,-4.58,-8.09,-2.11,-0.7,-19.59,-6.23,-4.58,-19.59,4,7,7,8
SPY,중간선거해,4분기,위,8,41.31,5.16,6.54,75.0,21.19,-14.03,-6.23,-4.58,-8.09,-2.11,-0.7,-19.59,-6.23,-4.58,-19.59,4,7,7,8
SPY,중간선거해,1분기,위,8,36.35,4.54,4.77,87.5,13.03,-3.96,2.06,1.4,-1.52,6.78,18.3,-16.18,-2.92,-2.44,-10.03,7,7,7,8
SPY,중간선거해,2분기,위,8,47.7,5.96,6.33,75.0,15.21,-0.47,8.16,7.17,3.81,11.18,25.8,-6.06,-1.38,-0.65,-4.83,7,8,8,8
DIA,중간선거해,전체 보유,위,7,111.51,15.93,14.96,100.0,39.89,0.55,-5.16,-4.76,-6.08,-0.52,-0.24,-17.94,-5.16,-4.76,-17.94,4,6,6,7
DIA,중간선거해,4분기,위,7,48.79,6.97,7.15,85.71,17.07,-11.8,-5.16,-4.76,-6.08,-0.52,-0.24,-17.94,-5.16,-4.76,-17.94,4,6,6,7
DIA,중간선거해,1분기,위,7,19.45,2.78,0.39,57.14,11.12,-4.42,2.57,2.36,-1.1,8.34,15.57,-14.39,-4.08,-3.95,-11.02,6,6,7,7
DIA,중간선거해,2분기,위,7,38.76,5.54,3.38,85.71,12.64,-0.99,7.85,5.46,4.06,11.61,24.76,-6.57,-1.75,-1.2,-4.67,6,7,7,7
QQQ,중간선거해,전체 보유,위,6,125.02,20.84,16.68,100.0,44.55,0.51,-7.43,-4.75,-7.71,-2.58,-1.77,-22.78,-7.43,-4.75,-22.78,4,5,5,5
QQQ,중간선거해,4분기,위,6,21.95,3.66,5.34,66.67,17.62,-16.97,-7.43,-4.75,-7.71,-2.58,-1.77,-22.78,-7.43,-4.75,-22.78,4,5,5,5
QQQ,중간선거해,1분기,위,6,49.19,8.2,4.53,100.0,20.52,0.86,0.67,2.02,-1.8,8.05,12.55,-19.54,-2.87,-2.82,-4.31,5,5,5,6
QQQ,중간선거해,2분기,위,6,47.74,7.96,6.65,83.33,18.61,-0.66,8.39,7.9,5.84,14.28,21.86,-8.89,-2.93,-2.32,-6.63,5,6,6,6
S&P 500 지수,중간선거해,전체 보유,위,24,405.05,16.88,17.41,91.67,49.81,-20.23,-5.69,-3.6,-6.23,-0.36,0.99,-34.37,-5.69,-3.6,-34.37,16,20,22,23
S&P 500 지수,중간선거해,4분기,위,24,133.15,5.55,7.22,83.33,20.87,-17.48,-4.12,-2.89,-5.1,-0.31,0.99,-22.32,-4.12,-2.89,-22.32,18,22,22,23
S&P 500 지수,중간선거해,1분기,위,24,139.19,5.8,5.6,83.33,21.59,-16.44,2.63,5.6,-1.4,8.63,19.19,-18.83,-2.75,-1.51,-16.44,19,20,22,24
S&P 500 지수,중간선거해,2분기,위,24,110.05,4.59,4.21,70.83,21.18,-11.14,8.3,11.07,2.15,19.16,26.46,-34.37,-3.19,-2.3,-26.9,19,22,23,23
나스닥 종합 지수,중간선거해,전체 보유,위,13,381.74,29.36,22.13,92.31,69.84,-0.5,-6.62,-4.94,-6.23,-1.02,0.2,-23.03,-6.62,-4.94,-23.03,7,10,10,12
나스닥 종합 지수,중간선거해,4분기,위,13,75.61,5.82,6.95,61.54,29.45,-17.54,-6.62,-4.94,-6.23,-1.02,0.2,-23.03,-6.62,-4.94,-23.03,7,10,10,12
나스닥 종합 지수,중간선거해,1분기,위,13,170.2,13.09,12.25,100.0,29.03,0.26,4.18,3.28,-2.56,9.04,30.36,-19.67,-1.56,-1.36,-4.82,11,11,12,13
나스닥 종합 지수,중간선거해,2분기,위,13,104.69,8.05,7.5,76.92,21.0,-1.32,16.53,11.57,7.25,33.54,42.0,-8.87,-2.49,-1.91,-5.92,12,13,13,13
