종목,사이클 위치,진입 연도,분할 방식,미체결 처리,진입일,진입가,2번째 몫 체결일,2번째 몫 체결가,2번째 몫 체결 사유,3번째 몫 체결일,3번째 몫 체결가,3번째 몫 체결 사유,4번째 몫 체결일,4번째 몫 체결가,4번째 몫 체결 사유,청산일,청산가,투자 비율(%),첫 몫 대비 평균 매수가(%),수익률(%),보유 중 최악(%)
SPY,중간선거해,2022,B 사다리 5%,현금 유지,2022-09-30,357.18,,,미체결,,,미체결,,,,2023-06-30,443.28,33.33,0.0,8.04,-0.85
SPY,중간선거해,1994,B 사다리 10%,12월 말 일괄 매수,1994-09-30,46.1719,1994-12-30,45.5625,12월 말 일괄,1994-12-30,45.5625,12월 말 일괄,,,,1995-06-30,54.4062,100.0,-0.88,18.88,-1.13
SPY,중간선거해,1998,B 사다리 10%,12월 말 일괄 매수,1998-09-30,101.75,1998-12-31,123.3125,12월 말 일괄,1998-12-31,123.3125,12월 말 일괄,,,,1999-06-30,137.0,100.0,13.2,18.95,-3.12
SPY,중간선거해,2002,B 사다리 10%,12월 말 일괄 매수,2002-09-30,81.79,2002-12-31,88.23,12월 말 일괄,2002-12-31,88.23,12월 말 일괄,,,,2003-06-30,97.63,100.0,5.11,13.56,-7.67
SPY,중간선거해,2006,B 사다리 10%,12월 말 일괄 매수,2006-09-29,133.58,2006-12-29,141.62,12월 말 일괄,2006-12-29,141.62,12월 말 일괄,,,,2007-06-29,150.43,100.0,3.93,8.35,-1.5
SPY,중간선거해,2010,B 사다리 10%,12월 말 일괄 매수,2010-09-30,114.13,2010-12-31,125.75,12월 말 일괄,2010-12-31,125.75,12월 말 일괄,,,,2011-06-30,131.97,100.0,6.56,8.51,-0.28
SPY,중간선거해,2014,B 사다리 10%,12월 말 일괄 매수,2014-09-30,197.02,2014-12-31,205.54,12월 말 일괄,2014-12-31,205.54,12월 말 일괄,,,,2015-06-30,205.85,100.0,2.84,1.59,-2.55
SPY,중간선거해,2018,B 사다리 10%,12월 말 일괄 매수,2018-09-28,290.72,2018-12-17,255.36,단계 도달,2018-12-31,249.92,12월 말 일괄,,,,2019-06-28,293.0,100.0,-9.14,10.92,-9.35
SPY,중간선거해,2022,B 사다리 10%,12월 말 일괄 매수,2022-09-30,357.18,2022-12-30,382.43,12월 말 일괄,2022-12-30,382.43,12월 말 일괄,,,,2023-06-30,443.28,100.0,4.6,18.64,-0.85
SPY,중간선거해,1994,B 사다리 10%,현금 유지,1994-09-30,46.1719,,,미체결,,,미체결,,,,1995-06-30,54.4062,33.33,0.0,5.94,-1.13
